文件名,编,分编,章,节,内容
地震监测管理条例,,,第一章 总 则,,第一条 为了加强对地震监测活动的管理提高地震监测能力根据《中华人民共和国防震减灾法》的有关规定制定本条例。
地震监测管理条例,,,第一章 总 则,,第二条 本条例适用于地震监测台网的规划、建设和管理以及地震监测设施和地震观测环境的保护。
地震监测管理条例,,,第一章 总 则,,第三条 地震监测工作是服务于经济建设、国防建设和社会发展的公益事业。县级以上人民政府应当将地震监测工作纳入本级国民经济和社会发展规划。
地震监测管理条例,,,第一章 总 则,,第四条 国家对地震监测台网实行统一规划分级、分类管理。
地震监测管理条例,,,第一章 总 则,,第五条 国务院地震工作主管部门负责全国地震监测的监督管理工作。县级以上地方人民政府负责管理地震工作的部门或者机构负责本行政区域内地震监测的监督管理工作。
地震监测管理条例,,,第一章 总 则,,第六条 国家鼓励、支持地震监测的科学研究推广应用先进的地震监测技术开展地震监测的国际合作与交流。有关地方人民政府应当支持少数民族地区、边远贫困地区和海岛的地震监测台网的建设和运行。
地震监测管理条例,,,第一章 总 则,,第七条 外国的组织或者个人在中华人民共和国领域和中华人民共和国管辖的其他海域从事地震监测活动必须与中华人民共和国有关部门或者单位合作进行并经国务院地震工作主管部门批准。从事前款规定的活动必须遵守中华人民共和国的有关法律、法规的规定并不得涉及国家秘密和危害国家安全。
地震监测管理条例,,,第二章 地震监测台网的规划和建设,,第八条 全国地震监测台网由国家地震监测台网、省级地震监测台网和市、县地震监测台网组成。专用地震监测台网和有关单位、个人建设的社会地震监测台站点是全国地震监测台网的补充。
地震监测管理条例,,,第二章 地震监测台网的规划和建设,,第九条 编制地震监测台网规划应当坚持布局合理、资源共享的原则并与土地利用总体规划和城乡规划相协调。
地震监测管理条例,,,第二章 地震监测台网的规划和建设,,第十条 全国地震监测台网总体规划和国家地震监测台网规划由国务院地震工作主管部门根据全国地震监测预报方案商国务院有关部门制定并负责组织实施。省级地震监测台网规划由省、自治区、直辖市人民政府负责管理地震工作的部门或者机构根据全国地震监测台网总体规划和本行政区域地震监测预报方案制定报本级人民政府批准后实施。市、县地震监测台网规划由市、县人民政府负责管理地震工作的部门或者机构根据省级地震监测台网规划制定报本级人民政府批准后实施。
地震监测管理条例,,,第二章 地震监测台网的规划和建设,,第十一条 省级地震监测台网规划和市、县地震监测台网规划需要变更的应当报原批准机关批准。
地震监测管理条例,,,第二章 地震监测台网的规划和建设,,第十二条 全国地震监测台网和专用地震监测台网的建设应当遵守法律、法规和国家有关标准符合国家规定的固定资产投资项目建设程序保证台网建设质量。全国地震监测台网的建设应当依法实行招投标。
