文件名,编,分编,章,节,内容
大同市电动车管理条例,,,第一章 总 则,,第一条 为了加强电动车管理维护道路交通秩序保障交通安全畅通保护公民、法人和其他组织的合法权益根据《中华人民共和国道路交通安全法》《山西省实施〈中华人民共和国道路交通安全法〉办法》等法律法规的规定结合本市实际制定本条例。
大同市电动车管理条例,,,第一章 总 则,,第二条 本条例所称电动车包括电动自行车、电动三轮低速载货车、小型低速电动汽车。
大同市电动车管理条例,,,第一章 总 则,,第三条 在本市行政区域内电动车的生产、销售、维修、登记及通行管理适用本条例。
大同市电动车管理条例,,,第一章 总 则,,第四条 市、县区人民政府负责本辖区电动车的监督管理工作。市、县区公安机关交通管理部门负责电动车交通安全管理工作。市、县区市场监督管理部门负责电动车产品质量、电动车销售市场的监督管理工作。市、县区交通运输主管部门负责电动车维修的监督管理工作。工业和信息化、生态环境、发展改革、财政、城市管理、邮政等部门按照各自职责做好电动车监督管理的相关工作。
大同市电动车管理条例,,,第二章 生产、销售、维修,,第五条 电动车生产者应当加强标准管理和质量管理严格按照国家标准生产电动车。电动自行车的生产者、进口商应当按照国家有关规定对其生产或者进口的电动自行车进行强制性产品认证。未获得强制性产品认证的电动自行车不得在本市销售。
大同市电动车管理条例,,,第二章 生产、销售、维修,,第六条 电动车销售者应当建立进货检查验收制度验明电动车合格证明和其他标识核实设计最高时速、整车质量、制动性能、外形尺寸等参数并建立实名制销售台账确保销售的电动车符合国家标准的要求。
大同市电动车管理条例,,,第二章 生产、销售、维修,,第七条 电动车维修者应当建立维修台账在维修过程中不得擅自改变车辆的外形特征与技术参数。
大同市电动车管理条例,,,第二章 生产、销售、维修,,第八条 电动车销售者、维修者应当提供电动车废旧电池更换、回收服务建立台账并将收集的废旧电池交由生产者回收利用或者交由具有危险废物经营资质的单位统一处理。
大同市电动车管理条例,,,第三章 登记管理,,第九条 电动车经公安机关交通管理部门登记后方可上道路行驶。电动车所有人应当持下列材料到公安机关交通管理部门申请办理登记
大同市电动车管理条例,,,第三章 登记管理,,第十条 互联网租赁电动自行车应当按照规定申办登记。
大同市电动车管理条例,,,第三章 登记管理,,第十一条 不符合国家标准的电动车不予办理登记。拼装和擅自改装的电动车不予办理登记。
大同市电动车管理条例,,,第三章 登记管理,,第十二条 任何单位或者个人不得有下列行为高围板
大同市电动车管理条例,,,第三章 登记管理,,第十三条 公安机关交通管理部门接到电动车所有人申请后对符合登记条件的应当在受理申请之日起二个工作日内审核材料办结登记并发放号牌对不符合登记条件的应当向申请人说明不予登记的理由。
大同市电动车管理条例,,,第三章 登记管理,,第十四条 公安机关交通管理部门应当合理设置电动车牌证办理网点将办理时间、地点、条件、程序等事项向社会公布。
大同市电动车管理条例,,,第三章 登记管理,,第十五条 电动车登记号牌的式样由市公安机关交通管理部门规定并监制。电动车登记号牌、驾驶证工本费的收取应当严格执行价格部门核定的标准。
大同市电动车管理条例,,,第三章 登记管理,,第十六条 电动车所有权转移、登记内容变更、注销及盗抢备案登记按照法律法规的有关规定办理。
大同市电动车管理条例,,,第三章 登记管理,,第十七条 电动车驾驶人应当符合下列条件并取得机动车  驾驶证并取得 3 以上机动车驾驶证。
大同市电动车管理条例,,,第四章 道路通行管理,,第十八条 电动车应当在取得市、县区公安机关交通管理部门核发的有效号牌后方可上路行驶。驾驶电动三轮低速载货车和小型低速电动汽车上路行驶应当携带驾驶证。
大同市电动车管理条例,,,第四章 道路通行管理,,第十九条 驾驶电动车上路行驶时应当遵守下列规定通警察指挥车道行驶在没有划设非机动车道的道路上应当靠车行道的右侧行驶在十字路口有绿色行车区域的应当在安全行车区域内行驶不得跨越其他区域行驶全的情况下可临时借用相邻的车道行驶待行车正常后应当立即返回规定行驶的车道格的安全头盔。
大同市电动车管理条例,,,第四章 道路通行管理,,第二十条 驾驶电动车上路行驶时不得实施下列行为动车汽车醉酒后驾驶电动自行车驶入城市快速路室的前后窗范围内悬挂、放置妨碍驾驶人视线的物品的
大同市电动车管理条例,,,第四章 道路通行管理,,第二十一条 电动车载人载物应当遵守下列规定人成年人驾驶电动自行车可以搭载一名十二周岁以下儿童载物的长、宽、高不得违反装载要求规定不得遗撒、飘散载运物
大同市电动车管理条例,,,第四章 道路通行管理,,第二十二条 公安机关交通管理部门根据道路通行情况可以在一定时间一定路段对电动车采取限制通行、禁止通行等交通管理措施。
大同市电动车管理条例,,,第四章 道路通行管理,,第二十三条 电动车应当在规定的地点按照标志、标线停放在未设定停车地点停车的不得妨碍其他车辆和行人安全通行。不得占用人行道、盲道、消防通道、疏散通道、安全出口等公共区域。拟建、在建的住宅小区、住宅建筑和人员密集场所应当按照规定设置电动车集中停放、充电场所配置符合用电安全要求的充电设施采取防火分隔措施。既有建筑场所的产权人、管理人或者使用人应当按照消防技术标准设置或者改造集中停放、充电场所无法设置或者改造的应当加强消防安全管理。禁止在建筑物的公共门厅、疏散通道、安全出口、楼梯间以及不符合消防安全条件的室内场所停放电动车或者为其充电。
大同市电动车管理条例,,,第四章 道路通行管理,,第二十四条 电动三轮低速载货车、小型低速电动汽车的报废期限为从登记之日起满八年或者行驶满二十万公里。
大同市电动车管理条例,,,第四章 道路通行管理,,第二十五条 鼓励电动自行车所有人投保第三者责任保险、人身伤害保险和财产损失保险。鼓励互联网租赁、快递、外卖等企业为电动车驾驶人购买人身伤害保险、第三者责任保险。
大同市电动车管理条例,,,第五章 法律责任,,第二十六条 违反本条例规定法律、行政法规以及本省人民代表大会及其常务委员会制定的地方性法规已有法律责任规定的从其规定。
大同市电动车管理条例,,,第五章 法律责任,,第二十七条 公安机关交通管理部门和其他相关行政管理部门的工作人员在监督管理电动车过程中违反道路交通安全法律法规及本条例规定的依法给予处分构成犯罪的依法追究刑事责任。
大同市电动车管理条例,,,第五章 法律责任,,第二十八条 驾驶不符合强制性国家标准的电动自行车上路行驶的由公安机关交通管理部门处五十元罚款驾驶人拒绝接受罚款的可以扣留其电动自行车。
大同市电动车管理条例,,,第五章 法律责任,,第二十九条 违反本条例规定驾驶电动自行车有下列情形之一的由公安机关交通管理部门处二十元罚款
大同市电动车管理条例,,,第五章 法律责任,,第三十条 违反本条例规定驾驶电动自行车不按规定车道行驶的由公安机关交通管理部门处三十元罚款。
大同市电动车管理条例,,,第五章 法律责任,,第三十一条 违反本条例规定驾驶电动自行车有下列情形之一的由公安机关交通管理部门处五十元罚款污损号牌的
大同市电动车管理条例,,,第五章 法律责任,,第三十二条 驾驶拼装的电动车上路行驶的公安机关交通管理部门可以扣留其电动车并按照法律法规的有关规定处理。
大同市电动车管理条例,,,第六章 附 则,,第三十三条 电动轮椅车、电动独轮车、电动摇摆车、电瓶旅游观光车、电动平衡车、两轮并排式电动滑行车等车种按照法律法规的有关规定监管。电动轻便摩托车和电动摩托车按照机动车相关法律规范调整。
