文件名,编,分编,章,节,内容
大庆市海绵城市建设管理条例,,,第一章 总 则,,第一条 为了规范海绵城市建设管理修复城市水生态、涵养水资源增强城市防洪排涝能力保护和改善城市生态环境促进人与自然和谐发展根据有关法律、法规结合本市实际制定本条例。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第二条 本市行政区域内海绵城市的规划建设、运行维护、监督管理等活动适用本条例。本条例所称海绵城市是指通过加强城市规划建设管理充分发挥建筑、道路和绿地、水系等生态系统对雨水的吸纳、蓄渗和缓释作用有效控制雨水径流实现自然积存、自然渗透、自然净化的城市发展方式。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第三条 城市发展应当全面融入海绵城市建设理念。海绵城市建设管理应当坚持生态为本、自然循环、全域谋划、因地制宜、规划引领、统筹推进、政府引导、社会参与的原则。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第四条 市、县区人民政府应当将海绵城市建设管理纳入国民经济和社会发展规划建立健全体制机制统筹推进海绵城市建设管理。市人民政府应当加强地企协作协调解决海绵城市建设管理中的重大问题。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第五条 市、县区住房和城乡建设主管部门是海绵城市建设管理的主管部门负责海绵城市建设管理的综合协调、技术指导、监督管理等工作。发展和改革、财政、自然资源、生态环境、城市管理、水行政、气象、交通运输、公安机关、应急管理、市场监督管理、林业和草原、科学技术等部门应当按照各自职责加强协同配合共同做好海绵城市建设管理工作。高新技术产业开发区、经济技术开发区管理委员会应当按照市人民政府的有关要求做好管理区域内海绵城市建设管理相关工作。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第六条 市、县区人民政府应当加大海绵城市建设管理的资金投入所需资金纳入本级财政预算可以建立多元化投融资机制吸引社会资本参与海绵城市建设和运行维护。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第七条 市、县区人民政府应当鼓励、支持海绵城市科学技术研究推广应用先进适用的技术、工艺、设备和材料发挥科学技术在海绵城市建设管理中的支撑作用。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第八条 市、县区人民政府应当加强海绵城市建设管理专业人才队伍建设定期开展业务培训、技术交流等活动。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第九条 市人民政府应当建立海绵城市建设管理专家库为海绵城市建设管理提供相关技术研究、业务指导、评审论证等服务。
大庆市海绵城市建设管理条例,,,第一章 总 则,,第十条 市、县区人民政府及其有关部门应当通过报刊、广播、电视、网络等媒体加强海绵城市建设管理的公益宣传、科普教育和舆论监督引导公众积极参与海绵城市建设管理。
大庆市海绵城市建设管理条例,,,第二章 规划建设,,第十一条 市、县住房和城乡建设主管部门负责会同其他有关部门依法编制海绵城市专项规划报本级人民政府批准后实施。编制或者修编国土空间规划、控制性详细规划以及道路、绿地、水系、排水防涝等相关专项规划时应当落实海绵城市建设相关要求和内容将雨水年径流总量控制率作为刚性控制指标。海绵城市、道路、绿地、水系、排水防涝等专项规划应当相互协调与衔接。
大庆市海绵城市建设管理条例,,,第二章 规划建设,,第十二条 市、县住房和城乡建设主管部门负责会同其他有关部门结合本地实际依法制定海绵城市建设项目豁免清单报本级人民政府批准后实施。列入豁免清单的建设项目对其海绵城市建设管控指标不作强制性要求由建设单位根据项目特点因地制宜建设海绵城市设施。
大庆市海绵城市建设管理条例,,,第二章 规划建设,,第十三条 市、县区人民政府应当建立海绵城市建设项目储备制度。市、县区住房和城乡建设主管部门负责会同其他有关部门根据海绵城市专项规划制定海绵城市年度建设计划报本级人民政府批准后实施。
