文件名,编,分编,章,节,内容
天津市法律援助若干规定,,,,,第一条 为了规范和促进法律援助工作保障公民和有关当事人的合法权益保障法律正确实施维护社会公平正义根据《中华人民共和国法律援助法》等有关法律、行政法规结合本市实际制定本规定。
天津市法律援助若干规定,,,,,第二条 本规定适用于本市行政区域内的法律援助工作。本规定所称法律援助是依法为经济困难公民和符合法定条件的其他当事人无偿提供法律咨询、代理、刑事辩护等法律服务的制度是公共法律服务体系的组成部分。
天津市法律援助若干规定,,,,,第三条 法律援助工作应当坚持中国共产党领导坚持以人民为中心尊重和保障人权遵循公开、公平、公正的原则实行国家保障与社会参与相结合。
天津市法律援助若干规定,,,,,第四条 市和区人民政府应当将法律援助工作纳入国民经济和社会发展规划、基本公共服务体系保障法律援助事业与经济社会协调发展。市和区人民政府应当健全法律援助保障体系将法律援助相关经费列入本级财政预算并建立动态调整机制保障法律援助工作需要促进法律援助均衡发展。法律援助经费应当专款专用依法接受财政、审计部门的监督。
天津市法律援助若干规定,,,,,第五条 市和区司法行政部门指导、监督本行政区域的法律援助工作健全服务管理、信息公开、投诉查处等法律援助工作机制加强法律援助队伍建设提升法律援助服务质量。市和区发展改革、民政、财政、人力资源和社会保障等部门依照各自职责为法律援助工作提供支持和保障。乡镇人民政府、街道办事处应当配合做好法律援助工作。
天津市法律援助若干规定,,,,,第六条 市和区司法行政部门应当设立法律援助机构。法律援助机构负责组织实施法律援助工作受理、审查法律援助申请指派律师、基层法律服务工作者、法律援助志愿者等法律援助人员提供法律援助支付法律援助补贴根据工作需要可以安排本机构具有律师资格或者法律职业资格的工作人员提供法律援助。
天津市法律援助若干规定,,,,,第七条 人民法院、人民检察院、公安机关应当在各自职责范围内保障当事人依法获得法律援助为法律援助人员开展工作提供便利。人民法院、人民检察院、公安机关、司法行政部门应当建立健全沟通协调机制做好权利告知、申请转交、案件办理等方面的衔接工作加强信息化建设建立完善法律援助信息交换机制实现业务协同、信息互联互通保障法律援助工作有效开展。
天津市法律援助若干规定,,,,,第八条 律师协会应当指导和支持律师事务所、律师参与法律援助工作将律师事务所、律师履行法律援助义务的情况纳入年度考核内容督促律师遵守职业道德和执业纪律配合司法行政部门加强法律援助宣传、人员培训和服务质量管理。
天津市法律援助若干规定,,,,,第九条 本市鼓励和支持群团组织、事业单位、社会组织在司法行政部门的指导下依法提供法律援助。
天津市法律援助若干规定,,,,,第十条 市和区司法行政部门应当加强法律援助宣传普及法律援助知识。报刊、广播、电视、网络媒体等应当通过多种形式开展法律援助的公益宣传发挥舆论监督作用为法律援助工作营造良好社会氛围。
天津市法律援助若干规定,,,,,第十一条 本市加强与北京市、河北省以及其他地区的法律援助交流合作鼓励和支持法律援助机构在案件办理和质量评估、人员培训、业务交流、宣传教育等方面深化区域协作提高法律援助服务水平。
天津市法律援助若干规定,,,,,第十二条 对在法律援助工作中做出突出贡献的组织和个人按照有关规定给予表彰、奖励。
天津市法律援助若干规定,,,,,第十三条 法律援助机构可以组织法律援助人员依法提供下列形式的法律援助服务诉讼代理
天津市法律援助若干规定,,,,,第十四条 法律援助机构应当健全法律援助便民服务网络发挥公共法律服务热线、法律援助工作站点或者联络点优势通过服务窗口、电话、网络等方式为当事人申请法律援助、接受法律援助服务提供便利对行动不便的老年人、残疾人以及其他有特殊困难的当事人可以提供上门服务。
天津市法律援助若干规定,,,,,第十五条 刑事案件的犯罪嫌疑人、被告人因经济困难或者其他原因没有委托辩护人的本人及其近亲属可以向法律援助机构申请法律援助。刑事公诉案件的被害人及其法定代理人或者近亲属刑事自诉案件的自诉人及其法定代理人刑事附带民事诉讼案件的原告人及其法定代理人因经济困难没有委托诉讼代理人的可以向法律援助机构申请法律援助。
天津市法律援助若干规定,,,,,第十六条 刑事案件的犯罪嫌疑人、被告人属于下列人员之一没有委托辩护人的人民法院、人民检察院、公安机关应当通知法律援助机构指派律师担任辩护人其他适用普通程序审理的刑事案件被告人没有委托辩护人的人民法院应当通知法律援助机构指派律师担任辩护人。强制医疗案件的被申请人或者被告人没有委托诉讼代理人的人民法院应当通知法律援助机构指派律师为其提供法律援助。
天津市法律援助若干规定,,,,,第十七条 法律援助机构根据需要在人民法院、人民检察院、看守所等场所派驻值班律师依法为没有辩护人的犯罪嫌疑人、被告人提供法律咨询、程序选择建议、申请变更强制措施、对案件处理提出意见等法律帮助相关单位应当给予协助。犯罪嫌疑人、被告人认罪认罚的值班律师还应当提供以下法律帮助定事项提出意见
天津市法律援助若干规定,,,,,第十八条 下列事项的当事人因经济困难没有委托代理人的可以向法律援助机构申请法律援助事故、产品质量事故人身损害赔偿生产经济损失请求损害赔偿
天津市法律援助若干规定,,,,,第十九条 有下列情形之一当事人申请法律援助的不受经济困难条件的限制主张相关权益
天津市法律援助若干规定,,,,,第二十条 当事人不服司法机关生效裁判或者决定提出申诉或者申请再审人民法院决定、裁定再审或者人民检察院提出抗诉因经济困难没有委托辩护人或者诉讼代理人的本人及其近亲属可以向法律援助机构申请法律援助。
天津市法律援助若干规定,,,,,第二十一条 法律援助经济困难标准由市司法行政部门会同市发展改革、民政、人力资源和社会保障等部门根据国民经济与社会发展现状、城乡居民收入状况和法律援助工作需要等因素提出报市人民政府确定后公布实施并实行动态调整。
天津市法律援助若干规定,,,,,第二十二条 对诉讼事项的法律援助由申请人向办案机关所在地的法律援助机构提出申请对非诉讼事项的法律援助由申请人向争议处理机关所在地或者事由发生地的法律援助机构提出申请。申请人就同一事项向两个以上有管辖权的法律援助机构提出申请的由最先收到申请的法律援助机构受理。法律援助机构之间因受理发生争议时由市司法行政部门指定。法律援助机构对于不属于其受理范围的法律援助申请应当告知申请人向有管辖权的法律援助机构申请或者向有关部门申请处理。
天津市法律援助若干规定,,,,,第二十三条 法律援助机构应当自收到法律援助申请之日起七日内进行审查作出是否给予法律援助的决定。决定给予法律援助的应当自作出决定之日起三日内指派法律援助人员为受援人提供法律援助决定不给予法律援助的应当书面告知申请人并说明理由。申请人提交的申请材料不齐全的法律援助机构应当一次性告知申请人需要补充的材料或者要求申请人作出说明。申请人未按要求补充材料或者作出说明的视为撤回申请。申请人补充材料、作出说明所需的时间法律援助机构请求异地法律援助机构协作核查的时间不计入审查期限。
天津市法律援助若干规定,,,,,第二十四条 法律援助机构核查申请人的经济困难状况可以通过信息共享查询或者由申请人进行个人诚信承诺。法律援助机构开展核查工作公安机关、民政、人力资源和社会保障、住房城乡建设等有关部门和有关单位、村民委员会、居民委员会、个人应当予以协助配合。
天津市法律援助若干规定,,,,,第二十五条 法律援助申请人有材料证明属于下列人员之一的免予核查经济困难状况进城务工人员难正在接受政府临时救济主张相关民事权益的人员申请法律援助的人员
天津市法律援助若干规定,,,,,第二十六条 案件双方当事人同为受援人的法律援助机构不得指派或者安排同一单位的人员承办。法律援助人员在承办案件过程中发现与本案存在利害关系的应当向法律援助机构报告。法律援助机构认为需要更换的按照有关规定办理。
天津市法律援助若干规定,,,,,第二十七条 法律援助机构收到人民法院、人民检察院、公安机关通知后对于可能被判处无期徒刑、死刑的人以及死刑复核案件的被告人应当指派具有三年以上刑事辩护执业经历的律师担任辩护人。
天津市法律援助若干规定,,,,,第二十八条 受援人为未成年人的法律援助机构应当指派熟悉未成年人身心特点的法律援助人员提供法律援助服务。
天津市法律援助若干规定,,,,,第二十九条 人民法院、人民检察院、公安机关依法通知法律援助机构指派律师提供法律援助的应当根据案件需要为法律援助机构和律师预留阅卷、会见、调取证据等所需的工作时间。
