文件名,编,分编,章,节,内容
天津市职业教育产教融合促进条例,,,第一章 总 则,,第一条 为了促进职业教育产教融合推动教育、人才与产业、创新有机衔接推进社会主义现代化大都市建设根据《中华人民共和国职业教育法》等有关法律、行政法规结合本市实际制定本条例。
天津市职业教育产教融合促进条例,,,第一章 总 则,,第二条 本市行政区域内职业教育产教融合以及相关活动适用本条例。本条例所称职业教育产教融合是指政府、行业、企业、学校协同推进促进职业教育供给侧和产业需求侧的人才、创新、技术、资本、管理等要素双向融合培养高素质技术技能人才服务经济社会高质量发展的活动。
天津市职业教育产教融合促进条例,,,第一章 总 则,,第三条 职业教育产教融合应当坚持中国共产党的领导坚持政府引导、行业指导、校企为主、社会参与坚持以教促产、以产助教形成职业教育和产业有效对接、良性互动的发展格局。
天津市职业教育产教融合促进条例,,,第一章 总 则,,第四条 市人民政府应当加强对职业教育产教融合工作的领导健全完善工作协调机制研究解决职业教育产教融合中的重大问题将职业教育产教融合工作纳入国民经济和社会发展规划组织制定职业教育产教融合促进专项规划优化职业教育、产业的布局和结构促进职业教育产教融合。区人民政府负责本行政区域内的职业教育产教融合有关工作。
天津市职业教育产教融合促进条例,,,第一章 总 则,,第五条 教育部门、人力资源和社会保障部门负责推动职业教育面向产业需求培养人才、提供服务、促进发展。发展改革、科技、工业和信息化、财政、规划资源、住房城乡建设、市场监管、国有资产监督管理、金融、税务等有关部门按照各自职责做好职业教育产教融合促进工作。
天津市职业教育产教融合促进条例,,,第一章 总 则,,第六条 本市加强对职业教育产教融合的宣传宣传和展示职业教育产教融合成果和技术技能人才成长成才的典型事迹发挥中华职业教育社和工商业联合会、商会等的作用营造全社会参与、支持职业教育产教融合的良好氛围。
天津市职业教育产教融合促进条例,,,第一章 总 则,,第七条 本市对在职业教育产教融合促进工作中做出显著成绩的单位和个人按照有关规定给予表彰、奖励。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第八条 市人民政府应当完善产业、行业、企业、职业、专业联动的职业教育产教融合机制。市人民政府支持依法组建区域产教联合体、产业链产教融合共同体推进实体化运行发挥其在人才培养、专业建设、技术开发、产业升级、创新创业、社会服务等方面的作用。区域产教联合体、产业链产教融合共同体应当以章程或者多方协议等方式约定成员之间合作的方式、内容以及权利义务等事项。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第九条 市人民政府应当支持职业学校联合企业、科研机构共同建设职业教育产教融合实践中心、工程研究中心、技术协同创新中心、企业技术培训中心等产教融合创新平台围绕产业关键技术、核心工艺等开展协同创新。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十条 市教育部门、科技部门应当引导高等职业学校和实施职业教育的普通高等学校将企业生产一线实际需求作为工程技术研究选题的重要来源服务企业技术升级和产品研发建立学校、科研机构、行业企业等协同创新和成果转化机制促进创新成果和技术产业化。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十一条 市人民政府应当建立职业教育产教融合信息服务平台组织有关部门定期发布区域、产业、行业职业教育产教融合发展动态和职业教育产教融合项目、技术服务供给与需求、学校资源等各类信息提供精准化职业教育产教融合信息发布、检索、推送等服务。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十二条 市教育部门应当建立健全专业与产业需求匹配制度布局现代化产业体系建设和民生急需专业支持职业学校建设高水平专业群和特色专业群。职业学校应当按照本市产业布局和行业发展需要完善高水平专业群和特色专业群建设加快培养人工智能、绿色石化、汽车、装备制造、新能源、新材料、生物医药、航空航天等产业需要的新兴专业和托育、护理、康养、家政等民生领域所需的技术技能人才。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十三条 市教育部门应当会同发展改革部门建立职业教育产教融合型专业制度支持职业学校密切对接区域主导产业深化与龙头企业合作定期遴选职业教育产教融合型示范专业推动校企开展人才培养、专业建设、职业培训、技术服务等方面的深度合作增强职业教育适应性。职业教育产教融合型示范专业学费收费标准可以按照有关规定调整。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十四条 市人民政府应当组织有关部门编制行业人才需求预测报告按照行业、产业人才需求加强对职业教育产教融合的指导重点开展关键技术领域人才、紧缺技能人才需求预测定期发布人才需求信息。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十五条 本市推行中国特色学徒制。行业主管部门应当根据人才需求预测结果结合实际发布本行业实习与学徒岗位需求信息引导企业根据自身条件设立相应的岗位。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十六条 市教育部门应当建立健全拔尖技术技能人才培养选拔机制支持符合条件的本科高校经资格推荐、文化考试以及技术考核的程序自主招收优秀中高职毕业生、生产一线优秀员工就读职业教育本科专业联合重点行业企业以校企合作项目制方式培养专业学位硕士研究生。人力资源和社会保障部门应当组织开展职业技能培训支持职业学校、技工院校、公共实训中心以及企业公共实训基地等面向社会开放培训资源。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十七条 市发展改革部门、教育部门按照有关规定共同负责建设产教融合型企业的组织申报、复核确认、建设培育、认证评价和日常管理工作。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十八条 职业学校与企业应当发挥在职业教育产教融合中的主体作用在资源统筹与共享、人才培养与交流、技术创新与服务、学生就业与创业等方面开展合作。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第十九条 职业学校应当坚持教育与培训并举强化社会培训服务职能。鼓励职业学校独立或者联合行业、企业共同举办社区学院、行业培训机构等。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第二十条 本市鼓励社会力量参与职业教育办学。企业等社会力量可以以资本、技术、管理等要素与职业学校依法合作建立实体性的二级学院、产业学院或者生产性实训基地、技能培训基地等办学机构和办学项目。国有资产监督管理机构应当指导、支持所监管企业依法参与和举办职业教育促进职业教育产教融合。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第二十一条 职业学校和企业联合招收学生以工学结合的方式进行学徒培养的职业学校可以按照学徒培养协议支付企业人才培养成本与企业共同确定培养方案开发教学资源实行订单式人才培养。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第二十二条 职业学校应当健全学生到企业实习实训制度强化生产性实习实训根据行业企业用人需求和新技术、新工艺、新规范的发展趋势科学设置实习实训类课程及时更新实习实训教学内容。职业学校可以利用生产性实习实训基地开展面向企业真实生产环境的实践教学提升人才培养的水平和质量。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第二十三条 职业学校和企业应当共同完善专业人才双向交流聘任制度畅通企业经营管理人员、专业技术人员、高技能人才到学校任教和学校教师到企业任职的渠道。职业学校应当支持教师参与校企合作。对具有相关企业或者生产经营管理现场工作经历的专业教师在评聘和职务职称晋升、评优表彰等方面同等条件下优先。职业学校教师和企业职工应当保守在双向交流聘任中知悉的国家秘密、商业秘密等信息。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第二十四条 职业学校可以按照有关规定自主招聘符合教育教学要求的高技能人才、专业技术人员和企业经营管理人员担任专职或者兼职的专业课教师。职业学校招聘的专职教师可以按照有关规定申请职称同级转评从非教师系列职称转评为教师系列职称。鼓励兼职教师依法取得教师资格、教师系列专业技术职务职称。担任兼职教师的高技能人才、专业技术人员和企业经营管理人员按照有关规定享受相关待遇。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第二十五条 市国有资产监督管理机构和发展改革、教育等部门支持国有企业、产教融合型企业等建立完善职业教育兼职教师资源库选派人员到职业学校兼职任教将选派兼职教师的数量和水平作为认定、评价产教融合型企业的重要指标依据。
天津市职业教育产教融合促进条例,,,第二章 引导和实施,,第二十六条 职业学校、科研机构、企业应当通过协议明确职业教育产教融合中产生的科技成果归属对完成、转化该项科技成果做出重要贡献的人员依法给予奖励和报酬。教师、专业技术人员和学生拥有的知识产权可以依法在企业作价出资或者入股。职业学校通过校企合作获得的收益应当实行专账管理专门用于学校人才培养、专业建设等事业发展可以按照规定提取一定比例作为绩效工资来源。
天津市职业教育产教融合促进条例,,,第三章 服务和保障,,第二十七条 市人民政府整合设立职业教育产教融合专项资金用于支持职业教育产教融合的下列用途职业教育产教融合专项资金可以采取政府投入、企业支持、社会捐助等方式筹集财政涉企专项资金可以优先用于支持职业教育产教融合。市教育部门应当会同市财政部门及其他市资金管理部门制定职业教育产教融合专项资金项目和资金管理办法加强对资金使用情况的监督管理。审计部门应当依法对职业教育产教融合专项资金的管理和使用情况开展审计监督。
天津市职业教育产教融合促进条例,,,第三章 服务和保障,,第二十八条 市人民政府支持设立职业教育产教融合发展智库发挥智库在战略研究、人才培养、政策宣传、国际交流等方面的重要功能为职业教育产教融合提供高水平咨政建言和智力支持。
天津市职业教育产教融合促进条例,,,第三章 服务和保障,,第二十九条 市人民政府应当将职业学校校舍、实习实训基地和产教融合重大项目建设预留地纳入职业教育产教融合促进专项规划。市和区人民政府探索采取长期租赁、租让结合、弹性年期出让方式供地。企业投资或者与政府合作建设职业学校的建设用地按照科教用地管理符合《划拨用地目录》的可以通过划拨方式供地鼓励企业自愿以出让、租赁方式取得建设用地。社会力量兴办的非营利性民办职业学校规划用地性质按照科教用地控制营利性民办职业学校规划用地性质按照其他服务设施用地控制。
天津市职业教育产教融合促进条例,,,第三章 服务和保障,,第三十条 本市鼓励以引企驻校、引校进企、校企一体等方式由职业学校或者实施职业教育的普通高等学校、企业共同建设、使用生产性实训基地。市和区人民政府应当为国家认定的产教融合试点区域预留一定比例用地用于产教融合创新平台和实训基地建设对纳入本市产教融合型企业建设培育范围的试点企业给予用地支持。
