文件名,编,分编,章,节,内容
孝感市城乡规划条例,,,第一章 总则,,第一条 为了加强城乡规划管理统筹城乡建设空间布局促进城乡经济社会全面协调可持续发展根据《中华人民共和国城乡规划法》《湖北省城乡规划条例》和有关法律、法规结合本市实际制定本条例。
孝感市城乡规划条例,,,第一章 总则,,第二条 本市行政区域内城乡规划的制定、实施、修改、监督检查以及在规划区内进行建设活动适用本条例。本条例所称城乡规划包括城镇体系规划、城市规划、镇乡规划和村庄规划。城镇体系规划分为市域城镇体系规划和县市域城镇体系规划。城市规划、镇乡规划分为总体规划和详细规划。详细规划分为控制性详细规划和修建性详细规划。本条例所称规划区是指城市、镇乡、村庄的建成区以及因城乡建设和发展需要实行规划控制的区域。规划区的具体范围在有关城乡规划中划定。
孝感市城乡规划条例,,,第一章 总则,,第三条 市、县市、镇乡应当依照本条例编制城市规划、镇乡规划。市、县市人民政府确定需要编制规划的村庄应当编制村庄规划其他村庄根据发展需要编制村庄规划。中心村、特色示范村、历史文化名村、传统村落应当优先编制村庄规划。城市规划区建设用地范围内的镇乡、村庄不单独编制镇不单独编制村庄规划。
孝感市城乡规划条例,,,第一章 总则,,第四条 制定和实施城乡规划应当遵循城乡统筹、协调发展、环境友好、资源节约和先规划后建设的原则合理布局区域的人口、产业、基础设施和公共服务设施注重保护耕地等自然资源和历史文化遗产保持地方特色和传统风貌保护和改善生态环境并符合防灾减灾和公共卫生、公共安全的需要。
孝感市城乡规划条例,,,第一章 总则,,第五条 城乡规划经依法批准后组织编制机关应当及时向社会公布方便公众查询。法律、法规规定不得公开的内容除外。经依法批准并公布的城乡规划必须严格执行未经法定程序不得修改。
孝感市城乡规划条例,,,第一章 总则,,第六条 各级人民政府应当根据城乡规划工作的需要加强城乡规划管理机构和人员队伍建设将城乡规划编制和管理经费纳入本级财政预算。
孝感市城乡规划条例,,,第一章 总则,,第七条 市、县市城乡规划主管部门负责本行政区域内的城乡规划管理工作其他有关部门按照各自职责做好城乡规划管理的相关工作。市辖区由市城乡规划主管部门设置派出机构按照规定权限负责本辖区内的城乡规划管理工作。各类开发区园区、重点镇域内的城乡规划管理工作。镇乡人民政府、街道办事处按照规定职责承担本辖区内城乡规划管理的相关工作。
孝感市城乡规划条例,,,第一章 总则,,第八条 市、县市人民政府应当设立城乡规划委员会。城乡规划委员会是本级人民政府城乡规划工作的议事机构负责审议城乡规划工作中的重大事项为规划决策提供依据。城乡规划委员会的组成形式和议事制度由本级人民政府制定。
孝感市城乡规划条例,,,第一章 总则,,第九条 城乡规划主管部门应当开展规划研究推广和应用先进技术创新规划方法和管理手段加强规划信息化建设促进信息资源共建共享提高城乡规划的科技水平和管理效能。
孝感市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十条 编制城乡规划应当符合国家法律、法规的规定及有关标准和技术规范具备勘察、测绘、气象、地质、水文、交通、环境、文物等基础资料。编制城乡规划应当依据国民经济和社会发展规划与土地利用总体规划相衔接并体现主体功能区规划的要求。
孝感市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十一条 规划区范围、规划区内建设用地规模、基础设施和公共服务设施用地、水源地和水系、基本农田和绿化用地、环境保护、自然与历史文化遗产保护以及防灾减灾等内容应当作为城市总体规划、镇乡总体规划的强制性内容。编制下一层次规划不得违背和变更上一层次规划确定的强制性内容并应当对上一层次规划确定的强制性内容作出具体安排。
孝感市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十二条 城乡规划组织编制机关应当委托具有相应资质等级的单位承担城乡规划的具体编制工作。规划编制单位应当在资质等级许可的范围内从事城乡规划编制工作并对规划编制质量负责。
