文件名,编,分编,章,节,内容
宁夏回族自治区供用电条例,,,第一章 总则,,第一条 为了规范供用电行为维护供用电秩序保障电力运行安全保护供用电双方合法权益促进经济社会发展根据《中华人民共和国电力法》、国务院《电力供应与使用条例》和有关法律、行政法规的规定结合自治区实际制定本条例。
宁夏回族自治区供用电条例,,,第一章 总则,,第二条 自治区行政区域内供电、用电及其相关管理活动适用本条例。
宁夏回族自治区供用电条例,,,第一章 总则,,第三条 县级以上人民政府电力行政主管部门负责本行政区域内电力供应和使用的监督管理工作。公安、自然资源、生态环境、住房和城乡建设、市场监督管理、应急管理等行政管理部门在各自职责范围内做好电力供应和使用的相关工作。
宁夏回族自治区供用电条例,,,第一章 总则,,第四条 县级以上人民政府应当加强电力需求侧管理将其纳入电力发展和资源综合利用规划并组织实施。
宁夏回族自治区供用电条例,,,第一章 总则,,第五条 县级以上人民政府应当鼓励支持节能技术和节能产品的推广应用。供电企业应当制定能源效率评价和电力负荷控制管理措施推广和采用节约供电的新技术、新工艺、新产品、新材料、新设备优化供电方式。用户应当使用节能的用电设备和电器合理用电、节约用电。
宁夏回族自治区供用电条例,,,第一章 总则,,第六条 任何单位和个人对危害供电设施、危及电网安全和违法使用电能的行为有权向电力行政主管部门及有关部门举报。
宁夏回族自治区供用电条例,,,第二章 供用电设施,,第七条 县级以上人民政府应当将城乡电网建设、改造规划纳入城乡建设总体规划。电力行政主管部门应当和电网经营企业做好城乡电网建设、改造规划。供电企业应当按照规划做好供电设施建设和运行管理工作。
宁夏回族自治区供用电条例,,,第二章 供用电设施,,第八条 县级以上人民政府应当按照城乡建设总体规划统筹安排输配电线路走廊、电缆通道、区域变电所、区域配电所和营业网点的用地。供电企业应当按照国家有关规定在规划的输配电线路走廊、电缆通道、区域变电所、区域配电所和营业网点的用地上架线、敷设电缆和建设公用供电设施。
宁夏回族自治区供用电条例,,,第二章 供用电设施,,第九条 建设项目投资主管部门核准建设项目对可能影响供用电设施安全运行的应当征求同级电力行政主管部门和供用电设施产权人的意见。
宁夏回族自治区供用电条例,,,第二章 供用电设施,,第十条 供用电设施的维护管理范围及安全责任范围按照产权归属确定责任分界点由供电企业与用户在供用电合同中约定。非供电企业的供用电设施维护可以由产权人委托供电企业或者其他具有维护资质的单位维护并协商签订委托维护协议。
宁夏回族自治区供用电条例,,,第二章 供用电设施,,第十一条 供用电设施的设计、建设、安装、试验和运行应当符合国家标准或者电力行业标准不得使用国家淘汰和影响电网安全、环境保护以及人身安全的电力设备和技术。
宁夏回族自治区供用电条例,,,第二章 供用电设施,,第十二条 供电企业维护和抢修供用电设施利用相邻不动产的不动产权利人应当提供必要的便利。供电企业造成不动产权利人财产损失的应当依法给予补偿。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第十三条 设区的市、县市、区人民政府电力行政主管部门应当组织供电企业制定电力供需平衡方案和限电、停电序位经自治区人民政府电力行政主管部门审核报自治区人民政府批准后实施。电力行政主管部门和供电企业应当制定电力应急预案定期开展应急培训和应急演练预防和处置电力安全事故灾难、自然灾害等突发事件保障供电安全。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第十四条 供电企业和用户应当按照平等自愿、诚实信用、协商一致的原则签订供用电合同确定双方的权利和义务。已建立供用电关系尚未签订书面供用电合同的应当补签供用电合同。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第十五条 与供电企业签订供用电合同的用户转让合同中约定的权利义务的应当与供电企业签订变更合同。未签订变更合同的由原用户承担权利义务。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第十六条 基建工地、农田水利、市政建设等临时性用电的供电企业应当提供临时电源临时用户应当与供电企业签订临时供用电合同。临时用电期限应当根据临时工程建设项目建设期限确定。因特殊情况确需延期用电的临时用户应当在合同履行期限届满前十日内与供电企业签订延期协议。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第十七条 供电企业在发电、供电系统正常情况下应当连续向用户供电不得中止供电。有下列情形之一的供电企业可以中止供电受处理的标准经整改仍不合格的合格的施或者设备的
宁夏回族自治区供用电条例,,,第三章 电力供应,,第十八条 供电企业有下列情形之一中止供电的应当提前告知用户公告或者在公共场所张贴中止供电通知。对重要用户在公告的同时还应当书面通知知用户中止供电的于供电中止前三日通知用户。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第十九条 因电力紧缺或者超负荷运行需要限电的供电企业应当按照电力行政主管部门确定的限电序位进行限电并通知用户。供电企业不得向依法关闭的矿山、危险化学品生产等高危企业和非法经营的单位供电。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第二十条 供电企业应当依法办理《电力业务许可证》和营业执照并在批准的供电营业区内向用户供电。电力行政主管部门根据宏观调控需求及节能降耗要求应当做好新建公用电厂、自备电厂在投产运行前并网的协调工作。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第二十一条 供电企业应当根据用户要求为用户办理用电计量装置的安装、移动、更换、拆除、加封、启封和表计接线等业务。法定计量检定机构应当对用于结算的用电计量装置进行检定并按照规定的周期和计量检定规程对用电计量装置进行校验和不定期检查。
宁夏回族自治区供用电条例,,,第三章 电力供应,,第二十二条 供电企业应当建立用电安全检查制度。供电企业对用户的用电安全情况进行检查检查人员不得少于二人并出示有效的安全检查证件进入居民室内检查的应当经居民用户同意。用电安全检查涉及商业秘密或者个人隐私的应当保密。用电安全检查限于下列范围负荷监测装置、继电保护和自动装置、调度通讯等安全运行状况功补偿等是否符合国家规定标准备电源并网安全状况。
