文件名,编,分编,章,节,内容
宁夏回族自治区公路路政管理条例,,,第一章 总则,,第一条 为了加强公路路政管理维护公路路产、路权保障公路完好、安全、畅通根据《中华人民共和国公路法》和有关法律、法规结合自治区实际制定本条例。
宁夏回族自治区公路路政管理条例,,,第一章 总则,,第二条 本条例适用于自治区行政区域内国道、省道、县道和乡道的路政管理。
宁夏回族自治区公路路政管理条例,,,第一章 总则,,第三条 公路按其在公路网中的地位分为国道、省道、县道和乡道并按技术等级分为高速公路、一级公路、二级公路、三级公路、四级公路。
宁夏回族自治区公路路政管理条例,,,第一章 总则,,第四条 公路路政管理应当遵循管养一体综合治理预防为主依法治路的原则。
宁夏回族自治区公路路政管理条例,,,第一章 总则,,第五条 各级人民政府应当加强对公路路政管理工作的领导采取有力措施扶持、促进公路建设加强对公路的保护。县级以上人民政府交通运输主管部门应当做好公路保护、管理工作努力采用先进科学的管理方法和技术提高公路的管理水平完善服务设施保障公路的完好、安全、畅通。公安、自然资源、住建、市场监督管理等部门以及公路沿线的村民委员会应当在各自的职责范围内协助、配合交通运输主管部门做好公路路政管理工作。
宁夏回族自治区公路路政管理条例,,,第一章 总则,,第六条 公路、公路用地和公路附属设施以下统称公路路产受法律保护任何单位和个人不得侵占和破坏。任何单位和个人都有爱护公路路产的义务有权检举和控告破坏、损坏公路路产和影响公路安全的行为。
宁夏回族自治区公路路政管理条例,,,第一章 总则,,第七条 禁止任何单位和个人在公路上非法设卡、收费、罚款和拦截车辆。
宁夏回族自治区公路路政管理条例,,,第二章 监督管理,,第八条 自治区人民政府交通运输主管部门主管全区公路工作。市、县人民政府交通运输主管部门主管本辖区内的县道、乡道工作。公路管理机构、交通运输综合执法机构依据职责具体负责公路的保护管理、综合执法工作。乡镇人民政府负责本乡镇内乡道的建设和养护工作。
宁夏回族自治区公路路政管理条例,,,第二章 监督管理,,第九条 公路路政管理职责是路产和其他违反本条例规定的行为者其他设施的事宜路事宜对其实施情况进行监督检查证查阅有关文件、档案、资料和凭证
宁夏回族自治区公路路政管理条例,,,第二章 监督管理,,第十条 公路路政管理人员执行职务时应当按照国家规定着装佩戴标示持证上岗用于路政巡查的专用车辆须设置统一的标志和示警灯。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十一条 公路养护、改建所需砂、石、土料场、生产用地等应当按照有关规定报请县级以上人民政府有关行政主管部门划定。公路养护、施工人员在划定的料场内取土、采石、挖沙任何单位和个人不得阻挠或者非法收取费用。因养护、改建公路采石、挖沙、取土时不得影响附近的建筑物和水利、电力、通讯设施影响或者破坏水土保持。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十二条 在公路及公路用地范围内禁止下列行为行灌溉或者排放污水物填埋、堵塞、损坏公路排水设施利用桥涵、边沟筑坝蓄水设置闸门积肥制坯种植作物燃烧物品
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十三条 任何单位和个人不得擅自占用、挖掘公路。因修铁路、机场、电站、通讯设施、水利工程和其他建设工程确需占用、挖掘公路或者公路改线的建设单位应当事先征得有关交通运输主管部门同意并应当按照不低于该段公路原有的技术标准予以修复或者改建。建设单位不能按照本条第二款的规定修复或者改建被占用、挖掘或改线的公路的应当承担按照该段公路原有的技术标准修复或者改建公路的补偿费用。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十四条 跨越、穿越公路修建桥梁、渡槽或者架设、埋设管线等设施的以及在公路用地范围内架设、埋设管线、电缆等设施的应当事先经交通运输主管部门批准所修建、架设或者埋设的设施应当符合公路工程技术标准的要求。对公路造成损坏的应当按照损坏程度予以补偿。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十五条 在大中型公路桥梁和渡口周围二百米、公路隧道上方和洞口外一百米以及公路两侧十米范围内不得挖沙、采石、取土、倾倒垃圾和其他废弃物不得进行爆破作业及其他危害公路、桥梁、渡口安全的活动。在前款范围内因抢险、防汛需要修筑堤坝、压缩或者拓宽河床的应当经自治区人民政府交通运输主管部门会同水行政主管部门批准并采取有效的保护公路安全的措施。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十六条 在本条例第十五条规定的范围以外进行爆破、开山、采矿等项作业可能危及公路安全的应当事先征得交通运输主管部门同意并采取安全防护措施后方可进行作业。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十七条 铁轮车、履带车和其他可能损害公路路面的机具不得在公路上行驶。农业机械因当地田间作业需要在公路上短距离行驶或者军用车辆执行任务需要在公路上行驶的可以不受前款限制但是应当采取安全保护措施。对公路造成损坏的应当按照损坏程度给予补偿。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十八条 在公路上行驶的车辆的轴载质量应当符合公路工程技术标准要求。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第十九条 超过公路、公路桥梁、公路隧道或者汽车渡船的限载、限高、限宽、限长标准的车辆不得在公路、公路桥梁上和公路隧道内行驶。确需行驶的必须经县级以上交通运输主管部门批准并按要求采取有效的防护措施影响交通安全和交通秩序的还应当经同级公安机关批准运载不可解体的超限物品的应当按照指定的时间、路线、时速行驶并悬挂明显标志。运输单位不能按照前款规定采取防护措施的由交通运输主管部门帮助其采取防护措施所需费用由运输单位承担。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第二十条 机动车制造厂、修理厂和其他单位不得将公路作为检验机动车制动性能的试车场地。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第二十一条 任何单位和个人不得损坏、擅自移动、涂改公路标志、标线、测桩、界碑、护栏等公路附属设施。严禁在公路桥梁、隧道内铺设输送易燃、易爆和有毒物质的管道。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第二十二条 任何单位和个人未经交通运输主管部门批准不得擅自在公路、公路用地上设置除公路标志以外的标牌、广告牌等其他标志。在公路两侧建筑控制区范围内设置除公路标志以外的标牌的必须符合交通安全要求标牌与公路路肩边缘的间距保持在五米以上。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第二十三条 在公路上不得擅自增设平面交叉道口确需增设平面交叉道口须经交通运输主管部门批准并按照国家规定的公路工程技术标准建设占用或者损坏公路路产的应当支付补偿费用。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第二十四条 运输车辆的运件不得拖地行驶。运输易遗漏、抛撒货物的车辆应当采取有效的防护措施不得污染、损坏公路。污染公路的应当负责清除污染物或承担清理费用损坏公路的应当予以补偿。
宁夏回族自治区公路路政管理条例,,,第三章 公路路产管理,,第二十五条 造成公路损坏的责任者应当及时报告公路管理机构并接受公路管理机构的现场调查处理。因交通事故造成公路损坏的公安机关应当及时通知当地公路管理机构查验路产损坏情况并依法协助追索路产损坏补偿费。
