文件名,编,分编,章,节,内容
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第一条 为了落实水资源刚性约束制度强化自治区水资源节约集约利用根据《中华人民共和国水法》、《中华人民共和国黄河保护法》等有关法律、行政法规的规定结合自治区实际制定本条例。
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第二条 在自治区行政区域内开发、利用、节约、保护和管理水资源适用本条例。
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第三条 水资源包括地表水和地下水。水资源属国家所有。水资源管理依法实行取水许可制度和有偿使用制度。
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第四条 县级以上人民政府应当将水资源的开发、利用、节约和保护纳入国民经济和社会发展规划并增加水资源管理财政投入。县级以上人民政府应当将水资源开发、利用、节约、保护和管理的主要指标纳入经济社会发展综合评价体系并建立水资源管理责任和考核制度。
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第五条 县级以上人民政府应当实行水资源刚性约束制度坚持生态优先、绿色发展落实以水定城、以水定地、以水定人、以水定产原则构建与水资源承载能力相适应的国土空间开发保护格局和产业布局。
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第六条 县级以上人民政府水行政主管部门负责本行政区域内水资源的统一管理和监督工作。县级以上人民政府有关主管部门依据各自职责分工负责水资源的开发、利用、节约和保护工作。
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第七条 各级人民政府应当加强基本水情、水资源节约、保护知识的宣传和普及工作提高公民水资源保护和节约用水意识。教育行政部门、学校、干部教育培训机构应当将水资源节约、保护知识纳入教育培训内容。新闻媒体单位应当开展节约、保护水资源的公益宣传和舆论监督工作。
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第八条 鼓励单位和个人依法开发、利用、节约、保护水资源和参与防治水害的技术研究、推广和应用并保护其合法权益。
宁夏回族自治区水资源管理条例,,,第一章 总 则,,第九条 单位和个人有节约和保护水资源的义务有权举报和投诉破坏、浪费水资源等违法行为。对节约、保护和管理水资源有突出贡献的单位和个人由县级以上人民政府给予表彰和奖励。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十条 自治区实行取用水总量控制制度。自治区人民政府水行政主管部门应当根据黄河水量分配方案和跨省支流水量分配方案制定和调整本行政区域水量分配方案经自治区人民政府批准后报黄河流域管理机构备案。自治区人民政府水行政主管部门应当会同有关部门制定地下水取水总量及地下水水位控制指标经自治区人民政府批准后报国务院水行政主管部门或者黄河流域管理机构备案。年度取用水总量应当根据当年国家水量分配方案进行动态调整设区的市、县市、区取用水总量不得超过自治区人民政府分配下达的控制指标并符合生态流量、生态水位、地下水位的管控指标要求。设区的市、县市、区应当遵循总量控制、断面流量控制、分级管理、分级负责的原则优先满足城乡居民生活用水保障基本生态用水统筹生产用水实行计划用水管理严格水资源统一调度。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十一条 县级以上人民政府应当在水资源综合科学考察、承载能力研究和调查评价的基础上组织制定本行政区域水资源规划。经批准的规划需要修改时必须按照规划编制程序经原批准机关批准。工业、农业、畜牧业、林草业、能源、交通运输、旅游、自然资源开发等专项规划和开发区、新区规划等涉及水资源开发利用的应当进行规划水资源论证。未经论证或者经论证不符合水资源强制性约束控制指标的规划审批机关不得批准该规划。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十二条 县级以上人民政府应当对用水权进行确权登记推进用水权市场化交易加强用水权交易监管完善用水权制度体系。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十三条 自治区实行水资源用途管制制度。县级以上人民政府水行政主管部门应当按照生活、农业、工业、服务业、生态等用水类型配置和管理水资源加强水资源用途管理提高水资源管理能力和利用效率。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十四条 开发、利用水资源应当优先开发利用地表水合理开采浅层地下水严格控制开采深层地下水鼓励开发、利用城市再生水、雨洪水、微咸水、矿井疏干水等。城市人民政府应当加快海绵城市建设涵养水资源修复城市水生态增强城市蓄水、防涝能力。引黄灌区农业用水应当采取灌排结合、井渠结合等措施适度开发利用浅层地下水控制地下水水位防治土壤盐碱化。高耗水的工业、服务业项目限制取用黄河水和地下水。开发利用矿泉水、地热水应当严格依法取得许可。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十五条 申请取水的单位或者个人应当依据取水许可规定的条件和程序向有管辖权的水行政主管部门提出取水申请经批准后方可兴建取水工程或者设施。取水工程或者设施经验收合格后发给取水许可证。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十六条 县级以上人民政府水行政主管部门应当建立水资源承载能力监测预警机制。自治区人民政府水行政主管部门对水资源超载地区、临界超载地区和不超载地区实行差别化管控。对水资源超载地区除生活用水等民生保障用水外不得新增取水许可水资源临界超载地区应当严格限制新增取水许可。水资源超载地区县级以上人民政府应当制定水资源超载治理方案采取产业结构调整、强化节水等措施实施综合治理。水资源临界超载地区县级以上人民政府应当采取限制性措施防止水资源超载。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十七条 取用水达到一定规模的单位实行计划用水管理。取用水单位的取用水计划应当根据用水定额、本行政区域年度取用水计划制定。对直接取用地下水、地表水的用水单位用水计划由县级以上人民政府水行政主管部门制定对使用城市公共供水的用水单位用水计划由城市节水主管部门会同城市供水主管部门制定。取用水应当计量对不同水源、不同用途的水应当分别计量。达到取水规模以上的单位应当安装合格的在线计量设施保证设施正常运行并将计量数据传输至有管理权限的水行政主管部门。
宁夏回族自治区水资源管理条例,,,第二章 水资源配置与取用水管理,,第十八条 县级以上人民政府生态环境主管部门、应急管理部门、水行政主管部门按职能和权限负责组织编制突发水污染应急预案、防汛抗旱应急预案并组织实施。可能发生水污染事件的企业事业单位、工业园区等应当制定有关水污染事件的应急预案做好应急处置工作。
宁夏回族自治区水资源管理条例,,,第三章 水资源节约使用,,第十九条 自治区实行用水效率控制制度。自治区人民政府水行政主管部门应当会同相关部门制定设区的市的用水效率控制指标征求设区的市人民政府意见后报自治区人民政府批准执行。设区的市人民政府水行政主管部门应当根据自治区人民政府下达的用水效率控制指标制定县市、区用水效率控制指标征求同级有关部门和有关县市、区人民政府意见后报本级人民政府批准执行。
宁夏回族自治区水资源管理条例,,,第三章 水资源节约使用,,第二十条 自治区实行强制性用水定额管理制度以及高耗水产业准入负面清单和淘汰类高耗水产业目录制度。用水定额由自治区人民政府有关行业主管部门提出经自治区人民政府水行政、标准化主管部门审核同意后由自治区人民政府公布并报国务院水行政、标准化主管部门备案。用水单位应当严格执行强制性用水定额超过强制性用水定额的应当限期实施节水技术改造。对列入高耗水产业准入负面清单和淘汰类高耗水产业目录的建设项目取水申请不予批准。
宁夏回族自治区水资源管理条例,,,第三章 水资源节约使用,,第二十一条 新建、扩建、改建建设项目应当制定节水措施方案配套建设节水设施节水设施应当与主体工程同时设计、同时施工、同时投产节水设施建设资金应当纳入主体工程投资概算。已建项目未配套节水设施的应当限期进行建设改造。
宁夏回族自治区水资源管理条例,,,第三章 水资源节约使用,,第二十二条 严格限制新增引黄灌溉用水量。县级以上人民政府应当严格控制农业灌溉面积增长合理调整农业产业结构优化农业产业布局发展高效节水农业推广节水栽培和灌溉技术加强农业节水设施和用水计量设施建设提高农业用水效率。耕地后备资源调查评价要充分考虑水资源条件水资源严重短缺和超载地区不得布局耕地后备资源开发项目。
宁夏回族自治区水资源管理条例,,,第三章 水资源节约使用,,第二十三条 工业企业应当采用节水新工艺、新技术和新设备降低耗水量提高水的重复利用率。对取水工艺和设施落后耗水量高节水措施不力的企业由水行政主管部门责令限期整改逾期未整改的核减其取水量。
宁夏回族自治区水资源管理条例,,,第三章 水资源节约使用,,第二十四条 各级人民政府及有关部门应当推广节水工艺和节水设备、产品组织开展节水技术研究和指导培育和发展节水产业支持雨洪水、再生水等非常规水资源利用。机关、事业单位等公共机构应当使用节水型设备和器具。鼓励家庭使用节水型设备和器具。
宁夏回族自治区水资源管理条例,,,第三章 水资源节约使用,,第二十五条 供水单位应当加强公共供水设施、设备、管网的维护管理防止跑、冒、滴、漏等浪费现象。超过国家规定比例的供水管网渗漏水量不得列入供水成本。
宁夏回族自治区水资源管理条例,,,第三章 水资源节约使用,,第二十六条 用水实行计量收费。城镇居民生活用水和具备条件的农村居民生活用水实行阶梯水价高耗水工业和服务业水价实行高额累进加价对超计划或者超定额取用水的非居民用水水价实行累进加价推进农业水价综合改革。
