文件名,编,分编,章,节,内容
宁德市城市内河管理条例,,,,,第一条 为了加强城市内河管理和保护改善城市水生态环境发挥城市内河排水、防洪防涝、景观等综合效益根据《中华人民共和国水污染防治法》《中华人民共和国防洪法》《中华人民共和国河道管理条例《》福建省河道保护管理条例》等有关法律、法规结合本市实际制定本条例。
宁德市城市内河管理条例,,,,,第二条 城市内河的规划、建设、保护、利用及相关的管理活动适用本条例。本条例所称城市内河是指本市城市建成区范围内的河道
宁德市城市内河管理条例,,,,,第三条 城市内河管理应当遵循统一规划、综合治理、严格保护、合理利用的原则服从城市防洪防潮、排水防涝的总体要求维护城市内河自然形态和历史风貌。
宁德市城市内河管理条例,,,,,第四条 市、县市、区人民政府应当加强对城市内河管理工作的领导建立健全部门联席会议制度协调解决城市内河管理工作中的重大问题将城市内河规划建设、维修养护、管理运行等所需经费纳入同级财政预算。县市、区人民政府、乡镇人民政府、街道办事处应当按照规定的职责加强日常巡查制止违法行为做好本辖区城市内河的清淤疏浚、驳岸修砌、污染源治理、垃圾和漂浮物清理、绿化建设、景观改造、湿地保护修复等管护工作。村居民委员会可以依法制定村规民约或者居民公约引导村居民自觉保护城市内河设施维护城市内河整洁协助做好辖区内城市内河的清淤疏浚等工作。
宁德市城市内河管理条例,,,,,第五条 住房和城乡建设部门是城市内河的行政主管部门负责牵头开展城市内河建设和管理工作履行下列职责年度计划设、维护和管理水行政主管部门负责城市内河水资源保护保障水资源的合理利用监督水利防洪设施建设、维护和管理工作。城市管理主管部门负责建立健全城市内河流域范围内城市、村庄的垃圾收集、转运、处理机制查处涉河违法建设监督城市内河绿化养护工作。生态环境主管部门及其派出机构负责对城市内河水污染防治实施监督管理开展水质监测分析定期向社会公布水环境质量状况信息。自然资源、农业农村、林业、海洋渔业等主管部门依照各自职责做好城市内河管理的相关工作。
宁德市城市内河管理条例,,,,,第六条 住房和城乡建设主管部门应当会同自然资源、水行政、城市管理、生态环境等主管部门在本条例施行后一年内编制城市内河综合保护专项规划报本级人民政府批准后公布实施。城市内河综合保护专项规划应当明确内河名录、管理范围、管控要求、控源截污、防洪排涝、河道清淤、滨水空间改造、生态补水等内容保障城市内河防洪排涝、蓄水调水、水体通畅等基本功能满足优化生态环境、保护文化景观、水环境生态综合整治的需要以实现城市内河河畅、水清、岸绿、景美的目标。编制城市内河综合保护专项规划应当遵循国土空间总体规划并且与防洪防潮、排水防涝、雨污管网建设等涉及城市内河管理的专项规划相衔接。经批准的城市内河综合保护专项规划不得擅自修改确需修改的应当征求有关部门、专家和公众的意见后按照原审批程序执行。
宁德市城市内河管理条例,,,,,第七条 城市内河管理实行名录制具体名录由住房和城乡建设主管部门会同水行政、城市管理、生态环境、自然资源等主管部门编制和调整报本级人民政府批准后公布。城市内河名录的内容包括城市内河名称、起止点、河道长度、水域面积、主要功能、管理范围等事项。
宁德市城市内河管理条例,,,,,第八条 城市内河管理严格落实河湖长制。水行政主管部门应当按照城市内河名录在城市内河沿岸显著位置设置城市内河河湖长公示牌公开河湖长制工作的有关信息。河湖长相关信息发生变更的应当及时予以更新。
宁德市城市内河管理条例,,,,,第九条 城市内河管理范围包括河道水体、河床、防洪排涝泵站、滩地、堤岸、护栏、坝闸、明渠、隧桥、暗涵、管道、护坡、码头、驳岸、岸线及两岸绿化、景观等。城市内河管理范围划定后由住房和城乡建设主管部门设置界桩或者公告牌。
宁德市城市内河管理条例,,,,,第十条 住房和城乡建设主管部门应当会同水行政、城市管理、生态环境、自然资源等主管部门做好本行政区域城市内河水系、水域、排污口、雨污管网建设设计图纸、截污管、截流井、调蓄池等基础调查工作建立健全城市内河建设管理档案加强城市内河管理信息化、数字化建设。
宁德市城市内河管理条例,,,,,第十一条 城市内河新建改造、清淤拓宽、污染源治理等整治工程以及在城市内河管理范围内新建、改建、扩建跨河、穿河、临河的桥梁、码头、道路、管道、路灯、缆线、取水口、排水口、河滩公园等涉城市内河建设项目应当符合有关规划以及防洪排涝、环境保护、景观美化等相关规定、技术规范和标准。
宁德市城市内河管理条例,,,,,第十二条 修建涉及城市内河建设项目建设单位应当在工程可行性研究报告报请审核前将工程建设方案与防洪评价报告报水行政主管部门审查同意后方可按照基本建设程序履行审批手续并向住房和城乡建设主管部门备案。建设单位应当将项目区域范围内与建设项目有关的城市内河保护事项纳入项目建设内容同时设计、同时建设、同时投入使用。
宁德市城市内河管理条例,,,,,第十三条 在城市内河管理范围内禁止新建、改建、扩建妨碍行洪的建筑物、构筑物和其他设施禁止堆放阻碍行洪的物料。城市内河所在地县级以上人民政府应当依法拆除内河管理范围内已有的妨碍行洪的建筑物、构筑物和其他设施。
宁德市城市内河管理条例,,,,,第十四条 住房和城乡建设主管部门应当统筹规划建设城镇污水集中处理设施及配套管网加强城镇排水与污水管网质量管控建立定期排查和养护机制推进老旧污水管网改造和破损修复提高城镇污水收集、处理效能。排水管网建设应当实行雨污分流新区建设和老城区改造不得将雨水管网、污水管网相互混接。对尚未实施雨污分流的旧城区、城中村应当实施雨污分流改造尚未改造的应当在合流管道进入城市内河前采取设置截污设施、调蓄设施等措施。在城市内河周边区域软基土地上埋设污水管网的建设项目应当按规定要求做好污水管网的软基处理住房和城乡建设主管部门应当加强对软基土地污水管网设计、施工、验收和运行的监督和管理。
宁德市城市内河管理条例,,,,,第十五条 住房和城乡建设主管部门应当会同水行政、城市管理、生态环境、自然资源等主管部门制定城市内河整治年度计划报本级人民政府批准后组织实施。城市内河整治内容包括公告牌等设施的建设、改造和维护筑物
宁德市城市内河管理条例,,,,,第十六条 城市内河整治应当保护内河历史风貌维持内河自然形态不得任意截弯取直不得擅自改变内河岸线不得擅自填堵、覆盖、缩窄、硬化内河。
宁德市城市内河管理条例,,,,,第十七条 城市内河每五年应当进行清淤疏浚对易淤积河段应当加密清淤频率保持水体通畅。清淤底泥应当按照有关规定妥善处置防止造成二次污染。
宁德市城市内河管理条例,,,,,第十八条 水行政主管部门应当会同住房和城乡建设、生态环境等部门制定调蓄计划和水量分配方案维持城市内河基本生态用水需求维护内河生态健康。鼓励将城镇污水处理厂处理达标的再生水用于城市内河补水。
宁德市城市内河管理条例,,,,,第十九条 在城市内河管理范围内禁止下列行为刻划或者移动、拆除、损毁界桩、公告牌或河湖长公示牌他非本地物种种质资源施以及防汛备用的器材、物料等市内河生态环境的行为。
宁德市城市内河管理条例,,,,,第二十条 违反本条例规定的行为法律、法规已有法律责任规定的从其规定。
宁德市城市内河管理条例,,,,,第二十一条 违反本条例第十九条第四项规定占用公共用地种植蔬菜、水果等农作物的由城市管理主管部门责令改正逾期不改正的处二百元以上一千元以下的罚款。违反本条例第十九条第七项规定在界桩、公告牌或者河令改正处五十元以上二百元以下的罚款移动、拆除、损毁界桩、公告牌或者河湖长公示牌的由城市管理主管部门责令改正处五百元以上五千元以下的罚款。
宁德市城市内河管理条例,,,,,第二十二条 本条例自 2023 年 9 月 1 日起施行。
