文件名,编,分编,章,节,内容
宁波市广播电视管理条例,,,第一章 总则,,第一条 为了加强广播电视管理保障广播电视设施安全促进广播电视事业发展维护广播电视用户合法权益根据国务院《广播电视管理条例》、《浙江省广播电视管理条例》和有关法律、法规结合本市实际制定本条例。1
宁波市广播电视管理条例,,,第一章 总则,,第二条 本市行政区域内广播电视设施建设和管理、广播电视节目管理、广播电视运营服务等活动适用本条例。
宁波市广播电视管理条例,,,第一章 总则,,第三条 广播电视管理应当坚持为人民服务、为社会主义服务的方向坚持正确的舆论导向丰富人民群众精神文化生活弘扬社会主义核心价值观。
宁波市广播电视管理条例,,,第一章 总则,,第四条 市和区县市人民政府应当加强对广播电视事业的领导完善广播电视设施推进应急广播体系和镇乡广播电视站建设保障公众收听收看广播电视的基本文化权益促进多业务信息网络融合提高公共文化服务水平。
宁波市广播电视管理条例,,,第一章 总则,,第五条 市文化广电新闻出版行政管理部门是本市广播电视主管部门负责全市广播电视的监督管理和指导工作。区县市广播电视主管部门负责本行政区域内广播电视监督管理和指导工作。城乡规划、住房和城乡建设、发展和改革、财政、经济和信息化、市场监管、公安、国家安全、城市管理、通信管理、无线电管理等有关部门和镇乡人民政府按照各自职责协同做好广播电视管理工作。
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第六条 市和县市人民政府应当把广播电视播出传输覆盖设施建设作为公共文化设施建设的组成部分统筹纳入本级城乡规划根据国家、省公共文化服务相关标准和当地经济社会发展水平、人口状况、环境条件、文化特色结合现有的公用通信等各种网络资源合理确定种类、数量、规模和布局。
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第七条 城乡规划、建设活动应当根据相关规定为广播电视网和其他相关信息网络预留所需的管廊通道以及场地、机房、电力设施等。新建、改建和扩建住宅小区含办公、商业用房应当按照广播电视相关技术标准配套设置广播电视设施。公共建筑应当按照国家有关应急广播体系建设的要求配套设置广播电视设施。广播电视设施因城乡规划调整、技术升级改造等原因被废弃的广播电视设施管理单位应当及时拆除。
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第八条 鼓励广播电视企业和电信企业相互合作推动广播电视、电信业务融合发展提高网络资源利用率。市和区县市广播电视、经济和信息化、住房和城乡建设等主管部门应当共同推动民用建筑中广播电视网和其他相关信息网络等多业务信息网络建设实现资源共享避免重复建设。市和区县市广播电视、经济和信息化、通信管理主管部门应当按照各自职责分工加强行业监管维护公平竞争、规范有序的市场环境。
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第九条 建设单位开展工程建设应当确保广播电视设施的安全和广播电视信号的正常传输。建设工程施工前建设单位应当向建设工程所在地区县市广播电视主管部门查询施工范围内广播电视设施分布情况等资料广播电视主管部门应当在建设单位提出查询申请之日起五个3工作日内提供。工程建设可能影响广播电视设施正常使用的建设单位应当在开工十日前告知广播电视设施管理单位并采取必要的保护措施。广播电视设施管理单位可以指派专业人员现场指导。因施工不当造成广播电视设施损坏的依法承担法律责任。工程建设确需广播电视设施搬迁的依照国务院《广播电视设施保护条例》有关规定执行。
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第十条 广播电视设施的安全受法律保护。广播电视设施管理单位应当在广播电视设施周围设立保护标志标明保护要求。禁止任何单位或者个人实施下列行为以及附属设施射击或者投掷物品十米范围内燃放烟花爆竹、燃烧废弃物矿渣
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第十一条 广播电视设施管理单位的专用供电、供水、通信等有关部门或者单位应当予以保障。供电、供水、通信等企业因检修、改造设施设备需要中断服务的应当在中断服务七十二小时前通知广播电视设施管理单位。
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第十二条 设立广播电视台站应当符合相关法律、法规规定。未经依法批准任何单位和个人不得设置广播电视发射、转播设施不得擅自占用、干扰广播电视专用频段和频率。
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第十三条 市和区县市人民政府应当建设统一联动、安全可靠、快速高效、平战结合的应急广播体系通过广播、电视以及应急广播智能终端等方式向城乡居民提供灾害预警应急广播和政务信息发布、政策宣讲等服务。应急广播建设以及运行维护经费按照规定纳入财政预算。
宁波市广播电视管理条例,,,第二章 设施建设和管理,,第十四条 市和区县市人民政府及相关主管部门和单位应当完善本级应急信息发布流程并对应急信息发布实施监督管理。广播电视台站、广播电视网络运营单位应当建立应急信息广播管理制度定期开展应急广播信号测试保障应急广播体系正常运行。
宁波市广播电视管理条例,,,第三章 节目管理,,第十五条 广播电视台站、广播电视网络运营单位、信息网络传播视听节目服务单位和公共视听载体运营单位传播广播电视节目应当遵守相关法律法规和国家有关规定不得含有法律法规禁止或者危害社会公德的内容不得转播、链接、聚合、集成非法的广播电视频道节目。
宁波市广播电视管理条例,,,第三章 节目管理,,第十六条 鼓励和支持广播电视台站按照国家规定开展5公共服务类广播电视节目的制作和播出。非公有资本可以按照国家有关规定投资广播电台、电视台的音乐、科技、体育、娱乐节目的制作。
宁波市广播电视管理条例,,,第三章 节目管理,,第十七条 广播电视台站和广播电视网络运营单位应当完整转播或者传送中央和本省、市以及所在地县级广播电台、电视台的第一套节目。广播电视台站应当加强直播节目播出管理。直播节目应当具备必要的延时手段和应急措施。
宁波市广播电视管理条例,,,第三章 节目管理,,第十八条 广播电视台站和广播电视网络运营单位应当遵守广告审查和播放管理制度禁止播放虚假、违法广告。广播电台、电视台播放商业广告不得影响广播电视节目的完整性并应当遵守国家关于广告时长、方式的规定对广告时长作出明显提示。
宁波市广播电视管理条例,,,第三章 节目管理,,第十九条 广播电视台站和广播电视网络运营单位应当通过播放公益性广告、传播公益性信息、开设专题教育节目等形式履行社会公益服务义务承担社会宣传教育职责。发生和可能发生自然灾害等突发事件以及其他特殊情形需要增播、转播或者停播特定节目的广播电视台站、广播电视网络运营单位和公共视听载体运营单位应当按照当地人民政府以及广播电视等主管部门的要求及时调整播放安排。广播电视等主管部门应当及时告知运营单位增播、转播或者停播的内容、原因、依据、期限以及具体要求。
