文件名,编,分编,章,节,内容
宁波市爱国卫生条例,,,,,第一条 为了加强爱国卫生工作提高社会卫生水平保障公民身体健康根据国家有关法律、法规结合本市实际制定本条例。
宁波市爱国卫生条例,,,,,第二条 本条例所称的爱国卫生工作是指由政府组织领导、动员全民参与以开展除害防病和健康教育增强社会卫生意识消除危害健康因素改善环境卫生提高全民健康水平为目的的社会性卫生活动。
宁波市爱国卫生条例,,,,,第三条 本市行政区域内的国家机关、社会团体、企业事业1单位及其他组织和个人均应遵守本条例。
宁波市爱国卫生条例,,,,,第四条 爱国卫生工作实行政府组织、属地管理、部门协作、全民参与、科学治理、社会监督的原则。
宁波市爱国卫生条例,,,,,第五条 市和县市、区人民政府应当把爱国卫生工作纳入国民经济和社会发展规划将爱国卫生工作经费列入同级财政预算统筹安排使社会卫生水平与国民经济、社会事业协调发展。
宁波市爱国卫生条例,,,,,第六条 市和县市、区人民政府设立的爱国卫生运动委员会以下简称爱卫会是人民政府的议事协调机构负责组织、协调爱国卫生工作其主要职责是实施动防病工作爱卫会下设办公室配备相应的专职工作人员负责本行政区域的爱国卫生日常工作。
宁波市爱国卫生条例,,,,,第七条 市和县市、区爱卫会由同级卫生、建设、农业、公安、教育、交通、环境保护、城市管理、财政等部门和相关单位组成实行委员部门分工负责制各委员部门应当按照工作分工履行职责。委员部门分工负责的具体办法由市和县市、区人民政府另行制定。
宁波市爱国卫生条例,,,,,第八条 乡镇人民政府、街道办事处和具有法定行政管理职能的园区管理委员会应当设立爱国卫生组织配备相应的工作人员负责本行政区域的爱国卫生日常工作。国家机关、社会团体、企事业单位、村居民委员会以及其他组织应当根据本单位的实际情况设立爱国卫生组织或者指定爱国卫生工作人员在当地爱卫会的指导下开展本单位爱国卫生工作。
宁波市爱国卫生条例,,,,,第九条 各单位应当根据各自情况主动开展健康教育普及卫生科学知识提高公民的卫生意识和自我保健能力。中、小学校应当按照国家和省规定的教学计划开设健康教育课程。
宁波市爱国卫生条例,,,,,第十条 每年四月为爱国卫生活动月。在爱国卫生活动月期间爱卫会应当组织有关部门和单位结合当地突出的社会卫生问题开展活动。
宁波市爱国卫生条例,,,,,第十一条 本市爱国卫生工作实行单位卫生达标制度。国家3机关、社会团体、企事业单位和村居民委员会应当建立健全爱国卫生管理制度完善卫生设施落实卫生达标责任使单位卫生达到规定的标准。单位卫生达标制度的具体实施办法及卫生标准由市人民政府另行制定。
宁波市爱国卫生条例,,,,,第十二条 各级人民政府应当组织、指导开展农村环境卫生整治推进农村改水、改厕粪便无害化处理生活垃圾集中收集和处理等各项卫生工作改善农村生产、生活卫生条件。农村饮用水的供水水质应当达到国家规定的饮用水水质标准。农村公厕、户厕建设应当符合无害化标准。
宁波市爱国卫生条例,,,,,第十三条 乡镇人民政府和街道办事处应当落实专项经费负责辖区内公共部位、公共绿地的病媒生物防治工作。食品生产经营企业、餐饮业、旅馆业、集贸市场、废品收购点等场所的业主应当采取措施灭杀老鼠、苍蝇、蚊子、蟑螂等病媒生物将病媒生物的密度控制在规定的标准内。
宁波市爱国卫生条例,,,,,第十四条 城乡房屋成片拆迁前拆迁入应当按照《宁波市除四害标准》灭杀老鼠、苍蝇、蚊子、蟑螂。工程承建单位应当开展灭防活动清除建筑工地内老鼠、苍蝇、蚊子、蟑螂的孳生环境条件。
宁波市爱国卫生条例,,,,,第十五条 农业、质量技术监督等有关部门应当按职责分工依法管理灭鼠药物和灭杀病媒生物的药品、器械。禁止任何单位和个人生产、销售、使用急性剧毒灭鼠药。
宁波市爱国卫生条例,,,,,第十六条 申请病媒生物防治的专业机构应当经工商行政管理部门登记依法领取营业执照后方可进行营利性病媒生物消杀活动。病媒生物防治机构应当在该机构设立之日起五日内向所在地爱卫会备案。病媒生物消杀工作人员应当具备相应的专业知识并接受技能培训。
宁波市爱国卫生条例,,,,,第十七条 市和县市、区疾病预防控制机构应当在辖区内开展老鼠、苍蝇、蚊子、蟑螂密度监测并向同级爱卫会报告。市和县市、区爱卫会应当定期发布监测公告。
宁波市爱国卫生条例,,,,,第十八条 爱卫会应当组织开展吸烟有害健康的宣传鼓励创建无烟单位。在医疗机构的候诊区、诊疗区和病房区托儿所、幼儿园、青少年宫学校的教室等教学活动场所公共电梯间、公共交通工具内禁止吸烟。在影剧院、音乐厅、游艺厅、歌舞厅候车船、机室和售票厅室内体育场馆、商场店、网吧图书馆、展览馆、博物馆、美术馆、科技馆、档案馆邮政、电信和金融、证券机构的营业厅等公共场所以及各单位的会议室除专设地点外禁止吸烟。5
宁波市爱国卫生条例,,,,,第十九条 禁止吸烟的公共场所应当建立健全禁止吸烟的管理制度设置明显的禁止吸烟标志并不得放置吸烟器具和附有烟草广告的标志和物品。公共场所经营管理者对违反规定的吸烟行为应当予以制止任何人均有权要求在禁止吸烟公共场所的吸烟者停止吸烟。
宁波市爱国卫生条例,,,,,第二十条 公民应当遵守社会卫生行为规范维护环境卫生。在公共场所禁止下列行为物尸体
宁波市爱国卫生条例,,,,,第二十一条 爱国卫生工作实行专业监督和社会监督相结合的制度。市和县市、区爱卫会通过监督检查、评比等形式督促各部门、各单位开展爱国卫生工作。鼓励新闻媒体对爱国卫生工作进行舆论监督。
宁波市爱国卫生条例,,,,,第二十二条 市和县市、区爱卫会可以聘任志愿者担任爱国卫生监督员开展所在区域的社会卫生监督对违法行为进行制止并协助有关部门查处。爱国卫生监督员在执行监督检查时应当佩带标志并出示证件。
宁波市爱国卫生条例,,,,,第二十三条 各级人民政府和爱卫会对爱国卫生工作成绩显著的单位和个人应当给予表彰和奖励。对已经授予卫生城市城镇、卫生街道、卫生村、卫生单位等荣誉称号的市和县市、区爱卫会应当根据有关规定进行暗访和定期复查不能达到相关卫生标准的应当要求其限期改正逾期仍不能达到卫生标准的由授予单位取消荣誉称号。
宁波市爱国卫生条例,,,,,第二十四条 违反本条例第十一条规定单位卫生达不至 规定的卫生标准的由卫生行政主管部门责令限期治理逾期不治理或经治理仍达不到标准的处以警告或一千元以上一万元以下的罚款爱卫会可以对责任单位给予通报批评并提请有关部门按照管理权限对直接负责的主管人员和其他直接责任人员给予行政处分。
宁波市爱国卫生条例,,,,,第二十五条 违反本条例第十三条第二款、第十四条规定有关单位不采取预防和控制措施造成老鼠、苍蝇、蚊子、蟑螂等病媒生物的密度超过规定标准的由卫生行政主管部门责令限期改正逾期不改正的对责任单位处一千元以上一万元以下罚款。
宁波市爱国卫生条例,,,,,第二十六条 违反本条例第十九条规定在公共场所不开展禁止吸烟活动的由卫生行政主管部门责令限期改正逾期不改7正的对责任单位处五百元以上五千元以下罚款。
宁波市爱国卫生条例,,,,,第二十七条 违反本条例其他法律、法规已有规定的由有关部门依照其规定处理。有关部门未处理的市和县市、区爱卫会应当督促其及时处理有关部门拒不处理的由同级人民政府通报批评并责令处理。
宁波市爱国卫生条例,,,,,第二十八条 爱卫会和有关部门及其工作人员违反本条例在爱国卫生工作中玩忽职守、滥用职权、徇私舞弊的由其所在单位或者上级主管部门对直接负责的主管人员和其他直接责任人员依法给予行政处分构成犯罪的依法追究刑事责任。
宁波市爱国卫生条例,,,,,第二十九条 本条例自 2007 年 4 月 1 日起施行。1996 年 4月 18 日、1998 年 7 月 24 日市人民政府发布的《宁波市公共场所禁止吸烟暂行规定》、《宁波市爱国卫生管理规定》同时废止。
