文件名,编,分编,章,节,内容
宁波市职工教育条例,,,第一章 总则,,第一条 为加强职工教育工作提高职工队伍素质适应本1市经济建设和社会发展的需要根据《中华人民共和国教育法》和其他有关法律、法规结合本市实际制定本条例。
宁波市职工教育条例,,,第一章 总则,,第二条 本条例适用于本市行政区域内企业事业组织。
宁波市职工教育条例,,,第一章 总则,,第三条 本条例所称职工教育是指对工人、专业技术人员和管理人员的各种教育和培训活动。
宁波市职工教育条例,,,第一章 总则,,第四条 职工教育必须坚持为社会主义现代化建设服务的方向坚持学用结合、按需施教和注重实效的原则培养有理想、有道德、有文化、有纪律的社会主义劳动者。
宁波市职工教育条例,,,第一章 总则,,第五条 职工教育的主要任务是教育和社会公德教育训级培训
宁波市职工教育条例,,,第一章 总则,,第六条 市、县市人民政府必须加强对职工教育工作的统一领导将职工教育列入本地区经济和社会发展规划和年度计划促进职工教育事业的发展。
宁波市职工教育条例,,,第二章 管理,,第七条 职工教育实行在市、县市人民政府领导下教育行政部门主管、各部门分工负责的管理体制。
宁波市职工教育条例,,,第二章 管理,,第八条 教育行政部门负责本行政区域内职工教育的统筹协调和宏观管理。其主要职责是会同有关部门拟定职工教育发展规划、年度计划指导、协调职工教育工作监督、检查职工教育的法律、法规和方针、政策的执行管理职工学历教育。
宁波市职工教育条例,,,第二章 管理,,第九条 劳动行政部门负责指导和管理职工岗位培训、工人技术等级培训、技师评聘和劳动者职业技能鉴定工作制定相应的管理办法并组织实施。
宁波市职工教育条例,,,第二章 管理,,第十条 人事行政部门负责指导和管理专业技术人员、管理人员的继续教育制定相应的培训规划和考核、使用办法并组织实施。
宁波市职工教育条例,,,第二章 管理,,第十一条 经济综合管理部门负责指导和管理企业领导人员岗位培训制定相应的培训规划、措施并组织实施。
宁波市职工教育条例,,,第二章 管理,,第十二条 行业组织负责制订和落实本行业职工教育的规划和年度计划并组织协调、提供服务、检查监督。
宁波市职工教育条例,,,第二章 管理,,第十三条 工会组织应当参与职工教育的管理工作发挥监督作用维护职工受教育的权利。共青团、妇联、科协等社会团体应当参与并协助做好职工教育工作。
宁波市职工教育条例,,,第二章 管理,,第十四条 市、县市人民政府应当把职工教育纳入各有3关部门负责人的任期目标作为考核的重要内容。
宁波市职工教育条例,,,第三章 企业事业组织的职责,,第十五条 企业事业组织应当积极开展职工教育不断提高职工素质。
宁波市职工教育条例,,,第三章 企业事业组织的职责,,第十六条 企业事业组织应当制定职工教育发展规划和年度计划并征求工会意见后实施。
宁波市职工教育条例,,,第三章 企业事业组织的职责,,第十七条 企业事业组织应当按照职工教育的要求配备必要的专职和兼职教学、管理人员提供必要的教育设施和经费并可自主决定职工教育的形式、内容和方法。
宁波市职工教育条例,,,第三章 企业事业组织的职责,,第十八条 企业事业组织必须按照先培训后上岗的原则建立职工培训制度。从事专业性、技术性工作的人员必须经培训考核取得职业资格证书方准上岗。
宁波市职工教育条例,,,第三章 企业事业组织的职责,,第十九条 企业事业组织应当支持鼓励职工参加各种形式的学习。对经批准参加学习的职工应当保证他们的正常学习。
宁波市职工教育条例,,,第四章 职工受教育的权利和义务,,第二十条 职工有接受适当形式的政治、经济、文化、科学、技术、业务教育的权利和义务。劳动模范、先进生产工作者有优先参加学习的权利。经企业事业组织批准参加学习并完成学习任务的职工其学习费用和脱产学习期间的工资、福利待遇按照国家和本省有关规定执行。
宁波市职工教育条例,,,第四章 职工受教育的权利和义务,,第二十一条 职工参加脱产学习的时间企业事业组织应当统筹安排。其中企业领导人、中高级专业技术人员每人每年不少于十二个工作日初级专业技术人员、班组长、技术工人每人每年不少于七个工作日其他职工根据生产、工作需要分别予以安排。脱产学习时间以三年为一周期周期内可以集中或者分散使用。
宁波市职工教育条例,,,第四章 职工受教育的权利和义务,,第二十二条 职工应当服从学习安排努力完成学业做好本职工作。
