文件名,编,分编,章,节,内容
安康市反餐饮浪费办法,,,,,第一条 为防止餐饮浪费保障粮食安全倡导文明、健康饮食文化弘扬中华民族崇节尚俭传统美德践行社会主义核心价值观根据《中华人民共和国反食品浪费法》等法律、法规结合本市实际制定本办法。
安康市反餐饮浪费办法,,,,,第二条 本办法适用于本市行政区域内预防和制止餐饮浪费的宣传教育、监督管理及其相关活动。
安康市反餐饮浪费办法,,,,,第三条 反餐饮浪费是全社会的共同责任遵循多措并举、精准施策、科学管理、社会共治的原则构建政府主导、部门协同、行业推进、公众参与、社会监督的工作机制。
安康市反餐饮浪费办法,,,,,第四条 市、县市、区人民政府应当加强对反餐饮浪费工作的领导确定反餐饮浪费目标任务建立健全反餐饮浪费部门协调联动等工作机制加强监督管理统筹推进反餐饮浪费工作。镇人民政府、街道办事处应当依法做好本辖区内的反餐饮浪费以及相关工作指导村居民委员会开展反餐饮浪费工作。
安康市反餐饮浪费办法,,,,,第五条 发展改革部门应当加强对反餐饮浪费工作的组织协调会同相关部门部署反餐饮浪费工作。商务主管部门应当加强对餐饮行业的管理建立健全餐饮服务规范会同市场监督管理部门等建立餐饮行业反餐饮浪费制度规范采取措施开展预防和制止餐饮浪费活动。市场监督管理部门应当加强对餐饮服务经营者反餐饮浪费情况的监督督促餐饮服务经营者落实反餐饮浪费措施。机关事务管理部门应当会同有关部门建立机关食堂反餐饮浪费工作成效评估和通报制度将反餐饮浪费纳入公共机构节约能源资源考核和节约型机关创建活动等内容。教育行政部门应当指导、督促学校加强反餐饮浪费教育和管理。网信部门应当加强对网络平台直播中宣扬量大多吃、暴饮暴食等餐饮浪费行为的监督管理督促网络平台强化对餐饮直播内容的监测和审核。卫生健康部门应当加强合理膳食的宣传教育向社会公众普及健康膳食知识指导餐饮服务经营者、食堂等提供符合膳食平衡和健康要求的食品促进科学健康的饮食消费。民政部门应当加强对村规民约、居民公约、社会组织章程等社会规范制定的指导指导红白理事会等群众组织规范婚丧嫁娶宴席办理加强对婚丧嫁娶活动的监管引导群众理性操办婚丧嫁娶宴席节俭用餐避免造成浪费。财政、工业和信息化、农业农村、城市管理、文旅广电等行政主管部门按照各自职责共同做好反餐饮浪费相关工作。
安康市反餐饮浪费办法,,,,,第六条 机关团体、企业事业单位、社会组织等应当将反餐饮浪费纳入行为规范、自律准则等引导教育成员自觉抵制餐饮浪费树立健康文明的餐饮理念。特色餐饮街区、商业综合体等餐饮聚集区域的运营管理者应当配合有关部门开展反餐饮浪费工作采取措施促进区域内餐饮服务经营者转变经营理念、改进服务方式引导消费者适量点餐、文明用餐预防和减少浪费行为。
安康市反餐饮浪费办法,,,,,第七条 餐饮行业协会、商会应当依法制定、实施反餐饮浪费等相关团体标准和行业自律规范推广实施餐饮节约标准引导餐饮服务经营者自觉开展反餐饮浪费活动。消费者权益保护组织应当引导消费者理性饮食、科学膳食形成节约、文明的消费习惯。
安康市反餐饮浪费办法,,,,,第八条 鼓励将倡导勤俭节约、反对餐饮浪费纳入居民公约、村规民约推进婚丧嫁娶移风易俗、理性餐饮。
安康市反餐饮浪费办法,,,,,第九条 每年全国食品安全宣传周为本市反餐饮浪费宣传周。报刊、广播、电视、互联网等媒体应当加强反餐饮浪费公益宣传和舆论监督宣传先进典型曝光浪费现象引导公众树立正确的餐饮消费观念。鼓励和支持志愿组织、志愿者开展反餐饮浪费宣传教育。
安康市反餐饮浪费办法,,,,,第十条 机关、人民团体、国有企业事业单位应当按照有关规定规范公务用餐管理严格执行公务接待、会议、培训、出差等用餐标准反对公务活动餐饮浪费。公职人员、人大代表、政协委员、先进模范、社会公众人物等应当带头践行健康文明节俭的餐饮消费理念在反餐饮浪费中发挥表率和示范作用。
安康市反餐饮浪费办法,,,,,第十一条 餐饮服务经营者应当建立健全反餐饮浪费制度执行相关标准和服务规范自觉遵守下列规定对浪费纳入员工职业培训内容约要求的餐品明示餐饮服务项目和收费标准杜绝浪费等标识念纳入菜单设计和服务流程引导消费者根据用餐人数理性订餐、合理消费提供不同规格餐具提醒消费者按需适量取餐
安康市反餐饮浪费办法,,,,,第十二条 餐饮服务经营者不得有下列行为
安康市反餐饮浪费办法,,,,,第十三条 鼓励餐饮服务经营者采取下列措施避免餐饮浪费输、储存等科学管理及时调整餐饮品种和供应数量议消费人数等信息免费提供点餐提示、公筷公勺、分餐、符合卫生标准的打包器具等服务者文明节约用餐料浪费饮加工制作过程。
安康市反餐饮浪费办法,,,,,第十四条 设有食堂的单位应当建立健全食堂餐饮管理制度和监督机制加强食品采购、储存和加工管理科学评估用餐需求合理采购、制餐、配餐健康、经济、规范提供餐食。单位食堂应当在醒目位置设置反餐饮浪费标识引导用餐人员适量取餐提醒、纠正浪费行为及时优化供餐服务根据条件实行自选点餐计量收费。
安康市反餐饮浪费办法,,,,,第十五条 学校、幼儿园、教育培训等机构应当组织开展反餐饮浪费学习实践、劳动体验等活动培养珍惜粮食、勤俭节约的思想意识和行为习惯。幼儿园、学校、教育培训等机构应当对用餐人员数量、结构和饮食偏好进行监测、分析和评估依法择优选择校内餐饮服务提供者或者校外供餐单位建立健全引进、退出机制和餐饮节约监督检查、奖惩考核、责任追究等制度。
安康市反餐饮浪费办法,,,,,第十六条 餐饮外卖平台应当以明显方式提示消费者按需下单、适量点餐节俭、健康用餐。餐饮服务经营者通过餐饮外卖平台提供服务的应当在平台页面向消费者提供食品分量、规格、口味、建议消费人数等信息科学设置起送标准。入网餐饮服务经营者对配送的外卖食品应当使用餐食封签防止食品配送过程中污染、损毁等造成的浪费。
安康市反餐饮浪费办法,,,,,第十七条 旅游经营者、旅游从业人员应当引导和鼓励旅游者文明、健康用餐科学合理安排团队餐饮提醒旅游者适量点餐、取餐。旅游行业组织应当将反餐饮浪费工作情况纳入行业质量标准等级评定指标体系。
安康市反餐饮浪费办法,,,,,第十八条 鼓励家庭自觉传承优良家风家教家训培养家庭成员勤俭节约、健康饮食的生活习惯。鼓励家庭按照实际需求采购食材食品并采用适当方式加工、储藏、制作避免浪费。倡导宴席、聚餐活动等从俭节约自觉抵制讲排场、比阔气、搞攀比等陋习。
安康市反餐饮浪费办法,,,,,第十九条 个人应当树立文明、健康、理性、绿色、节俭的消费理念外出用餐应当按需合理点餐、适量取餐、节约用餐。
