文件名,编,分编,章,节,内容
安徽省实施《中华人民共和国公共图书馆法》办法,,,第一章 总 则,,第一条 根据《中华人民共和国公共图书馆法》等法律结合本省实际制定本办法。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第一章 总 则,,第二条 本办法适用于本省行政区域内公共图书馆的设立、运行、服务等活动。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第一章 总 则,,第三条 县级以上人民政府应当将公共图书馆事业纳入本级国民经济和社会发展规划将公共图书馆建设纳入国土空间规划加大对政府设立的公共图书馆的投入将所需经费列入本级政府预算并及时、足额拨付。政府设立的公共图书馆经费应当专款专用经费包括文献信息、图书采购、人员、服务、设施、设备、运行与维护等费用。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第一章 总 则,,第四条 县级以上人民政府文化主管部门负责本行政区域内公共图书馆的管理工作。发展和改革、财政、教育、自然资源、人力资源和社会保障、新闻出版等部门在各自职责范围内负责本行政区域内与公共图书馆管理有关的工作。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第一章 总 则,,第五条 鼓励公民、法人和其他组织自筹资金设立公共图书馆。县级以上人民政府应当引导社会力量参与公共图书馆建设推动社会力量参与公共图书馆运营、活动项目打造、服务资源配送等管理服务工作并按照有关规定给予政策扶持。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第二章 设 立,,第六条 县级以上人民政府应当根据本行政区域内人口数量、人口分布、环境和交通条件等因素依据本行政区域国民经济和社会发展规划、国土空间规划确定公共图书馆的数量、规模、结构和分布建设固定馆舍、流动服务设施和自助服务设施。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第二章 设 立,,第七条 县级以上人民政府应当设立公共图书馆。鼓励有条件的地区结合实际单独设立少年儿童图书馆。各级人民政府应当充分利用乡镇街道和村社区的新时代文明实践中心等综合服务设施设立图书室农家书屋助力乡村振兴服务城乡居民。鼓励国家机关、学校、科研机构以及其他企业事业组织、社会团体、个人等设立的图书馆向社会公众开放推进共建共享。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第二章 设 立,,第八条 公共图书馆建设应当执行国家公共图书馆建设标准和图书馆建筑设计规范。政府设立的公共图书馆建筑面积应当根据区域常住人口数、经济发展、人口增长等因素确定。馆舍选址、设计方案应当经过专家论证并征集公众意见。公共图书馆与其他文化设施合建的应当独立分区并符合图书馆的功能和环境要求。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第二章 设 立,,第九条 省图书馆承担本省地方文献信息收藏、古籍修复和保护、学术研究、业务指导和培训、行业协作协调、业务标准研究、科技运用与信息化推广等业务开展交流与合作。设区的市图书馆参与本行政区域内公共图书馆业务的指导和协调组织实施统一的业务标准和服务规范推进信息化管理系统和图书馆数字化建设组织专业化培训。县级图书馆参与指导本行政区域内公共图书馆室业务建设。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第二章 设 立,,第十条 公共图书馆应当按照国家有关规定根据其功能、馆藏规模、馆舍面积、运营模式、服务范围、服务时间及服务人口等因素配备工作人员。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第二章 设 立,,第十一条 公共图书馆的名称、馆址等应当纳入城镇路标、路牌、公共交通等公共标识系统。
安徽省实施《中华人民共和国公共图书馆法》办法,,,第三章 运 行,,第十二条 县级以上人民政府推动公共图书馆建立健全法人治理结构吸纳有关方面代表、专业人士和社会公众参与管理发挥其在运营管理中的作用。
