文件名,编,分编,章,节,内容
安徽省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第一条 为了加强渔业资源的保护、增殖、开发和合理利用科学发展人工养殖保障水产品质量安全保护渔业生产者的合法权益促进渔业可持续发展根据《中华人民共和国渔业法》结合本省实际制定本办法。
安徽省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第二条 本办法适用于在本省行政区域内从事养殖和捕捞水生动物、水生植物等渔业生产活动。
安徽省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第三条 各级人民政府应当认真贯彻执行国家发展渔业生产的方针加强对渔业工作的领导合理规划和开发利用水产资源鼓励渔业科学研究加速渔业生产的发展适应社会主义建设和人民生活的需要。
安徽省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第四条 各级渔业行政主管部门主管本行政区域内的渔业工作。公安、水、交通运输、生态环境、卫生健康、林业、市场监管、自然资源等有关部门应当依据各自职责配合渔业行政主管部门监督检查渔业法律、法规的实施。
安徽省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第五条 对增殖和保护渔业资源、发展渔业生产、进行渔业科研等方面取得显著成绩的单位和个人由各级人民政府给予奖励。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第六条 县级以上地方人民政府应当对水域、滩涂利用进行统一规划确定可以用于发展渔业养殖的水域、滩涂。渔业养殖规划由县级以上地方人民政府渔业行政主管部门负责编制报本级人民政府批准。渔业养殖规划应当对水生动物的自然产卵场、繁殖场、索饵场及重要洄游通道等予以保护。生活饮用水地表水源一级环境保护区、已经污染和其他不宜用于养殖的水域不得规划用于渔业养殖。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第七条 大中型湖泊、水库的人工养殖应当科学确定养殖密度合理投饵实行轮养。人工养殖面积应当不超过该水域面积的 15水生植物覆盖率高的水域经设区的市人民政府渔业行政主管部门核实后人工养殖面积可以放宽到 30。省人民政府另有规定的除外。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第八条 使用国家规划确定用于养殖业的国有水域、滩涂从事养殖生产的使用者应当向县级以上地方人民政府渔业行政主管部门提出申请由本级人民政府按照国家有关规定核发养殖证。养殖者不得超过养殖证许可的范围从事养殖生产。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第九条 集体所有的或者国有由集体经济组织使用的水域、滩涂可以依法实行承包经营从事养殖生产。在同等条件下本集体经济组织的成员有优先承包权。承包养殖水面应签订合同。发包方和承包方应严格履行承包合同。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第十条 养殖水域、滩涂的所有权、使用权受法律保护任何单位和个人不得侵犯。权属有争议的按照有关法律规定处理。在争议解决前任何一方不得破坏养殖生产。禁止偷捕、抢夺他人养殖的水产品。禁止破坏他人用于养殖的水体和养殖设施。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第十一条 因渔业养殖规划调整或者国家建设需要使用已确定给单位或者个人用于养殖生产的国有水域、滩涂的应当依法给予经济补偿。具体补偿办法由省人民政府渔业行政主管部门制定报省人民政府批准。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第十二条 鼓励单位和个人利用现有适宜养殖的水域、滩涂、采矿塌陷区、地热资源和工厂余热发展渔业养殖。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第十三条 水产原种和良种场应当发挥技术、设备等优势做好苗种的繁殖、培育和供应开展技术服务工作。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第十四条 各级渔业行政主管部门应当为渔业生产者提供科技、信息和咨询等服务鼓励和支持养殖新技术的推广应用。发展水产品加工业推进渔业产业化。发展水产养殖生产应当优化养殖品种结构积极发展名优水产品的苗种繁育和养殖生产提高经济效益。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第十五条 养殖者应当按规定使用鱼药不得使用含有毒、有害物质的饵料、饲料。县级以上渔业行政主管部门和饲料主管部门依照各自职责加强对鱼药、饵料和饲料使用的监督检查。
安徽省实施《中华人民共和国渔业法》办法,,,第二章 养殖和捕捞,,第十六条 地方各级人民政府和渔业行政主管部门应当鼓励种植和利用有经济价值的水生植物采取措施保护天然水域的水生植物和底栖动物。血吸虫病流行区禁止种植芦苇。禁止在禁渔区、禁渔期内采捕天然水域中的水生植物和底栖动物但为防治血吸虫病砍伐芦苇和投药灭螺的除外。防治血吸虫病投药灭螺的应当在投药 10 日前公告投药的时间和区域。
