文件名,编,分编,章,节,内容
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第一条 为了实施《中华人民共和国集会游行示威法》保障公民依法行使集会、游行、示威的权利维护社会安定和公共秩序结合本省实际情况制定本办法。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第二条 在本省行政区域内举行的集会、游行、示威必须遵守《中华人民共和国集会游行示威法》和本办法。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第三条 公民行使集会、游行、示威的权利各级人民政府依法予以保障。公民行使集会、游行、示威的权利必须遵守宪法、法律和法规不得违反宪法所确定的基本原则不得损害国家、社会、集体利益和其他公民合法的自由和权利。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第四条 集会、游行、示威的主管机关是集会、游行、示威举行地的市、县公安局、城市公安分局游行、示威路线经过两个以上县市、区或设区的市的主管机关为所经过区域的共同上一级公安机关或由省公安厅指定的设区的市公安机关。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第五条 举行集会、游行、示威必须向主管机关提出申请并获得许可《中华人民共和国集会游行示威法》另有规定的除外。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第六条 申请集会、游行、示威其负责人必须持本人居民身份证和其他合法的身份证件在申请举行日期的五日前向主管机关递交申请书。集会、游行、示威的申请书应当写明称、数量应在其中确定一个主要负责人。申请集会、游行、示威的负责人必须同时填写申请登记表。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第七条 以国家机关、社会团体、企业事业组织的名义组织或者参加集会、游行、示威的必须经本单位负责人批准申请书必须加盖该组织的公章。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第八条 主管机关接到集会、游行、示威申请书和申请登记表后应当在申请举行日期的二日前将许可或者不许可的书面决定送达其负责人。不许可的应当说明理由。逾期不通知的视为许可。由于申请集会、游行、示威的负责人的原因致使主管机关无法送达的视为撤回申请。因突然发生的事件临时要求举行集会、游行、示威的必须立即书面报告主管机关并填写申请登记表。主管机关接到报告和申请登记表后应当立即审查作出许可或者不许可的决定。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第九条 因要求解决具体问题而申请集会、游行、示威的主管机关可以通知有关机关或者单位同申请集会、游行、示威的负责人协商解决问题并可以将申请举行的时间推迟五日。有关机关、单位和申请人必须在推迟举行日期的三日前将协商结果通报主管机关。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十条 主管机关在决定许可集会、游行、示威后遇有特殊情况可能影响集会、游行、示威顺利进行或者严重影响交通和社会秩序的可以变更集会、游行、示威的起止时间、地点、行进路线、参加的人数并及时通知其负责人。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十一条 申请举行的集会、游行、示威有下列情形之一的不予许可
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十二条 集会、游行、示威的负责人在提出申请后接到主管机关通知前可以撤回申请在接到许可通知后决定不举行的应当及时书面报告主管机关参加人已经集合的应负责解散。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十三条 集会、游行、示威的负责人对主管机关不许可的决定不服的可以自接到决定通知书之日起三日内向同级人民政府申请复议人民政府应当自接到申请复议书之日起三日内作出决定。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十四条 公民不得在其居住地以外的市、县发动、组织、参加集会、游行、示威。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十五条 国家机关工作人员不得组织或者参加违背有关法律、法规规定的国家机关工作人员职责、义务的集会、游行、示威。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十六条 集会、游行、示威必须按照主管机关许可的事项和平地进行。集会、游行、示威的负责人必须负责维持集会、游行、示威的秩序并严格防止其他人加入必要时应当指定专人协助人民警察维持秩序。集会、游行、示威的负责人和维持秩序的人员应分别佩带明显标志。标志样品应当在申请时一并送主管机关备案。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十七条 对依法举行的集会、游行、示威主管机关应派出人民警察负责维持秩序保障集会、游行、示威的顺利进行。主管机关应依法采取有效措施制止下列行为
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十八条 举行集会、游行、示威时严格禁止下列行为危害人身、财产安全的物品园林、公共设施、公私财物行示威活动动。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第十九条 举行集会、游行、示威的时间限于早六时至晚十时经当地人民政府决定或批准的除外。举行集会、游行、示威严禁使用高音喇叭。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第二十条 集会、游行、示威在党政领导机关、司法机关、军事机关、广播电台、电视台及其他要害单位所在地举行或者经过的主管机关为了维持秩序可以在附近设置临时警戒线未经人民警察许可任何人不得逾越。临时警戒线为有金黄色标志的警戒柱、警戒带、警戒栏或者警戒标志线。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第二十一条 在下列场所周边距离十米至三百米内不得举行集会、游行、示威经省人民政府批准的除外前款所列场所的具体周边距离由省、设区的市人民政府规定。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第二十二条 游行、示威队伍遇有下列情形之一不能按照许可的路线行进时人民警察现场负责人有权临时改变游行、示威队伍的行进路线
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第二十三条 举行集会、游行、示威有下列情形之一的人民警察应当予以制止止时间、地点、路线进行的有前款所列情形之一不听制止的人民警察现场负责人有权命令解散拒不解散的人民警察现场负责人有权依照国家有关规定采取必要的手段强行驱散并对拒不服从的人员强行带离现场或者立即予以拘留。参加集会、游行、示威的人员越过依照本办法第二十条规定设置的临时警戒线、进入本办法第二十一条所列不得举行集会、游行、示威的特定场所周边一定范围或者有其他违法犯罪行为的人民警察可以将其强行带离现场或者立即予以拘留。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第二十四条 公民在其居住地以外的市、县发动、组织集会、游行、示威的公安机关有权予以拘留或者强行遣回原居住地。
安徽省实施《中华人民共和国集会游行示威法》办法,,,,,第二十五条 违反《中华人民共和国集会游行示威法》和本办法的依法追究集会、游行、示威的负责人和直接责任人员的法律责任。
