文件名,编,分编,章,节,内容
宜宾市城市地下管线管理条例,,,第一章 总 则,,第一条 为了加强城市地下管线管理合理利用地下空间资源规范地下管线工程建设行为保障地下管线运行安全根据有关法律、法规结合宜宾市实际制定本条例。
宜宾市城市地下管线管理条例,,,第一章 总 则,,第二条 宜宾市行政区域内城市规划区地下管线的规划、建设、运行维护、档案信息管理等活动适用本条例。本条例所称地下管线是指建设于城市地下的供水、排水、燃气、电力、热力、照明、通信、广播电视、交通信号、工业等地下管线及其附属设施以及用于集中敷设上述管线的地下综合管廊及其相关设施。国防工业、军事管理区及铁路、公路等专属范围内的地下管线按照国家有关法律、法规管理。
宜宾市城市地下管线管理条例,,,第一章 总 则,,第三条 地下管线管理遵循政府主导、统一规划、统筹建设、分工负责、信息共享、保障安全、节约资源的原则。
宜宾市城市地下管线管理条例,,,第一章 总 则,,第四条 市、县区人民政府应当加强对地下管线管理工作的领导建立综合协调机制协调解决地下管线规划、建设和管理工作中的重大事项。
宜宾市城市地下管线管理条例,,,第一章 总 则,,第五条 县级以上人民政府城乡规划主管部门负责地下管线的规划和档案信息管理工作。县级以上人民政府住房城乡建设主管部门负责地下管线的建设管理。县级以上人民政府地下管线行业主管部门、城市管理、发展改革、公安、交通运输、国土资源、环境保护、人民防空等相关部门按照各自职责负责地下管线的相关管理工作。
宜宾市城市地下管线管理条例,,,第一章 总 则,,第六条 地下管线产权单位和由政府投资建设的管线管理使用与运营单位以下统称地下管线产权、管理单位负责所属地下管线及其附属设施的日常管理、运行维护和信息数据更新保障所属地下管线的安全运行。地下综合管廊运营管理单位负责地下综合管廊本体及其附属设施的养护和运营管理地下管线产权、管理单位负责地下综合管廊内管线的养护和日常管理另有约定的除外。地下综合管廊的管理办法由市人民政府根据本条例的原则另行制定。
宜宾市城市地下管线管理条例,,,第一章 总 则,,第七条 鼓励、支持地下管线科学技术研究和创新推广使用新技术、新材料和新工艺推进地下管线数字化、智能化管理和应用。
宜宾市城市地下管线管理条例,,,第一章 总 则,,第八条 鼓励社会资本参与城市地下管线投资和建设。鼓励政府采用与社会资本合作等方式实施城市地下管线的建设、经营和管理。
宜宾市城市地下管线管理条例,,,第一章 总 则,,第九条 任何组织和个人有权对损毁、侵占、破坏地下管线的行为进行制止和投诉举报。地下管线有关管理部门和行业主管部门应当建立投诉举报制度对受理的投诉举报及时进行调查处理、反馈并不得泄露投诉举报人的相关信息。
宜宾市城市地下管线管理条例,,,第二章 规 划,,第十条 县级以上人民政府城乡规划主管部门根据城市总体规划组织编制地下管线综合规划报同级人民政府批准后实施。地下管线行业主管部门应当根据地下管线综合规划和本行业发展规划编制地下管线专业规划并纳入地下管线综合规划。
宜宾市城市地下管线管理条例,,,第二章 规 划,,第十一条 县级以上人民政府城乡规划主管部门应当根据城市总体规划、地下管线综合规划及相关规划组织编制控制性详细规划。
宜宾市城市地下管线管理条例,,,第二章 规 划,,第十二条 新建、改建、扩建地下管线的建设单位应当依法向县级以上人民政府城乡规划主管部门申请办理建设工程规划许可手续与建筑物、构筑物、道路、桥梁以及地下空间等主体工程同步建设的地下管线工程应当与主体工程一并办理建设工程规划许可手续。建设单位申请办理建设工程规划许可证应当提交管线工程设计方案、方案批文、档案报送责任书等资料。建设单位应按照规划核准的地下管线走向、埋深等要求进行建设不得擅自变更。确需变更的按照审批程序依法办理相关手续。
宜宾市城市地下管线管理条例,,,第二章 规 划,,第十三条 地下管线工程设计方案规划审查前建设单位应当到城建档案管理机构查询了解地下管线工程施工现场及影响区域的地下管线信息及现状资料委托有资质的设计单位提出工程设计方案。当施工地段无地下管线资料时建设单位应当委托具备资质的测绘单位探明地下管线情况。
宜宾市城市地下管线管理条例,,,第二章 规 划,,第十四条 地下管线工程开工前建设单位应当委托具备资质的测绘单位进行建设工程坐标放线并向地下管线所在地县级以上人民政府城乡规划主管部门申请验线经验线合格后方可开工建设。
宜宾市城市地下管线管理条例,,,第二章 规 划,,第十五条 地下管线工程覆土前建设单位应当委托具备资质的工程测量单位进行竣工测量将竣工测量成果提交地下管线所在地县级以上人民政府城乡规划主管部门申请规划核实并提交城建档案管理机构进行地下管线综合管理系统更新。竣工测量成果应当符合《城市地下管线探测技术规程》和《四川省城镇地下管线数据建库导则》。未经核实或者经核实不符合规划要求和数据标准的不得组织竣工验收。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第十六条 地下管线产权、管理单位根据规划和发展需要结合城市道路年度建设计划向地下管线所在地县级以上人民政府住房城乡建设主管部门申报地下管线年度建设维护需求。县级以上人民政府住房城乡建设主管部门统筹协调地下管线建设维护需求经征求相关行业主管部门意见编制地下管线年度建设维护计划。地下管线工程建设单位应当按照地下管线年度建设维护计划组织实施地下管线建设。未列入地下管线年度建设维护计划的不得开工建设。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第十七条 新建、改建、扩建道路的应当将依附于道路的地下管线同步建设不能同步建设的道路建设单位应当按照规划要求预留地下管线位置。建成地下综合管廊的区域已在管廊中预留管线位置的不得再进行地下综合管廊以外的管线建设。依附于道路建设的各类地下管线应当按照规划要求预留支管、接口至道路红线。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第十八条 地下管线工程施工前建设单位应当依法向地下管线所在地县级以上人民政府住房城乡建设主管部门申请办理建设施工许可手续同时将施工地段既有地下管线的安全保护措施报送备案。与建筑物、构筑物、道路、桥梁以及地下空间等主体工程同步建设的地下管线工程应当与主体工程一并办理建设施工许可手续。地下管线建设影响交通安全、环境保护、文物保护和绿化、消防、人民防空、军用设施、测量标志、航道、河道、公路及轨道交通等设施的应当征求相关管理部门意见或者依法办理审批手续。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第十九条 地下管线工程需要占用、挖掘城市道路的建设单位应当向地下管线所在地县级以上人民政府市政工程行政主管部门、公安交通管理部门依法申请办理审批手续。经批准临时占用城市道路的不得损坏城市道路占用期满后应当及时清理占用现场恢复城市道路原状损坏城市道路的应当修复或者给予赔偿。经批准挖掘城市道路的应当及时修复。道路修复不得低于原有道路的施工工艺和技术标准修复后须经所在地县级以上人民政府市政工程行政主管部门验收合格后方可交付使用。新建、改建、扩建的道路交付后五年内大修的道路竣工后三年内不得开挖敷设管线因特殊情况需要开挖的须经所在地县级以上人民政府批准并向社会公告。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第二十条 地下管线工程建设单位应当履行下列职责完整的地下管线现状资料下管线设施的监护工作线产权、管理单位同意并依法办理相关手续确保达到国家有关标准、规范要求
宜宾市城市地下管线管理条例,,,第三章 建 设,,第二十一条 地下管线工程与主体工程同步建设的主体工程建设单位应当统筹管理主体工程和地下管线工程合理安排地下管线工程建设工期并向地下管线工程建设单位提供真实、准确、完整的地下管线现状资料。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第二十二条 地下管线工程施工单位应当履行下列职责技术规范和操作规程进行施工设置有关警示标志工单位、施工期限、负责人和联系电话等内容措施。不符的应当立即停止施工及时向建设单位报告文物及其他建筑物、构筑物等造成影响的应当事先会同相关管理部门确定保护措施时通知有关单位抢修发生的费用由责任单位承担工作程建设单位提供完整规范的管线工程竣工图
宜宾市城市地下管线管理条例,,,第三章 建 设,,第二十三条 地下管线工程的勘察、测绘、设计、施工和监理单位应当具有相应的资质等级执行国家和地方的技术规范。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第二十四条 地下管线工程建设单位应当按照有关标准、规范在地下管线本体上附注或者在规定位置设置相关标识燃气管线应当按照规定敷设警示带。敷设非金属管线的地下管线工程应当同步布设示踪装置、金属标识、电子标签等辅助探测装置。以非开挖方式敷设管线或者位于道路用地红线范围及建筑控制区内的地下管线工程应当在地面设置相应安全警示标识。敷设高危管线的地下管线工程应当在地面设置永久性的安全警示标识。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第二十五条 地下管线工程竣工后建设单位应当依法组织竣工验收。竣工验收合格后方可交付使用。
宜宾市城市地下管线管理条例,,,第三章 建 设,,第二十六条 地下管线工程建设单位应当在竣工验收合格后三个月内向地下管线产权、管理单位办理移交手续法律、法规另有规定的除外。对验收合格且资料齐全的地下管线产权、管理单位不得拒绝接收。地下管线移交手续办理之前除另有约定外由地下管线工程建设单位负责维护管理。
宜宾市城市地下管线管理条例,,,第四章 运行维护,,第二十七条 地下管线产权、管理单位负责所属地下管线及配套设施的运行安全和维护管理履行以下职责评估地下管线运行状态严格执行安全管理制度和安全技术规程时消除安全隐患有害、易燃易爆等物质以及其他可能产生危险情形的地下管线进行重点监测监控抢修并向有关部门报告做好地下管线专项普查工作
宜宾市城市地下管线管理条例,,,第四章 运行维护,,第二十八条 县级以上人民政府住房城乡建设主管部门会同规划、环保、公安、消防等相关单位制定地下管线安全、环境保护应急处置综合预案。地下管线行业主管部门负责制定地下管线行业应急预案。地下管线产权、管理单位负责制定本单位应急预案。
宜宾市城市地下管线管理条例,,,第四章 运行维护,,第二十九条 地下管线出现故障、险情等突发事件时地下管线产权、管理单位应当先行组织抢修同时通知地下管线所在地县级以上人民政府建设、市政道路、交通运输等主管部门并在二十四小时内补办手续如遇节假日补办手续可以顺延至节假日后第一个工作日。
宜宾市城市地下管线管理条例,,,第四章 运行维护,,第三十条 地下管线产权、管理单位废弃地下管线应当征求行业主管部门意见并报地下管线所在地县级以上人民政府城乡规划主管部门备案。对存在安全隐患的废弃地下管线地下管线产权、管理单位应当及时处置消除安全隐患并报行业主管部门备案其他废弃地下管线应当结合相关工程建设予以拆除。
宜宾市城市地下管线管理条例,,,第四章 运行维护,,第三十一条 禁止下列行为全警示标志放易燃、易爆、有腐蚀性的物质以及垃圾种植深根性植物行为。
宜宾市城市地下管线管理条例,,,第五章 档案信息,,第三十二条 城建档案管理机构负责地下管线工程档案的收集、保管、运用等日常管理工作。
