文件名,编,分编,章,节,内容
山东省促进科技成果转化条例,,,第一章 总 则,,第一条 为了促进科技成果转化为现实生产力规范科技成果转化活动加快实施创新驱动发展战略和新旧动能转换重大工程推动经济社会发展根据《中华人民共和国促进科技成果转化法》等法律、行政法规结合本省实际制定本条例。
山东省促进科技成果转化条例,,,第一章 总 则,,第二条 本省行政区域内的科技成果转化活动适用本条例。本条例所称科技成果转化是指为提高生产力水平对科技成果所进行的后续试验、开发、应用、推广直至形成新技术、新工艺、新材料、新产品发展新产业等活动。
山东省促进科技成果转化条例,,,第一章 总 则,,第三条 促进科技成果转化活动应当尊重科技创新和市场规律发挥企业的主体作用体现知识价值分配导向遵循自愿、互利、公平、诚实信用的原则保障科技成果转化单位和个人的合法权益提高经济效益、社会效益和生态效益。
山东省促进科技成果转化条例,,,第一章 总 则,,第四条 县级以上人民政府应当加强对科技成果转化工作的管理、指导、协调将科技成果转化纳入国民经济和社会发展规划统筹科技、财政、投资、税收、人才、产业、金融、知识产权、军民融合等政策为科技成果转化创造良好环境。乡镇人民政府、街道办事处应当协助有关部门做好科技成果转化相关工作。
山东省促进科技成果转化条例,,,第一章 总 则,,第五条 县级以上人民政府应当合理安排科技成果转化财政资金投入鼓励、引导社会资金投入推动科技成果转化资金投入的多元化。
山东省促进科技成果转化条例,,,第一章 总 则,,第六条 县级以上人民政府科学技术行政部门应当会同有关部门建立科技成果转化机制具体负责管理、指导、协调科技成果转化工作优化科技成果转化服务其他部门按照各自职责做好科技成果转化相关工作。
山东省促进科技成果转化条例,,,第一章 总 则,,第七条 县级以上人民政府按照有关规定对在科技成果转化活动中做出突出贡献的单位和个人给予表彰和奖励。
山东省促进科技成果转化条例,,,第二章 组织实施,,第八条 县级以上人民政府科学技术行政部门应当制定促进科技成果转化工作计划发布科技成果目录引导科技成果转化活动。高新技术产业开发区、经济开发区、农业高新技术产业开发区示范区的管理机构应当采取更加有利于促进科技成果转化的措施推动科技成果转化。
山东省促进科技成果转化条例,,,第二章 组织实施,,第九条 县级以上人民政府科学技术行政部门和其他有关部门在制定科技规划、计划和编制项目指南时对利用财政资金设立的应用类科技项目和其他相关科技项目应当听取相关行业、企业以及科学技术研究开发机构和高等学校的意见在组织实施应用类科技项目时应当在项目合同中明确项目承担者的科技成果转化义务。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十条 对利用财政资金设立的具有市场应用前景、产业目标明确的科技项目有关部门和管理机构应当发挥企业在研究开发方向选择、项目实施和成果应用中的主导作用由企业组织实施或者由企业联合科学技术研究开发机构、高等学校共同组织实施。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十一条 县级以上人民政府科学技术行政部门应当会同有关部门建立科技报告制度推动科技资源的持续积累、传播交流、信息共享和转化应用建设科技成果信息系统规范科技成果信息采集、加工与信息公开服务等活动。利用财政资金设立的科技项目的承担者应当按照规定及时提交相关科技报告并将科技成果信息和相关知识产权信息主动汇入科技成果信息系统。鼓励利用非财政资金设立的科技项目的承担者按照规定提交相关科技报告将科技成果信息和相关知识产权信息汇入科技成果信息系统县级以上人民政府科学技术行政部门应当为其提供便利。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十二条 县级以上人民政府及其质量技术监督、科学技术等部门应当鼓励、支持企业对新技术、新工艺、新材料、新产品制定企业标准参与地方标准、行业标准、国家标准以及国际标准的制定推动先进适用技术推广应用。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十三条 鼓励科学技术研究开发机构、高等学校采取转让、许可或者作价投资等方式向企业或者其他组织转移科技成果。政府设立的科学技术研究开发机构、高等学校对其持有的科技成果可以自主决定科技成果的实施、转让、许可或者作价投资等事项。除涉及国家秘密、国家安全外相关部门不再审批或者备案。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十四条 政府设立的科学技术研究开发机构、高等学校应当通过协议定价、在技术交易市场挂牌交易、拍卖等方式确定科技成果价格。通过协议定价的应当在本单位公示科技成果名称和拟交易价格等相关信息公开异议处理程序和处理结果公示时间不得少于十五日通过在技术交易市场挂牌交易、拍卖方式确定价格的可以采取公开询价或者其他合理方式确定基准价格。政府设立的科学技术研究开发机构、高等学校负责人已经依照有关法律、法规和本单位规定履行了民主决策、合理注意和监督管理等勤勉尽责义务并且没有牟取非法利益的免除其在科技成果定价中因科技成果转化后续价值变化产生的决策责任。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十五条 政府设立的科学技术研究开发机构、高等学校应当于每年三月底前向其主管部门提交上一年度科技成果转化情况年度报告说明本单位取得科技成果的数量、转移转化、收入以及分配等情况。主管部门应当对科技成果转化情况年度报告进行审核、汇总并于四月底前报送同级科学技术、财政、人力资源社会保障等部门。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十六条 县级以上人民政府及其科学技术、发展改革、经济和信息化、质量技术监督等部门应当鼓励、支持企业与科学技术研究开发机构、高等学校通过联合建立研究开发平台、技术转移机构或者技术创新联盟等方式共享人才、技术、信息和研究开发设施共同开展研究开发、成果应用与推广、标准研究与制定等活动。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十七条 各级人民政府应当加强农业科技创新和农业技术推广体系建设促进农业科学研究、技术开发、成果引进和转化。鼓励、支持农业科学技术研究开发机构、高等学校、农业技术推广机构、农业试验示范单位独立或者与其他单位合作开展农业技术研究开发与推广应用。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十八条 县级以上人民政府应当培育和发展技术市场加强技术转移人才队伍建设鼓励、支持企业、科学技术研究开发机构、高等学校和其他社会力量建立科技中介服务机构。
山东省促进科技成果转化条例,,,第二章 组织实施,,第十九条 县级以上人民政府应当鼓励、支持科技中介服务机构为科技成果转移转化提供技术咨询、信息检索加工、评估评价、成果推介、交易经纪、融资担保等专业服务承接政府委托的专业性、技术性服务。县级以上人民政府科学技术等部门应当加强对科技中介服务机构的监督管理。
山东省促进科技成果转化条例,,,第二章 组织实施,,第二十条 省、设区的市和有条件的县市、区人民政府应当根据产业和区域发展需要建设公共研究开发平台为科技成果转化提供技术集成、共性技术研究开发、中间试验和工业性试验、科技成果系统化和工程化开发、技术推广与示范等服务。鼓励、支持企业、科学技术研究开发机构、高等学校、行业组织等建设或者参与建设公共研究开发平台。
