文件名,编,分编,章,节,内容
山东省农产品质量安全条例,,,第一章 总 则,,第一条 为了保障农产品质量安全维护公众健康促进农业和农村经济发展根据《中华人民共和国农产品质量安全法》等法律、行政法规结合本省实际制定本条例。
山东省农产品质量安全条例,,,第一章 总 则,,第二条 在本省行政区域内从事与农产品质量安全有关的农产品生产经营及其监督管理活动适用本条例。食品安全法律、法规对食用农产品的市场销售、有关质量安全标准的制定、有关安全信息的公布和农业投入品已经作出规定的应当遵守其规定。
山东省农产品质量安全条例,,,第一章 总 则,,第三条 农产品质量安全工作实行源头治理、风险管理、全程控制建立科学、严格的监督管理制度落实农产品生产经营者主体责任、政府属地管理责任和部门监督管理责任构建协同、高效的社会共治体系。
山东省农产品质量安全条例,,,第一章 总 则,,第四条 县级以上人民政府对本行政区域的农产品质量安全工作负责统一领导、组织、协调本行政区域的农产品质量安全工作。县级以上人民政府应当将农产品质量安全工作纳入国民经济和社会发展规划建立健全农产品质量安全工作机制加强农产品质量安全监督管理能力建设并将所需经费纳入本级财政预算。乡镇人民政府、街道办事处应当落实农产品质量安全监督管理责任加强对本行政区域内农产品生产经营活动的指导、监督协助上级人民政府及其有关部门做好农产品质量安全的宣传培训、技术推广、日常巡查等工作。鼓励和支持基层群众性自治组织建立农产品质量安全信息员工作制度协助开展有关工作。
山东省农产品质量安全条例,,,第一章 总 则,,第五条 县级以上人民政府农业农村、林业、畜牧兽医、市场监督管理部门依照法律、法规和规定的职责对农产品质量安全实施监督管理。发展改革、教育、科学技术、工业和信息化、公安、财政、自然资源、生态环境、交通运输、商务、卫生健康等部门在职责范围内负责农产品质量安全的相关工作。
山东省农产品质量安全条例,,,第一章 总 则,,第六条 农产品生产经营者应当对其生产经营的农产品质量安全负责。农产品生产经营者应当依照法律、法规以及相关标准、技术要求和操作规程从事生产经营活动诚信自律接受社会监督承担社会责任。
山东省农产品质量安全条例,,,第一章 总 则,,第七条 各级人民政府应当采取措施引导和支持农产品生产经营者依法成立或者加入农民专业合作社和农产品行业协会。农民专业合作社和农产品行业协会应当及时为其成员提供农产品质量安全信息和生产技术服务建立健全农产品质量安全管理制度健全农产品质量安全控制体系加强自律管理。
山东省农产品质量安全条例,,,第一章 总 则,,第八条 各级人民政府应当健全完善农产品质量安全研发创新推广体系加强农产品质量安全的科学技术研究支持研发推广应用土壤改良、抗病抗虫新品种、高效低风险农药、兽药和高效精准施药机械等涉及农产品质量安全的先进生产技术、改良品种和新型设备。
山东省农产品质量安全条例,,,第一章 总 则,,第九条 各级人民政府以及有关部门应当加强农产品质量安全知识的宣传提高公众的农产品质量安全意识和消费者依法维权能力。新闻媒体应当开展农产品质量安全法律、法规和农产品质量安全知识的公益宣传对违法行为进行舆论监督。有关农产品质量安全的报道应当客观、真实、公正。
山东省农产品质量安全条例,,,第一章 总 则,,第十条 对在农产品质量安全工作中做出突出贡献的单位和个人由县级以上人民政府按照国家和省有关规定给予表彰和奖励。
山东省农产品质量安全条例,,,第二章 农产品产地,,第十一条 县级以上人民政府农业农村、林业、畜牧兽医部门应当会同生态环境、自然资源等部门制定实施农产品产地监测计划明确监测项目、监测频次、采样检测标准和流程查明主要污染物以及污染区域、面积、分布并评价分析对农产品质量安全的影响。
山东省农产品质量安全条例,,,第二章 农产品产地,,第十二条 县级以上人民政府农业农村、林业、畜牧兽医部门应当会同生态环境、自然资源等部门根据土地、水域利用状况以及农产品种类和种植面积、养殖规模等情况科学布设农产品产地监测点位。对依法需要重点监测的农用地地块、黄海和渤海海域、淡水渔业水域应当根据有关标准和要求增加监测点位。
山东省农产品质量安全条例,,,第二章 农产品产地,,第十三条 对监测结果表明有污染风险的农用地地块、黄海和渤海海域、淡水渔业水域县级以上人民政府农业农村、林业、畜牧兽医部门应当会同生态环境、自然资源等部门进行污染状况调查。对调查结果表明污染物含量超过污染风险管控标准的农用地地块、黄海和渤海海域、淡水渔业水域县级以上人民政府农业农村、林业、畜牧兽医部门应当会同生态环境、自然资源等部门组织进行土壤、水域污染风险评估。
山东省农产品质量安全条例,,,第二章 农产品产地,,第十四条 省人民政府农业农村、林业、畜牧兽医、自然资源部门应当会同生态环境等部门根据调查和风险评估结果按照土壤污染程度、农产品质量情况和相关标准依法将农用地划分为优先保护类、安全利用类、严格管控类并按照下列规定实施分类管控措施推行增施有机肥、免少耕播种、粮豆轮作等措施避免土壤环境质量下降微生物修复和植物降解等技术措施提升土壤环境质量种植结构调整或者轮作休耕、退耕还林还草等风险管控措施改良土壤环境质量。
山东省农产品质量安全条例,,,第二章 农产品产地,,第十五条 对受污染的养殖水域应当依照水污染防治法律、法规的规定进行治理依法划定限制养殖区和禁止养殖区。限制养殖区内应当加强水体水质监测严格控制新增污染物禁止养殖区内严格禁止水产养殖活动。
山东省农产品质量安全条例,,,第二章 农产品产地,,第十六条 县级以上人民政府农业农村、林业、畜牧兽医部门应当会同生态环境、自然资源等部门按照保障农产品质量安全的要求根据农产品品种特性和产地安全调查、监测和评价结果提出划定特定农产品禁止生产区域的建议报本级人民政府批准后依法公布。任何单位和个人不得在特定农产品禁止生产区域种植、养殖、捕捞、采集特定农产品和建立特定农产品生产基地。
山东省农产品质量安全条例,,,第二章 农产品产地,,第十七条 县级以上人民政府应当采取鼓励和扶持措施强化专业化、全程化生产技术服务推进农业标准化示范基地和标准化养殖场建设支持基地、养殖场对生产、加工、储存、运输、保鲜等环节的设施设备进行标准化改造提高农产品生产的规模化、集约化、标准化水平辐射带动区域标准化生产和产业升级。
山东省农产品质量安全条例,,,第二章 农产品产地,,第十八条 鼓励和支持因地制宜开展盐碱地农业技术研究、开发和应用推动盐碱地综合利用引进培育适宜盐碱地生长的品种提高盐碱地农产品质量。
