文件名,编,分编,章,节,内容
山东省大气污染防治条例,,,第一章 总则,,第一条 为了防治大气污染保护和改善大气环境保障公众健康推进生态文明建设促进经济社会可持续发展根据《中华人民共和国环境保护法》《中华人民共和国大气污染防治法》等法律、行政法规结合本省实际制定本条例。
山东省大气污染防治条例,,,第一章 总则,,第二条 本条例适用于本省行政区域内大气污染防治及其监督管理活动。
山东省大气污染防治条例,,,第一章 总则,,第三条 大气污染防治应当遵循生态优先、源头控制、防治结合、综合治理的原则。
山东省大气污染防治条例,,,第一章 总则,,第四条 各级人民政府应当对本行政区域的大气环境质量负责制定实施大气污染防治规划明确空气质量改善目标建立大气污染防治责任考核机制和分工明确、统筹协调的网格化监管体系保障资金投入强化污染防治措施。
山东省大气污染防治条例,,,第一章 总则,,第五条 县级以上人民政府生态环境主管部门对大气污染防治实施统一监督管理发展改革、工业和信息化、公安、财政、住房城乡建设、交通运输、农业农村等部门按照各自职责做好大气污染防治的监督管理工作。乡镇人民政府和街道办事处按照上级人民政府和有关部门的工作安排做好大气污染防治的相关工作。
山东省大气污染防治条例,,,第一章 总则,,第六条 鼓励、支持大气污染防治新技术、新工艺、新设备的研究、推广。
山东省大气污染防治条例,,,第一章 总则,,第七条 单位和个人都有保护大气环境的义务应当自觉践行绿色、节俭的生产、生活和消费方式减少排放大气污染物共同改善大气环境质量。积极倡导公众和社会团体参与大气污染防治工作和公益活动。
山东省大气污染防治条例,,,第二章 监督管理,,第八条 各级人民政府应当转变经济发展方式调整能源结构和产业结构推进循环经济和清洁生产提高绿化率和森林覆盖率推行绿色交通、绿色建筑从源头上减少大气污染物的产生和排放。县级以上人民政府应当根据本行政区域的自然条件、地理特点和规划发展方向确定城市功能定位和空气质量控制指标。
山东省大气污染防治条例,,,第二章 监督管理,,第九条 省人民政府根据大气环境质量状况和经济、技术条件可以制定严于国家标准的大气环境质量标准、大气污染物排放标准和燃煤燃油质量标准并可以扩大大气污染物特别排放限值的实施范围。省人民政府应当定期组织有关部门、行业协会、专家对前款规定的标准进行评估并根据评估结果进行适时修订。进行评估、修订时应当征求公众意见并将评估情况和修订后的标准及时向社会公布。
山东省大气污染防治条例,,,第二章 监督管理,,第十条 省人民政府应当根据大气污染防治的需要确定削减和控制重点大气污染物的种类和排放总量将重点大气污染物排放总量控制指标逐级分解、落实到设区的市、县市、区人民政府。排污单位的重点大气污染物排放总量控制指标由县级以上人民政府生态环境主管部门根据本行政区域重点大气污染物排放总量控制指标、排污单位现有排放量和改善大气环境质量的需要核定。
山东省大气污染防治条例,,,第二章 监督管理,,第十一条 企业事业单位和其他生产经营者排放的大气污染物不得超过国家和省规定的排放标准不得超过核定的重点大气污染物排放总量控制指标。
山东省大气污染防治条例,,,第二章 监督管理,,第十二条 省人民政府工业和信息化部门应当会同有关部门定期制定、调整严重污染大气环境的生产工艺、设备和产品淘汰名录报省人民政府批准后公布实施。企业事业单位和其他生产经营者应当在规定期限内淘汰列入前款名录的生产工艺、设备和产品。
山东省大气污染防治条例,,,第二章 监督管理,,第十三条 建设项目应当依法进行环境影响评价。环境影响评价文件未经县级以上人民政府生态环境主管部门依法批准不得开工建设。对排放重点大气污染物的建设项目生态环境主管部门审批其环境影响评价文件时应当核定重点大气污染物排放总量控制指标。建设项目可能对相邻地区大气环境造成重大影响的生态环境主管部门在审批其环境影响报告书时应当征求相邻地区同级生态环境主管部门的意见意见不一致的由共同的上级人民政府生态环境主管部门作出处理。
山东省大气污染防治条例,,,第二章 监督管理,,第十四条 省人民政府生态环境主管部门应当建立大气环境调查、监测制度完善大气环境质量和污染源监测体系。大气环境自动监测站点的设置应当符合监测技术规范要求未经批准不得擅自变更、调整或者撤销。
山东省大气污染防治条例,,,第二章 监督管理,,第十五条 排放工业废气或者有毒有害大气污染物的排污单位应当按照规定和监测规范设置监测点位和采样监测平台进行自行监测或者委托具有相应资质的单位进行监测。原始监测记录保存期限不得少于三年。重点排污单位应当按照相关技术规范安装大气污染物排放自动监测设备与县级以上人民政府生态环境主管部门的监控系统联网保证监测设备正常运行并对监测数据的真实性、准确性负责。
山东省大气污染防治条例,,,第二章 监督管理,,第十六条 省、设区的市人民政府生态环境主管部门、气象主管机构应当建立重污染天气监测预警和会商机制对大气环境质量和重污染天气进行预测预报。省、设区的市人民政府根据重污染天气预测预报信息确定重污染天气预警等级适时发出预警。
山东省大气污染防治条例,,,第二章 监督管理,,第十七条 县级以上人民政府应当制定重污染天气应急预案向社会公布并向上一级人民政府生态环境主管部门备案。县级以上人民政府应当根据重污染天气预警等级及时启动应急预案并采取相应的应急措施。企业事业单位应当根据重污染天气应急预案的要求编制重污染天气应急响应操作方案并按照规定执行相应的应急措施。
山东省大气污染防治条例,,,第二章 监督管理,,第十八条 省人民政府应当组织建立大气污染联防联控机制划定大气污染防治重点区域落实区域联动防治措施。重点区域内的设区的市人民政府应当定期召开联席会议研究解决大气污染防治重大事项推动节能减排、产业准入、落后产能淘汰和重污染天气应对的协调协作开展大气污染联合防治。
山东省大气污染防治条例,,,第二章 监督管理,,第十九条 在大气污染防治重点区域和重污染天气集中出现的采暖季节县级以上人民政府应当组织推行错峰生产制度。按照国家和省规定执行错峰生产管理的行业企业应当对错峰生产期间的生产经营活动进行调整减少或者停止排放大气污染物的生产作业和运输等活动。
山东省大气污染防治条例,,,第二章 监督管理,,第二十条 对超过重点大气污染物排放总量控制指标或者未完成大气环境质量改善目标的地区省和设区的市人民政府生态环境主管部门应当会同有关部门约谈该地区人民政府的主要负责人并暂停审批该地区新增重点大气污染物排放总量的建设项目的环境影响评价文件。约谈情况应当向社会公开。未达到国家和省大气环境质量标准的城市人民政府应当编制大气环境质量限期达标规划并组织实施。
山东省大气污染防治条例,,,第二章 监督管理,,第二十一条 对重大大气环境违法案件或者突出的大气污染问题查处不力或者社会反映强烈的省和设区的市人民政府生态环境主管部门应当挂牌督办责成所在地人民政府生态环境主管部门限期查处、整改。挂牌督办情况应当向社会公开。
山东省大气污染防治条例,,,第二章 监督管理,,第二十二条 实行大气环境生态补偿制度。大气环境质量同比改善的地区由省人民政府向设区的市人民政府发放补偿资金大气环境质量同比恶化的地区由设区的市人民政府向省人民政府缴纳补偿资金。补偿资金应当专项用于大气污染防治。设区的市大气环境质量状况和同比变化情况由省人民政府生态环境主管部门定期向社会公布。
山东省大气污染防治条例,,,第二章 监督管理,,第二十三条 鼓励单位和个人对污染大气环境的行为进行举报。举报线索经查证属实的县级以上人民政府生态环境主管部门和其他负有监督管理职责的部门应当按照有关规定对举报人给予奖励。新闻媒体应当加大对大气环境保护法律、法规的宣传加强对违法行为的舆论监督。
山东省大气污染防治条例,,,第二章 监督管理,,第二十四条 检察机关应当依法履行法律监督职责完善生态环境司法保护机制依法查处大气环境保护执法领域职务犯罪行为。检察机关发现大气污染损害社会公共利益的可以依法提起公益诉讼或者支持有关社会组织提起公益诉讼。
山东省大气污染防治条例,,,第二章 监督管理,,第二十五条 县级以上人民政府及其有关部门依法作出责令排污单位停产、停业或者关闭决定的可以要求供电企业采取中止供电的措施供电企业应当予以配合。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第一节 燃煤污染防治,第二十六条 实行煤炭消费总量控制制度。省人民政府发展改革部门应当会同生态环境等部门制定实施煤炭消费总量控制计划确定煤炭消费总量控制及削减目标、措施。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第一节 燃煤污染防治,第二十七条 设区的市人民政府应当建立民用散煤管理制度加强民用散煤质量监督和节能炉具的推广并制定奖励或者补贴政策推进清洁煤炭、优质型煤的供应、使用和其他清洁能源的开发、利用。禁止销售不符合质量标准的民用散煤。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第一节 燃煤污染防治,第二十八条 设区的市、县市、区人民政府应当制定本行政区域锅炉整治计划按照国家和省有关规定要求淘汰、拆除燃煤小锅炉、分散燃煤锅炉和不能达标排放的其他燃煤锅炉并对现有的燃煤锅炉进行超低排放改造。除国家和省另有规定外在城市建成区、开发区、工业园区内不得新建额定蒸发量二十吨以下的直接燃煤、重油、渣油锅炉以及直接燃用生物质的锅炉。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第一节 燃煤污染防治,第二十九条 县级以上人民政府供热主管部门应当组织编制供热专项规划发展分布式能源统筹热源和管网建设逐步扩大城乡集中供热范围。在集中供热管网覆盖区域内禁止新建、扩建分散燃煤供热锅炉已建成的分散燃煤供热锅炉应当在县级以上人民政府生态环境主管部门规定的期限内停止使用。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第一节 燃煤污染防治,第三十条 燃煤机组应当实现超低排放使大气污染物排放浓度符合规定限值。省人民政府能源行业主管部门应当优先安排超低排放燃煤机组以及使用清洁能源机组发电上网。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第一节 燃煤污染防治,第三十一条 使用燃煤炉窑、煤气发生炉等设施的单位应当采用清洁生产工艺配套建设除尘、脱硫、脱硝等装置或者采取技术改造等其他控制大气污染物排放的措施。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第三十二条 县级以上人民政府应当合理确定产业布局和发展规模制定产业投资项目负面清单严格控制新建、扩建钢铁、石化、化工、有色金属冶炼、水泥、平板玻璃、建筑陶瓷等工业项目鼓励、支持现有的工业企业进行技术升级改造。在城市建成区及其周边的重污染企业应当逐步进行搬迁改造或者转型退出。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第三十三条 对不经过排气筒集中排放的大气污染物排污单位应当采取密闭、封闭、集中收集、吸附、分解等处理措施严格控制生产过程以及内部物料堆存、传输、装卸等环节产生的粉尘和气态污染物的排放。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第三十四条 石化、重点有机化工等工业企业应当建立泄漏检测与修复体系对管道、设备等进行日常检修、维护及时收集处理泄漏物料。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第三十五条 生产、销售、使用含挥发性有机物的原材料和产品的其挥发性有机物含量应当符合质量标准或者要求。省人民政府市场监管部门应当会同生态环境等部门定期制定、调整低挥发性有机物含量产品目录和高挥发性有机物含量产品目录并向社会公布。列入高挥发性有机物含量产品目录的产品应当在其包装或者说明中予以标注。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第三十六条 下列产生含挥发性有机物废气的活动应当使用低挥发性有机物含量的原料和工艺按照规定在密闭空间或者设备中进行并安装、使用污染防治设施无法密闭的应当采取措施减少废气排放的生产品使用
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第三十七条 产生挥发性有机物的工业企业应当建立台账如实记录生产原料、辅料的使用量、废弃量、去向以及挥发性有机物含量。台账保存期限不得少于三年。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第三十八条 向大气排放恶臭气体的排污单位以及垃圾处置场、污水处理厂应当按照规定设置合理的防护距离安装净化装置或者采取其他措施减少恶臭气体排放。在居民住宅区等人口密集区域和医院、学校、幼儿园、养老院等其他需要特殊保护的区域及其周边不得新建、改建和扩建石化、焦化、制药、油漆、塑料、橡胶、造纸、饲料等产生恶臭气体的生产项目或者从事其他产生恶臭气体的生产经营活动。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第三十九条 向大气排放有毒有害污染物和持久性有机污染物的排污单位应当按照国家规定采取有利于减少污染物排放的技术方法和工艺配备有效的净化装置并保持正常运行实现达标排放。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第二节 工业以及相关污染防治,第四十条 企业事业单位和其他生产经营者应当严格执行国家有关消耗臭氧层物质的生产、销售、使用和进出口管理规定建立科学有效的回收利用和安全处置制度不得随意排放、抛洒或者丢弃。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第三节 机动车船以及非道路移动机械污染防治,第四十一条 城市人民政府应当优化城市功能和路网布局推广智能交通管理优先发展公共交通事业倡导绿色、低碳出行并可以根据本地实际发展轨道交通、实施错峰上下班等措施。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第三节 机动车船以及非道路移动机械污染防治,第四十二条 省人民政府应当采取下列措施减少机动车排气污染
山东省大气污染防治条例,,,第三章 大气污染防治措施,第三节 机动车船以及非道路移动机械污染防治,第四十三条 机动船舶和非道路移动机械排放大气污染物应当符合规定的排放标准。鼓励、支持节能环保型机动船舶和非道路移动机械的推广使用逐步淘汰高油耗、高排放的机动船舶和非道路移动机械。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第三节 机动车船以及非道路移动机械污染防治,第四十四条 在用重型柴油车、非道路移动机械未安装污染控制装置或者污染控制装置不符合要求不能达标排放的应当加装或者更换符合要求的污染控制装置。生态环境主管部门应当会同交通运输、住房城乡建设、农业农村、水利等有关部门对非道路移动机械的大气污染物排放状况进行监督检查排放不合格的不得使用。非道路移动机械应当接受排气污染检测。城市人民政府可以根据大气环境质量状况划定并公布禁止使用高排放非道路移动机械的区域。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第三节 机动车船以及非道路移动机械污染防治,第四十五条 县级以上人民政府生态环境部门应当会同交通运输、住房城乡建设、农业农村、水利等部门制定高油耗、高排放在用机动车船和非道路移动机械治理方案并报同级人民政府批准后组织实施。政府投资的建设项目应当优先使用符合最严格排放标准的非道路移动机械。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第三节 机动车船以及非道路移动机械污染防治,第四十六条 机动车、非道路移动机械生产企业应当对新生产的机动车和非道路移动机械进行排放检验。经检验合格的方可出厂销售。检验信息应当向社会公开。未依法公开检验信息的纳入环境信用评价系统。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第三节 机动车船以及非道路移动机械污染防治,第四十七条 新建港口、码头应当规划、设计和建设岸基供电设施已建成的港口、码头应当逐步实施岸基供电设施改造。船舶靠港后应当优先使用岸电。
山东省大气污染防治条例,,,第三章 大气污染防治措施,第三节 机动车船以及非道路移动机械污染防治,第四十八条 机动船舶在港区水域内使用垃圾焚烧炉或者进行清舱、驱气、油漆等作业应当依法报经海事管理机构批准后方可实施。禁止载运危险货物的机动船舶在城市航道、通航密集区、渡区、船闸、大型桥梁等内河水域进行清舱或者驱气作业。禁止机动船舶在内河水域焚烧船舶垃圾。
