文件名,编,分编,章,节,内容
山东省实施《中华人民共和国人民防空法》办法,,,第一章 总则,,第一条 为了有效地组织人民防空保护人民生命和财产安全保障社会主义现代化建设的顺利进行根据《中华人民共和国人民防空法》及有关法律、法规结合本省实际制定本办法。
山东省实施《中华人民共和国人民防空法》办法,,,第一章 总则,,第二条 本省行政区域内的国家机关、社会团体、企业事业单位和个人必须遵守本办法。
山东省实施《中华人民共和国人民防空法》办法,,,第一章 总则,,第三条 人民防空实行长期准备、重点建设、平战结合的方针贯彻与经济建设协调发展、与城市建设相结合的原则。县级以上人民政府应当将人民防空建设纳入国民经济和社会发展计划。
山东省实施《中华人民共和国人民防空法》办法,,,第一章 总则,,第四条 县级以上人民政府和同级军事机关领导本行政区域的人民防空工作。
山东省实施《中华人民共和国人民防空法》办法,,,第一章 总则,,第五条 县级以上人民政府人民防空主管部门负责管理本行政区域的人民防空工作。计划、规划、建设等有关部门在各自职责范围内负责有关的人民防空工作。人民防空主管部门的设置、职责和任务按照国务院、中央军事委员会的规定执行。省级机关人民防空主管部门负责管理省级机关的人民防空工作。
山东省实施《中华人民共和国人民防空法》办法,,,第一章 总则,,第六条 人民防空经费由县级以上人民政府和社会共同负担。县级以上人民政府负担的人民防空经费列入同级财政预算其增长比例应当与人民防空需求和国民经济发展水平相适应。社会负担的人民防空经费按照省人民政府依据国家和主管大军区的有关规定制定的具体办法执行。人民防空经费应当严格管理专项用于人民防空建设不得平调、挪用、截留。
山东省实施《中华人民共和国人民防空法》办法,,,第一章 总则,,第七条 人民防空设施是国防基础设施的组成部分受国家法律保护任何组织或者个人不得破坏、侵占。
山东省实施《中华人民共和国人民防空法》办法,,,第一章 总则,,第八条 县级以上人民政府和军事机关对在人民防空工作中做出显著成绩或者保护人民防空设备、设施有功的单位和个人应当给予表彰和奖励。
山东省实施《中华人民共和国人民防空法》办法,,,第二章 防护重点,,第九条 城市和重要经济目标是人民防空的防护重点。
山东省实施《中华人民共和国人民防空法》办法,,,第二章 防护重点,,第十条 城市人民政府应当按照城市分类防护的规定编制城市人民防空工程建设规划纳入城市总体规划。
山东省实施《中华人民共和国人民防空法》办法,,,第二章 防护重点,,第十一条 城市供电、供水、供气、供热、通信等公用基础设施的规划和建设应当注重开发利用地下空间采取可靠的防护技术措施增强防空抗毁能力。城市地下交通干线、地下过街道、地下停车场及其他地下工程的建设应当兼顾人民防空需要。
山东省实施《中华人民共和国人民防空法》办法,,,第二章 防护重点,,第十二条 重要经济目标由县级以上人民政府和同级军事机关确定。重要经济目标的防护应当符合人民防空的要求其管理单位必须采取可靠的防护技术措施并制定应急抢修方案。
