文件名,编,分编,章,节,内容
山东省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第一条 根据《中华人民共和国渔业法》等法律法规的规定结合本省实际制定本办法。
山东省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第二条 在我省管辖范围内从事水产养殖、增殖和捕捞水生动物、水生植物等渔业活动及与渔业有关活动的单位和个人必须遵守本办法。
山东省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第三条 各级人民政府应当把渔业纳入国民经济和社会发展计划加强水域的统一规划和渔业水域环境保护鼓励渔业科学技术研究、推广保护、增殖及合理利用渔业资源促进渔业的可持续发展。
山东省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第四条 省人民政府渔业行政主管部门主管全省的渔业工作。设区的市、县市、区人民政府渔业行政主管部门主管本行政区域内的渔业工作。县级以上人民政府有关部门应当在各自职责范围内做好有关渔业工作。
山东省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第五条 渔业的监督管理按照统一领导、分级管理的原则黄渤海区渔政渔港监督管理局管理的除外由省人民政府渔业行政主管部门管理滩涂、浅海养殖区和规定范围内的定置作业网场由所在设区的市、县市、区人民政府渔业行政主管部门管理。内陆水域的渔业按行政区划由县市、区人民政府渔业行政主管部门管理。管理权属有争议的由上级人民政府决定。
山东省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第六条 县级以上人民政府渔业行政主管部门应当加强渔业产品质量的监督管理建立渔业产品质量监督检测体系推行渔业标准化生产。县级以上人民政府渔业行政主管部门应当按照国家有关规定加强水产品防疫和检疫的监督管理工作。省人民政府渔业行政主管部门负责组织实施无公害水产品产地的认定工作并协助有关部门和机构做好无公害水产品认证的监督管理工作。
山东省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第七条 县级以上人民政府渔业行政主管部门应当在无线电管理机构和上级渔业行政主管部门的业务领导下负责本行政区域内的渔业无线电通信管理工作。
山东省实施《中华人民共和国渔业法》办法,,,第一章 总 则,,第八条 县级以上人民政府渔业行政主管部门和渔业执法人员有权对从事渔业活动及与渔业有关活动的单位和个人进行监督检查。被检查的单位和个人应当积极配合。
山东省实施《中华人民共和国渔业法》办法,,,第二章 养殖业,,第九条 县级以上人民政府应当对水域、滩涂利用进行统一规划组织渔业、计划等有关部门根据土地利用总体规划、海洋功能区划编制水域、滩涂养殖规划拟定用于养殖的水域和滩涂按规定报上级人民政府批准后施行。
山东省实施《中华人民共和国渔业法》办法,,,第二章 养殖业,,第十条 单位和个人使用规划用于养殖业的全民所有的水域、滩涂使用者应当向县级以上地方人民政府渔业行政主管部门提出申请由本级人民政府核发养殖证许可其使用该水域、滩涂从事养殖生产。集体所有的或者全民所有由集体经济组织使用的水域、滩涂可以由个人或者集体承包从事养殖生产。
山东省实施《中华人民共和国渔业法》办法,,,第二章 养殖业,,第十一条 核发养殖证应当符合水域、滩涂养殖规划和区域养殖容量要求。对危害水域环境的养殖品种和生产方式应当限制核发养殖证对严重危害水域环境的养殖品种和生产方式不得核发养殖证。
山东省实施《中华人民共和国渔业法》办法,,,第二章 养殖业,,第十二条 从事养殖生产的单位和个人应当遵守下列规定在全民所有的水域、滩涂从事养殖生产的应当符合养殖证规定的用途。
山东省实施《中华人民共和国渔业法》办法,,,第二章 养殖业,,第十三条 省人民政府应当组织质量技术监督、农业、渔业等有关部门制定渔药质量安全标准保证水产品质量安全。县级以上人民政府渔业行政主管部门应当加强渔用药物使用的监督管理。
