文件名,编,分编,章,节,内容
山东省就业促进条例,,,第一章 总则,,第一条 为了促进就业推进经济发展与扩大就业相协调促进社会和谐稳定根据《中华人民共和国就业促进法》等法律、法规结合本省实际制定本条例。
山东省就业促进条例,,,第一章 总则,,第二条 本省行政区域内就业以及与促进就业有关的活动适用本条例。
山东省就业促进条例,,,第一章 总则,,第三条 本省把扩大就业放在经济社会发展的突出位置统筹城乡就业实施积极的就业政策坚持劳动者自主择业、市场调节就业和政府促进就业相结合的方针多渠道扩大就业。
山东省就业促进条例,,,第一章 总则,,第四条 各级人民政府应当将扩大就业纳入国民经济和社会发展规划制定促进就业的中长期规划和年度工作计划建立促进就业目标责任制度将促进就业作为绩效考核的重要内容。
山东省就业促进条例,,,第一章 总则,,第五条 各级人民政府应当鼓励劳动者自主创业、自谋职业教育、帮助劳动者树立积极、正确的就业观念加强劳动技能学习提高就业、创业能力。
山东省就业促进条例,,,第一章 总则,,第六条 劳动者依法享有平等就业、自主择业和获得就业帮助的权利。劳动者就业不因民族、种族、性别、宗教信仰和户籍等不同而受歧视。
山东省就业促进条例,,,第一章 总则,,第七条 用人单位依法享有自主用人的权利。用人单位应当依法保障劳动者的合法权益向劳动者提供公平的就业机会和就业条件依法招用和裁减人员。
山东省就业促进条例,,,第一章 总则,,第八条 省人民政府应当健全促进就业工作协调机制研究全省就业工作重大问题组织对全省促进就业工作进行考核和监督检查。设区的市、县市、区人民政府应当健全促进就业工作协调机制负责就业工作重大问题的研究、统筹和协调。
山东省就业促进条例,,,第一章 总则,,第九条 县级以上人民政府人力资源社会保障部门负责本行政区域内的促进就业工作。县级以上人民政府设立的公共就业服务机构在本级人民政府人力资源社会保障部门指导下具体实施公共就业服务。街道、乡镇公共就业服务机构在县市、区人民政府人力资源社会保障部门指导下开展就业服务工作。县级以上人民政府各有关部门按照职责分工共同做好促进就业工作。工会、共产主义青年团、妇女联合会、残疾人联合会、工商业联合会等社会组织协助人民政府开展促进就业工作。
山东省就业促进条例,,,第一章 总则,,第十条 各级人民政府对在促进就业工作中作出显著成绩的单位和个人给予表彰和奖励。
山东省就业促进条例,,,第二章 就业支持,,第十一条 县级以上人民政府应当将就业状况作为制定经济社会政策的重要指标统筹协调产业政策与就业政策建立经济发展与扩大就业的联动机制鼓励发展劳动密集型产业、服务业扶持中小企业制定扶持政策增加就业岗位。
山东省就业促进条例,,,第二章 就业支持,,第十二条 县级以上人民政府应当在本级财政预算中安排就业专项资金用于促进就业并对就业专项资金的使用管理进行绩效考评确保专款专用。
山东省就业促进条例,,,第二章 就业支持,,第十三条 县级以上人民政府应当建立促进就业专项小额贷款担保基金完善小额担保贷款激励和担保基金风险补偿机制鼓励引导金融机构加大对小企业和个体工商户的融资扶持力度鼓励利用小额贷款担保基金为劳动密集型小企业提供贷款担保服务。
山东省就业促进条例,,,第二章 就业支持,,第十四条 政府投资兴办的各类经营性市场的摊位和商铺在同等条件下应当优先向就业困难人员出租、出售。政府优惠扶持的各类经营性市场、商铺的经营者或者管理者应当将一定数量的摊位、商铺优先向就业困难人员出租。
山东省就业促进条例,,,第二章 就业支持,,第十五条 县级以上人民政府应当健全失业保险制度依法确保失业人员的基本生活按照国家规定逐步扩大失业保险促进就业、稳定就业、预防失业的功能。
山东省就业促进条例,,,第二章 就业支持,,第十六条 县级以上人民政府应当建立就业重点群体的就业调控制度将高等学校毕业生、就业困难群体就业放在就业工作的重要位置制定、落实各项就业扶持政策。
山东省就业促进条例,,,第二章 就业支持,,第十七条 县级以上人民政府应当建立被征地农民就业保障制度将被征地农民纳入失业登记范围和就业服务体系从当地的土地出让收益中一次性安排适当数额的资金扶持被征地农民就业。因土地征用直接受益的企业应当按照一定比例优先安排符合岗位要求的被征地农民就业。具体办法和标准由设区的市人民政府制定。
山东省就业促进条例,,,第二章 就业支持,,第十八条 县级以上人民政府应当制定统筹城乡就业的政策和措施实现劳动者就业的统筹服务和管理。县级以上人民政府制定的小城镇建设和县域经济发展规划应当将本地区农业富余劳动力转移就业措施作为重要内容。劳动力输入地和劳动力输出地人民政府应当建立劳务对接机制引导农业富余劳动力有序转移就业促进城乡劳动者平等就业。
山东省就业促进条例,,,第二章 就业支持,,第十九条 省人民政府及其有关部门制定、实施有利于促进就业的高等教育政策开展高等学校就业状况评估指导高等学校根据市场就业需求确定专业设置和招生规模。县级以上人民政府设立的公共就业服务机构应当为高等学校学生提供职业供求信息开展就业指导和服务。
山东省就业促进条例,,,第二章 就业支持,,第二十条 县级以上人民政府应当制定政策鼓励高等学校毕业生自主创业或者到城乡基层、非公有制企业和中小企业就业鼓励企业吸纳和稳定高等学校毕业生就业鼓励承担国家和地方重大科研项目的单位聘用高等学校优秀毕业生参与研究促进高等学校毕业生就业。
山东省就业促进条例,,,第二章 就业支持,,第二十一条 县级以上人民政府应当建立就业状况动态监测和发布制度完善社会就业状况评价指标体系对重点行业、企业进行动态监测定期向社会公布。县级以上人民政府应当建立失业预警机制制定应急预案对较大规模的失业及时调节和控制。
山东省就业促进条例,,,第二章 就业支持,,第二十二条 县级以上人民政府应当建立和完善劳动力就业、失业指标体系和调查统计制度。县级以上人民政府统计机构应当将人力资源和就业失业状况纳入经济社会统计指标体系定期开展普查或者抽样调查依法向社会公布。发展改革、人力资源社会保障、教育、残疾人联合会等有关部门和组织、用人单位和个人都应当如实提供有关数据和情况。
山东省就业促进条例,,,第三章 创业扶持,,第二十三条 县级以上人民政府应当建立创业政策扶持、创业培训、创业服务相结合的工作机制优化创业环境提高劳动者素质鼓励帮助劳动者自主创业。
山东省就业促进条例,,,第三章 创业扶持,,第二十四条 县级以上人民政府应当确定促进创业的产业指导目录优先扶持科技、综合资源利用、农副产品加工、贸易促进、社区服务、建筑劳务、信息服务等领域的创业活动。
