文件名,编,分编,章,节,内容
山东省森林和野生动物类型自然保护区管理办法,,,第一章 总则,,第一条 为了加强森林和野生动物类型自然保护区的管理保护自然资源和自然环境拯救濒于灭绝的生物物种根据《中华人民共和国森林法》、《中华人民共和国野生动物保护法》和国务院批准、林业部发布的《森林和野生动物类型自然保护区管理办法》的有关规定结合本省实际制定本办法。
山东省森林和野生动物类型自然保护区管理办法,,,第一章 总则,,第二条 本省行政区域内森林和野生动物类型自然保护区
山东省森林和野生动物类型自然保护区管理办法,,,第一章 总则,,第三条 省林业行政主管部门主管全省的自然保护区工作。设区的市、县市、区林业行政主管部门主管本辖区的自然保护区工作。
山东省森林和野生动物类型自然保护区管理办法,,,第一章 总则,,第四条 任何单位和个人都有保护自然保护区的义务对侵占或者破坏自然保护区的行为有权制止、检举和控告。
山东省森林和野生动物类型自然保护区管理办法,,,第一章 总则,,第五条 在自然保护区管理、资源保护和科学研究工作中做出突出成绩的单位和个人由林业行政主管部门或者县级以上人民政府给予表彰和奖励。
山东省森林和野生动物类型自然保护区管理办法,,,第二章 自然保护区的建立,,第六条 具有下列条件之一者可以建立自然保护区可恢复同类自然生态系统的地区繁殖地区包括国家和省重点保护的陆生野生动物的主要栖息、繁殖地区候鸟的主要繁殖地、越冬地和停歇地珍贵树种和有特殊价值的植物原生地野生生物模式标本的集中产地
山东省森林和野生动物类型自然保护区管理办法,,,第二章 自然保护区的建立,,第七条 自然保护区分级建立。国家级自然保护区的建立按国家有关规定报批。省级自然保护区的建立由设区的市人民政府向省人民政府报送《建立省级自然保护区申报书》及有关论证材料经省自然保护区评审委员会组织评审后报省人民政府审批。市级和县级自然保护区的报批办法由同级人民政府规定。
山东省森林和野生动物类型自然保护区管理办法,,,第二章 自然保护区的建立,,第八条 建立自然保护区应严格掌握标准注意保护对象的完整性和最适宜的范围考虑当地经济建设和群众生产、生活的需要。建立自然保护区应当严格控制范围并根据国家有关法律、法规的规定妥善解决当地居民的生产、生活问题。
山东省森林和野生动物类型自然保护区管理办法,,,第二章 自然保护区的建立,,第九条 经批准建立的自然保护区由县级人民政府设立界标。
山东省森林和野生动物类型自然保护区管理办法,,,第二章 自然保护区的建立,,第十条 自然保护区的解除和范围的调整必须经原审批机关批准未经批准不得改变自然保护区的性质和范围。
山东省森林和野生动物类型自然保护区管理办法,,,第三章 自然保护区的管理,,第十一条 自然保护区实行分级管理。国家级和省级自然保护区由省林业行政主管部门或设区的市林业行政主管部门管理市级和县级自然保护区由设区的市林业行政主管部门或县市、区林业行政主管部门管理。
山东省森林和野生动物类型自然保护区管理办法,,,第三章 自然保护区的管理,,第十二条 自然保护区的管理机构属事业单位其机构的设置和编制的配备按照分级管理原则和行政隶属关系报请同级编制部门或人民政府审批所需的基建投资和事业经费按现行计划、财政体制办理。
山东省森林和野生动物类型自然保护区管理办法,,,第三章 自然保护区的管理,,第十三条 自然保护区管理机构的主要职责资源的宣传教育工作内的自然环境和自然资源案掌握资源动态变化情况究探索自然演变规律和合理利用森林资源的途径物、植物资源的引种、驯化、保护和发展拯救濒于灭绝的物种务
山东省森林和野生动物类型自然保护区管理办法,,,第三章 自然保护区的管理,,第十四条 自然保护区的管理机构可以根据自然资源状况将自然保护区划为核心区、缓冲区和实验区。核心区禁止任何单位和个人进入除依照《中华人民共和国自然保护区条例》第二十七条的规定经批准外也不允许进入从事科学研究活动。缓冲区只准进入从事科学研究观测活动。实验区可以进行科学实验、教学实习、参观考察和驯化培育珍稀动物、植物等活动。
山东省森林和野生动物类型自然保护区管理办法,,,第三章 自然保护区的管理,,第十五条 禁止在自然保护区的缓冲区开展旅游和生产经营活动。在自然保护区的实验区内开展参观、旅游活动的由自然保护区管理机构编制方案方案应当符合自然保护区管理目标。在自然保护区组织参观、旅游活动的应当严格按照前款规定的方案进行并加强管理进入自然保护区参观、旅游的单位和个人应当服从自然保护区管理机构的管理。严禁开设与自然保护区保护方向不一致的参观、旅游项目。
山东省森林和野生动物类型自然保护区管理办法,,,第三章 自然保护区的管理,,第十六条 任何部门、团体、单位与国外签署涉及自然保护区的协议接待外国人到自然保护区从事有关活动必须征得批准机关的同意。
山东省森林和野生动物类型自然保护区管理办法,,,第三章 自然保护区的管理,,第十七条 经批准进入自然保护区从事科学研究、教学实习、参观考察、拍摄影片等活动的单位和个人应按规定缴纳保护管理费。保护管理费的征收标准和管理办法由省人民政府另行制定。
