文件名,编,分编,章,节,内容
山东省海域使用管理条例,,,第一章 总则,,第一条 为了加强海域使用管理维护海域使用权人的合法权益促进海域的合理开发和可持续利用根据《中华人民共和国海域使用管理法》等法律、法规结合本省实际制定本条例。
山东省海域使用管理条例,,,第一章 总则,,第二条 本条例所称海域是指本省行政区域内海岸线向海一侧内水、领海的水面、水体、海床和底土。海岸线的划定按照国家有关规定执行。
山东省海域使用管理条例,,,第一章 总则,,第三条 在本省毗邻海域持续使用特定海域三个月以上的排他性用海活动以及进行海域使用监督管理的应当遵守本条例。
山东省海域使用管理条例,,,第一章 总则,,第四条 海域使用必须符合海洋功能区划实行统一规划、综合利用、合理开发与环境保护相结合的原则。单位和个人使用海域必须依法取得海域使用权。
山东省海域使用管理条例,,,第一章 总则,,第五条 县级以上人民政府海洋行政主管部门负责本行政区毗邻海域使用的监督管理工作其所属的海洋监察机构负责海域使用的有关具体监督检查工作。
山东省海域使用管理条例,,,第二章 海洋功能区划,,第六条 省、设区的市和县市人民政府海洋行政主管部门应当会同有关部门依据上一级海洋功能区划编制本行政区毗邻海域的海洋功能区划。
山东省海域使用管理条例,,,第二章 海洋功能区划,,第七条 省海洋功能区划经省人民政府审核同意后报国务院审批设区的市海洋功能区划经本级人民政府审核同意后报省人民政府审批县市海洋功能区划由本级人民政府审核并经上一级人民政府复核后报省人民政府审批。设区的市、县市海洋功能区划应当报国家海洋行政主管部门备案。
山东省海域使用管理条例,,,第二章 海洋功能区划,,第八条 因公共利益、国防安全或者进行重大能源、交通等基础设施建设需要变更海洋功能区划的由原编制机关会同有关部门提出修改方案报原批准机关批准未经批准不得改变海洋功能区划确定的海域功能。
山东省海域使用管理条例,,,第二章 海洋功能区划,,第九条 海洋功能区划经批准后当地人民政府应当自批准之日起三十个工作日内向社会公布但涉及国家秘密的部分除外。
山东省海域使用管理条例,,,第二章 海洋功能区划,,第十条 增殖、养殖、盐业、交通、旅游等行业规划涉及海域使用的应当符合海洋功能区划。沿海土地利用总体规划、城市规划、港口规划、防洪规划涉及海域使用的应当与海洋功能区划相衔接。
