文件名,编,分编,章,节,内容
山东省渔业港口和渔业船舶管理条例,,,第一章 总则,,第一条 为了加强渔业港口和渔业船舶管理保护渔业港口和渔业船舶所有者和经营者的合法权益保障公民人身和财产安全促进渔业经济可持续发展根据有关法律、法规结合本省实际制定本条例。
山东省渔业港口和渔业船舶管理条例,,,第一章 总则,,第二条 在本省行政区域及沿海水域从事渔业港口规划、建设、经营和渔业船舶设计、制造、改造、修理、使用等活动的应当遵守本条例。
山东省渔业港口和渔业船舶管理条例,,,第一章 总则,,第三条 县级以上人民政府渔业行政主管部门负责本行政区域及沿海水域渔业港口和渔业船舶的管理工作。渔政、渔港监督、渔业船舶检验机构按照国家和省有关规定对渔业港口和渔业船舶实施具体监督管理。发展改革、经贸、公安、财政、交通、信息产业、工商行政、安全生产监督、环境保护、气象、海事等行政主管部门按照职责分工做好渔业港口和渔业船舶管理的相关工作。
山东省渔业港口和渔业船舶管理条例,,,第一章 总则,,第四条 渔业港口和渔业船舶管理应当遵循安全、规范、高效、便民的原则。
山东省渔业港口和渔业船舶管理条例,,,第一章 总则,,第五条 县级以上人民政府应当支持渔业港口建设和渔业船舶设计、制造的科学技术研究鼓励新技术、新工艺和新材料的推广应用。县级以上人民政府渔业行政主管部门应当建立健全渔业港口和渔业船舶管理信息系统提高安全生产管理水平。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第六条 省人民政府渔业行政主管部门应当根据国家渔业港口布局规划及本省经济和社会发展的需要会同省发展改革、交通、水利、建设、国土资源、环境保护、海事等部门编制全省渔业港口布局规划报省人民政府批准后实施。渔业港口布局规划应当体现合理利用岸线资源的原则符合海洋功能区划、海域使用规划、土地利用总体规划和城乡规划并与港口布局规划、防洪规划等相衔接。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第七条 渔业港口建设应当符合全省渔业港口布局规划并严格执行国家和省有关标准和技术规范。渔业港口的环境保护设施和安全设施应当与渔业港口主体工程同时设计、同时施工、同时投入使用。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第八条 县级以上人民政府应当将渔业港口建设纳入当地国民经济和社会发展计划安排相应的建设资金并组织建设水上、陆上配套设施。鼓励社会力量投资渔业港口建设。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第九条 渔业港口由省人民政府渔业行政主管部门会同有关部门认定经省人民政府批准后向社会公布。渔业港口使用的海域、土地应当依法办理权属登记。任何单位和个人不得擅自改变渔业港口的性质和功能确需改变的应当经省人民政府渔业行政主管部门同意并由占用者给予相应补偿或者新建同等规模和功能的渔港。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第十条 渔业港口所在地的县级人民政府渔业行政主管部门应当组织制定渔业港口管理章程经本级人民政府批准后向社会公布。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第十一条 从事渔业港口经营的应当向渔业港口所在地的县级人民政府渔业行政主管部门申请渔业港口经营许可。取得渔业港口经营许可应当符合下列条件业从业人员
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第十二条 县级人民政府渔业行政主管部门应当自受理渔业港口经营许可申请之日起五日内报设区的市人民政府渔业行政主管部门审核。设区的市人民政府渔业行政主管部门应当在十五日内完成审核符合条件的颁发渔业港口经营许可证不符合条件的应当书面告知申请人并说明理由。本条例施行前已经投入使用的渔业港口其经营者应当在本条例实施后一年内依照本条例规定取得渔业港口经营许可证。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第十三条 从事渔业港口经营的必须遵守国家法律、法规和有关渔业港口作业规则维护和保养渔业港口设施保障渔业港口设施的正常运行。渔业港口经营者应当为客户提供公平服务并在其经营场所公布收费依据、收费项目和收费标准。船舶因防台风、防风暴潮等紧急情形需要进入渔业港口避险的渔业港口经营者应当接纳并为其提供便利。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第十四条 渔业港口所有者或者经营者应当建立与渔业港口功能和规模相适应的消防组织配备相应的消防设施。船舶在渔业港口水域内停泊应当留有紧急疏散通道并按规定安排值班人员。在渔业港口范围外从事工程建设项目或者其他活动可能导致港区淤浅、水文变化或者危及渔业港口安全的应当采取有效的防护措施。
山东省渔业港口和渔业船舶管理条例,,,第二章 渔业港口管理,,第十五条 船舶在渔业港口水域内发生油类、油类混合物及其他有毒、有害物质泄露造成水域污染的应当立即采取措施控制和消除污染并向渔港监督机构报告接受其调查处理。未经渔港监督机构批准不得在渔业港口水域内从事除锈、油漆等可能污染水域环境的作业活动。禁止向渔业港口水域内倾倒淤泥、垃圾和排放油类、含油混合物以及其他有毒、有害物质。
山东省渔业港口和渔业船舶管理条例,,,第三章 渔业船舶管理,,第十六条 从事渔业船舶设计、制造、改造、修理活动的单位应当按照国家规定进行资格认定取得相应的资格证书。禁止无资格证书或者超出资格证书核定的等级和范围从事渔业船舶的设计、制造、改造、修理活动。
山东省渔业港口和渔业船舶管理条例,,,第三章 渔业船舶管理,,第十七条 从事渔业船舶制造、改造活动的单位必须按照渔业船舶检验机构批准的设计图纸、技术文件制造、改造渔业船舶并遵守国家渔业船舶技术规则。制造、改造捕捞渔业船舶的应当持有省以上渔业行政主管部门核发的渔业船网工具指标批准书。
山东省渔业港口和渔业船舶管理条例,,,第三章 渔业船舶管理,,第十八条 从事渔业船舶制造、改造、修理活动的单位或者渔业船舶所有者、经营者不得有下列行为旧机电设备等制造、改造、修理渔业船舶
