文件名,编,分编,章,节,内容
山东省物业管理条例,,,第一章 总则,,第一条 为了规范物业管理活动维护业主、物业使用人、物业服务企业和其他管理人的合法权益改善人民群众的居住和工作环境促进和谐宜居社区建设根据《中华人民共和国民法典》和国务院《物业管理条例》等法律、行政法规结合本省实际制定本条例。
山东省物业管理条例,,,第一章 总则,,第二条 本条例所称物业管理是指业主通过自治管理选聘物业服务人按照物业服务合同约定对物业进行维修、养护、管理维护物业服务区域内的环境卫生及相关秩序的活动。物业服务人包括物业服务企业和其他管理人。
山东省物业管理条例,,,第一章 总则,,第三条 本条例适用于本省行政区域内物业的管理、使用、维护、服务及监督管理活动。
山东省物业管理条例,,,第一章 总则,,第四条 物业管理应当坚持以人为本实行业主自治与专业服务、社区管理相结合的原则。
山东省物业管理条例,,,第一章 总则,,第五条 省人民政府住房城乡建设主管部门负责全省物业管理活动的监督管理工作。设区的市、县市、区人民政府住房城乡建设主管部门或者设区的市、县市、区人民政府确定的物业主管部门以下统称物业主管部门负责本行政区域内物业管理活动的监督管理工作。城市管理、综合执法、财政、民政、发展改革、公安、自然资源、生态环境、市场监督管理等有关部门按照各自职责做好与物业管理有关的工作。
山东省物业管理条例,,,第一章 总则,,第六条 街道办事处、乡镇人民政府负责组织、指导本辖区业主大会成立和业主委员会换届工作监督业主大会和业主委员会依法履行职责调解处理物业管理纠纷。社区居民委员会负责指导、监督业主大会、业主委员会依法开展业主自治管理协助街道办事处、乡镇人民政府开展社区管理、社区服务中与物业管理有关的工作。
山东省物业管理条例,,,第一章 总则,,第七条 县级以上人民政府应当制定扶持政策采取措施推动住宅区、商业区、工矿区及机关、学校、医院等实行社会化、专业化、市场化的物业服务促进物业服务行业发展。鼓励采用节能、环保的新技术、新方法依靠科技进步提高物业管理和服务水平。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第一节 物业服务区域,第八条 物业服务区域的划分应当以建设用地规划许可证确定的红线图范围为基础并考虑建筑物规模、共用设施设备、社区建设等因素。分期开发建设或者两个以上建设单位开发建设的物业其配套设施设备是共用的应当划定为一个物业服务区域配套设施设备能够分割并独立使用的可以划定为不同的物业服务区域。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第一节 物业服务区域,第九条 建设单位办理商品房预售许可证或者商品房现售备案前应当向物业主管部门申请划分物业服务区域。物业主管部门应当自受理申请之日起二十日内在征求街道办事处、乡镇人民政府等单位的意见后进行划分登记并告知建设单位。建设单位应当将划定的物业服务区域向物业买受人明示。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第一节 物业服务区域,第十条 物业服务区域划定后确需调整的由物业主管部门按照本条例的规定重新进行划分登记并应当经相关物业服务区域内业主依法共同决定。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第二节 配套建筑与设施设备,第十一条 物业服务区域内的各类配套建筑与设施设备应当严格按照国家和省有关住宅小区规划、设计规范和工程标准进行建设。物业服务区域内的配套建筑应当依法办理权属登记手续不得擅自改变用途。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第二节 配套建筑与设施设备,第十二条 物业服务用房的配置应当符合下列规定三至千分之五配置最少不低于一百平方米业主委员会办公用房从物业服务用房中调剂其建筑面积不低于二十平方米。物业服务用房由建设单位无偿提供属于全体业主共有。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第二节 配套建筑与设施设备,第十三条 住宅小区内综合执法、治安管理等政务管理用房的建筑面积不低于五十平方米住宅小区内的社区居民委员会用房应当按照规划要求进行配套建设。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第三节 前期物业管理与物业交付,第十四条 住宅物业的建设单位应当依法通过招标的方式选聘前期物业服务人鼓励非住宅物业通过招标方式选聘前期物业服务人。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第三节 前期物业管理与物业交付,第十五条 鼓励前期物业服务人提前介入项目的开发建设对项目的规划设计方案、配套设施建设、工程质量控制、设备运行管理等事项提出与物业管理有关的建议。物业服务人承接物业时应当对物业共用部位、共用设施设备进行查验。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第三节 前期物业管理与物业交付,第十六条 建设单位在申请办理商品房预售许可证或者商品房现售备案前应当将前期物业服务合同、临时管理规约、住宅小区配套建筑和设施设备的清单及其产权归属等资料报物业主管部门备案并在商品房销售时将上述资料作为商品房买卖合同约定的内容。前期物业服务合同应当对物业服务内容、服务标准、收费标准、收费方式及收费起始时间、合同终止情形等内容进行约定涉及物业买受人共同利益的其约定应当一致。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第三节 前期物业管理与物业交付,第十七条 建设单位应当按照规定与相关专业经营单位办理专业经营设施设备移交手续并协助物业买受人与相关专业经营单位分别签订供水、供电、供气、供热等服务合同。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第三节 前期物业管理与物业交付,第十八条 建设单位交付住宅物业时应当向业主提供住宅质量保证书、住宅使用说明书等资料。前期物业服务人应当向业主提供物业服务手册并可以接受建设单位的委托协助建设单位办理住宅物业交付的有关具体事宜。
山东省物业管理条例,,,第二章 新建物业与前期物业管理,第三节 前期物业管理与物业交付,第十九条 建设单位应当在物业主管部门、街道办事处、乡镇人民政府的监督下按照规定向前期物业服务人移交物业服务用房和下列资料配套设施、地下管网工程竣工图、分户验收等竣工验收资料鼓励建设单位为其开发的住宅小区的物业管理提供部分经营用房或者给予资金支持。
山东省物业管理条例,,,第三章 业主大会与业主委员会,第一节 业主大会筹备组,第二十条 房屋的所有权人为业主。建设单位或者前期物业服务人应当将业主入住情况及时报告物业主管部门和街道办事处、乡镇人民政府。符合下列条件之一的应当召开首次业主大会会议十以上例达到百分之二十五以上。
山东省物业管理条例,,,第三章 业主大会与业主委员会,第一节 业主大会筹备组,第二十一条 符合首次业主大会会议召开条件的街道办事处、乡镇人民政府应当在六十日内组建业主大会筹备组。筹备组由七人以上单数组成可以由建设单位、前期物业服务人、业主和街道办事处、乡镇人民政府、社区居民委员会等派员组成其中业主所占比例不得低于筹备组总人数的二分之一。筹备组应当自成立之日起十日内将其成员名单和工作职责在物业服务区域内进行书面公告。
山东省物业管理条例,,,第三章 业主大会与业主委员会,第一节 业主大会筹备组,第二十二条 筹备组履行下列职责工作规则的投票权数举办法对前款规定的内容筹备组应当在首次业主大会会议召开十五日前在物业服务区域内公告并通过书面或者其他方式通知全体业主。业主对业主身份和投票权数等提出异议的筹备组应当予以复核并告知异议人复核结果。筹备组应当自成立之日起九十日内组织召开首次业主大会会议。
山东省物业管理条例,,,第三章 业主大会与业主委员会,第二节 业主大会,第二十三条 一个物业服务区域成立一个业主大会。物业服务区域内业主人数较少且经全体业主一致同意决定不成立业主大会的由全体业主共同履行业主大会职责。
山东省物业管理条例,,,第三章 业主大会与业主委员会,第二节 业主大会,第二十四条 下列事项由业主共同决定活动业主共同决定事项应当由专有部分面积占比三分之二以上的业主且人数占比三分之二以上的业主参与表决。决定前款第六项至第八项规定的事项应当经参与表决专有部分面积四分之三以上的业主且参与表决人数四分之三以上的业主同意。决定前款其他事项应当经参与表决专有部分面积过半数的业主且参与表决人数过半数的业主同意。
