文件名,编,分编,章,节,内容
山西省建筑市场管理条例,,,第一章 总 则,,第一条 为了加强建筑市场管理规范建筑市场秩序保障建筑市场主体的合法权益营造公平公正的建筑市场环境促进建筑业高质量发展根据有关法律、行政法规结合本省实际制定本条例。
山西省建筑市场管理条例,,,第一章 总 则,,第二条 在本省行政区域内从事建筑市场活动、实施建筑市场监督管理适用本条例。本条例所称建筑市场活动是指在建设工程新建、扩建、改建过程中各方主体进行发包、承包、工程服务订立并履行合同等活动。本条例所称建设工程是指房屋建筑及其附属设施工程、市政基础设施工程以及构成工程不可分割的线路、管道、设备的安装工程。
山西省建筑市场管理条例,,,第一章 总 则,,第三条 县级以上人民政府住房和城乡建设主管部门负责本行政区域内建筑市场的监督管理。县级以上人民政府人力资源和社会保障、自然资源、行政审批服务管理等部门按照各自职责做好建筑市场监督管理相关工作。
山西省建筑市场管理条例,,,第一章 总 则,,第四条 从事建筑市场活动应当遵循依法合规、诚实守信、公平竞争的原则禁止以任何形式垄断建筑市场或者以不正当竞争手段扰乱建筑市场秩序。
山西省建筑市场管理条例,,,第一章 总 则,,第五条 县级以上人民政府应当制定激励政策组织创优活动鼓励建筑市场主体采用新技术、新工艺、新材料、新设备和现代管理方法利用再生资源降低能耗减少污染推进建筑工业化、数字化、智能化升级促进建筑业低碳、绿色、持续健康发展。
山西省建筑市场管理条例,,,第一章 总 则,,第六条 建筑市场相关行业协会应当建立健全行业自律和业务活动的规章制度督促会员依法从事建筑市场活动引导行业健康发展。
山西省建筑市场管理条例,,,第二章 市场准入和建设许可,,第七条 从事建设工程勘察、设计、施工、监理、质量检测等活动的建筑市场主体应当依法取得相应的资质证书并在资质许可范围内承接业务。建设工程施工单位应当按照国家有关规定取得安全生产许可证。
山西省建筑市场管理条例,,,第二章 市场准入和建设许可,,第八条 在本省从事建筑市场活动的建筑市场主体应当按照国家和本省有关规定在省人民政府住房和城乡建设主管部门信息化监管平台登记单位、从业人员等相关信息。信息化监管平台应当具备实时更新市场主体信息、共享监管数据、提供公众查询服务等功能并确保信息的准确性和完整性。
山西省建筑市场管理条例,,,第二章 市场准入和建设许可,,第九条 任何单位或者个人不得伪造、变造、倒卖、出租、出借或者以其他形式非法转让企业资质证书、专业技术人员注册执业证书或者执业印章。
山西省建筑市场管理条例,,,第二章 市场准入和建设许可,,第十条 依法应当申请领取施工许可证的建设工程建设单位应当在开工前向工程所在地的县级以上人民政府行政审批服务管理部门申请领取施工许可证未取得施工许可证的不得开工建设。设区的市、县市、区人民政府行政审批服务管理部门应当按照规定及时将施工许可证发放情况向同级人民政府住房和城乡建设主管部门推送收到施工许可信息的住房和城乡建设主管部门依法履行事中事后监督管理职责。
山西省建筑市场管理条例,,,第三章 发包和承包,,第十一条 依法必须招标的建设工程应当采用招标发包方式其他建设工程建设单位可以直接发包也可以采用招标方式发包给具备相应资质条件的承包单位。依法必须招标的建设工程的具体范围、规模标准按照国家有关规定执行。
山西省建筑市场管理条例,,,第三章 发包和承包,,第十二条 建设工程的发包单位可以将建设工程的勘察、设计、施工、设备采购一并发包给一个工程总承包单位也可以将其中的一项或者多项发包给一个工程总承包单位。建设工程的发包单位不得将应当由一个承包单位完成的建设工程肢解成若干部分发包给多个承包单位。建设工程总承包单位可以将承包工程中的部分工程发包给具有相应资质条件的分包单位但是除总承包合同中约定的分包外必须经建设单位认可。施工总承包的建筑工程主体结构的施工必须由总承包单位自行完成。禁止分包单位将其承包的工程再分包。
山西省建筑市场管理条例,,,第三章 发包和承包,,第十三条 禁止承包单位将其承包的全部建筑工程转包给他人。承包单位未与派驻的项目负责人、技术负责人、质量管理负责人、安全管理负责人等主要管理人员中一人及以上订立劳动合同、建立劳务工资关系或者建立社会养老保险关系的除有证据证明属于挂靠或者其他违法行为外应当认定为转包施工工程。
山西省建筑市场管理条例,,,第三章 发包和承包,,第十四条 建设单位不得有下列行为
山西省建筑市场管理条例,,,第三章 发包和承包,,第十五条 投标单位不得有下列行为
山西省建筑市场管理条例,,,第三章 发包和承包,,第十六条 建设工程实施过程中承包单位不得有下列行为
山西省建筑市场管理条例,,,第三章 发包和承包,,第十七条 评标委员会成员应当客观、公正地履行职务遵守职业道德对所提出的评审意见承担个人责任。评标委员会成员不得有下列行为见
山西省建筑市场管理条例,,,第三章 发包和承包,,第十八条 依法必须公开招标的建设工程招标投标活动及其监督管理推行电子化通过信息化平台组织实施。
山西省建筑市场管理条例,,,第四章 工程服务,,第十九条 依法必须实施监理的建设工程应当按照法律、行政法规的规定实施监理其他建设工程推行监理制度。
