文件名,编,分编,章,节,内容
山西省永久性生态公益林保护条例,,,第一章 总 则,,第一条 为了保护永久性生态公益林改善生态环境促进经济社会可持续发展根据《中华人民共和国森林法》等有关法律、行政法规的规定结合本省实际制定本条例。
山西省永久性生态公益林保护条例,,,第一章 总 则,,第二条 本条例所称永久性生态公益林是指生态区位重要或者生态状况脆弱对国土生态安全、人类生存、生物多样性保护和经济社会可持续发展具有特殊重要作用以发挥森林生态服务功能为主要目的依法划定需要长期保护的重点防护林和特种用途林。永久性生态公益林由国家级公益林和省级公益林组成。
山西省永久性生态公益林保护条例,,,第一章 总 则,,第三条 在本省行政区域内从事永久性生态公益林的规划划定、保护补偿、培育利用和监督管理等活动适用本条例。
山西省永久性生态公益林保护条例,,,第一章 总 则,,第四条 永久性生态公益林保护应当遵循政府主导、统一管理、严格保护的原则。
山西省永久性生态公益林保护条例,,,第一章 总 则,,第五条 永久性生态公益林保护工作由县级以上人民政府统一组织实施。县级以上人民政府应当将永久性生态公益林保护纳入国民经济和社会发展规划统筹协调永久性生态公益林保护工作中的重大事项。
山西省永久性生态公益林保护条例,,,第一章 总 则,,第六条 省人民政府林业主管部门负责全省永久性生态公益林保护的规划、管理、监督工作。省人民政府林业主管部门所属的永久性生态公益林管理机构、设区的市人民政府林业主管部门负责所辖区域内永久性生态公益林保护的业务指导和监督管理的具体工作。县级人民政府林业主管部门和省、设区的市直属国有林管理机构负责所辖区域内永久性生态公益林保护、培育、利用等实施工作。县级以上人民政府其他有关部门按照各自职责负责永久性生态公益林保护的相关工作。
山西省永久性生态公益林保护条例,,,第一章 总 则,,第七条 任何单位和个人不得破坏永久性生态公益林并有权举报、制止破坏永久性生态公益林的违法行为。
山西省永久性生态公益林保护条例,,,第一章 总 则,,第八条 县级以上人民政府应当对在永久性生态公益林保护工作中作出显著成绩的单位或者个人给予表彰。
山西省永久性生态公益林保护条例,,,第二章 规划和划定,,第九条 省人民政府根据生态建设和经济社会发展需要确定永久性生态公益林的规模和布局。省人民政府林业主管部门根据永久性生态公益林的规模和布局编制全省永久性生态公益林保护总体规划报省人民政府批准后公布实施。
山西省永久性生态公益林保护条例,,,第二章 规划和划定,,第十条 永久性生态公益林应当在下列林地范围内按照先后顺序划定不得重复交叉大于一千平方公里的河流源头、河道管理范围外两岸的林地列入世界遗产保护范围的林地
山西省永久性生态公益林保护条例,,,第二章 规划和划定,,第十一条 永久性生态公益林的划定应当依据全省永久性生态公益林保护总体规划坚持生态优先、统一规划、国有为主、集中连片的原则与土地利用总体规划等其他相关规划相衔接。
山西省永久性生态公益林保护条例,,,第二章 规划和划定,,第十二条 在本条例第十条规定的林地范围内集体所有的森林、林木和林地个人所有的林木和使用的林地拟划为永久性生态公益林的在坚持生态优先的前提下依法保护林权权利人的合法利益经征得林权权利人的同意后由县级人民政府林业主管部门与其签订协议协议应当包括管护、经营、收益分配等内容。
山西省永久性生态公益林保护条例,,,第二章 规划和划定,,第十三条 设区的市、县级人民政府和省直属国有林管理机构按照国家级公益林和省级公益林区划界定的技术规定提出永久性生态公益林划定意见报省人民政府林业主管部门批准。
山西省永久性生态公益林保护条例,,,第二章 规划和划定,,第十四条 依法划定的永久性生态公益林由县级以上人民政府予以公告。
山西省永久性生态公益林保护条例,,,第三章 保护和补偿,,第十五条 依法划定的永久性生态公益林由县级以上人民政府设立界桩和标牌严格用途管制保持面积长期稳定。
山西省永久性生态公益林保护条例,,,第三章 保护和补偿,,第十六条 县级人民政府林业主管部门和省、设区的市直属国有林管理机构应当依据全省永久性生态公益林保护总体规划和批准的划定意见编制永久性生态公益林保护实施方案报省人民政府林业主管部门批准后实施。经批准的永久性生态公益林保护实施方案任何单位和个人不得擅自变更确需变更的应当经原批准机关批准。
山西省永久性生态公益林保护条例,,,第三章 保护和补偿,,第十七条 任何单位和个人不得改变永久性生态公益林用途或者占用永久性生态公益林地下列情形除外法避让确需占用永久性生态公益林地的应当依照有关法律法规规定办理林地使用手续漠公园总体规划的建设项目和保护永久性生态公益林的工程设施依照有关法律法规的规定办理林地使用手续依法办理林地使用手续。
山西省永久性生态公益林保护条例,,,第三章 保护和补偿,,第十八条 因批准征收、征用、占用林地而减少的永久性生态公益林地面积应当按照占一补一的原则和划定程序进行调整补充保证质量。
山西省永久性生态公益林保护条例,,,第三章 保护和补偿,,第十九条 在永久性生态公益林范围内禁止下列行为标牌
山西省永久性生态公益林保护条例,,,第三章 保护和补偿,,第二十条 国家所有的永久性生态公益林由国有林经营管理单位实行统一保护管理。划定为永久性生态公益林的集体所有的森林、林木和林地个人所有的林木和使用的林地由县级人民政府林业主管部门统一保护管理。与国有林插花及毗邻的划定为永久性生态公益林的集体所有的森林、林木和林地个人所有的林木和使用的林地由县级人民政府组织通过流转或者委托的形式由就近的国有林经营管理单位统一保护管理。
山西省永久性生态公益林保护条例,,,第三章 保护和补偿,,第二十一条 县级人民政府林业主管部门和国有林经营管理单位应当建立永久性生态公益林管护体系完善管护制度划分管护责任区落实保护措施建设管护站点配备必要的交通、通讯等工具采取聘用管护人员或者专业管护组织等方式进行管护。聘用管护人员同等条件下当地贫困人口、林权权利人优先。
