文件名,编,分编,章,节,内容
山西省组织实施宪法宣誓办法,,,,,第一条 为了彰显宪法权威规范宪法宣誓活动激励和教育国家工作人员树立宪法意识、忠于宪法、遵守宪法、维护宪法加强宪法实施根据《全国人民代表大会常务委员会关于实行宪法宣誓制度的决定》结合本省实际制定本办法。
山西省组织实施宪法宣誓办法,,,,,第二条 本省各级人民代表大会及县级以上各级人民代表大会常务委员会选举或者任命、决定任命、批准任命的国家工作人员以及各级人民政府、人民法院、人民检察院任命的国家工作人员在就职时应当公开进行宪法宣誓。
山西省组织实施宪法宣誓办法,,,,,第三条 宣誓誓词如下我宣誓忠于中华人民共和国宪法维护宪法权威履行法定职责忠于祖国、忠于人民恪尽职守、廉洁奉公接受人民监督为建设富强、民主、文明、和谐的社会主义国家努力奋斗
山西省组织实施宪法宣誓办法,,,,,第四条 省人民代表大会选举的常务委员会主任、副主任、秘书长、委员省长、副省长省高级人民法院院长以及省人民代表大会表决通过的专门委员会主任委员、副主任委员、委员在依照法定程序产生后进行宪法宣誓。宣誓仪式由省人民代表大会会议主席团组织。省人民代表大会选举的省人民检察院检察长报经全国人民代表大会常务委员会批准后由省人民代表大会常务委员会主任会议组织在省人民代表大会常务委员会会议期间进行宪法宣誓。
山西省组织实施宪法宣誓办法,,,,,第五条 在省人民代表大会闭会期间省人民代表大会常务委员会任命或者决定任命的省人民代表大会专门委员会副主任委员和委员省人民代表大会常务委员会副秘书长工作机构的主任、副主任和办事机构的主任、副主任局长、副局长省人民代表大会常务委员会代表资格审查委员会主任委员、副主任委员和委员副省长省人民政府秘书长和组成部门的厅长、主任省高级人民法院副院长省人民检察院副检察长在依照法定程序产生后进行宪法宣誓。宣誓仪式由省人民代表大会常务委员会主任会议组织。
山西省组织实施宪法宣誓办法,,,,,第六条 省人民代表大会常务委员会任命的省高级人民法院审判委员会委员、庭长、副庭长、审判员省高级人民法院派出的专门中级法院及其基层法院院长、副院长、审判委员会委员、庭长、副庭长、审判员在依照法定程序产生后由省高级人民法院组织进行宪法宣誓。
山西省组织实施宪法宣誓办法,,,,,第七条 省人民代表大会常务委员会任命的省人民检察院检察委员会委员、检察员省人民检察院派出的专门检察分院及其基层检察院检察长、副检察长、检察委员会委员、检察员在依照法定程序产生后由省人民检察院组织进行宪法宣誓。
山西省组织实施宪法宣誓办法,,,,,第八条 设区的市、县市、区人民代表大会及其常务委员会选举或者任命、决定任命、批准任命的国家工作人员乡镇人民代表大会选举的国家工作人员在依照法定程序产生后分别由选举或者任命、决定任命的机关参照本办法组织进行宪法宣誓。县级以上人民政府及其部门、人民法院、人民检察院以及乡镇人民政府任命的国家工作人员在就职时进行宪法宣誓宣誓仪式由任命机关组织。
山西省组织实施宪法宣誓办法,,,,,第九条 宣誓场所应当庄重、严肃悬挂中华人民共和国国旗或者国徽。宣誓仪式可以采取单独宣誓或者集体宣誓的形式。单独宣誓时宣誓人应当左手抚按《中华人民共和国宪法》右手举拳诵读誓词。集体宣誓时由负责组织宣誓仪式的机关指定一人领誓领誓人左手抚按《中华人民共和国宪法》右手举拳领诵誓词其他宣誓人整齐排列右手举拳跟诵誓词。负责组织宣誓仪式的机关可以根据本办法并结合实际情况对宣誓的具体事项作出规定。
山西省组织实施宪法宣誓办法,,,,,第十条 本办法自 2016 年 1 月 1 日起施行。
