文件名,编,分编,章,节,内容
峨边彝族自治县水资源管理条例,,,第一章 总 则,,第一条 为合理开发利用和保护水资源防治水害充分发挥水资源的综合效益促进民族经济发展根据《中华人民共和国民族区域自治法》、《中华人民共和国水法》、《中华人民共和国水污染防治法》、《中华人民共和国渔业法》、《中华人民共和国水土保持法》、《中华人民共和国防洪法》、《取水许可和水资源费征收管理条例》国务院令第 460 号、《四川省中华人民共和国水法实施办法》、《峨边彝族自治县自治条例》等法律法规结合峨边彝族自治县以下简称自治县的实际制定本条例。
峨边彝族自治县水资源管理条例,,,第一章 总 则,,第二条 本条例所称水资源是指地表水和地下水。凡在自治县行政区域内开发、利用、保护、管理水资源、防治水害适用本条例。
峨边彝族自治县水资源管理条例,,,第一章 总 则,,第三条 水资源属国家所有。农村集体经济组织所有的水塘、水库中的水属于集体所有。自治县保护依法开发利用水资源的单位和个人的合法权益。
峨边彝族自治县水资源管理条例,,,第一章 总 则,,第四条 自治县开发利用水资源和防治水害应全面规划、统筹兼顾、综合利用、讲求效益发挥水资源的多种功能。
峨边彝族自治县水资源管理条例,,,第一章 总 则,,第五条 自治县水行政主管部门按照水资源分级管理权限负责本行政区域内水资源的统一管理。其主要职责是规划会同有关部门制定全县水中长期供求计划和水量分配方案施和水资源费的征收管理工作建立健全水政监察制度约用水工作协调处理水事纠纷。
峨边彝族自治县水资源管理条例,,,第一章 总 则,,第六条 自治县鼓励单位和个人依法开发、利用水资源。对保护、管理、节约、利用水资源、维护水工程和防治水害做出显著成绩的单位和个人自治县人民政府给予表彰或者奖励。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第七条 自治县人民政府应当按照统筹兼顾综合利用保护河流、水库的合理流量和水位维护水体的自然净化能力和良好水域环境的原则制定自治县开发利用水资源的综合规划。自治县制定的综合规划应符合国家、省、市制定的流域规划和综合规划。自治县应当以流域为单位划定水源保护区并制定相应的保护管理办法。防洪、治涝、灌溉、航运、城市和工业供水、水力发电、渔业和生态环境保护、水资源保护、水文测验、地下水普查勘探和动态监测及其它与水资源有关的专业规划由自治县人民政府有关行政主管部门编制征得自治县水行政主管部门同意后报自治县人民政府批准。专业规划应当服从综合规划综合规划应与专业规划相协调、兼顾各行业的需要。规划的修改必须经原批准机关核准。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第八条 自治县有关职能部门及乡镇人民政府应当加强对水污染防治的监督管理严禁一切破坏和污染水源的活动。禁止在饮用水水源保护区内设置排污口。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第九条 开采矿藏、河道砂石或者兴建地下工程因疏干排水导致地下水水位下降、枯竭或者地面塌陷对其他单位、个人的生产和生活造成影响的采矿单位、采砂单位或者建设单位应当采取补救、补偿措施。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十条 在河道和水利工程管护范围内从事种植、养殖、开采、加工或其他生产经营活动必须经自治县水行政主管部门批准。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十一条 自治县水行政主管部门根据水资源条件组织编制自治县计划用水和节约用水规划各有关部门应当予以协助。自治县职能部门及乡镇人民政府应当加强对计划用水、节约用水的管理。供水单位应当编制供水计划加强对用户用水情况的检查。用水单位应当加强节约用水的管理工作采用先进技术降低水的消耗量提高水的重复利用率。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十二条 按照水资源分级管理权限除省管大渡河外凡从自治县行政区域内的河流、地下取水的单位和个人以下简称取用水户都必须向自治县水行政主管部门申请取水许可、缴纳水资源费。下列情形取水的不需要申请取水许可和缴纳水资源费的。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十三条 自治县对辖区内取用地下水、地表水依法征收的水资源费和对水电装机 25 万千瓦及其以下征收的水资源费除上缴中央部分外其余全部专项用于自治县水资源的管理、保护、节约、规划和开发利用。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十四条 持有取水许可证的单位和个人以下简称持证人有实行计划用水、节约用水、防治水污染、保护水资源的义务。持证人取水应当装置量水设施经取水许可证颁证机关验收合格方可取水。持证人不得随意改变取水许可证规定的取水位置、取水方式、取水用途和取水条件。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十五条 实行供水工程有偿供水制度。凡使用供水工程供水的单位和个人应按规定向供水管理单位缴纳水费。超计划用水应缴纳超计划用水费。供水部门无正当理由不得减少或者停止供水。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十六条 出现下列情况之一的自治县水行政主管部门有权调整取用水户的取水量
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十七条 单位之间、个人之间、单位与个人之间发生水事纠纷应当协商解决当事人不愿协商或者协商不成的可以申请自治县水行政主管部门调解也可以直接向人民法院提起民事诉讼。自治县水行政主管部门调解不成的当事人可以向人民法院提起民事诉讼。在水事纠纷解决之前当事人不得单方面改变水的现状。
峨边彝族自治县水资源管理条例,,,第二章 水资源保护、管理,,第十八条 乡、镇人民政府应当及时调解辖区内水事纠纷并配合水利、公安等部门查处破坏水工程的案件。
峨边彝族自治县水资源管理条例,,,第三章 水资源开发利用,,第十九条 开发利用水资源应当首先满足城乡居民生活用水统筹兼顾农业、工业、发电、航运、渔业等需要。不得损害公共利益和他人的合法权益。
峨边彝族自治县水资源管理条例,,,第三章 水资源开发利用,,第二十条 凡开发利用和保护水资源的新建、扩建、改建项目应当经过环境影响评价建设单位方可将项目方案报送自治县水行政主管部门审查经自治县水行政主管部门审查同意后再按照基本建设程序报批。年取水量在 3000 立方米以上的新建、扩建、改建项目项目业主应当按照分级管理权限向有管辖权的水行政主管部门提交建设项目水资源论证报告书表未提交的水行政主管部门不得受理其取水申请有关部门不得立项、核准或者备案。对超计划、超定额取用水部分按照征收标准的二至三倍计征水资源费。
峨边彝族自治县水资源管理条例,,,第三章 水资源开发利用,,第二十一条 自治县开发利用水能资源建设水力发电站应当保护生态环境严格按照规定下泄生态综合用水防止对生态环境造成破坏防治水土流失并兼顾防洪、供水、灌溉、航运和渔业等方面的需要。因截流而影响下段流域居民人畜饮水、农业生产用水的建设单位应当采取切实可行的措施予以解决或者予以补偿。
峨边彝族自治县水资源管理条例,,,第三章 水资源开发利用,,第二十二条 自治机关按照市场化配置资源的方式出让水能资源开发权。取得自治县水能资源开发权的自然人、法人或者其他组织应当在自治县注册登记并按有关规定缴纳水资源费、水土保持设施补偿费、渔业资源增殖保护费、河道堤防土程修建维护管理费等。征收的水资源费、水土保持设施补偿费、渔业资源增殖保护费、河道堤防工程修建维护管理费除上缴中央部分外其余全部留自治县专项用于水资源涵养保护、开发利用、生态环境保护、渔业资源的增殖保护以及河道与堤防工程的维修。
峨边彝族自治县水资源管理条例,,,第三章 水资源开发利用,,第二十三条 自治机关加强对国家在自治县辖区内开发建设大中型水电站的协调服务。在自治县辖区内开发建设水电项目项目业主应当向自治县人民政府提供已经审查通过的水土保持方案、水资源论证报告书、行洪论证报告书、环境影响评价报告书、渔业资源影响评价及补救措施审批报告等以便协调各方面的利益。
峨边彝族自治县水资源管理条例,,,第三章 水资源开发利用,,第二十四条 在自治县辖区内开发建设水电站的业主应当大力支持、带动和促进自治县的经济建设和社会发展。水电站建成后形成的水面和水库消落区土地在服从水库统一调度和保证安全、符合水土保持和水质保护要求的前提下应当通过自治县人民政府优先安排给当地农村移民使用。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第二十五条 违反本条例规定取水、截水、阻水、排水给他人造成妨碍或者损失的由水行政管部门责令其停止侵害排除妨碍赔偿损失。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第二十六条 违反本条例不按照规定下泄生态综合用水造成河流流量和水库以及地下水水位不能保持合理状态的由水行政主管部门责令停止违法行为限期采取补救措施并处二万元以上十万元以下罚款情节严重的吊销取水许可证。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第二十七条 违反本条例规定无证取水的由水行政主管部门责令其停止违法取水行为限期依法申请取水许可并可处二万元以上十万元以下的罚款。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第二十八条 违反本条例规定新建、扩建、改建水工程的由水行政主管部门责令停止违法行为限期改正并可处以一万元以上五万元以下罚款。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第二十九条 违反本条例规定有下列行为之一的水行政主管部门责令其停止违法行为限期采取补救措施处二万元以上十万元以下的罚款情节严重的停止取水或吊销取水许可证
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第三十条 违反本条例规定供水部门无正当理由减少或停止供水给用户造成损失的应给予赔偿。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第三十一条 违反本条例规定有下列行为之一的由水行政主管部门责令其停止违法行为限期清除障碍或采取其它补救措施并可处一万元以上五万元以下罚款养殖、设点旅游或者未经同意利用河道、水库、渠道水域及其保护范围设置旅游点的废渣和尾矿渣的。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第三十二条 违反本条例规定有下列行为之一的由水行政主管部门责令其停止违法行为赔偿损失限期采取补救措施并可处一万元以上五万元以下罚款水文监测设施、水文地质监测设施和导航、助航设施的取土等危害水工程安全活动的。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第三十三条 拒绝、阻碍水行政主管部门或者有关主管部门及其工作人员依法执行水事公务的由公安机关依照《中华人民共和国治安管理处罚法》的有关规定给予处罚。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第三十四条 当事人对行政处罚决定不服的可以依法申请行政复议对行政复议不服的可以在收到行政复议决定书之日起 15 日内向人民法院提起行政诉讼。当事人也可以在收到行政处罚决定书之日起三个月内直接向人民法院提起行政诉讼。当事人逾期不申请行政复议也不向人民法院提起行政诉讼又不履行行政处罚决定的由作出处罚决定的机关依法申请人民法院强制执行。
峨边彝族自治县水资源管理条例,,,第四章 法律责任,,第三十五条 水行政主管部门或其它主管部门以及水工程管理单位的工作人员玩忽职守、滥用职权、徇私舞弊的由其所在单位或者上级主管机关给予行政处分构成犯罪的依法追究刑事责任。
峨边彝族自治县水资源管理条例,,,第五章 附 则,,第三十六条 本条例自公布之日起施行。
