文件名,编,分编,章,节,内容
常州市住宅物业管理条例,,,第一章 总 则,,第一条 为了规范住宅物业管理活动维护物业管理各方的合法权益营造良好的居住环境根据《中华人民共和国民法典》、国务院《物业管理条例》、《江苏省物业管理条例》等法律、法规结合本市实际制定本条例。
常州市住宅物业管理条例,,,第一章 总 则,,第二条 本市行政区域内的住宅物业管理及其监督管理活动适用本条例。本条例所称住宅物业管理以下简称物业管理是指住宅物业、住宅小区内非住宅物业和与住宅楼结构相连的非住宅物业的业主通过选聘物业服务企业或者自行对物业管理区域内的建筑物、构筑物及配套的设施设备和场地进行维修、养护、管理维护环境卫生和相关秩序的活动。
常州市住宅物业管理条例,,,第一章 总 则,,第三条 本市物业管理纳入基层治理体系坚持党建引领、政府组织、部门协同、属地管理实行业主共管、行业自律、专业服务。建立健全社区村党组织领导下的居村民委员会、业主委员会、物业服务企业、业主等共同参与的住宅小区治理架构推动在业主委员会、物业管理委员会、物业服务企业中建立党组织发挥党建引领作用。
常州市住宅物业管理条例,,,第一章 总 则,,第四条 市、县级市区人民政府应当加强对物业管理工作的组织领导将物业管理纳入网格化服务管理建立物业管理综合协调和目标责任机制建立与之相适应的资金投入与保障机制鼓励采用新技术、新方法提高物业服务与管理水平。街道办事处镇人民政府负责辖区内物业管理活动的指导、监督和管理协助上级人民政府及有关主管部门和机构做好物业管理相关工作。居村民委员会对业主自治进行指导和监督并协助街道办事处镇人民政府做好物业管理相关工作。
常州市住宅物业管理条例,,,第一章 总 则,,第五条 市、县级市区物业管理主管部门负责本行政区域内物业管理活动的监督管理工作。城市管理、公安、民政、财政、自然资源和规划、住房城乡建设、市场监督管理、生态环境、发展改革、消防救援等部门和机构按照各自职责做好物业管理相关工作。
常州市住宅物业管理条例,,,第一章 总 则,,第六条 市物业管理主管部门应当会同相关部门建立并推广使用物业管理公共服务平台用于业主决策电子投票、物业管理相关信息公开和物业管理纠纷投诉处理等。市物业管理公共服务平台应当纳入市人民政府的公共服务平台。自然资源和规划主管部门应当与物业管理主管部门建立不动产信息共享制度确保物业管理公共服务平台运行所需不动产及其业主信息真实、合法。鼓励物业管理相关主体利用互联网等开展物业管理活动。
常州市住宅物业管理条例,,,第一章 总 则,,第七条 市、县级市区物业管理主管部门应当建立培训制度定期对街道办事处镇人民政府、居村民委员会、业主自治组织和物业服务企业等单位的相关人员进行物业管理法律、法规和业务知识培训所需经费列入本级人民政府财政预算。
常州市住宅物业管理条例,,,第一章 总 则,,第八条 市、县级市区人民政府及其相关部门、街道办事处镇人民政府等可以通过购买服务等方式引导法律、会计、工程监理、评估、咨询等第三方机构参与物业管理活动。鼓励业主自治组织、建设单位、物业服务企业等委托第三方机构开展物业项目承接查验、物业服务标准和费用测算、物业服务质量评估等与物业管理相关的活动。第三方机构应当遵循独立、客观、公正的原则依照法律、法规、相关技术规范和合同约定提供专业服务出具的报告应当真实、客观、完整并对出具的报告负责。
常州市住宅物业管理条例,,,第二章 业主大会、业主委员会和物业管理委员会,第一节 业主大会,第九条 一个物业管理区域成立一个业主大会。业主大会由物业管理区域内全体业主组成代表和维护全体业主在物业管理活动中的合法权益依法履行相应职责。业主大会决定下列事项会成员委员会成员工作补贴和标准动业主共同决定事项应当由专有部分面积占比三分之二以上的业主且人数占比三分之二以上的业主参与表决。决定前款第九项至第十一项规定的事项应当经参与表决专有部分面积四分之三以上的业主且参与表决人数四分之三以上的业主同意。决定前款其他事项应当经参与表决专有部分面积过半数的业主且参与表决人数过半数的业主同意。
常州市住宅物业管理条例,,,第二章 业主大会、业主委员会和物业管理委员会,第一节 业主大会,第十条 一个物业管理区域内符合下列条件之一的应当召开首次业主大会会议五十以上一个物业管理区域内首套房屋出售并交付使用满两年的可以召开首次业主大会会议。划分为一个物业管理区域的分期开发的建设项目先期开发部分符合本条第一款规定条件的可以召开首次业主大会会议。首次业主大会会议应当根据分期开发的物业面积和进度等因素在业主大会议事规则中明确增补业主委员会成员的办法。
