文件名,编,分编,章,节,内容
平顶山市传统村落保护条例,,,,,第一条 为了加强传统村落保护传承和弘扬优秀传统文化推动乡村振兴根据有关法律、法规结合本市实际制定本条例。
平顶山市传统村落保护条例,,,,,第二条 本市行政区域内传统村落的保护工作适用本条例。本条例所称传统村落是指拥有物质形态和非物质形态文化遗产具备较高的历史、文化、科学、艺术、社会、经济价值列入国家级、省级传统村落名录的村落。本条例未作规定的适用有关法律、法规的规定。
平顶山市传统村落保护条例,,,,,第三条 传统村落保护应当遵循政府主导、村民主体、社会参与保护优先、兼顾发展科学规划、严格管理活态传承、合理利用的原则。
平顶山市传统村落保护条例,,,,,第四条 市、县市、区人民政府应当加强对传统村落保护发展工作的领导将传统村落保护发展纳入国民经济和社会发展规划健全传统村落保护发展工作协调机制解决传统村落保护发展中的重大问题。市、县市、区人民政府应当将传统村落保护经费列入本级财政预算统筹整合相关资金支持传统村落保护发展。
平顶山市传统村落保护条例,,,,,第五条 市、县市、区人民政府住房城乡建设部门是传统村落保护工作的主管部门负责对传统村落保护工作的监督、管理和指导。发展改革、公安、财政、自然资源和规划、生态环境、农业农村、文化和旅游、林业、消防救援等有关部门按照各自职责做好传统村落保护相关工作。
平顶山市传统村落保护条例,,,,,第六条 传统村落所在地乡镇人民政府应当履行下列职责境
平顶山市传统村落保护条例,,,,,第七条 传统村落所在地村民委员会应当履行下列职责落的传统建筑构件进行收集、保护并及时向乡镇人民政府报告及时向乡镇人民政府报告
平顶山市传统村落保护条例,,,,,第八条 在传统村落保护发展规划的编制、传统建筑保护、修缮、利用等工作中应当听取专家意见。
平顶山市传统村落保护条例,,,,,第九条 传统村落所在地乡镇人民政府应当自传统村落名录公布之日起一年内组织编制完成传统村落保护发展规划报县市人民政府审批。编制保护发展规划应当经村民会议或者村民代表会议讨论同意由乡镇人民政府进行公示公示期不少于三十日。保护发展规划报送审批前应当按照有关规定报相关部门组织技术审查。保护发展规划经批准后传统村落所在地县市人民政府应当自批准之日起十日内向社会公布。
平顶山市传统村落保护条例,,,,,第十条 传统村落保护发展规划应当确定保护措施划定保护范围明确控制要求安排村庄基础设施和公共服务设施建设和整治项目明确传统要素资源利用方式提出传承发展传统生产生活的措施。保护发展规划应当符合乡镇国土空间规划并与村庄规划和文化旅游、文物保护、生态环境保护、乡村建设等专项规划相衔接。
平顶山市传统村落保护条例,,,,,第十一条 经依法批准的传统村落保护发展规划不得擅自修改。具有下列情形之一确需修改保护发展规划的应当按照原审批程序报送审批调整影响原规划实施的的内容需要作出重大调整的
平顶山市传统村落保护条例,,,,,第十二条 传统村落应当实行整体保护保持村落空间和生态环境的完整性鼓励村民在传统村落内居住维护传统村落文化遗产形态、内涵和村民生产生活的真实性、延续性。传统建筑、古路古桥、古井古塘、古树名木等应当保持原有的传统格局和历史风貌不得改变与其相互依存的自然景观和环境。
平顶山市传统村落保护条例,,,,,第十三条 市、县市、区人民政府住房城乡建设主管部门应当会同自然资源和规划、文化和旅游等部门做好传统村落调查工作按照一村一档制作数字化传统村落档案。鼓励和支持传统村落数字化建设并结合本地实际建设传统村落数字博物馆。
平顶山市传统村落保护条例,,,,,第十四条 县市、区人民政府应当在传统村落明显位置设立标志牌。任何单位和个人不得擅自设置、移动、涂改或者损毁标志牌。
平顶山市传统村落保护条例,,,,,第十五条 传统村落保护范围应当划分为核心保护区、建设控制地带和环境协调区实行分区保护。核心保护区内除必要的基础设施和公共服务设施外禁止擅自进行新建、扩建活动。改建、修缮、外部装饰装修建构筑物、设置标识等应当保持材料、体量、风格、色彩与传统村落整体风貌协调一致。建设控制地带内新建、改建、扩建、修缮、外部装饰装修建构筑物等应当保持材料、体量、风格、色彩与传统村落整体风貌协调一致禁止影响核心保护区轮廓线和视觉通廊。环境协调区内新建、改建、扩建房屋的应当根据传统村落保护发展规划总体要求做好自然环境控制为核心保护区和建设控制地带提供良好的保护屏障和景观背景。
平顶山市传统村落保护条例,,,,,第十六条 在传统村落保护范围内禁止下列行为地、湿地等腐蚀性等物品规划许可证的规定进行建设
平顶山市传统村落保护条例,,,,,第十七条 传统村落保护范围内传统建筑的安全、维护和修缮由所有权人负责所有权人与使用权人另有约定的从其约定。传统建筑有灭失危险所有权人或者使用权人不具备维护修缮能力的由传统村落所在地乡镇人民政府组织抢救修缮。传统建筑的所有权人或者使用权人自筹资金修缮传统建筑的县市、区人民政府应当给予适当财政补助。传统建筑所有权人下落不明又无法定继承人或者合法代理人的由传统建筑所在地村民委员会进行公告认领公告满一年无人认领的由传统建筑所在地村民委员会代管。代管期间原产权人认领的经审查属实予以返还。代管期间的经营收益扣除保护管理成本后由原产权人享有。
平顶山市传统村落保护条例,,,,,第十八条 传统村落保护范围内传统建筑的维护修缮应当遵循修旧如旧的原则。传统建筑的维护修缮鼓励采用传统工艺、传统技术、传统材料保持传统建筑原有的平面布局、空间特征和建筑特色。在符合传统村落保护发展规划要求和保证结构安全、保持建筑传统风貌和建筑形式不改变的情况下鼓励村民开展传统建筑节能改造和功能提升改善居住条件提高人居环境品质。
平顶山市传统村落保护条例,,,,,第十九条 市、县市、区人民政府应当重视农村传统建筑人才队伍建设加强对农村传统建筑工匠的教育培训为传承和发展传统村落特色建筑文化提供可持续的人才支撑。鼓励和支持农村传统建筑工匠开展技艺传承活动。
平顶山市传统村落保护条例,,,,,第二十条 市、县市、区人民政府应当将传统村落保护发展与乡村振兴相融合立足本地实际在延续传统生产生活方式的基础上挖掘非物质文化遗产利用古寨、建筑、陶瓷、木雕、幻术、说唱、饮食等传统村落历史文化资源推动文化和旅游深度融合。积极发展特色农业、健康养老、文化创意、民俗展示、研学、民宿、电商等产业合理布局新产业新业态打造特色品牌激发传统村落活力。市、县市、区人民政府应当将传统村落纳入本地旅游发展规划和乡村旅游规划支持有条件的传统村落发展乡村旅游。
平顶山市传统村落保护条例,,,,,第二十一条 鼓励和支持传统村落村民依法以农村土地的经营权、传统建筑、房屋、资金、劳务等入股的方式参与传统村落保护发展。村民委员会可以在所有权人自愿的前提下通过以旧换新或者产权置换等方式保护利用闲置传统建筑。鼓励单位和个人依法通过捐资、捐赠、投资、入股、租赁等方式参与传统村落保护发展。
平顶山市传统村落保护条例,,,,,第二十二条 市、县市、区人民政府住房城乡建设主管部门应当建立传统村落常态化监督管理机制会同有关部门对传统村落保护状况以及传统村落保护发展规划编制、实施情况等进行定期检查和跟踪监测。
平顶山市传统村落保护条例,,,,,第二十三条 市、县市、区人民政府应当定期向同级人民代表大会常务委员会报告传统村落保护工作。
平顶山市传统村落保护条例,,,,,第二十四条 违反本条例第十六条第四项规定未依法取得乡村建设规划许可证或者未按照乡村建设规划许可证的规定进行建设的由乡镇人民政府责令停止建设、限期改正逾期不改正的可以依法拆除。
平顶山市传统村落保护条例,,,,,第二十五条 负有传统村落保护发展工作职责的单位及其工作人员有下列行为之一的对直接负责的主管人员和其他直接责任人员依法给予处分构成犯罪的依法追究刑事责任
平顶山市传统村落保护条例,,,,,第二十六条 违反本条例规定的行为法律、法规已有法律责任规定的从其规定。
平顶山市传统村落保护条例,,,,,第二十七条 本条例自 2024 年 3 月 1 日起施行。
