文件名,编,分编,章,节,内容
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第一章 总则,,第一条 为了保障广东省各级人民代表大会代表以下简称代表依法行使提出建议、批评和意见的权利规范代表建议、批评和意见办理工作根据有关法律法规结合本省实际制定本规定。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第一章 总则,,第二条 代表建议、批评和意见工作坚持以习近平新时代中国特色社会主义思想为指导坚持党的领导、人民当家作主、依法治国有机统一充分发挥人民代表大会制度优势着力推动解决人民最关心最直接最现实的利益问题。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第一章 总则,,第三条 本规定所称代表建议、批评和意见包括代表或者代表团向本级人民代表大会或者人民代表大会常务委员会乡、民族乡、镇以下简称乡镇人民代表大会主席团提出的对本行政区域内各方面工作的建议、批评和意见以及经本级人民代表大会主席团决定作为建议、批评和意见处理的代表提出的议案。代表依法提出建议、批评和意见是代表执行代表职务参加管理国家事务、管理经济和文化事业、管理社会事务的重要形式。认真研究办理代表建议、批评和意见并负责答复是有关机关、组织的法定职责是加强同人大代表、人民群众联系为人民服务、接受人民监督的重要体现。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第一章 总则,,第四条 人民代表大会常务委员会和乡镇人民代表大会主席团应当为代表建议、批评和意见工作提供必要的条件人民代表大会专门委员会、常务委员会工作机构乡镇人民代表大会办公室不设区的市、市辖区人民代表大会常务委员会街道工作委员会应当为代表建议、批评和意见工作提供服务。代表所在单位应当依法为代表建议、批评和意见工作提供保障。代表提出建议、批评和意见参加建议、批评和意见办理工作情况以及对办理工作评价情况记入代表履职档案。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第一章 总则,,第五条 代表建议、批评和意见涉及国家秘密、工作秘密、商业秘密、个人隐私的在提出、交办、办理和答复过程中代表和相关单位应当严格遵守相关法律法规规定做好保密工作。代表对所提建议、批评和意见要求保密或者代表所提建议、批评和意见有可能使代表或者他人受到打击报复的交办单位及承办单位应当予以保密。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第一章 总则,,第六条 代表建议、批评和意见工作所需经费应当纳入本级财政予以保障。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第二章 代表建议、批评和意见的提出,,第七条 代表应当通过专题调研、视察、代表小组活动和座谈、走访、进联络站活动等多种形式深入实际深入基层了解本行政区域内的重要情况和问题听取原选区选民或者原选举单位和人民群众的意见和要求认真提出建议、批评和意见。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第二章 代表建议、批评和意见的提出,,第八条 代表应当主要围绕本行政区域内关系改革发展稳定和人民群众切身利益、社会普遍关注的问题对本级人民代表大会及其常务委员会或者乡镇人民代表大会及其主席团人民政府及其部门监察委员会人民法院人民检察院和其他机关、组织的工作提出建议、批评和意见。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第二章 代表建议、批评和意见的提出,,第九条 代表提出建议、批评和意见应当实事求是、一事一议、明确具体反映实际情况分析问题原因提出改进工作、解决问题、完善政策的具体措施。代表不得利用提出建议、批评和意见干涉具体司法案件或者招标投标等经济活动牟取个人利益。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第二章 代表建议、批评和意见的提出,,第十条 下列情形不作为代表建议、批评和意见提出的修改意见的具体案件的对存在前款规定情形的向代表说明情况后退回代表或者作为代表来信处理。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第二章 代表建议、批评和意见的提出,,第十一条 代表建议、批评和意见可以由代表一人提出也可以由代表联名提出。联名提出的应当主要基于代表共同调查研究领衔代表应当采取适当方式组织联名的代表充分酝酿讨论使参加联名的代表了解建议、批评和意见的内容。参加联名的代表应当确认建议、批评和意见的内容能够真实表达自己的意愿。代表团提出建议、批评和意见应当经代表团全体代表的过半数同意通过。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第二章 代表建议、批评和意见的提出,,第十二条 代表应当以书面形式或者通过交办单位指定的信息平台提交建议、批评和意见。以书面形式提交的应当按照本级人民代表大会常务委员会或者乡镇人民代表大会主席团规定的格式书写并亲笔签名通过信息平台提交的应当由代表本人确认。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第二章 代表建议、批评和意见的提出,,第十三条 代表在本级人民代表大会会议期间提出的建议、批评和意见由大会秘书处或者乡镇人民代表大会主席团负责受理在闭会期间提出的由交办单位负责受理。代表提出的建议、批评和意见在交办前可以书面提出撤回。
广东省各级人民代表大会代表建议、批评和意见办理规定,,,第二章 代表建议、批评和意见的提出,,第十四条 人民代表大会常务委员会代表工作机构、乡镇人民代表大会办公室应当会同有关方面组织代表加强履职学习深入了解当地经济社会发展情况和社情民意在代表建议、批评和意见选题、酝酿、提出过程中为代表提供相应条件和必要帮助协助代表提高质量。
