文件名,编,分编,章,节,内容
广东省母婴保健管理条例,,,,,第一条 为了保障母亲和婴儿健康加强母婴保健管理提高出生人口素质根据《中华人民共和国母婴保健法》《中华人民共和国母婴保健法实施办法》等法律、行政法规结合本省实际制定本条例。
广东省母婴保健管理条例,,,,,第二条 本条例适用于本省行政区域内婚前孕前保健、孕产期保健、婴儿保健等母婴保健技术服务以及相关监督管理活动。
广东省母婴保健管理条例,,,,,第三条 县级以上人民政府应当加强对母婴保健工作的领导将母婴保健工作纳入本级国民经济和社会发展计划所需经费列入本级财政预算对欠发达地区的母婴保健工作给予扶持。县级以上人民政府应当按照国家和省的规定免费提供母婴保健基本公共卫生服务并为危重孕产妇和新生儿救治、出生医学证明管理等工作提供必要条件。鼓励有条件的地方增加母婴保健免费服务项目。
广东省母婴保健管理条例,,,,,第四条 县级以上人民政府卫生健康主管部门主管本行政区域内母婴保健工作对本行政区域内母婴保健工作实施监督管理。发展改革、财政、民政、人力资源社会保障、公安、医疗保障、市场监督管理等部门应当在各自职责范围内配合做好母婴保健工作。工会、共产主义青年团、妇女联合会、残疾人联合会等群团组织应当协助做好母婴保健工作。母婴保健领域的行业协会应当发挥信息交流、诉求反映、服务咨询和行业自律作用。
广东省母婴保健管理条例,,,,,第五条 各级人民政府和有关部门应当开展多种形式的宣传教育普及母婴保健知识推广先进、实用的母婴保健技术推动形成全社会共同参与支持母婴保健工作、关爱孕产妇婴儿健康的良好氛围。村民委员会、居民委员会应当协助做好母婴保健宣传教育工作。广播、电视、报刊、互联网等媒体应当开展母婴保健知识公益宣传。
广东省母婴保健管理条例,,,,,第六条 各级人民政府和有关部门应当加强婚前孕前医学检查的宣传、引导和服务保障工作。县级以上人民政府卫生健康主管部门应当指定医疗卫生机构为群众提供免费的婚前孕前医学检查服务。县级人民政府应当在婚姻登记处紧邻设立适宜开展婚前孕前医学检查服务的场所由具备资质的医疗卫生机构派驻人员为群众提供免费检查。
广东省母婴保健管理条例,,,,,第七条 孕产妇应当做好自我健康管理按时接受孕产期保健服务。医疗卫生机构按照规范提供优生优育咨询指导为孕产妇提供孕产期健康管理、产后访视和产后四十二天健康检查服务对胎儿生长发育进行监护。倡导家庭成员相互关爱形成符合孕产妇自身和家庭特点的健康生活方式。
广东省母婴保健管理条例,,,,,第八条 医疗卫生机构应当将孕产期心理保健知识纳入孕产期保健科普宣传教育内容根据需要开展心理咨询、评估和指导提高孕产妇及其家庭成员的心理健康保健意识。鼓励和支持心理援助机构、社会工作机构、志愿服务组织以及社区为有需要的孕产妇提供心理健康援助服务。
广东省母婴保健管理条例,,,,,第九条 医疗卫生机构应当为孕早期或者初次产前检查的孕产妇提供艾滋病、梅毒、乙肝检测和咨询服务对检测阳性的孕产妇及其所生婴儿进行相应干预治疗预防艾滋病、梅毒、乙肝母婴传播。各级人民政府引导和支持社会组织参与消除艾滋病、梅毒和乙肝母婴传播工作。
广东省母婴保健管理条例,,,,,第十条 县级以上人民政府卫生健康主管部门实施出生缺陷综合防治指导医疗卫生机构落实出生缺陷三级预防综合防治措施。医疗卫生机构为育龄夫妻提供婚前孕前保健、孕早期综合干预以及产前筛查、产前诊断和新生儿疾病筛查预防和减少出生缺陷。完善出生缺陷患儿医疗保障制度减轻缺陷患儿家庭的负担。
广东省母婴保健管理条例,,,,,第十一条 孕产妇住院分娩应当提供本人真实身份信息医疗卫生机构应当进行实人实名核验并做好登记和档案管理。医师和助产人员应当严格遵守有关操作规程提高助产技术和服务质量预防和减少产伤保障母婴安全。促进自然分娩减少非医学指征剖宫产。鼓励医疗卫生机构开展专业陪伴分娩及药物镇痛分娩服务。
广东省母婴保健管理条例,,,,,第十二条 县级以上人民政府卫生健康主管部门指定符合条件的医疗卫生机构作为辖区危重孕产妇、新生儿救治中心组建多学科专家组成的区域危重孕产妇和新生儿救治专家组建立医疗卫生机构、急救中心和血站联动机制健全分级负责、上下联动的急救、会诊、转诊网络。医疗卫生机构实行孕产妇妊娠风险筛查与评估、高危专案管理、危急重症救治和死亡个案报告制度。
广东省母婴保健管理条例,,,,,第十三条 实施贫困危重孕产妇、新生儿救助制度。对无力支付急救费用的危重孕产妇、新生儿医疗卫生机构应当实施救治各级人民政府应当对承担救治的医疗卫生机构给予医疗费用补助。具体救助制度由省人民政府卫生健康主管部门会同财政、医疗保障等有关部门制定。
广东省母婴保健管理条例,,,,,第十四条 医疗卫生机构应当按照规定进行新生儿访视为新生儿生长发育、哺乳和护理提供医疗保健服务建立健康档案定期对其进行健康检查按照规定的程序和项目对婴儿进行预防接种。倡导产后母婴同室。鼓励有条件的医疗卫生机构提供新生儿家庭式陪护病房减少母婴分离。
广东省母婴保健管理条例,,,,,第十五条 全社会保护、支持和促进母乳喂养。县级以上人民政府卫生健康主管部门负责组织实施母乳喂养促进工作加强爱婴医院评定和规范化管理。医疗卫生机构负责母乳喂养健康教育加强孕前、产时、产后、新生儿和婴幼儿期咨询指导。医疗卫生机构及其工作人员不得向孕产妇和婴儿家庭宣传、推荐和违规提供母乳代用品。卫生健康、发展改革、市场监督管理、住房城乡建设、交通运输、文化和旅游、铁路、民航等有关部门按照职责分工在医疗卫生机构、商场、车站、机场、景区等公共场所推进母婴设施建设。
广东省母婴保健管理条例,,,,,第十六条 医疗卫生机构应当完善出生医学证明管理制度按照国家和省的有关规定为新生儿签发国家统一制发的出生医学证明。医疗卫生机构和医务人员不得伪造分娩病历、出具虚假出生医学证明。任何单位和个人不得伪造、变造、买卖或者使用伪造、变造的出生医学证明。发现涉嫌使用伪造、变造或者冒用他人居民身份证、护照等依法可以用于证明身份的证件行为医疗卫生机构应当立即向辖区公安机关报案由公安机关及时依法处理。公安机关在为新生儿办理户口登记时应当查验其出生医学证明。
广东省母婴保健管理条例,,,,,第十七条 医疗卫生机构应当规范不孕不育诊治服务和人类辅助生殖技术应用在不育夫妇建立档案、取精取卵、胚胎移植等关键环节进行实人实名核验保障医疗安全。县级以上人民政府卫生健康主管部门应当加强人类辅助生殖技术监督管理。未经卫生健康主管部门批准任何单位和个人不得实施人类辅助生殖技术。
广东省母婴保健管理条例,,,,,第十八条 禁止进行非医学需要的胚胎、胎儿性别鉴定或者选择性别的人工终止妊娠。
广东省母婴保健管理条例,,,,,第十九条 对在母婴保健技术服务及相关监督管理过程中掌握的个人信息和隐私有关单位和个人应当依法予以保密。
广东省母婴保健管理条例,,,,,第二十条 县级以上人民政府卫生健康主管部门应当加强对本行政区域内妇幼保健机构及母婴保健技术服务的监督和管理建立妇幼保健机构绩效考核评价制度。发挥专项技术指导中心或者质量控制中心作用针对产前诊断、人类辅助生殖、助产等风险较高的重点技术强化技术评估、质量改进和风险防范。
广东省母婴保健管理条例,,,,,第二十一条 县级以上人民政府卫生健康主管部门应当建立健全孕产妇死亡、婴儿死亡和新生儿出生缺陷监测、报告制度实行孕产妇死亡、新生儿死亡病例评审制度。医疗卫生机构发生孕产妇、婴儿死亡情况的应当通过省妇幼健康信息平台直报系统按时上报。
广东省母婴保健管理条例,,,,,第二十二条 县级以上人民政府卫生健康主管部门应当加强母婴保健管理执法保障母婴安全。县级以上人民政府卫生健康主管部门应当会同市场监督管理、药品监督管理、公安、网信、通信等有关部门建立健全联合打击非法应用人类辅助生殖技术等违法行为工作机制依法联合查处非法应用人类辅助生殖技术等违法行为。
广东省母婴保健管理条例,,,,,第二十三条 违反本条例规定有下列行为之一的由县级以上人民政府有关部门依法给予处罚构成犯罪的依法追究刑事责任推荐和违规提供母乳代用品的出生医学证明的造的出生医学证明的的的人工终止妊娠的的个人信息和隐私依法予以保密的。
