文件名,编,分编,章,节,内容
广东省深汕特别合作区条例,,,第一章 总 则,,第一条 为了促进区域协调发展规范、保障和促进深汕特别合作区健康有序发展根据有关法律、行政法规规定结合深汕特别合作区实际制定本条例。
广东省深汕特别合作区条例,,,第一章 总 则,,第二条 本条例适用于深汕特别合作区以下简称合作区的开发、建设、管理和服务等活动。合作区的范围包括汕尾市海丰县鹅埠、小漠、鲘门、赤石四个街道。
广东省深汕特别合作区条例,,,第一章 总 则,,第三条 合作区应当坚持先行先试、政府主导、市场运作、社会协同、共享发展的原则加快建设成为区域合作发展示范区、自主创新拓展区、粤港澳大湾区辐射节点区。
广东省深汕特别合作区条例,,,第一章 总 则,,第四条 深圳市应当以所属经济功能区的标准和要求负责合作区开发、建设、管理和服务等工作给予合作区政策和资源支持及时解决发展面临的困难和问题并加强对汕尾市的辐射、带动作用。汕尾市应当积极配合做好各项工作为合作区加快体制机制调整和开发建设创造良好的环境和条件并通过合作区加强创新合作、联动发展对接融入粤港澳大湾区建设。省人民政府及其有关部门应当加强对合作区的支持和指导依法推进合作区体制机制创新完善并统筹、协调合作区与汕尾市的区域合作事项推动合作共享和发展。
广东省深汕特别合作区条例,,,第一章 总 则,,第五条 深圳市和汕尾市应当建立合作区发展工作协调机制强化对接联动推动区域协同和融合发展强化合作区产业、经济、科技、人才、资源等方面的辐射带动、拓展延伸作用推动汕尾市实现跨越式发展。
广东省深汕特别合作区条例,,,第一章 总 则,,第六条 鼓励合作区开展改革创新试验推进行政、经济、文化、社会和生态等领域的创新实践创造可复制可推广的新时代区域协调发展制度经验。合作区建立容错免责机制。在合作区进行的改革创新试验未能实现预期目标但是符合合作区战略定位和任务要求决策程序符合法律、法规或者有关规定未牟取私利或者未恶意串通损害公共利益的可以予以免责或者减轻责任。
广东省深汕特别合作区条例,,,第二章 组织机构,,第七条 在合作区设立的合作区管理委员会以下简称合作区管委会负责合作区的具体工作行使相关行政管理职权。合作区管委会按照优化、协同、高效的原则根据机构编制管理有关的规定、权限、程序设立和调整工作机构。合作区管委会及其工作机构在职权范围内以自己的名义行使职权并承担相应责任其职权清单应当向社会公开。
广东省深汕特别合作区条例,,,第二章 组织机构,,第八条 合作区范围内鹅埠、小漠、鲘门、赤石街道有关管理机构由合作区管委会管理依法在职权范围内以自己的名义行使职权并承担相应责任。
广东省深汕特别合作区条例,,,第二章 组织机构,,第九条 依照法定程序向合作区派出监察机构或者监察专员。
广东省深汕特别合作区条例,,,第二章 组织机构,,第十条 依照法定程序设立合作区人民法院、人民检察院。
广东省深汕特别合作区条例,,,第二章 组织机构,,第十一条 省人民政府、深圳市人民政府和汕尾市人民政府应当加强与海关、海事、边防检查、港航、气象、地震、邮政、烟草专卖等部门和单位的联系沟通支持中央驻粤机构在合作区设置分支机构。
广东省深汕特别合作区条例,,,第三章 管理职能,,第十二条 合作区国民经济和社会发展规划统筹纳入深圳市国民经济和社会发展规划体系。合作区管委会组织编制和实施合作区国民经济和社会发展规划。支持深圳市创新合作区国民经济相关数据统计方式。
广东省深汕特别合作区条例,,,第三章 管理职能,,第十三条 合作区管委会协同深圳市人民政府自然资源主管部门组织编制合作区国土空间总体规划和相关专项规划报深圳市人民政府批准后实施纳入深圳市国土空间规划管理体系。合作区管委会组织编制详细规划报深圳市人民政府审批。
广东省深汕特别合作区条例,,,第三章 管理职能,,第十四条 支持深圳市依法创新合作区财政预决算编制、审批和执行工作。合作区管委会负责编制合作区预决算草案并组织合作区预算的执行。
广东省深汕特别合作区条例,,,第三章 管理职能,,第十五条 合作区管委会应当组织编制和实施合作区产业发展规划并将汕尾市列入产业辐射、协作范围。合作区管委会可以制定土地、资金、生产要素、服务等保障制度依法对重大招商引资项目予以政策支持。
广东省深汕特别合作区条例,,,第三章 管理职能,,第十六条 合作区管委会负责合作区自然资源相关事项的管理涉及国家、省或者深圳市权限的应当报深圳市人民政府按照相关规定和程序办理。
广东省深汕特别合作区条例,,,第三章 管理职能,,第十七条 合作区管委会负责实施合作区国土空间规划加强城乡基础设施、公共交通设施、通信基础设施和其他公共配套设施的建设和管理提升城乡建设品质和管理水平强化城乡历史文化保护传承。
广东省深汕特别合作区条例,,,第三章 管理职能,,第十八条 合作区管委会组织编制和实施生态环境保护和建设规划采取各类措施改善生态环境质量保障生态环境安全。
广东省深汕特别合作区条例,,,第三章 管理职能,,第十九条 合作区管委会可以根据实际需要依法开展综合行政执法工作。
广东省深汕特别合作区条例,,,第四章 产业发展,,第二十条 合作区应当根据国家、省、深圳市产业发展政策提出产业发展重点建立项目管理、评价制度实施动态管理并向社会公布。
