文件名,编,分编,章,节,内容
广东省电梯使用安全条例,,,,,第一条 为了加强电梯使用安全工作预防电梯事故保障人身和财产安全根据《中华人民共和国特种设备安全法》和其他有关法律、行政法规结合本省实际制定本条例。
广东省电梯使用安全条例,,,,,第二条 本条例适用于本省行政区域内的电梯使用以及与电梯使用安全相关的制造、安装、改造、修理、维护保养、检验检测、应急处置、监督管理等活动。电梯的范围按照国务院批准的目录确定。个人或者单个家庭自用电梯改作公共使用的执行本条例。
广东省电梯使用安全条例,,,,,第三条 电梯使用安全工作应当遵循安全第一、预防为主、权责明确、便民高效的原则。
广东省电梯使用安全条例,,,,,第四条 县级以上人民政府特种设备安全监督管理部门对本行政区域内电梯使用安全实施监督管理其他有关部门按照职责分工做好电梯使用安全监督管理工作。乡镇人民政府、街道办事处协助做好电梯使用安全监督管理工作。
广东省电梯使用安全条例,,,,,第五条 鼓励特种设备行业协会等社会组织参与电梯使用安全监督管理工作建立行业自律机制推进行业诚信体系建设提供电梯安全培训、宣传教育、咨询等服务提高电梯安全管理水平。
广东省电梯使用安全条例,,,,,第六条 特种设备安全监督管理部门应当加强电梯安全宣传教育普及电梯安全知识增强社会公众的电梯安全意识。电梯制造单位安装、改造、修理施工单位维护保养单位检验检测机构应当加强对电梯安全知识的宣传引导社会公众正确使用电梯。幼儿园、学校应当将电梯安全知识作为安全教育的重要内容培养幼儿、学生安全、文明使用电梯的习惯。监护人应当履行对被监护人安全、文明使用电梯的监护义务。新闻媒体应当开展电梯安全法律法规及相关知识的公益宣传对违反电梯安全管理规定的行为进行舆论监督。
广东省电梯使用安全条例,,,,,第七条 电梯井道工程设计、电梯的选型和配置应当符合法律法规、安全技术规范以及标准的规定并与建筑结构、使用需求相适应。法律法规、安全技术规范以及标准对电梯井道工程设计、电梯选型与配置未作规定或者电梯的使用环境、条件和实际运作工况有特殊要求的建设单位应当提出电梯选型、配置要求组织协调、进行风险评估确定电梯井道设计方案。
广东省电梯使用安全条例,,,,,第八条 电梯投入使用前应当按照下列规定明确使用管理人管理人使用管理人没有约定的按照本条第二项、第三项明确电梯使用管理人。未明确使用管理人的电梯不得投入使用。
广东省电梯使用安全条例,,,,,第九条 电梯使用管理人是电梯使用安全管理的首负责任人对电梯日常使用安全负责履行下列义务电梯使用登记使用管理人变更的应当自变更之日起三十日内办理变更登记电梯属于产权共有的可以协商确定其中一个共有人办理登记使用电梯钥匙示标志、安全注意事项、使用年限届满日期以及服务、投诉、救援电话行期间在岗记录没有相应资质的应当委托取得相应制造、安装、改造、修理资质的单位维护保养电梯行为的及时制止家具、家用电器等物品的采取有效的安全防护技术措施或者安排人员进行现场管理在电梯口的显著位置设置停用标志并及时进行检修未取得维护保养相关资质的应当及时通知电梯维护保养单位检修配合电梯维护保养单位实施救援并按规定及时报告特种设备安全监督管理部门当在电梯制造单位的指导下进行装修完成后应当通知电梯制造单位进行测试经测试符合国家相关安全技术规范后方可投入使用估工作馆、公园、电影院、剧院等公众聚集场所使用的电梯实施实时监控监控数据应当保存不少于一个月。对自行管理的电梯使用管理人可以将前款所列义务中的一项或者多项委托他人管理受托人对受托事项履行安全管理义务。
广东省电梯使用安全条例,,,,,第十条 使用管理人应当建立电梯安全技术档案并长期保存。安全技术档案包括安装及维护保养说明、应急处置技术指导文件等出厂文件重大技术问题处理文件等施工文件验、检修记录运行故障和事故记录电梯制造单位安装、改造、修理施工单位维护保养单位和检验检测等专业服务机构应当向使用管理人提供相关技术资料。使用管理人变更的原使用管理人应当将电梯安全技术档案完整移交给新的电梯使用管理人。
广东省电梯使用安全条例,,,,,第十一条 电梯投入使用前电梯使用管理人应当建立岗位责任、隐患治理、应急救援等安全管理制度健全电梯事故风险防范机制保障公众安全。建立电梯公众责任保险制度鼓励、支持按照国家和省的有关规定投保电梯公众责任保险。
广东省电梯使用安全条例,,,,,第十二条 电梯制造单位应当保证电梯的质量、安全性能和能效指标符合法律法规以及安全技术规范和标准的要求履行下列义务明、安装及维护保养说明、应急处置技术指导文件满九十日前书面告知使用管理人理的技术指导协助开展应急救援等专业技能培训在严重事故隐患的立即告知电梯使用管理人并提出处理意见缺陷的立即停止生产依法实施召回及时消除安全隐患。提倡制造单位采用现代信息管理技术对电梯安全运行实施跟踪、提供服务。在本省销售境外制造的电梯制造单位没有在境内设立直销机构的应当明确在境内注册的代理商由代理商承担本条第一款规定的制造单位的义务。
广东省电梯使用安全条例,,,,,第十三条 电梯安装、改造、修理施工单位应当按照法律法规以及安全技术规范的要求进行施工真实记录施工过程并在竣工验收后三十日内将监督检验报告、隐蔽工程资料以及施工过程记录、重大技术问题处理文件等技术资料移交给电梯所有权人或者其委托的使用管理人。电梯安装、改造、修理工程经监督检验合格并竣工验收后电梯施工单位将电梯钥匙以及技术资料移交给电梯所有权人或者其委托的使用管理人的即为交付使用。在交付使用前电梯施工单位应当采取措施防止电梯被他人使用。
广东省电梯使用安全条例,,,,,第十四条 移装电梯的电梯使用管理人应当委托电梯制造单位或者电梯检验检测等专业服务机构进行安全评估。出厂文件不齐全的电梯不得移装。
广东省电梯使用安全条例,,,,,第十五条 电梯维护保养单位应当对其维护保养的电梯的安全性能负责按照维护保养合同以及法律法规、安全技术规范和标准的规定对电梯进行维护保养确保维护保养质量履行下列安全管理义务仪器设备并书面告知所在地地级以上市人民政府特种设备安全监督管理部门自身安全防护止意外发生查等维护保养工作并经使用管理人签字确认存期不少于四年给其他维护保养单位小时值班制度接到故障通知后三十分钟内赶到现场并迅速采取应急救援措施和技能培训安全教育和技能培训记录保存不少于两年。提倡维护保养单位采用现代信息管理技术对电梯维护保养质量和维护保养行为实施监控。电梯维护保养单位可以通过签订联保协议等方式委托其他具备应急救援能力的单位提供专业化、社会化的应急救援服务。
广东省电梯使用安全条例,,,,,第十六条 提倡电梯制造单位维护保养本单位制造的电梯。制造单位设立或者委托的单位维护保养其制造的电梯的无需再取得相应许可但应当书面告知负责登记的特种设备安全监督管理部门。
广东省电梯使用安全条例,,,,,第十七条 变更在用电梯维护保养单位的电梯使用管理人应当自变更之日起三十日内凭合同原件等相关证明到电梯检验机构变更电梯检验标志相关内容检验机构应当及时出具新的检验标志。电梯检验机构应当自出具新的检验标志之日起五日内向负责登记的特种设备安全监督管理部门提交更新后的电梯维护保养单位信息。
广东省电梯使用安全条例,,,,,第十八条 电梯维护保养单位发现电梯存在事故隐患的应当及时告知电梯使用管理人提出处理建议和所需费用发现严重事故隐患的还应当向当地特种设备安全监督管理部门报告接到严重事故隐患报告的特种设备安全监督管理部门应当及时依法处理。
广东省电梯使用安全条例,,,,,第十九条 县级以上人民政府及其特种设备安全监督管理部门应当依法组织制定电梯事故应急预案并在接到事故报告后依法启动应急预案采取应急处置措施组织应急救援。
广东省电梯使用安全条例,,,,,第二十条 电梯乘用人应当遵守电梯乘用规范安全使用电梯不得有下列行为自动人行道逆行以及在其出入口滞留电梯乘用人发现电梯运行异常的应当立即告知电梯使用管理人或者其他相关人员。电梯乘用安全规范由省特种设备安全监督管理部门制定。
广东省电梯使用安全条例,,,,,第二十一条 电梯有下列情形之一可能影响电梯使用安全的电梯使用管理人应当委托电梯制造单位或者检验检测等专业服务机构进行安全评估并根据评估结论对电梯进行更新、改造、修理人同意的。有前款第一项情形的使用管理人应当在使用年限届满之前完成安全评估有前款第二、三项情形的使用管理人应当在电梯恢复使用之前完成安全评估。使用管理人委托制造单位对使用年限即将届满的电梯进行安全评估的制造单位应当及时按照安全技术规范和标准组织评估并作出评估结论。提倡制造单位将首次安全评估作为售后服务免费项目。
广东省电梯使用安全条例,,,,,第二十二条 受委托进行电梯安全评估的单位或者机构应当作出客观、公正、明确的评估结论对评估结论的真实性、完整性负责并于评估结论作出之日起五日内向负责登记的特种设备安全监督管理部门提交评估信息。
广东省电梯使用安全条例,,,,,第二十三条 电梯使用管理人对电梯评估结论有异议的可以在收到电梯评估结论之日起十五日内以书面形式向受委托进行电梯安全评估的单位或者机构提出。受委托进行电梯安全评估的单位或者机构应当在约定时间内作出书面答复。电梯使用管理人对书面答复仍有异议的可以委托其他电梯制造单位或者检验检测等专业服务机构进行复评。受委托对电梯安全进行复评的单位或者机构应当在约定时间内作出复评结论。复评结论可以作为行政管理的依据。
广东省电梯使用安全条例,,,,,第二十四条 电梯由依法核准的特种设备检验检测机构检验检测。特种设备检验检测机构和人员对检验检测结果负责。推动电梯检验社会化鼓励非营利性、公益性、具有公正地位的社会机构经依法核准后从事电梯检验工作。从事电梯检验检测工作的机构不得从事特种设备生产、经营、监制、监销等活动。
广东省电梯使用安全条例,,,,,第二十五条 检验工作完成后检验机构应当在规定期限内出具检验报告检验合格的还应当出具检验标志。经检验不符合安全技术规范要求的检验机构应当出具检验意见通知书提出整改建议存在严重事故隐患的还应当书面向负责登记的特种设备安全监督管理部门报告特种设备安全监督管理部门应当及时依法处理。电梯检验机构应当自检验合格报告出具之日起五日内向负责登记的特种设备安全监督管理部门提交更新后的电梯检验信息。
广东省电梯使用安全条例,,,,,第二十六条 电梯使用管理人对电梯检验结果有异议的可以在收到电梯检验报告之日起十五日内以书面形式向检验机构提出。检验机构应当在十五日内向电梯使用管理人作出书面答复。检验机构逾期未答复或者电梯使用管理人对检验机构的书面答复仍有异议的可以自答复期届满或者收到答复之日起十五日内向负责登记的特种设备安全监督管理部门申请复验。受理复验申请的特种设备安全监督管理部门应当组织其他检验机构进行复验并在三十日内出具复验结论。复验结论可以作为行政管理的依据。
广东省电梯使用安全条例,,,,,第二十七条 电梯经评估、检验认为存在严重事故隐患可能发生危及人身财产安全的紧急情况的应当立即停止使用并进行更新、改造、修理。电梯更新、改造、修理费用按照以下规定解决由使用管理人持有关资料向住房和城乡建设部门申请列支住房和城乡建设部门审核同意后向专户管理银行发出划转住宅专项维修资金的通知由使用管理人提请业主委员会审核同意并报住房和城乡建设部门备案由业主委员会向专户管理银行发出划转住宅专项维修资金的通知负责管理公有住房住宅专项维修资金的部门审核同意由负责管理公有住房住宅专项维修资金的部门向专户管理银行发出划转住宅专项维修资金的通知不足的由电梯所有权人承担属于共有的由共有权人依照法律、法规以及国家和省的有关规定分摊相关费用电梯共有权人依法另有约定的从其约定。
广东省电梯使用安全条例,,,,,第二十八条 特种设备安全监督管理部门应当依法对电梯制造单位安装、改造、修理施工单位维护保养单位使用管理人检验检测机构履行安全义务的情况实施监督检查发现违法行为或者事故隐患的依法及时处理。特种设备安全监督管理部门应当加强对电梯维护保养质量、定期检验质量的监督抽查并将抽查情况向社会公布。各级特种设备安全监督管理部门重点对以下电梯实施安全监督检查公园、电影院、剧院等公众聚集场所的电梯
广东省电梯使用安全条例,,,,,第二十九条 特种设备安全监督管理部门及其他有关部门应当建立电梯安全投诉和举报制度公布投诉、举报电话。任何单位和个人发现电梯安全违法行为或者电梯存在事故隐患的可以向特种设备安全监督管理部门和其他有关部门投诉或者举报接到投诉或者举报的部门应当及时调查处理并将处理结果告知投诉人或者举报人。
广东省电梯使用安全条例,,,,,第三十条 特种设备安全监督管理部门和其他有关部门应当建立电梯安全信用管理制度发挥电梯制造单位安装、改造、修理施工单位维护保养单位使用管理人和检验检测机构、行业协会、新闻媒体的作用构建电梯安全信用社会评价体系。特种设备安全监督管理部门应当建立电梯安全违法行为记录档案并依法向社会公布。
广东省电梯使用安全条例,,,,,第三十一条 省特种设备安全监督管理部门应当逐步建立完善全省统一的电梯安全信息动态管理系统记录并及时分析处理电梯制造、安装、改造、修理、维护保养、安全评估、检验以及监督抽查等信息并向社会提供查询服务。
广东省电梯使用安全条例,,,,,第三十二条 电梯发生事故后事故发生单位以及使用管理人应当按照应急预案采取措施通知电梯维护保养单位组织抢救防止事故扩大减少人员伤亡和财产损失保护事故现场和有关证据并及时报告特种设备安全监督管理部门和医疗卫生、公安消防等部门。电梯维护保养单位应当在接到事故报告后三十分钟内赶到现场协助电梯使用管理人实施救援。因电梯事故造成人身伤害的电梯使用管理人应当做好受伤人员的救助、安置工作。已经投保公众责任保险的电梯电梯使用管理人应当通知电梯保险人及时启动电梯事故应急垫付、支付机制。特种设备安全监督管理部门会同有关部门组织事故调查组进行调查分析事故原因提出事故调查报告报告本级人民政府并报上一级人民政府特种设备安全监督管理部门备案。事故责任认定后有关部门和单位应当依法追究事故责任单位和人员的责任。因事故造成损害的事故责任单位应当依法承担赔偿责任。
广东省电梯使用安全条例,,,,,第三十三条 违反本条例第九条第一项、第三项、第六项、第十二项、第十条第一款规定电梯使用管理人未履行相关义务的责令限期改正逾期未改正的责令停止使用处一万元以上十万元以下罚款。违反本条例第九条第二项、第四项、第五项、第十一项、第十三项规定电梯使用管理人未履行相关义务的责令限期改正逾期未改正的责令停止使用处二万元以上五万元以下罚款。违反本条例第九条第九项、第十项、第三十二条第一款规定电梯使用管理人对出现故障、事故隐患的电梯在消除隐患前继续使用或者在出现故障、事故后未及时履行应急救援义务的处五万元以上二十万元以下罚款对主要负责人处一万元以上五万元以下罚款。
广东省电梯使用安全条例,,,,,第三十四条 违反本条例第十条第二款、第三款规定未向使用管理人提供或者移交相关技术资料的责令限期改正逾期未改正的处二万元以上五万元以下罚款情节严重的处五万元以上十万元以下罚款。
广东省电梯使用安全条例,,,,,第三十五条 违反本条例第十二条第二项、第三项、第四项、第五项规定和第十六条规定电梯制造单位未履行相关义务的责令限期改正逾期未改正的处二万元以上十万元以下罚款。
