文件名,编,分编,章,节,内容
广东省红十字会条例,,,第一章 总则,,第一条 为发展红十字事业培育和践行社会主义核心价值观弘扬人道、博爱、奉献精神保护人的生命和健康维护人的尊严保障和规范红十字会依法履行职责根据《中华人民共和国红十字会法》等法律法规结合本省实际制定本条例。
广东省红十字会条例,,,第一章 总则,,第二条 本条例适用于本省行政区域内的红十字会工作及其相关活动。
广东省红十字会条例,,,第一章 总则,,第三条 县级以上红十字会是中国红十字会的地方组织是从事人道主义工作的社会救助团体依法取得社会团体法人资格。各级红十字会依照法律法规和中国红十字会章程独立自主地开展工作并接受上级红十字会的指导。
广东省红十字会条例,,,第一章 总则,,第四条 各级人民政府应当将红十字事业纳入国民经济和社会发展规划对红十字会给予支持、资助逐步增加对红十字事业的经费投入保障红十字会依法履行职责。县级以上地方红十字会专职工作人员的经费和日常公用经费列入同级财政预算。各级人民政府有关部门在各自的职责范围内为红十字会开展工作创造条件并对其活动进行监督。各级人民政府支持、鼓励自然人、法人以及其他组织参与红十字志愿服务。
广东省红十字会条例,,,第一章 总则,,第五条 各级红十字会应当依法完善内部治理结构加强财务监督严格执行信息公开制度建立科学、规范、透明的管理机制。
广东省红十字会条例,,,第一章 总则,,第六条 省红十字会应当在中国红十字会总会统一协调和指导下加强与香港特别行政区、澳门特别行政区红十字会和台湾地区红十字组织的交流与合作。市、县级红十字会在省红十字会的协调和指导下开展交流与合作。
广东省红十字会条例,,,第一章 总则,,第七条 各级红十字会应当宣传国际红十字和红新月运动基本知识开展紧急救援、人道救助、应急救护等工作的宣传教育普及卫生健康知识。广播、电视、报刊、网络等媒体应当支持红十字会开展人道主义救助等宣传活动有义务发布与人道主义救助活动相关的公益广告。
广东省红十字会条例,,,第一章 总则,,第八条 县级以上红十字会应当按照国家有关规定对为红十字事业做出突出贡献的单位和个人给予表彰奖励对做出重大贡献的授予荣誉称号和颁发荣誉证书、证章。
广东省红十字会条例,,,第二章 组织,,第九条 县级以上地方按行政区域建立地方红十字会按照规定设置工作机构并根据工作需要配备专职工作人员。乡镇、街道、学校和医疗机构等企业事业组织有条件的可以根据需要建立红十字会基层组织配备工作人员。县级以上红十字会指导红十字会基层组织工作加强其规范化管理。
广东省红十字会条例,,,第二章 组织,,第十条 中华人民共和国公民承认中国红十字会章程并缴纳会费的可以自愿参加红十字会成为红十字会的个人会员。企业事业组织及有关团体可以依法申请参加红十字会成为红十字会的团体会员。个人会员与团体会员依法享有会员权利并承担相应义务。
广东省红十字会条例,,,第二章 组织,,第十一条 县级以上红十字会会员代表大会行使下列职权
广东省红十字会条例,,,第二章 组织,,第十二条 县级以上红十字会理事会由会员代表大会民主选举产生向会员代表大会负责并报告工作接受其监督。常务理事会、会长、副会长由理事会民主选举产生。执行委员会是理事会的常设机构主持红十字会的日常工作向理事会负责并报告工作其人员组成由理事会决定。县级以上红十字会可以设名誉会长和名誉副会长由同级红十字会理事会聘请。
广东省红十字会条例,,,第二章 组织,,第十三条 县级以上红十字会监事会由会员代表大会民主选举产生向会员代表大会负责并报告工作接受其监督。监事长和副监事长由监事会民主选举产生。监事会依法对理事会、执行委员会执行相关法律法规、规章制度和开展工作等情况进行监督。
广东省红十字会条例,,,第三章 职责与保障,,第十四条 县级以上红十字会依法履行下列职责十字方面的法律法规系和红十字会备灾救灾信息系统健康知识组织志愿者参与现场救护与开展造血干细胞捐献的相关工作开展艾滋病预防控制宣传和教育以及相关人道救助工作活动。
广东省红十字会条例,,,第三章 职责与保障,,第十五条 红十字会基层组织负责宣传普及红十字知识开展人道主义救助活动举办初级救护培训、群众性健康知识普及以及其他符合红十字宗旨的活动。县级以上红十字会可以授权红十字会基层组织协助开展募捐和接受捐赠工作。未经授权红十字会基层组织不得以红十字会名义开展募捐和接受捐赠。
广东省红十字会条例,,,第三章 职责与保障,,第十六条 县级以上红十字会应当建立健全红十字应急救援体系制定备灾、救灾和突发事件救助预案储备救灾物资建设和管理备灾救灾设施建立应急救援队伍对自然灾害、事故灾难、公共卫生事件等突发事件中的伤病人员和其他受害者提供紧急救援和人道救助。各级人民政府应当将红十字应急救援工作纳入政府灾害应急响应体系根据实际需要将红十字备灾救灾中心或者物资库建设列入当地防灾减灾规划依法保障红十字会组织社会力量执行应急救援任务。
广东省红十字会条例,,,第三章 职责与保障,,第十七条 县级以上红十字会依法采取下列方式开展公开募捐县级以上红十字会确有必要在所属行政区域以外采取前款第一项至第三项规定的方式开展公开募捐的由其上级红十字会负责协调并报其开展募捐活动所在地的县级以上人民政府民政部门备案。
广东省红十字会条例,,,第三章 职责与保障,,第十八条 县级以上红十字会应当建立红十字应急救护培训长效机制推动社区、农村、学校、企业和机关的红十字应急救护培训工作在容易发生意外伤害的领域和行业开展应急救护培训普及卫生救护知识提高自救互救能力。
广东省红十字会条例,,,第三章 职责与保障,,第十九条 县级以上红十字会应当做好遗体与人体器官捐献的知识宣传、捐献登记、信息接收、捐献见证、缅怀纪念、人道救助等工作。省红十字会依法指导和协调下级红十字会参与、推动遗体与人体器官捐献工作为捐受双方提供必要的人道救助。各级人民政府应当支持红十字会依法开展遗体与人体器官捐献工作并保障相关工作经费。县级以上人民政府有关部门应当按照国家有关规定畅通人体捐献器官转运绿色通道。
广东省红十字会条例,,,第三章 职责与保障,,第二十条 县级以上红十字会应当组织红十字会会员和志愿者在城镇社区和农村开展以健康服务、大病医疗救助、扶贫帮困等为内容的人道主义服务活动。
广东省红十字会条例,,,第三章 职责与保障,,第二十一条 县级以上红十字会应当成立红十字志愿服务组织吸收自愿为红十字事业工作的人员为红十字志愿者组织其参加人道主义救助活动。各级人民政府应当支持红十字会各类救援志愿者队伍建设提高救援的能力和水平。
广东省红十字会条例,,,第三章 职责与保障,,第二十二条 各级人民政府应当支持在学校开展红十字青少年工作。教育部门和共青团组织协同红十字会对青少年进行卫生救护知识和技能教育开展体现人道主义精神的红十字青少年活动。
广东省红十字会条例,,,第三章 职责与保障,,第二十三条 在自然灾害、事故灾难、公共卫生事件等突发事件中执行救助任务并标有红十字标志的人员、物资和交通工具有优先通行的权利车辆免交通行费。
广东省红十字会条例,,,第三章 职责与保障,,第二十四条 县级以上人民政府应当将红十字会的信息化建设纳入当地信息化建设总体规划提升红十字会的科学管理和信息公开水平实现备灾救灾、社会救助等信息的互联互通和共享。
广东省红十字会条例,,,第三章 职责与保障,,第二十五条 任何组织和个人不得有下列行为称牟利。
广东省红十字会条例,,,第四章 财产与监管,,第二十六条 红十字会财产的主要来源红十字会应当将捐赠财产和其他财产分开管理并依照法律法规的有关规定处分捐赠财产。
广东省红十字会条例,,,第四章 财产与监管,,第二十七条 省红十字会依法可以设立红十字基金会市、县级红十字会可以设立专项基金接受境内外组织和个人捐赠用于发展红十字事业。
广东省红十字会条例,,,第四章 财产与监管,,第二十八条 红十字会依法接受自然人、法人以及其他组织捐赠的财产应当向捐赠人开具由财政部门统一监印制的公益事业捐赠票据。捐赠人匿名或者放弃接受捐赠票据的红十字会应当做好相关记录。
广东省红十字会条例,,,第四章 财产与监管,,第二十九条 红十字会处分捐赠财产时应当按照募捐方案、捐赠协议或者捐赠人意愿执行不得擅自改变捐赠财产的用途。确需改变捐赠财产用途的应当征得捐赠人的书面同意。经公告仍无法联系到捐赠人的红十字会可以拟制使用计划提交监事会审核并报同级人民政府民政部门备案后实施有关财产的使用情况应当向社会公布。对于没有具体捐赠意向的捐赠财产由红十字会依法根据红十字事业发展的需要使用并及时主动向捐赠人反馈使用情况。
广东省红十字会条例,,,第四章 财产与监管,,第三十条 捐赠人有权向红十字会查询、复制其所捐赠财产管理、使用的有关资料并提出意见和建议红十字会应当在收到捐赠人要求之日起二十个工作日内如实提供有关资料。红十字会违反募捐方案、捐赠人意愿或者捐赠协议的约定滥用捐赠财产的捐赠人有权要求其改正拒不改正的捐赠人可以向人民政府民政部门投诉、举报或者向人民法院提起诉讼。捐赠人与红十字会对其捐赠财产管理、使用存在争议的双方可以协商委托独立的第三方机构对捐赠财产的管理、使用情况进行审计。
