文件名,编,分编,章,节,内容
广东省行政执法责任制条例,,,第一章 总则,,第一条 为健全行政执法责任制保障法律、法规、规章的实施保护公民、法人和其他组织的合法权益根据有关法律法规结合本省实际制定本条例。
广东省行政执法责任制条例,,,第一章 总则,,第二条 本条例所称行政执法责任制是指依法确认行政执法主体资格、明确行政执法职责、实施行政执法评议考核和落实行政执法责任等规范、监督行政执法活动的制度。本条例所称行政执法主体是指本省地方各级人民政府、行政执法部门和法律、法规授予行政执法权的组织。本条例所称行政执法是指行政执法主体依法行使行政职权、履行行政职责的行为包括行政处罚、行政许可、行政强制、行政征收、行政征用、行政给付、行政检查等行政行为。
广东省行政执法责任制条例,,,第一章 总则,,第三条 行政执法主体应当建立行政执法责任制。省人民政府领导全省建立行政执法责任制的工作市、县区人民政府领导所属部门和下级人民政府建立行政执法责任制的工作。上级人民政府所属部门依法指导和监督下级人民政府相应部门建立行政执法责任制的工作。实行省以下垂直管理的部门建立行政执法责任制的工作由其上级部门领导并受同级人民政府的监督。各级人民政府监察机关依法行使行政监察权。
广东省行政执法责任制条例,,,第一章 总则,,第四条 各级人民政府法制工作机构在本级人民政府领导下负责实施本条例的具体工作各级人民政府所属部门负责法制工作的机构承担本部门建立行政执法责任制的具体工作。
广东省行政执法责任制条例,,,第一章 总则,,第五条 建立行政执法责任制应当遵循职权法定、权责明确、公开公正、奖惩分明的原则。
广东省行政执法责任制条例,,,第一章 总则,,第六条 各级人民政府应当将建立和推行行政执法责任制工作纳入政府目标管理考核范围。
广东省行政执法责任制条例,,,第一章 总则,,第七条 各级人民政府应当为所属部门提供保障行政执法的必要条件行政执法经费应当纳入各级人民政府财政预算。
广东省行政执法责任制条例,,,第一章 总则,,第八条 各级人民政府及其所属部门建立和推行行政执法责任制工作应当接受同级人民代表大会及其常务委员会的监督。
广东省行政执法责任制条例,,,第二章 行政执法主体,,第九条 县级以上人民政府应当依法核准和公告本级行政执法主体及其职权、执法依据行政执法主体及其职权、执法依据发生变化时应当及时予以公告。
广东省行政执法责任制条例,,,第二章 行政执法主体,,第十条 行政执法人员应当具备下列条件
广东省行政执法责任制条例,,,第二章 行政执法主体,,第十一条 行政执法人员必须接受综合法律知识培训和专业知识培训经考试合格并依法取得行政执法证件后方可上岗执法。综合法律知识培训由县级以上人民政府法制工作机构负责组织专业知识培训由县级以上人民政府行政主管部门负责组织。本省行政执法证件由省人民政府统一制发。法律、法规另有规定的从其规定。
