文件名,编,分编,章,节,内容
广安市红色资源保护传承条例,,,第一章 总 则,,第一条 为了加强红色资源保护利用传承红色基因弘扬红色文化培育和践行社会主义核心价值观根据《中华人民共和国文物保护法》、《中华人民共和国英雄烈士保护法》、《四川省红色资源保护传承条例》等法律、法规结合广安市实际制定本条例。
广安市红色资源保护传承条例,,,第一章 总 则,,第二条 广安市行政区域内红色资源的调查认定、保护管理、传承弘扬及其合作协作适用本条例。法律、法规对红色资源中涉及的文物保护、英雄烈士保护、历史文化街区和历史建筑保护以及档案管理等另有规定的从其规定。
广安市红色资源保护传承条例,,,第一章 总 则,,第三条 本条例所称红色资源是指五四运动以来中国共产党领导各族人民在新民主主义革命时期、社会主义革命和建设时期、改革开放和社会主义现代化建设新时期、中国特色社会主义新时代所形成的具有历史价值、纪念意义、教育意义的物质资源和精神资源。
广安市红色资源保护传承条例,,,第一章 总 则,,第四条 红色资源保护传承必须坚持中国共产党的领导坚持尊重史实、科学认定、分类保护、分级管理、合理利用、强化教育、永续传承的原则实行党委领导、政府负责、部门协同、社会参与的工作机制确保历史真实性、风貌完整性和文化延续性。
广安市红色资源保护传承条例,,,第一章 总 则,,第五条 市、县市、区人民政府负责本行政区域内红色资源保护传承工作将红色资源保护传承纳入国民经济和社会发展规划、国土空间规划建立与经济社会发展相适应的红色资源保护传承经费保障机制所需经费列入本级预算。乡镇人民政府、街道办事处按照职责做好辖区内红色资源保护传承工作。村居民委员会协助做好红色资源保护传承工作。
广安市红色资源保护传承条例,,,第一章 总 则,,第六条 市、县级承担红色资源保护传承指导工作的机构牵头建立红色资源保护传承联席会议机制。联席会议由承担红色资源保护传承工作的有关部门单位组成负责统筹、协调、推动红色资源保护传承工作研究解决工作中的重大问题。联席会议办事机构设在同级承担红色资源保护传承指导工作的机构负责红色资源保护传承联席会议日常工作。市、县级承担红色资源保护传承指导工作的机构牵头建立红色资源保护传承专家委员会。专家委员会应当由宣传、党史、军史、文化、文物、旅游、档案、法律、规划、建设、地方志等领域专家组成对红色资源的调查认定、保护管理、传承弘扬等事项提供咨询、论证、评审意见或者专业指导。
广安市红色资源保护传承条例,,,第一章 总 则,,第七条 市、县市、区人民政府文化和旅游、退役军人事务、住房城乡建设、文物等红色资源主管部门应当按照职责分工负责红色资源调查认定、保护管理、传承弘扬等具体工作。文化和旅游主管部门负责与红色资源保护传承相关的文艺作品创作及展演、公共文化服务、旅游服务等工作。文物主管部门负责红色资源中文物等文化遗产保护传承工作。退役军人事务部门负责烈士纪念设施的规划建设、修缮管理、保护利用传承和弘扬英雄烈士精神开展英雄烈士事迹、遗物和史料的征集、整理、保护及弘扬工作。党史、档案、地方志等部门负责红色资源保护传承的史实研究、审核和确认开展文献、档案等征集、保护和传承工作。发展改革、经济信息化、教育、公安、民政、司法行政、财政、人力资源社会保障、自然资源规划、生态环境、交通运输、农业农村、应急管理、水行政、林业、广播电视、新闻出版等部门单位在各自职责范围内做好红色资源保护传承相关工作。工会、共青团、妇联等群团组织结合各自优势组织开展红色资源保护传承工作。
广安市红色资源保护传承条例,,,第一章 总 则,,第八条 本市实行分级分类的红色资源名录制度对符合认定标准的红色资源依照规定列入红色资源名录。红色资源名录应当载明名称、位置、类型、简介、权属、保护责任人等内容不可移动红色资源还应当标注地理坐标、保护范围、建设控制地带等信息。
广安市红色资源保护传承条例,,,第二章 调查认定,,第九条 市、县级承担红色资源保护传承指导工作的机构应当会同红色资源主管部门至少每五年开展一次红色资源调查。公民、法人和其他组织提供红色资源信息、线索的县市、区人民政府红色资源主管部门应当开展调查。对具有紧密关联、重要价值的跨县域红色资源由市人民政府红色资源主管部门组织调查。
广安市红色资源保护传承条例,,,第二章 调查认定,,第十条 申请认定红色资源的由其所有人或者使用人按照红色资源类别向当地县市、区人民政府红色资源主管部门提交认定申请。由红色资源使用人申请认定的应当征得其所有人同意。对申请材料齐全、符合规定并属于本部门职权范围的申请事项有关主管部门应当受理对不属于本部门职权范围的申请事项应告知申请人向有关部门提出申请。县市、区人民政府红色资源主管部门在受理红色资源认定申请后应当组织召开专家论证会进行论证必要时组织开展实地调查或者现场勘查。
