文件名,编,分编,章,节,内容
广州市中小学生心理健康促进条例,,,第一章 总 则,,第一条 为了培育中小学生阳光乐观、意志坚强、积极进取的心理品质预防中小学生的心理行为问题培养德智体美劳全面发展的社会主义建设者和接班人根据有关法律法规结合本市实际制定本条例。
广州市中小学生心理健康促进条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内中小学生心理健康促进工作。本条例所称中小学生是指普通中小学校、中等职业学校、技工学校、特殊教育学校、专门学校的学生。
广州市中小学生心理健康促进条例,,,第一章 总 则,,第三条 市、区人民政府应当建立中小学生心理健康促进工作联席会议制度加强中小学生心理健康服务体系建设保障中小学生心理健康工作经费。镇人民政府、街道办事处应当协助有关部门做好中小学生心理健康促进工作并指导辖区内村民委员会、居民委员会依照本条例的规定开展中小学生心理健康活动。
广州市中小学生心理健康促进条例,,,第一章 总 则,,第四条 教育行政主管部门负责中小学生心理健康促进工作市教育行政主管部门组织实施本条例。中小学校主管部门按照各自职责负责指导、监督、检查所属学校的心理健康教育工作。卫生健康部门负责加强精神卫生专业机构建设普及精神卫生知识为开展中小学生心理健康工作提供业务指导。公安、民政、文化广电旅游、新闻出版、互联网信息等部门在各自职责范围内开展中小学生心理健康促进工作。工会、共产主义青年团、妇女联合会、科学技术协会、残疾人联合会等应当协助各级人民政府及其有关部门做好中小学生心理健康促进工作。志愿服务组织应当指导、协调、监督为中小学生提供心理健康服务的志愿者并建立服务质量反馈机制。
广州市中小学生心理健康促进条例,,,第一章 总 则,,第五条 市人民政府将中小学生心理健康促进工作纳入区人民政府履行职责的评价范畴相关部门、团体将中小学生心理健康促进工作作为履职评价的重要内容。
广州市中小学生心理健康促进条例,,,第一章 总 则,,第六条 中小学校主管部门、卫生健康部门、科学技术协会等单位应当广泛开展中小学生心理健康知识和预防心理行为问题的科普活动广播、电视、网络等媒体应当宣传心理健康知识增进公众对中小学生的心理健康的正确认识提升教职工、父母或者其他监护人开展青少年心理健康教育的能力提高中小学生自我心理认知能力。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第七条 学校和中小学生的父母或者其他监护人应当针对不同年龄段中小学生的身心发展特点开展珍爱生命教育、古今励志故事教育和经受压力、战胜挫折、自我情绪调节的能力训练。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第八条 市教育行政主管部门应当设立、公告二十四小时中小学生心理援助服务热线电话会同市卫生健康部门建立全市统一的中小学生心理健康服务平台向有需要的中小学生免费提供心理健康教育指导、心理健康筛查、心理咨询与辅导等服务。卫生健康部门、共产主义青年团、妇女联合会等依照各自职责运用本系统热线电话向有需要的中小学生及其父母或者其他监护人提供心理咨询服务。本条前两款规定的热线电话和网络平台主管部门对于无法通过电话和在线咨询解决问题的本市中小学生个案应当主动转介线下公益心理健康服务机构咨询并转告咨询人。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第九条 学校应当将中小学生心理健康促进工作融入教育教学、管理服务各环节采用家访等方式及时向中小学生的父母或者其他监护人反馈中小学生在校期间学习生活情况。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第十条 学校教职工分别按照以下职责促进中小学生心理健康进工作心理健康状况协调班主任促进学生心理健康心理健康理健康状况发现异常情况应当及时告知班主任常状况应当及时告知班主任或者年级主任、分管副校长并及时报告。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第十一条 学校应当开设以实践活动为主的适应不同年龄阶段的心理健康教育课。心理健康教育课以认识自我、学会学习、沟通交往、情绪调适、奉献爱心等为重点可以采用团体辅导、心理训练、情景设计等方式由心理健康教育教师负责实施。每班每两周至少安排一课时心理健康教育课每学期至少开展一节心理健康教育主题班会课。特殊教育学校和专门学校应当根据在校学生的心理发展需要安排符合其特点的心理健康教育课程。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第十二条 中小学生的父母或者其他监护人应当关注被监护人的学习生活和心理健康状况加强亲情培养、尊重被监护人人格、维护被监护人自尊心激励被监护人上进使被监护人感受到关怀温暖。不得打骂、贬损、侮辱、讥讽或者实施冷暴力。中小学生的父母或者其他监护人、学校应当合理安排学生的作息时间保障学生每天充足的睡眠时间、体育锻炼时间避免加重学生学习负担及早预防、及时矫正学生沉迷网络或者手机等智能终端产品。学校应当列出不尊重学生人格、伤害学生情感的禁语在教学与管理中禁止使用。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第十三条 中小学生的父母或者其他监护人应当树立家庭是第一个课堂、家长是第一任老师的责任意识树立正确的家庭教育理念自觉学习家庭教育知识承担家庭教育的主体责任。家长学校或者社区家庭教育指导服务站点应当制定、公布、宣传家庭教育指导活动年度计划并按照计划开展心理健康等主题的讲座和实践活动每年组织不少于两次心理健康讲座、亲子活动、综合实践等主题活动引导中小学生的父母或者其他监护人积极参加网络及线下家长学校活动。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第十四条 中小学生的父母或者其他监护人应当严格限制被监护人使用手机等智能终端产品对于使用手机等智能终端产品的被监护人应当规范使用的场所、时段、时长、频率、内容、功能、权限等事项并配合学校禁止或者限制学生在校园内使用手机等智能终端产品。学校可以禁止学生携带手机等智能终端产品进入学校或者在校园内使用对经允许带入的应当统一管理除教学需要外严禁带入课堂。学校应当在公共区域设置公用电话供中小学生应急联系父母或者其他监护人。学校可以根据本校实际依法依规对学生在校内使用手机等智能终端产品作出规定。
广州市中小学生心理健康促进条例,,,第二章 预 防,,第十五条 市、区人民政府应当建立健全防治学生欺凌工作协调机制。学校应当依照规定建立健全防治学生欺凌的制度设置学生欺凌举报信箱公布举报电话和电子邮箱接到关于学生欺凌报告的应当立即开展调查认为可能构成学生欺凌的应当及时提交学生欺凌治理组织认定和处置发现学生欺凌或者涉嫌其他侵害未成年学生的犯罪应当立即向公安机关和中小学校主管部门报告并配合相关部门依法处置。学校应当每学期视情况对全体学生开展防治学生欺凌的专项调查并评估防治成效。学校应当对实施、参与学生欺凌或者其他侵害未成年学生犯罪的学生作出教育惩戒或者纪律处分并要求其父母或者其他监护人对其严加管教、督促改正必要时可以由法治副校长进行警示谈话或者训诫构成严重不良行为或者其他犯罪行为、违反社会治安管理行为的有关部门应当依法处置包括依法送入专门学校接受专门教育、作出治安管理处罚或者追究刑事责任。学校和中小学生的父母或者其他监护人应当鼓励中小学生主动及时报告校内校外针对本人或者他人的学生欺凌或者涉嫌其他侵害未成年学生的犯罪情况并保护好当事人的隐私与安全对遭受侵害的学生提供心理辅导及其他必要帮助。
广州市中小学生心理健康促进条例,,,第三章 发 现,,第十六条 学校应当建立健全中小学生心理问题发现和干预处置机制每学年对全体中小学生的心理健康状况进行普查和测评对有心理行为问题的学生予以干预。学校应当为每位中小学生单独建立心理健康档案。
广州市中小学生心理健康促进条例,,,第三章 发 现,,第十七条 中小学生的父母或者其他监护人应当通过观察被监护人的交往、行为、言语、睡眠、情绪、学习等状态及早发现被监护人的心理行为问题。中小学生的父母或者其他监护人发现被监护人情绪或者行为异常以及发生心理危机事件的应当主动与班主任沟通加强与被监护人交流寻求心理服务热线、心理健康服务机构、心理健康教育教师指导家校协同做好被监护人心理辅导工作。
广州市中小学生心理健康促进条例,,,第三章 发 现,,第十八条 中小学生在发现自己或者同学出现情绪长期低落、独处寡言、厌学厌世等情况时积极向教师、同学和父母或者其他监护人反映并寻求支持帮助。学校收到反映有中小学生存在明显自杀倾向、自残行为的以及言语、情绪或者行为明显异常的应当及时了解情况采取措施通知其父母或者其他监护人共同做好预防、并保护当事人的隐私。
广州市中小学生心理健康促进条例,,,第三章 发 现,,第十九条 卫生健康部门会同中小学校主管部门组建中小学生心理健康专家团队加强对学生常见心理问题和心理障碍的分析研究为学校开展心理健康教育工作提供培训和技术指导协助学校开展心理危机干预等工作。卫生健康部门配合中小学校主管部门为学校配备兼职卫生健康副校长帮助学校开展严重心理行为问题和疑似精神障碍学生的转介工作定期组织学校从事心理健康工作的教职工与医院的精神心理科医护人员开展业务交流学习。
