文件名,编,分编,章,节,内容
广州市未成年人保护规定,,,第一章 总则,,第一条 为了保护未成年人的合法权益促进未成年人品德、心理、智力、体质等方面全面发展根据《中华人民共和国未成年人保护法》、《广东省未成年人保护条例》和有关法律、法规结合本市实际制定本规定。
广州市未成年人保护规定,,,第一章 总则,,第二条 本规定适用于本市行政区域内的未成年人保护工作。
广州市未成年人保护规定,,,第一章 总则,,第三条 市、区人民政府领导本行政区域内的未成年人保护工作建立健全未成年人保护工作协调机制制定保护未成年人合法权益、促进未成年人身心全面发展的政策措施并组织实施本规定。镇人民政府、街道办事处做好本辖区内的未成年人保护工作。市、区教育、公安、财政、民政、食品药品监管、工商、质量技术监督、司法行政、卫生、文化广电新闻出版、人力资源和社会保障、交通、城市管理、城乡建设、水务、科技、安全生产监督等行政管理部门应当按照各自职责做好未成年人保护工作。
广州市未成年人保护规定,,,第一章 总则,,第四条 共产主义青年团、妇女联合会、工会、残疾人联合会、关心下一代工作委员会、科学技术协会以及其他相关社会团体和居民委员会、村民委员会应当协助各级人民政府做好未成年人保护工作。
广州市未成年人保护规定,,,第一章 总则,,第五条 市人民政府应当每年定期向社会公布未成年人保护情况接受社会监督。公布的内容应当包括未成年人保护工作的情况、经费投入与使用情况和下一年度的工作目标、任务。
广州市未成年人保护规定,,,第一章 总则,,第六条 本市各级人民政府应当加强未成年人保护宣传工作培养和提高全社会保护未成年人的意识。
广州市未成年人保护规定,,,第二章 国家机关保护,,第七条 市、区人民政府应当设立未成年人保护委员会。未成年人保护委员会由教育、公安、财政、民政、食品药品监管、工商、质量技术监督、司法行政、卫生、文化广电新闻出版、人力资源和社会保障、交通、城乡建设、水务、科技、安全生产监督等行政管理部门和共产主义青年团、妇女联合会、工会、残疾人联合会、关心下一代工作委员会、科学技术协会以及其他相关单位的负责人组成委员会主任由同级人民政府的有关负责人担任。未成年人保护委员会履行下列职责部门和各相关单位做好未成年人保护工作成年人提供相关服务人保护方面的情况调查、研究未成年人保护工作中的重大问题并向同级人民政府或者相关行政管理部门提出意见和建议未成年人保护的法律、法规、规章和政策中取得显著成绩的单位和个人的建议保护委员会履行的职责。未成年人保护委员会的办事机构设在同级共产主义青年团工作经费列入同级人民政府财政预算。未成年人保护委员会每半年至少召开一次会议有特殊需要或者委员会主任认为必要时可以召开临时会议。未成年人保护委员会可以根据需要建立由教育、医疗、心理、法律、社工等方面的专家组成的专家咨询委员会协助其开展工作。
广州市未成年人保护规定,,,第二章 国家机关保护,,第八条 市未成年人保护委员会应当建立未成年人保护综合服务平台设置并公开全市统一的专用电话和网址提供下列服务投诉、举报保护的求助等有关未成年人保护的咨询未成年人保护综合服务平台的日常管理由市未成年人保护委员会的办事机构负责。
广州市未成年人保护规定,,,第二章 国家机关保护,,第九条 未成年人保护委员会的办事机构通过综合服务平台等渠道收到投诉、举报、求助事项后工作人员应当在一个工作日内移交有关行政管理部门或者单位处理情况紧急的应当立即移交。有关行政管理部门和单位应当在收到相关信息后五个工作日内将处理情况书面告知未成年人保护委员会的办事机构在处理结束后两个工作日内将处理结果书面告知未成年人保护委员会的办事机构。未成年人保护委员会的办事机构应当在收到处理情况、处理结果信息后的三个工作日内将有关情况向投诉、举报、求助人反馈。有关行政管理部门和单位不按照前款规定依法履行职责进行处理的未成年人保护委员会可以向其发出督促意见书督促其依法履行相关职责、回复处理情况和处理结果。
广州市未成年人保护规定,,,第二章 国家机关保护,,第十条 未成年人保护委员会应当将未成年人保护工作纳入同级妇女儿童工作委员会组织实施的儿童发展规划监测评估并支持、配合监测评估工作。未成年人保护委员会的办事机构应当按照儿童发展规划监测评估的要求向同级妇女儿童工作委员会提出未成年人保护的报告和监测数据等信息。未成年人保护委员会、妇女儿童工作委员会在履行保护未成年人职责时存在需要协调的问题的由同级人民政府统筹解决。
广州市未成年人保护规定,,,第二章 国家机关保护,,第十一条 未成年人保护委员会的成员单位应当通过全市统一的信息共享平台将本单位的未成年人保护信息与未成年人保护委员会和其他相关单位共享共享的信息内容和范围由市未成年人保护委员会另行规定。
广州市未成年人保护规定,,,第二章 国家机关保护,,第十二条 未成年人保护委员会应当组织有关行政管理部门、社会团体和企业、事业单位以及基层群众性自治组织采取开设宣传栏、举办讲座、播放电视、广播公益广告等多种形式开展未成年人保护宣传工作。每年五月的最后一周为本市的未成年人保护宣传周。
广州市未成年人保护规定,,,第二章 国家机关保护,,第十三条 未成年人保护委员会应当建立完善未成年人保护咨询制度利用社会各类保护未成年人的资源和力量通过未成年人保护综合服务平台向未成年人及其监护人、其他有关单位和人员提供关于未成年人学习、教育、人际关系、恋爱、职业、家庭、身心障碍等方面的咨询。未成年人保护委员会收到咨询事项后能够自行提供相关服务的应当及时提供不能自行提供的应当及时联系有关专业机构提供服务将联系情况及时向咨询者反馈并做好后续的协调、督促工作。
广州市未成年人保护规定,,,第二章 国家机关保护,,第十四条 市、区人民政府应当制定学前教育发展规划加大对学前教育的财政投入逐步构建覆盖城乡、布局合理的学前教育公共服务体系满足适龄儿童的入园需求。市、区人民政府应当采取政府购买服务、减免租金、依法减免有关税费、派驻公办教师等方式扶持民办幼儿园发展重点扶持收费合理、办学规范的普惠性民办幼儿园。
广州市未成年人保护规定,,,第二章 国家机关保护,,第十五条 市、区人民政府应当采取措施推进义务教育学校标准化建设均衡配置教师、设备、图书、校舍等教育资源促进义务教育均衡发展重点提升农村学校和薄弱学校的办学水平逐步使所有适龄未成年人均能接受良好的义务教育。教育行政管理部门应当建立健全义务教育阶段教师、校长定期交流制度并组织实施。
广州市未成年人保护规定,,,第二章 国家机关保护,,第十六条 市、区人民政府应当根据满足实际需求的原则设立或者增设各类特殊教育学校为因身体或者心理原因不适宜在普通学校接受教育的未成年人提供教育设立或者增设专门学校对有违法和轻微犯罪等严重不良行为、学校和父母或者其他监护人无力管教或者管教无效的未成年人进行教育和矫治。市人民政府应当制定特殊教育和专门教育发展规划在资金、场地、办学条件、教师待遇、师资引进等方面给特殊教育学校和专门学校予以优先保障并视财力情况逐步加大对特殊教育学校和专门学校的扶持力度。
