文件名,编,分编,章,节,内容
广西壮族自治区农村集体资产管理条例,,,第一章 总则,,第一条 为了加强农村集体资产的管理保证集体资产的安全保护集体资产所有者、经营者的合法权益促进农村集体经济的发展根据国家有关法律、法规结合本自治区实际制定本条例。
广西壮族自治区农村集体资产管理条例,,,第一章 总则,,第二条 本条例所称农村集体资产是指乡镇、村社农民建立在生产资料集体所有基础上的独立核算的农村集体经济组织所有的资产。
广西壮族自治区农村集体资产管理条例,,,第一章 总则,,第三条 集体资产可以按照所有权和经营权分离的原则采取多种经营方式实行有偿使用。
广西壮族自治区农村集体资产管理条例,,,第一章 总则,,第四条 农村集体经济组织及其成员有保护集体资产的权利和义务。
广西壮族自治区农村集体资产管理条例,,,第一章 总则,,第五条 各级人民政府农村经济经营管理部门负责本条例的组织实施。各级人民政府的农业、林业、水利、农机、水产、乡镇企业、土地等部门依法对集体资产管理工作进行行业指导和监督。
广西壮族自治区农村集体资产管理条例,,,第二章 集体资产所有权,,第六条 集体资产包括山岭、水面、滩涂等自然资源设备、交通工具、教育文化卫生体育设施、产畜、役畜、林木和农田水利设施等合资、合作企业中按照协议占有的资产份额无形资产
广西壮族自治区农村集体资产管理条例,,,第二章 集体资产所有权,,第七条 集体资产属于该农村集体经济组织内的全体成员集体所有由该集体经济组织成员依照法律的规定行使集体资产所有权。
广西壮族自治区农村集体资产管理条例,,,第二章 集体资产所有权,,第八条 农村经济组织所有的土地、企业和其他资产依法实行承包、租赁、参股、联营、股份合作等经营方式的资产的所有权不变。
广西壮族自治区农村集体资产管理条例,,,第二章 集体资产所有权,,第九条 集体资产受法律保护禁止任何组织和个人侵占、哄抢、私分、破坏、平调或者非法查封、扣押、冻结、没收。
广西壮族自治区农村集体资产管理条例,,,第二章 集体资产所有权,,第十条 集体资产所有权发生争议的由当事人协商解决。协商不成的当事人可以申请当地农村经济经营管理机构调解。也可以按照有关法律、法规的规定起诉。
广西壮族自治区农村集体资产管理条例,,,第三章 集体资产经营,,第十一条 农村集体经济组织有权决定集体资产实行承包、租赁、参股、联营、股份合作等经营方式。
