文件名,编,分编,章,节,内容
广西壮族自治区文物保护条例,,,第一章 总则,,第一条 为了加强对文物的保护继承中华民族优秀的历史文化遗产根据《中华人民共和国文物保护法》以及有关法律、行政法规结合本自治区实际制定本条例。
广西壮族自治区文物保护条例,,,第一章 总则,,第二条 在本自治区行政区域内下列文物受保护地、建筑物、纪念物以及民俗用品、民族传统文化典籍资料、岩画等。文物由县级以上人民政府文物行政部门组织认定。具有科学价值的古脊椎动物化石和古人类化石同文物一样受保护。
广西壮族自治区文物保护条例,,,第一章 总则,,第三条 各级人民政府负责本行政区域内的文物保护工作。县级以上人民政府文物行政部门对本行政区域内的文物保护实施监督管理各有关部门在各自职责范围内做好文物保护工作。
广西壮族自治区文物保护条例,,,第一章 总则,,第四条 县级以上人民政府应当将文物保护事业纳入国民经济和社会发展规划以及城乡建设规划所需经费列入本级财政预算并随着财政收入的增长而增加城市中的国有不可移动文物其保护、保养、维修所需经费应当列入城市维护费开支项目。鼓励公民、法人和其他组织通过捐赠等方式支持文物保护事业。
广西壮族自治区文物保护条例,,,第一章 总则,,第五条 各级人民政府以及有关部门应当加强文物保护的宣传教育提高全民文物保护的意识。任何单位和个人有依法保护文物的义务有制止和检举破坏文物行为的权利。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第六条 对具有历史、艺术、科学价值的不可移动文物应当依照《中华人民共和国文物保护法》的规定核定公布为文物保护单位。文物保护单位分为全国重点文物保护单位、自治区级文物保护单位和市、县级文物保护单位。尚未核定公布为文物保护单位的不可移动文物由县级人民政府文物行政部门予以登记公布参照县级文物保护单位进行管理不可移动文物所在地未设立县级人民政府文物行政部门的由设区的市人民政府文物行政部门予以登记公布参照市级文物保护单位进行管理。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第七条 设区的市或者县级人民政府文物行政部门对具有一定价值的新发现不可移动文物应当报本级人民政府核定公布为市、县级文物保护单位具有较大价值的申报为自治区级文物保护单位。自治区人民政府文物行政部门应当从不可移动文物中选择具有较大价值的报自治区人民政府核定公布为自治区级文物保护单位选择具有重大价值的推荐申报为全国重点文物保护单位。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第八条 自治区人民政府和设区的市、县级人民政府分别划定各级文物保护单位必要的保护范围经自治区人民政府批准有关部门可以在文物保护单位的周围划出一定的建设控制地带并予以公布。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第九条 文物保护单位的保护范围内不得进行其他建设工程或者爆破、钻探、挖掘等作业。因特殊情况需要在文物保护单位的保护范围内进行其他建设工程或者爆破、钻探、挖掘等作业的应当依法履行审批手续。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第十条 在文物保护单位的建设控制地带内进行建设工程工程设计方案在报城乡建设规划部门批准前应当征得核定公布该文物保护单位人民政府的文物行政部门同意。在文物保护单位的建设控制地带内进行建设工程应当与文物保护单位周围的环境风貌相协调不得危及文物安全不得破坏文物保护单位的历史风貌不得影响文物保护单位环境。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第十一条 经批准在文物保护单位的保护范围内进行建设工程或者爆破、钻探、挖掘等作业以及在建设控制地带内进行建设工程的建设单位应当在项目动工前制定文物保护措施并根据文物保护单位的级别征求相应人民政府文物行政部门的意见人民政府文物行政部门应当给予指导。进行建设工程或者爆破、钻探、挖掘等作业涉及已登记公布但未核定为文物保护单位的不可移动文物建设单位应当参照前款规定制定文物保护措施。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第十二条 因特殊需要迁移异地保护或者拆除自治区、市、县级文物保护单位的应当报自治区人民政府批准。迁移或者拆除自治区级文物保护单位的批准前须征得国务院文物行政部门同意。全国重点文物保护单位不得拆除需要迁移的由自治区人民政府报国务院批准。经批准迁移异地保护或者拆除的建设单位应当会同人民政府文物行政部门做好文物保护单位的测绘、记录、照相等资料收集工作对具有收藏价值的壁画、雕塑、建筑构件等由人民政府文物行政部门指定的文物收藏单位收藏。对迁移的建筑物按原状、原材料在新址修复。迁移异地保护或者拆除所需经费由建设单位列入建设工程预算。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第十三条 变更文物保护单位行政隶属关系的由核定公布该文物保护单位的人民政府批准批准前应当征求上一级人民政府文物行政部门的意见。已经公布为文物保护单位的不得撤销。文物保护单位因自然灾害等不可抗力灭失的核定公布该文物保护单位的人民政府可以将其注销在注销前应当组织专家论证并征得上一级人民政府文物行政部门同意。
广西壮族自治区文物保护条例,,,第二章 不可移动文物,,第十四条 公民、法人和其他组织使用不可移动文物的应当与不可移动文物所在地设区的市或者县级人民政府文物行政部门签订使用文物安全责任书约定使用文物及其附属物的安全、保养和修缮责任。
广西壮族自治区文物保护条例,,,第三章 考古发掘,,第十五条 自治区行政区域内洞穴、地下、水域埋藏的文物任何单位和个人不得擅自挖掘和占有。需要进行考古发掘的应当按照国家规定履行报批手续。
