文件名,编,分编,章,节,内容
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第一条 为了使出生人口性别比保持在正常的范围内促进人口与经济社会协调发展根据《中华人民共和国人口与计划生育法》和《中华人民共和国母婴保健法》等法律、行政法规结合本自治区实际制定本规定。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第二条 本自治区行政区域内所有医疗保健机构和计划生育技术服务机构以及国家机关、社会团体、企业事业单位和公民应当遵守本规定。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第三条 各级人民政府应当将控制出生人口性别比失衡工作纳入人口发展规划并对实施情况进行考核。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第四条 县级以上人民政府人口和计划生育行政部门具体负责组织、协调禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠工作。人口和计划生育、卫生、食品药品监督管理、工商等行政部门按照各自职责对非医学需要鉴定胎儿性别和选择性别人工终止妊娠的行为实施监督管理。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第五条 各级人民政府及其有关部门、社会团体和企业事业单位应当加强对禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的宣传教育。报刊、广播电视、网络等媒体应当倡导男女平等和关爱女孩等社会风尚做好保持出生人口性别比平衡的公益宣传。医疗保健机构、计划生育技术服务机构应当在有关工作场所设置禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的醒目标志。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第六条 禁止任何单位、个人利用超声技术和其他技术手段进行非医学需要的胎儿性别鉴定或者选择性别的人工终止妊娠。医疗保健机构和计划生育技术服务机构进行孕妇及胎儿身体健康检查不得透露胎儿性别检查报告不得含有胎儿性别的内容。禁止任何单位、个人利用人类辅助生殖技术选择胎儿性别。卫生、人口和计划生育等行政部门应当对医疗保健机构、计划生育技术服务机构进行人类辅助生殖技术服务工作加强监督管理。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第七条 怀疑胎儿有伴性遗传性疾病需要鉴定胎儿性别的应当由自治区人民政府卫生行政部门指定并公布的医疗保健机构进行鉴定。非经指定并公布的医疗保健机构以及其他任何单位和个人不得进行胎儿性别鉴定。实施医学需要的胎儿性别鉴定应当由前款规定的医疗保健机构三人以上的专家组集体审核。经诊断确需终止妊娠的由医疗保健机构出具医学诊断证明同时通报生育服务证发放地县级人民政府人口和计划生育行政部门。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第八条 经自治区人民政府卫生行政部门指定的医疗保健机构鉴定后胎儿患有伴性遗传性疾病的妊娠妇女可以进行人工终止妊娠。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第九条 符合法定生育条件且妊娠十四周以上的妇女不得人工终止妊娠但有下列情形之一的除外者严重危害健康的诊断认为需要终止妊娠的
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第十条 医疗保健机构或者计划生育技术服务机构施行人工终止妊娠手术前应当遵守下列规定之一的查验本人身份证明和自治区人民政府卫生行政部门指定的医疗保健机构或者开展产前诊断的县级以上医疗保健机构出具的医学诊断证明级人民政府人口和计划生育行政部门或者所在乡镇人民政府、街道办事处计划生育工作机构出具的证明。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第十一条 人工终止妊娠手术应当由具有相应资格的医疗保健机构或者计划生育技术服务机构施行。施行人工终止妊娠手术的医疗保健机构或者计划生育技术服务机构应当依法保护当事人的隐私。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第十二条 任何单位和个人不得伪造或者出具虚假的施行人工终止妊娠手术需要的证明文件。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第十三条 医疗保健机构应当按照规定实行接生登记每季度向所在地县级人民政府卫生行政部门书面报告登记情况同时抄送同级人口和计划生育行政部门。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第十四条 购置超声诊断和染色体检测等具有鉴定胎儿性别功能的设备应当按照下列规定报送备案生行政部门备案级人民政府人口和计划生育行政部门备案所和操作人员名单。卫生行政部门或者人口和计划生育行政部门在接受备案时应当书面告知购置人管理、使用该设备的有关规定和要求。
广西壮族自治区禁止非医学需要鉴定胎儿性别和选择性别人工终止妊娠的规定,,,,,第十五条 医疗保健机构或者计划生育技术服务机构等机构使用超声诊断仪等具有鉴定胎儿性别功能设备的应当建立健全相关管理制度加强对有关工作人员的法制教育和职业道德教育与操作、诊断人员签订责任书对孕妇施行检查时应当签名登记。
