文件名,编,分编,章,节,内容
广西壮族自治区科学技术普及条例,,,,,第一条 为了加强科学技术普及工作促进科教兴桂根据《中华人民共和国科学技术普及法》等法律法规结合本自治区实际制定本条例。
广西壮族自治区科学技术普及条例,,,,,第二条 本自治区行政区域内的国家机关、社会团体、企业事业单位、农村基层组织、其他组织以及公民开展或者参与科学技术普及以下简称科普活动适用本条例。
广西壮族自治区科学技术普及条例,,,,,第三条 各级人民政府应当加强对科普工作的领导将科普工作纳入国民经济和社会发展计划加强科普设施和科普队伍建设。县级以上人民政府应当建立和完善科普工作联席会议制度统筹协调科普工作。
广西壮族自治区科学技术普及条例,,,,,第四条 县级以上人民政府应当将科普经费列入同级财政预算随本级财力的增长逐步增加科普经费的投入。
广西壮族自治区科学技术普及条例,,,,,第五条 县级以上人民政府应当加强对少数民族聚居地区、边远山区、贫困地区科普工作的扶持大力培养少数民族科普人才开展各种适合少数民族特点的科普活动。自治区人民政府对少数民族聚居地区、边远山区、贫困地区的科普资金给予重点扶持。
广西壮族自治区科学技术普及条例,,,,,第六条 乡镇人民政府应当采取措施利用多种形式提高农民的科学文化素质引导农民学习先进适用的科学技术知识反对封建迷信活动。
广西壮族自治区科学技术普及条例,,,,,第七条 县级以上人民政府科学技术行政部门负责本行政区域内的科普行政管理工作贯彻执行国家有关法律法规制定并组织实施科普工作总体规划和年度计划对科普工作实行政策引导、业务指导和督促检查。县级以上人民政府其他行政部门按照各自的职责范围负责有关的科普工作。
广西壮族自治区科学技术普及条例,,,,,第八条 各级科学技术协会是科普工作的主要社会力量。各级科学技术协会组织开展群众性、社会性、经常性的科普活动充分发挥有关学会、协会和专业技术研究会在科普工作中的作用支持各部门、各单位和基层科普组织开展科普活动协助政府制定科普工作规划为政府科普工作决策提供建议。
广西壮族自治区科学技术普及条例,,,,,第九条 开展科普活动可以采取下列形式技成果、科普作品展示会科学考察、科普夏冬令营活动技术培训和技术、技能竞赛活动出版物开展科普文艺活动开辟报刊科普专栏、专版运用各种大众传媒刊载、播放科普公益广告年科技教育基地、科普示范基地开放科学技术场馆开设科普图书、报刊阅读场所放映科普电影、科普录像识文字、图片、模型和实物禁止以科普为名从事反科学、伪科学活动。
广西壮族自治区科学技术普及条例,,,,,第十条 学校和其他教育机构应当结合实际组织学生开展科技发明、科技论文撰写、科技考察等活动培养学生学科学、爱科学的兴趣和科技创新精神。
广西壮族自治区科学技术普及条例,,,,,第十一条 科研开发机构、高等院校、科学类社会团体、文化卫生等单位应当组织、支持和鼓励科技人员、教师、文艺工作者、卫生医务人员及其他志愿者深入基层开展各种科普活动。
广西壮族自治区科学技术普及条例,,,,,第十二条 农村基层组织应当根据实际需要开展科普活动。乡镇、村文化、广播站室等应当向农民宣传科学、文明的生产和生活方式。各类农村经济组织、农业技术推广机构和农村专业技术协会应当结合推广先进适用技术向农民普及科学技术知识。
广西壮族自治区科学技术普及条例,,,,,第十三条 企业应当向职工普及与新产品开发、生产经营、劳动保护等有关的科技知识促进技术创新和新技术、新材料、新工艺的推广应用。鼓励有条件的企业充分利用科技资源优势在科普活动中发挥示范作用。
