文件名,编,分编,章,节,内容
开封市城区停车管理条例,,,第一章 总 则,,第一条 为了提高停车供给规范停车秩序优化停车服务改善交通环境促进城市协调发展根据有关法律、法规的规定结合本市实际制定本条例。
开封市城区停车管理条例,,,第一章 总 则,,第二条 本市城区停车设施的规划与建设、停车行为的管理与服务等活动适用本条例。本条例所称城区是指本市除各县、祥符区行政辖区以外实行城市化管理的区域。城市公共交通、道路客货运输、危险品运输、工程车辆等专用车辆的停车管理按照有关法律、法规的规定执行。本条例未作规定的适用有关法律、法规的规定。
开封市城区停车管理条例,,,第一章 总 则,,第三条 本条例所称停车设施是指供机动车和非机动车停放的露天或者室内场所包括公共停车场、专用停车场、道路停车泊位和非机动车停放区。公共停车场是指供社会公众机动车停放的场所。专用停车场是指供本单位、本居住区人员机动车停放的场所。道路停车泊位是指在城市道路内依法施划供社会公众机动车停放的场所。非机动车停放区是指供非机动车停放的场所。
开封市城区停车管理条例,,,第一章 总 则,,第四条 停车管理工作坚持政府主导、科学规划、社会参与、高效便民的原则倡导合理用车优先发展城市公共交通系统优化旅游交通组织构建城市绿色交通出行服务体系。
开封市城区停车管理条例,,,第一章 总 则,,第五条 市人民政府应当加强停车管理工作的组织领导建立工作协调机制统筹解决停车管理中的重大问题。区人民政府负责本行政区域内的停车管理相关工作。乡镇人民政府、街道办事处协助做好辖区内停车管理工作指导社区居民委员会、业主委员会等有关组织和单位开展停车自我管理。
开封市城区停车管理条例,,,第一章 总 则,,第六条 市、区人民政府有关部门依据事权分工履行下列职责具体工作由公安机关交通管理部门负责规划管理以及用地保障、不动产登记等工作建设计划制定和居住区停车物业服务的监督管理等工作工作价的停车收费标准等工作作。财政、交通运输、文化广电和旅游、工业和信息化、生态环境、应急管理、人防、卫生健康、教育体育等部门及消防救援机构在各自职责范围内做好停车管理相关工作。
开封市城区停车管理条例,,,第一章 总 则,,第七条 对违反本条例规定的行为任何单位和个人均有权投诉、举报。公安机关、城市管理部门建立停车管理投诉、举报制度依法处理投诉、举报事项并于三十日内向投诉人、举报人反馈处理结果。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第八条 公安机关依据国土空间总体规划会同发展改革、自然资源和规划、住房城乡建设、交通运输、城市管理、人防等部门编制停车专项规划报市人民政府批准后公布实施。经批准的停车专项规划不得擅自变更确需变更的报原批准机关审批。经批准的停车专项规划确定的主要内容应当纳入详细规划。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第九条 编制停车专项规划应当遵循节约集约利用土地的原则充分利用地表、地上和地下空间综合考虑城市功能分区、公共交通发展、用地和建筑属性等情况合理测算停车需求采用差别化的供给方案建立以建筑配建停车为主、路外公共停车为辅、路内停车为补充的停车保障体系。在公共交通枢纽、铁路交通换乘站、旅游集散地、旅游景区、城乡结合部等可以实现自驾车辆与公共交通换乘的地段应当规划建设公共停车场。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十条 住房城乡建设部门会同公安机关、自然资源和规划、财政等部门根据停车专项规划制定公共停车场年度建设计划报本级人民政府同意后组织实施。公共停车场年度建设计划应当包括建设主体、建设时序、投资规模、资金来源和停车泊位数量等内容。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十一条 自然资源和规划部门按照停车专项规划和年度建设计划安排停车场建设用地并及时向社会公布。市、区人民政府应当加强独立新建停车设施用地保障依法收回的闲置土地、中心城区功能搬迁腾出的土地符合规划要求的可以优先用于公共停车场建设。老旧居住区实施改造等城市更新活动应当规划预留一定比例土地用于公共停车场建设。鼓励通过租赁或者采取先租后让的方式供应公共停车场建设用地。符合国土空间规划的可以依法在集体建设用地上建设公共停车场。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十二条 在停车供需矛盾突出的区域市、区人民政府应当根据详细规划组织公安机关、自然资源和规划、住房城乡建设等部门因地制宜实施停车综合改造充分利用城市边角地、零星地和机关、企业事业单位自有土地增建停车场增加停车供给。在符合国土空间总体规划前提下企业事业单位利用自有建设用地增建公共停车场的可以不改变现有用地性质及规划用地性质。鼓励在停车供需矛盾突出的区域建设停车楼、安装机械式立体停车设备依法利用符合条件的城市道路、城市广场、公园绿地、公交场站等的地下空间资源建设地下停车场或者设置落客区。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十三条 市、区人民政府应当加强政府投资建设的公共停车场的经费保障发挥停车场建设管理的主导和引导作用。市人民政府采用下列方式支持和鼓励社会力量投资建设、改造停车场提下新建独立公共停车场可以配建不超过总建筑面积百分之二十的附属商业设施并在编制详细规划和提出规划条件时予以明确配建标准建设的停车泊位面积不计入容积率在已建成的居住区内增加停车泊位面积的不增收土地使用权出让金
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十四条 在重大节假日、旅游旺季或者举办大型群众性活动时旅游景区经营者、活动举办者应当制定与承载量相匹配的停车保障方案协调周边的停车场提供停车服务配合相关部门维护道路交通秩序公示活动周边的公共交通线路、行车路线和停车场的位置并提示活动参加者选择公共交通前往活动地点。重大节假日、旅游旺季或者举办大型群众性活动期间公安机关和区人民政府可以根据停车供需情况利用待建土地、空闲厂区、拆迁工地等设置临时公共停车区域。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十五条 在不影响行人、车辆通行的情况下公安机关可以会同城市管理等部门根据交通运行状况和停车需求在城市道路范围内施划停车泊位。道路停车泊位投入使用的公安机关应当提前十日向社会公告施划路段、停车时段、停车种类、是否收费等事项并在该路段以显著标志公示。公安机关应当对道路停车泊位的设置和使用情况定期组织评估并根据评估情况动态调整调整结果向社会公示。施划道路停车泊位的应当规范设置交通标线撤销道路停车泊位的应当及时清除交通标线。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十六条 禁止在下列区域设置道路停车泊位路段筑附近的疏散通道门前以及距离上述地点三十米以内的路段段围内米范围内或者区域。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十七条 公安机关可以采取下列措施满足机动车临时停车需求靠区域公共服务机构等周边道路确定临时快走停靠区域间停车条件的明确时段性免费道路临时停车区域时停车免费泊位。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十八条 自然资源和规划部门会同公安机关、住房城乡建设、城市管理等部门制定市区新建、改建、扩建项目机动车和非机动车停车配建标准。建设项目停车配建标准每三年评估一次并根据评估结果进行调整。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第十九条 新建、改建、扩建的影剧院、医院、学校、写字楼、旅游景区、城市广场、集贸市场、园林、绿地等大中型建设项目应当按照有关设计规范和标准配建、增建停车场具备条件的应当在项目用地内设置落客区。已建成的上述建设项目停车泊位不足的具备条件的应当及时改建或者扩建。配建停车场应当与主体工程同步设计、同步施工、同步验收、同步交付使用。投入使用的配建停车场不得擅自停止使用或者改作他用。建筑物改变使用功能的已配建的停车场不得擅自改作他用按照改变后的使用功能需要配建停车场或者提高停车位配建标准的应当按照配建标准配建停车场或者增建停车泊位。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第二十条 居住区现有停车泊位不能满足业主停车需要的可以依法利用物业管理范围内业主共有的区域施划停车泊位。在城市道路规划红线与建筑物之间的开放式场地确需施划停车泊位的由建设单位或者业主大会向公安机关提出。公安机关应当会同城市管理、住房城乡建设等部门和消防救援机构现场勘查对符合条件的指导施划。用地界线不明的自然资源和规划部门负责进行用地界限认定。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第二十一条 具备设置停车场条件或者通过改建具备设置条件的人防工程平时可以优先作为停车场或者落客区使用并遵守人防工程管理法律、法规。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第二十二条 停车场设计方案应当符合国家、省停车设施设置标准和设计规范并按照标准设置无障碍停车泊位和电动汽车充电设施。自然资源和规划部门对停车场设计方案进行审核时应当征求公安机关意见。按照停车专项规划建设的公共停车场应当办理权属登记、明晰使用权能。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第二十三条 大型公共建筑、民用建筑以及其他重大建设项目立项时市、区人民政府应当依法组织公安机关等有关部门进行道路交通影响评价防止出现交通拥堵和停车矛盾。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第二十四条 新建、改建、扩建建设项目应当按照配建标准同步建设非机动车停放区。新建、改建、扩建城市道路应当统筹考虑非机动车的停放需要。居住区应当根据建筑分布和便捷原则合理设置非机动车停放区和非机动车集中充电区。
开封市城区停车管理条例,,,第二章 停车规划与建设,,第二十五条 市城市管理部门会同公安机关和各区人民政府编制公共场所非机动车停放区设置导则。区城市管理部门会同街道办事处和相关单位按照设置导则科学设置公共场所非机动车停放区并加强对非机动车停放的管理。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第二十六条 公安机关负责组织建立全市统一的机动车停车管理服务平台并依托互联网向社会公布提供服务的停车场分布、车位数量、使用状况、收费标准等信息提供停车引导、预约停车、泊位查询、车位共享等便捷停车服务。相关部门根据各自职责向机动车停车管理服务平台提供停车管理、服务等方面的信息。公安机关负责会同有关部门制定公共停车场和停车泊位编码规则对公共停车场及其停车泊位、道路停车泊位实行统一编码管理。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第二十七条 根据不同路段、时段的停车需求状况道路停车泊位实行免费停放和收费停放两种方式。公安机关会同区人民政府和发展改革、财政、城市管理等部门提出实行收费停放的路段、时段报市人民政府批准后实施。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第二十八条 政府投资建设或者利用公共设施、政府未出让土地等设置的公共停车场和道路停车收费泊位由市、区人民政府依法确定经营管理者并遵守国有资产经营管理相关规定。社会投资建设的公共停车场由所有权人自主确定经营管理者。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第二十九条 经营性公共停车场停车收费实行政府定价、政府指导价和市场调节价。道路停车泊位停车收费实行政府定价。实行政府定价、政府指导价的由发展改革部门会同公安机关、市场监管、财政等相关部门统筹考虑停车场地理位置、供需状况、服务条件、运营成本、社会承受能力等因素按照城市中心区域高于外围区域、重点区域高于非重点区域、拥堵时段高于空闲时段、路内高于路外等原则充分听取公众意见制定停车收费标准向社会公布实施并根据实际及时调整。实行市场调节价的由经营管理者参照政府定价根据市场情况、服务条件等因素依法自主确定停车收费标准。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第三十条 经营性公共停车场、道路停车收费泊位免费停车时间不得少于三十分钟并予以公示。鼓励公益性机构停车场的免费停放时间适当延长。残疾人专用机动车免收停车费。军车和执行公务的警车、消防车、救护车、工程抢险车、应急救援车、行政执法车等实行免费停放。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第三十一条 经营管理者应当自经营性公共停车场投入使用后十五个工作日内持下列材料向公安机关备案单备案事项发生变更的应当自变更之日起十个工作日内予以报备。本条例施行前已经投入使用的经营性公共停车场经营管理者应当在本条例施行之日起三十日内向公安机关备案。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第三十二条 国家机关、社会团体、企业事业单位在满足自身停车需求和安全管理的条件下可以向社会开放专用停车场实行错时、限时共享停车具体措施由市人民政府制定。企业事业单位专用停车场提供停车共享收取停车费的执行本条例关于经营性公共停车场的管理规定。专用停车场停车共享应当办理共享信息登记机动车停车管理服务平台负责提供办理共享申请、发布共享信息服务。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第三十三条 经营性公共停车场的经营管理者应当遵守下列规定防范工作示停车场名称、备案证明、泊位数量、服务时段和监督电话等事项以及公示收费依据、收费标准、计费方式、免费时间等信息计费、在线支付等智能化服务并接驳机动车停车管理服务平台实时上传停车泊位使用等信息排水、通风、消防、电动汽车充电等设施正常运行文明服务疏导停车场出入口的交通投入使用的公共停车场不得擅自停止使用或者改作他用。确有特殊原因需要停止经营的经营管理者应当报告公安机关并在停止经营前三十日内向社会公告。
开封市城区停车管理条例,,,第三章 停车管理与服务,,第三十四条 在公共停车场、向社会开放的专用停车场、道路停车泊位停放机动车应当遵守下列规定位免费泊位持续停车不得超过四十八小时
开封市城区停车管理条例,,,第三章 停车管理与服务,,第三十五条 任何单位和个人不得实施下列行为位标志、标线车泊位费事商品宣传促销、摆摊兜售等经营活动车场内停放
