文件名,编,分编,章,节,内容
徐州市安全生产条例,,,第一章 总 则,,第一条 为了加强安全生产工作防止和减少生产安全事故保障人民群众生命和财产安全促进经济社会持续健康发展根据《中华人民共和国安全生产法》、《江苏省安全生产条例》等法律、法规结合本市实际制定本条例。
徐州市安全生产条例,,,第一章 总 则,,第二条 本市行政区域内生产经营单位的安全生产及其相关监督管理活动适用本条例。有关法律、法规对消防安全和道路交通安全、铁路交通安全、轨道交通安全、水上交通安全、民用航空安全以及核与辐射安全、特种设备安全、建设工程安全等另有规定的适用其规定。
徐州市安全生产条例,,,第一章 总 则,,第三条 安全生产工作坚持中国共产党的领导。安全生产工作应当以人为本坚持人民至上、生命至上把保护人民生命安全摆在首位树牢安全发展理念坚持安全第一、预防为主、综合治理的方针按照管行业、管业务、管生产经营必须管安全的原则建立生产经营单位负责、职工参与、政府监管、行业自律和社会监督的机制。
徐州市安全生产条例,,,第一章 总 则,,第四条 生产经营单位是安全生产的责任主体应当遵守安全生产法律、法规和标准实行全员安全生产责任制建立健全安全生产规章制度加大对安全生产投入保障力度改善安全生产条件加强安全生产标准化、信息化建设构建安全风险分级管控和隐患排查治理双重预防机制健全风险防范化解机制提高安全生产水平确保安全生产。
徐州市安全生产条例,,,第一章 总 则,,第五条 市、县市、区人民政府应当加强对安全生产工作的领导根据国民经济和社会发展规划制定并组织实施安全生产规划加强安全生产基础设施建设和安全生产监管能力建设建立健全安全生产治理体系建立完善安全风险防控机制确定有关部门安全生产监督管理职责严格属地监管责任完善安全生产应急救援体系建立健全安全生产投入保障体系实行安全生产目标责任制、责任考核制和事故责任追究制。镇人民政府以及街道办事处开发区包括工业园区、产业园区等管理委员会等地方人民政府派出机构应当明确安全生产监督管理机构及其职责配备符合安全生产执法要求的安全生产监督检查人员和装备对本辖区内生产经营单位安全生产状况进行监督检查协助上级人民政府有关部门或者依照授权依法履行安全生产监督管理职责。
徐州市安全生产条例,,,第一章 总 则,,第六条 市、县市、区人民政府应急管理部门负责指导协调、监督检查、巡查考核本级政府有关部门和下级政府安全生产工作依法对本行政区域内安全生产工作实施综合监督管理其他有关行业、领域的主管部门在各自的职责范围内依法对有关行业、领域的安全生产工作实施监督管理其他有关部门在各自职责范围内做好安全生产相关工作。应急管理部门和其他对有关行业、领域的安全生产工作实施监督管理的部门统称负有安全生产监督管理职责的部门。负有安全生产监督管理职责的部门应当设置或者明确安全生产监督管理机构和人员配备符合要求的执法装备。安全生产工作相关部门具体分工依法实行安全生产工作责任清单管理。
徐州市安全生产条例,,,第一章 总 则,,第七条 鼓励和支持安全生产科学技术研究和安全生产先进技术、装备、工艺、材料的推广应用提升本质安全水平。支持运用大数据、物联网、人工智能等现代信息技术推进安全生产管理数字化、智能化提升安全风险隐患信息实时动态感知、科学研判和快速响应处置能力提高安全生产监督管理水平。
徐州市安全生产条例,,,第一章 总 则,,第八条 市、县市、区人民政府及其有关部门以及社会团体和生产经营单位应当采取多种形式加强安全生产法律、法规和安全生产知识、技能的宣传教育增强社会安全生产意识推进安全生产社会共治培育安全文化提高事故防范和自救互救能力。市、县市、区人民政府应当设立安全教育实践基地创新安全生产教育形式。广播、电视、报刊、网络等媒体单位应当开展安全生产公益性宣传教育对安全生产工作和安全生产违法行为进行舆论监督。
徐州市安全生产条例,,,第一章 总 则,,第九条 市、县市、区人民政府及其有关部门对在改善安全生产条件、防止或者减少生产安全事故、参加抢险救护、研究和推广安全生产科学技术与先进管理经验等方面取得显著成绩的单位和个人按照国家和省有关规定给予表彰和奖励。
徐州市安全生产条例,,,第二章 生产经营单位的安全生产保障,,第十条 生产经营单位应当建立健全全员安全生产责任制明确各层级、各岗位从业人员的责任内容、责任范围和考核标准对全员安全生产责任制落实情况开展监督、考核、奖惩保证全员安全生产责任制的落实。全员安全生产责任制及考核情况向全体从业人员公示。任何人不得通过委托、授权等形式将自己应当承担的安全生产责任转移给其他人。
徐州市安全生产条例,,,第二章 生产经营单位的安全生产保障,,第十一条 生产经营单位应当为从业人员提供符合国家标准或者行业标准的劳动防护用品并教育、督促从业人员正确佩戴、使用。生产经营单位不得以发放货币或者其他物品替代提供劳动防护用品。生产经营单位应当关注从业人员的身体、心理状况和行为习惯加强对从业人员的健康检查、心理疏导、精神慰藉防范从业人员异常行为导致生产安全事故发生。
徐州市安全生产条例,,,第二章 生产经营单位的安全生产保障,,第十二条 生产经营单位的主要负责人应当对本单位的安全生产工作全面负责履行法律、法规规定的安全生产职责。
徐州市安全生产条例,,,第二章 生产经营单位的安全生产保障,,第十三条 从业人员一百人以上的矿山、金属冶炼、建筑施工、船舶修造、船舶拆解、道路运输和危险物品的生产、经营、储存、装卸单位以及涉爆粉尘、涉氨制冷等行业、领域生产经营单位应当设置安全总监或者其他专职安全生产分管负责人协助主要负责人履行安全生产职责。鼓励其他行业、领域生产经营单位设置安全总监或者其他专职安全生产分管负责人。安全总监或者其他专职安全生产分管负责人应当具有工程师以上相关专业的技术职称或者取得相关专业的注册安全工程师资格熟悉安全生产法律、法规、标准和规范。
徐州市安全生产条例,,,第二章 生产经营单位的安全生产保障,,第十四条 矿山、金属冶炼、建筑施工、船舶修造、船舶拆解、运输单和危险物品的生产、经营、储存、装卸单位应当按照下列规定设置安全生产管理机构或者配备安全生产管理人员人员安全生产管理机构并配备两名以上专职安全生产管理人员安全生产管理机构并配备三名以上专职安全生产管理人员理机构并按照不低于从业人员百分之一的比例配备专职安全生产管理人员。前款规定以外的其他生产经营单位应当按照下列规定设置安全生产管理机构或者配备安全生产管理人员全生产管理人员产管理机构或者配备专职安全生产管理人员产管理机构并配备两名以上专职安全生产管理人员并按照不低于从业人员千分之三的比例配备专职安全生产管理人员。生产经营单位使用被派遣劳动者从事作业活动的应当计入该生产经营单位的从业人员人数。国家对建筑施工等劳动密集型行业在设立安全生产管理机构或者配备专职安全生产管理人员方面另有规定的按照其规定执行。
徐州市安全生产条例,,,第二章 生产经营单位的安全生产保障,,第十五条 危险物品的生产、储存、装卸单位以及矿山、金属冶炼单位应当按照国家有关规定配备相关专业的注册安全工程师从事安全生产管理工作。鼓励其他生产经营单位聘用注册安全工程师从事安全生产管理工作。
徐州市安全生产条例,,,第二章 生产经营单位的安全生产保障,,第十六条 生产经营单位的安全生产管理机构以及安全生产管理人员应当履行下列职责产规章制度和操作规程急管理检验、检查护用品
