文件名,编,分编,章,节,内容
循化撒拉族自治县水利工程设施管护条例,,,,,第一条 为了加强水利工程设施的管理和保护充分发挥工程效益保障公民生产生活用水及生态用水促进经济和社会可持续发展根据《中华人民共和国水法》等法律法规规定结合本县实际制定本条例。
循化撒拉族自治县水利工程设施管护条例,,,,,第二条 本条例适用于自治县行政区域内水利工程设施的使用、管护和监督活动。本条例所称水利工程设施是指水库、涝池、渠道、河堤坝、提灌站、机井、小水电站和农村人畜饮水、城镇供水、排水、水土保持和防汛抗旱、水利观测、水文观测等工程和设施。
循化撒拉族自治县水利工程设施管护条例,,,,,第三条 国家投资修建的水利工程设施属于国家所有民办公助或村、社自筹资金修建的水利工程设施属于村、社集体所有个人投资兴建的水利工程设施属于个人所有。自治县人民政府依法保护投资者的合法权益。
循化撒拉族自治县水利工程设施管护条例,,,,,第四条 自治县人民政府水行政主管部门负责全县水利工程设施的管理监督工作乡镇水利水保站负责本区域内水利工程设施的管理保护工作。城乡建设与环境保护等行政主管部门按照各自的职责做好水利工程设施的管理和监督工作。
循化撒拉族自治县水利工程设施管护条例,,,,,第五条 任何单位和个人引水、截水、蓄水、排水不得损害公共利益和他人的合法权益。
循化撒拉族自治县水利工程设施管护条例,,,,,第六条 自治县境内的单位和个人有保护水利工程设施的义务有权对浪费水资源、污染水质和损坏水利工程设施的行为予以制止、检举和控告。对在水利工程设施保护中做出显著成绩的单位和个人由自治县人民政府给予奖励。
循化撒拉族自治县水利工程设施管护条例,,,,,第七条 万亩以上灌区设立管理机构进行管理跨乡、村的千亩以上民营灌区成立水利协会等相应的组织机构进行管理。国有小型水利工程设施可以委托给村民委员会、农村集体经济组织管理和保护也可以通过承包、租赁、拍卖、股份合作制等方式由符合条件的单位和个人经营。单位和个人通过承包、租赁等方式依法取得水利工程设施经营权或者通过拍卖、股份合作制等方式依法取得水利工程设施所有权的未经水行政主管部门批准不得改变工程原设计主要功能。
循化撒拉族自治县水利工程设施管护条例,,,,,第八条 自治县行政区域内水利工程设施的管理和保护范围是房、进水口、蓄水池、供水点等各种建筑物、设施本体及周围三至五米五至十米库区最高水位淹没线外五十至二百米道渠口线外一点五至六米。水利工程设施管理和保护范围内的土地所有权、使用权按国家和省人民政府有关规定执行。保护范围内的土地未经建设单位征用的水利工程设施管护单位应与土地使用者签订管护使用协议。管护使用协议应当符合有关法律法规的规定平等保护双方的合法权益。
循化撒拉族自治县水利工程设施管护条例,,,,,第九条 自治县人民政府水行政主管部门应当加强水利法律法规的宣传和执法工作依法加强城乡用水管理保护水资源推行计划用水、节约用水提高水资源利用率对水利工程设施必须按类分项建档立卡建立定期检查、观测、维护制度实行科学化、规范化管理加强对水利工程设施管理人员的业务技术培训提高业务技术水平保证水利工程设施的安全运行。
循化撒拉族自治县水利工程设施管护条例,,,,,第十条 水利工程设施管理单位和个人应当依照有关法律法规及技术规范的规定做好水利工程设施的管理和维护工作确保水利工程设施的安全运行执行供水计划和防洪调度命令加强对水利工程设施的巡查预防和制止破坏活动建立经营管理责任制按计划或者约定的标准提供供水服务。
循化撒拉族自治县水利工程设施管护条例,,,,,第十一条 新建、改建、更新改造、除险加固水利工程设施水行政主管部门收到工程竣工报告后应当组织有关部门进行验收。经验收合格的方可交付管理单位使用、管理和维护。
循化撒拉族自治县水利工程设施管护条例,,,,,第十二条 在水利工程设施的管理和保护范围内禁止下列行为取土、建坟、挖窖等影响水利工程设施正常运行和危害水利工程设施安全的活动或者非管理人员操作水利工程设备等内排放或者倾倒土石、矿渣、废料、垃圾等固体废物及有毒有害污染物
循化撒拉族自治县水利工程设施管护条例,,,,,第十三条 在水利工程设施保护范围外施工而影响水利工程设施正常运行或者造成水利工程设施损坏的施工单位应当给予相应的赔偿并采取保护措施保证其安全运行。因其他建设项目确需占用水利工程设施或者因其他建设项目影响水利工程设施不能正常运行的建设单位应报请自治县水行政主管部门批准并按相关规定负责修建相应的替代工程或者进行赔偿。
循化撒拉族自治县水利工程设施管护条例,,,,,第十四条 水利工程设施实行有偿供水。用水单位和个人应按省人民政府规定的有关标准向水利工程设施管理单位按时足额缴纳水费逾期不缴纳的水利工程设施管理单位可根据省人民政府有关规定收取滞纳金拒不缴纳的可限制供水直至停止供水。水利工程设施管护单位不得因个别用户欠缴水费而停止对住在同一村社或者住宅楼的其他用户的供水。
循化撒拉族自治县水利工程设施管护条例,,,,,第十五条 违反本条例规定有下列行为之一的由自治县人民政府水行政主管部门责令其停止违法行为采取补救措施造成损失的依法承担赔偿责任并按下列规定给予处罚构成犯罪的依法追究刑事责任。坏或者拆除的水利工程设施外处以一万元以上五万元以下的罚款令其采取补救措施并处以五千元以上一万元以下的罚款除违法建筑物、构筑物逾期不拆除的强行拆除所需费用由违法当事人承担并处以一万元以上五万元以下的罚款点三元至一元的罚款。
循化撒拉族自治县水利工程设施管护条例,,,,,第十六条 违反本条例第十二条第五项规定的由自治县人民政府环境保护行政主管部门责令限期纠正并依照《中华人民共和国水污染防治法实施细则》的有关规定给予处罚。
循化撒拉族自治县水利工程设施管护条例,,,,,第十七条 违反本条例第十二条第六项规定的由自治县人民政府林业行政主管部门依据《中华人民共和国森林法》、《中华人民共和国森林法实施条例》及《青海省实施〈中华人民共和国森林法〉办法》的有关规定给予处罚。
循化撒拉族自治县水利工程设施管护条例,,,,,第十八条 违反本条例规定有下列行为之一的由公安机关依照《中华人民共和国治安管理处罚法》的规定给予处罚构成犯罪的依法追究刑事责任。合经营成果的
循化撒拉族自治县水利工程设施管护条例,,,,,第十九条 水利工程设施行政主管部门和水利工程设施管理单位及其工作人员违反本条例规定有下列行为之一的对负有责任的主管人员和其他直接责任人员由其行政主管部门或者上一级行政主管部门给予行政处分造成损失的依法承担赔偿责任构成犯罪的依法追究刑事责任。设施经营权转让、收取水资源费、水费等工作中利用职务的便利收受他人财物或者其它好处的水服务使用水方受到损失的工程设施险情或者险情隐患以致发生事故的或者错误操作而引发水利工程设施事故的力的。
循化撒拉族自治县水利工程设施管护条例,,,,,第二十条 本条例实施中的具体应用问题由自治县人民政府负责解释。
循化撒拉族自治县水利工程设施管护条例,,,,,第二十一条 本条例自 2007 年 7 月 1 日起施行。
