文件名,编,分编,章,节,内容
德阳市城市管理条例,,,第一章 总 则,,第一条 为了加强城市管理提高公共服务水平建设文明、和谐、生态、宜居的城市环境根据有关法律法规结合德阳市实际制定本条例。
德阳市城市管理条例,,,第一章 总 则,,第二条 在德阳市行政区域内的城市、县城建成区和市、县市、区人民政府确定并公布的其他区域实施城市管理适用本条例。本条例所称城市管理的具体实施范围包括市政公用设施运行管理、市容环境卫生管理、园林绿化管理等方面的全部工作经批准纳入统一管理的公共空间秩序管理、违法建设治理、环境保护管理、交通管理、应急管理等方面的部分工作。
德阳市城市管理条例,,,第一章 总 则,,第三条 城市管理遵循以人为本、依法治理、源头治理、权责一致、协调创新、公众参与的原则。
德阳市城市管理条例,,,第一章 总 则,,第四条 市、县市、区人民政府应当加强对辖区内城市管理工作的领导制定城市管理目标理顺城市管理事权建立统筹协调、考核评价、经费保障、责任追究等机制研究解决城市管理中的重大问题。市、县市、区人民政府城市管理主管部门依法履行城市管理职责行使城市管理综合行政处罚权具体管理内容和执法事项由市、县市、区人民政府依法确定。其他具有城市管理职能的行政主管部门应当按照各自职责做好城市管理相关工作。
德阳市城市管理条例,,,第一章 总 则,,第五条 乡镇人民政府、街道办事处负责组织落实辖区内市容和环境卫生责任区制度整合城市管理服务队伍落实网格化管理指导、督促居村民委员会以及辖区内单位参与城市管理工作。居村民委员会协助乡镇人民政府、街道办事处动员社区成员参与城市管理将城市管理要求纳入社区居民公约
德阳市城市管理条例,,,第一章 总 则,,第六条 供水、供电、供气、邮政、通讯、有线电视、公共交通等服务单位应当保证经营服务范围内设备、设施的正常运行和使用安全配合做好城市管理工作。物业管理服务企业有权对本物业区域内违反城市管理规定的行为进行劝阻劝阻无效的应当及时报告城市管理主管部门或者相关行政主管部门依法查处。
德阳市城市管理条例,,,第一章 总 则,,第七条 市、县市、区人民政府以及相关部门应当加强宣传教育引导和规范公共文明行为弘扬社会主义核心价值观提升市民文明素质和城市文明水平。公民、法人或者其他组织应当遵守法律法规维护城市管理秩序有权参与城市管理相关活动对城市管理工作提出批评、建议通过多种方式举报违反城市管理规定的行为。公民、法人或者其他组织举报的违法线索经城市管理主管部门或者相关行政主管部门核查属实的予以奖励奖励办法由市、县市、区人民政府制定。
德阳市城市管理条例,,,第二章 城市管理事项,,第八条 城市建设应当符合城市总体规划和专项规划。新区开发、旧城改建应当配套建设城市基础设施和社会公益、公共服务设施经验收合格后投入使用并移交相关单位管理。
德阳市城市管理条例,,,第二章 城市管理事项,,第九条 城市管理、住房和城乡建设、水务、公安、交通运输、经济和信息化、民政等部门应当加强城市市政设施、环卫设施、公共交通、给排水、防洪排涝、地下管网、公共信息标志标识等城市公用设施的管理及时修复、更换损毁的设施保持各项设施完好和正常运行。
德阳市城市管理条例,,,第二章 城市管理事项,,第十条 未经城市管理主管部门和公安交通管理部门批准任何单位和个人不得占用或者挖掘城市道路。因特殊情况需要经批准临时占用城市道路的期满后应当及时清理占用现场恢复城市道路原状。因工程建设需要经批准挖掘城市道路的竣工后应当及时清理现场通知城市管理主管部门检查验收。
德阳市城市管理条例,,,第二章 城市管理事项,,第十一条 建构筑物和设施应当符合城市容貌标准保持整洁、美观、协调出现破损、脱落、污秽等影响市容的其所有人、管理人应当及时进行整修、清洗、更换。任何单位和个人不得在建构筑物沿街立面安装不符合城市容貌标准的外置式防护栏网、遮阳雨篷、空调外机及接水管等设施。
德阳市城市管理条例,,,第二章 城市管理事项,,第十二条 设置户外广告、店招店牌应当符合城市容貌标准和技术规范要求出现外形污损、图文残缺、显示不完整、脱落等影响市容的其所有人、管理人应当及时清洗、修复或者更换修复前暂停使用。设置大型户外广告应当征得城市管理主管部门同意后按照有关规定办理审批手续。禁止在城市道路、建构筑物、树木和其他设施上涂写、刻画或者擅自张贴广告、墙报、标语、海报等宣传品。
德阳市城市管理条例,,,第二章 城市管理事项,,第十三条 禁止下列影响公共环境卫生的行为屑、烟蒂、饮料罐、塑料袋等垃圾猪等家畜家禽但因教学、科研以及其他特殊需要饲养的除外
德阳市城市管理条例,,,第二章 城市管理事项,,第十四条 单位和个人应当按照生活垃圾分类管理的规定将生活垃圾投放到指定的垃圾容器或者收集场所禁止随意倾倒、抛撒、堆放生活垃圾。宾馆、饭店、餐馆、食堂等集中产生餐厨垃圾的经营者应当将餐厨垃圾交由符合要求的城市生活垃圾收集、运输企业进行收集、运输、处置。从事生活垃圾收集、运输的企业不得对分类投放的生活垃圾进行混合收集、混合运输。
德阳市城市管理条例,,,第二章 城市管理事项,,第十五条 饲养犬只应当按照有关规定办理准养证明和防疫证明不得干扰他人正常生活。禁止携带犬只等宠物乘坐公共交通工具或者进入办公区、学校、医院、影剧院、图书馆、博物馆、商场等公共场所但盲人、肢体重残人士携带导盲犬、扶助犬的除外。携带犬只等宠物出户应当及时清除宠物排泄物不得影响公共环境卫生。
