文件名,编,分编,章,节,内容
忻州市地热水资源保护条例,,,,,第一条 为了加强地热水资源保护发挥地热水资源的综合效益保障地热水资源合理开发和可持续利用。根据《中华人民共和国水法》、《中华人民共和国矿产资源法》、《地下水管理条例》等法律、法规结合本市实际制定本条例。
忻州市地热水资源保护条例,,,,,第二条 本市行政区域内地热水资源的开发、利用和保护等活动适用本条例。
忻州市地热水资源保护条例,,,,,第三条 本条例所称地热水资源是指由地质作用形成的赋存于地壳内部或者天然出露的二十五摄氏度以上的水资源。
忻州市地热水资源保护条例,,,,,第四条 地热水资源属于国家所有不因其所依附的土地所有权和使用权的不同而改变。
忻州市地热水资源保护条例,,,,,第五条 地热水资源的保护、开发和利用应当坚持统一规划、保护优先、合理开采、总量控制、综合利用的原则。
忻州市地热水资源保护条例,,,,,第六条 市、县市、区人民政府应当将地热水资源的保护和利用纳入国民经济和社会发展规划加强地热水资源保护对地热水资源的开发利用实行统一管理推进资源整合严格控制开采规模合理配置产业布局推动地热水资源集约开发和可持续利用。
忻州市地热水资源保护条例,,,,,第七条 市、县市、区水行政主管部门为辖区内地热水资源管理的主管部门负责地热水资源的日常保护和管理工作。市、县市、区自然资源主管部门依据《中华人民共和国矿产资源法》等法律、法规履行地热水资源管理的相关职责。发展和改革、财政、住房和城乡建设、生态环境、卫生和健康、能源、地震等部门按照各自职责依法做好相关工作。
忻州市地热水资源保护条例,,,,,第八条 任何单位和个人都有依法保护地热水资源的义务对违法行为有检举的权利。在保护和管理地热水资源工作中作出突出贡献的单位和个人由市、县市、区人民政府按照国家和省有关规定给予表彰和奖励。
忻州市地热水资源保护条例,,,,,第九条 市人民政府水行政主管部门应当会同自然资源行政主管部门根据地热水资源的调查情况编制全市地热水资源保护利用规划经市人民政府批准后向社会公布实施。县市、区人民政府水行政主管部门应当会同自然资源行政主管部门根据全市地热水资源保护利用规划编制本行政区域的地热水资源保护利用规划报本级人民政府批准后向社会公布实施并报市人民政府水行政主管部门备案。地热水资源保护利用规划应当包括开发利用方案、保护措施、产业发展、规划执行等内容并与国土空间规划、矿产资源规划、水资源保护规划等相衔接。
忻州市地热水资源保护条例,,,,,第十条 任何单位和个人不得擅自修改、变更或者拒不执行已批准的地热水资源保护利用规划。已公布实施的规划确需修改或者变更的应当按照原批准程序报批。
忻州市地热水资源保护条例,,,,,第十一条 勘查地热水资源应当依法取得勘查许可证。探矿权人应当在勘查许可证规定的范围内开展地热水资源勘查活动。
忻州市地热水资源保护条例,,,,,第十二条 开采地热水资源应当依法取得取水许可证和采矿许可证。采矿权人应当按照取水许可证和采矿许可证载明的事项从事开采活动。需要变更取水许可证和采矿许可证载明事项的采矿权人应当向原审批机关申请经原审批机关批准办理有关变更手续。
忻州市地热水资源保护条例,,,,,第十三条 开采地热水资源实行总量控制和定额管理相结合的制度。在地热水资源开采达到控制总量的区域内禁止新增地热水开采井。
忻州市地热水资源保护条例,,,,,第十四条 开采地热水资源应当符合井点总体布局和取水层位的要求不得擅自变更井位和井深。确需变更的应当经原审批机关批准。
忻州市地热水资源保护条例,,,,,第十五条 市、县市、区人民政府水行政主管部门应当对本行政区域内的地热水取水工程登记造册建立监督管理制度。
忻州市地热水资源保护条例,,,,,第十六条 探矿权人应当遵守环境保护和水污染防治等法律、法规的相关规定勘查作业完毕及时采取有效措施消除安全隐患。
忻州市地热水资源保护条例,,,,,第十七条 探矿权人应当将地热水资源的勘测成果及历史资料包括藏深、温度、范围等地质状况报水行政主管部门备案。采矿权人应当将地热水井的平面布置图、井深、水位、水温、水质和出水量等资料报水行政主管部门备案。
忻州市地热水资源保护条例,,,,,第十八条 市、县市、区人民政府应当合理布局地热水资源产业保持采补平衡推动地热水资源集约开发和可持续利用。
忻州市地热水资源保护条例,,,,,第十九条 市、县市、区人民政府应当根据地热资源的地质条件和开发利用现状组织有关部门划定地热水资源保护范围制定和实施地热水资源保护措施。在地热水资源保护范围内禁止修建危害地热水资源的设施禁止从事污染环境的生产经营活动。
忻州市地热水资源保护条例,,,,,第二十条 地热水资源实行有偿使用。开发利用地热水资源应当依法缴纳有关税费。
忻州市地热水资源保护条例,,,,,第二十一条 开发利用地热水资源的单位和个人应当遵守取水总量控制和定额管理要求使用先进节约用水技术、工艺和设备采取循环用水、综合利用及废水处理回用等措施实施技术改造降低用水消耗。
忻州市地热水资源保护条例,,,,,第二十二条 新建、改建、扩建地热水取水工程应当同时安装计量设施。已有地热水取水工程未安装计量设施的应当按照水行政主管部门规定的期限安装。
忻州市地热水资源保护条例,,,,,第二十三条 市、县市、区人民政府水行政主管部门应当对计量设施和节能节水设施的安装使用情况进行监督、检查。
忻州市地热水资源保护条例,,,,,第二十四条 市、县市、区人民政府水行政主管部门应当会同自然资源、生态环境、住房和城乡建设、卫生和健康、地震等相关部门建立地热水资源监测系统对地热水资源的水温、水位、水质、流量及周边地质环境实行动态监测并定期公布监测信息。
忻州市地热水资源保护条例,,,,,第二十五条 地热水资源利用后产生的污水应当进行处理达到国家或者地方规定的排放标准后方可排放。禁止利用渗井、渗坑或者无防渗漏措施的沟渠、坑塘等排放、输送和存贮地热污水。禁止私设暗管或者采取其他规避监管的方式排放地热污水。
忻州市地热水资源保护条例,,,,,第二十六条 禁止私接地热水管网窃取地热水资源。禁止破坏地热水开采井和地热水资源监测设施。
忻州市地热水资源保护条例,,,,,第二十七条 市、县市、区水行政、生态环境等主管部门应当建立从事地热水节约、保护、利用活动的单位和个人的诚信档案记录日常监督检查结果、违法行为查处等情况并依法向社会公示。
忻州市地热水资源保护条例,,,,,第二十八条 鼓励在沐浴养生、旅游休闲、医疗康养、地热采暖、种植养殖等方面梯级开发和综合利用地热水资源。
忻州市地热水资源保护条例,,,,,第二十九条 违反本条例规定法律、行政法规和省人民代表大会及其常务委员会制定的地方性法规已有法律责任规定的从其规定。
忻州市地热水资源保护条例,,,,,第三十条 国家机关工作人员在地热水资源开发、利用和保护等工作中滥用职权、玩忽职守、徇私舞弊的依法给予处分构成犯罪的依法追究刑事责任。
忻州市地热水资源保护条例,,,,,第三十一条 本条例自 2023 年 5 月 1 日起施行。
