文件名,编,分编,章,节,内容
恩施土家族苗族自治州酉水河保护条例,,,第一章 总则,,第一条 为了加强酉水河保护防治河流污染和生态破坏推进生态文明建设根据《中华人民共和国环境保护法》、《中华人民共和国水法》、《中华人民共和国水污染防治法》、《湖北省水污染防治条例》等法律法规的规定结合自治州实际制定本条例。
恩施土家族苗族自治州酉水河保护条例,,,第一章 总则,,第二条 本条例适用于酉水河干流及其一级支流。
恩施土家族苗族自治州酉水河保护条例,,,第一章 总则,,第三条 酉水河保护遵循政府主导、公众参与、统筹协调、保护优先、严防严治原则。
恩施土家族苗族自治州酉水河保护条例,,,第一章 总则,,第四条 酉水河流域的县级以上人民政府建立跨行政区域协调保护制度。
恩施土家族苗族自治州酉水河保护条例,,,第二章 政府职责与公众参与,,第五条 自治州人民政府负责组织、协调、监督酉水河保护工作。酉水河流域的县级人民政府负责本行政区域内酉水河的保护工作并向同级人民代表大会常务委员会报告本行政区域内酉水河保护工作情况。酉水河流域的乡镇人民政府应当做好本行政区域内酉水河保护的有关工作。酉水河流域的村居民委员会应当引导、鼓励村居民参与酉水河保护采取乡规民约等方式规范村居民行为保护和改善酉水河生态环境。
恩施土家族苗族自治州酉水河保护条例,,,第二章 政府职责与公众参与,,第六条 酉水河保护实行自治州、县市、乡镇各级地方人民政府行政首长负责制。
恩施土家族苗族自治州酉水河保护条例,,,第二章 政府职责与公众参与,,第七条 酉水河流域的县级以上人民政府应当设立酉水河生态环境保护专项资金列入本级财政预算。积极鼓励和引导社会资本参与酉水河保护。
恩施土家族苗族自治州酉水河保护条例,,,第二章 政府职责与公众参与,,第八条 酉水河流域的县级以上人民政府有关部门应当履行下列职责的统一监督管理管理理设施的规划、建设和管理理安全卫生的监督管理等活动中水污染防治的监督管理监督管理生态修复的建设管理。其他有关部门根据各自职责对酉水河保护实施监督管理。
恩施土家族苗族自治州酉水河保护条例,,,第二章 政府职责与公众参与,,第九条 酉水河流域的县级以上人民政府及行政主管部门应当建立酉水河保护信息公开制度依法公开水功能区、饮用水源保护区、水环境质量、重点污染源环境监测、排污口设置、水环境保护责任区域、责任人、举报方式等信息。
恩施土家族苗族自治州酉水河保护条例,,,第二章 政府职责与公众参与,,第十条 酉水河流域的乡镇以上人民政府及行政主管部门应当组织开展相关法律法规和环境保护知识的宣传普及工作营造酉水河保护的良好社会环境。
恩施土家族苗族自治州酉水河保护条例,,,第二章 政府职责与公众参与,,第十一条 酉水河保护中的重大决策事项应当采取座谈会、协商会、论证会、听证会等方式听取公民代表和专家学者等方面的意见。对重大水污染案件的调查处理可以邀请社会组织和公民代表参与。
恩施土家族苗族自治州酉水河保护条例,,,第二章 政府职责与公众参与,,第十二条 酉水河流域的县级以上人民政府应当鼓励社会组织、公民参与酉水河保护。对酉水河保护做出显著成绩的单位和个人给予奖励。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第十三条 酉水河流域的县级以上人民政府建立跨行政区域联席会议制度协调解决跨行政区域的酉水河保护重大事项。酉水河流域的县级以上人民政府与相关同级人民政府协商组织召开联席会议共同执行会议决定。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第十四条 酉水河流域的县级以上人民代表大会常务委员会应当与相邻同级人民代表大会常务委员会建立协同执法检查机制监督本行政区域内跨行政区域协调保护制度的实施情况。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第十五条 自治州人民政府可以与相邻同级人民政府联合制定酉水河流域总体规划。酉水河流域的县级以上人民政府相关职能部门应当编制本行政区域内酉水河区域规划、专项规划并相互征求意见。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第十六条 酉水河流域的县级以上人民政府之间可以通过签订协议等方式明确跨行政区域协调保护的事项和职责。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第十七条 酉水河流域的县级以上人民政府之间应当建立联合监测制度。酉水河流域的环境保护行政主管部门对河流上下游交界断面的水质、水量及左右岸的水污染源等进行监测实现资源共享。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第十八条 酉水河流域的县级以上人民政府及相关行政主管部门之间应当建立环境违法行为相互告知制度及时通报环境违法行为情况建立环境违法行为协同执法制度共同制定执法事项目录、执法时间表。积极推行相对集中行政处罚权制度加强酉水河保护。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第十九条 酉水河流域的县级以上人民政府之间应当建立突发环境事件等重大事项的通报机制和应急处置机制。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第二十条 酉水河流域的县级以上人民政府应当建立河流交界断面的水环境质量考核机制并定期向社会公布考核情况。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第二十一条 酉水河流域的县级以上人民政府及相关行政主管部门在作出河流最小生态下泄流量决定前批准涉及减少河水流量、影响水流流态和可能影响河流交界断面水质的建设项目前应当征询相邻地区同级人民政府及相关行政主管部门意见。有异议的可以采取召开联席会议等方式协商解决。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第二十二条 跨行政区域的水污染纠纷由有关人民政府环境保护行政主管部门协商处理协商不成的可以报请本级人民政府启动跨行政区域联席会议处理或者通过其他法定途径解决。
恩施土家族苗族自治州酉水河保护条例,,,第三章 跨行政区域协调保护机制,,第二十三条 酉水河流域的乡镇人民政府之间根据跨行政区域协调保护制度协调处理酉水河保护相关工作。协调不成的报请上级人民政府解决。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第二十四条 酉水河流域的县级以上人民政府及相关行政主管部门应当组织酉水河沿岸集镇适时建设和改造城镇污水集中处理设施及配套管网、危险废物集中处置设施以及固体废物的收集、运输和处置设施等环境保护公共设施并保障其正常运行。酉水河流域的乡镇以上人民政府应当组织酉水河沿岸村庄、居民集中区建设垃圾分类收集、集中转运、无害化处理设施和污水处理设施。鼓励、支持公民、法人和其他组织投资垃圾和污水处理项目。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第二十五条 穿越饮用水水源保护区的道路应当配备安保设施和警示标识。未经批准禁止在穿越饮用水水源保护区的道路上通行装载剧毒化学品的车辆运输其他危险化学品的车辆通行需根据危险化学品的危险特性采取相应的安全防护措施或者配备必要的防护用品和应急救援器材并由专人保障危险化学品运输安全。运输有毒有害物质、油类等的船舶和车辆一般不得进入饮用水水源保护区必须进入者应事先申请并经有关部门批准、登记并设置防渗、防溢、防漏设施。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第二十六条 酉水河流域的县级以上人民政府水利水产行政主管部门应当划定并公布禁渔区和禁渔期并在禁渔区设立明确的地理界标和明显的警示标志。水产养殖应当采取措施避免水体污染禁止网箱养殖、投肥养殖。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第二十七条 禁止新建装机容量 1 万千瓦以下的水力发电工程。酉水河流域的县级以上人民政府及相关行政主管部门应当严格管理生态流量定期监测水力发电工程的下泄流量防止出现脱水河段。已建成的水力发电工程项目不符合生态流量管理要求的责令限期整改整改后仍不符合要求的由县级以上人民政府依法责令其停产。酉水河流域的县级以上人民政府环境保护行政主管部门应当划定水力发电工程影响区域范围水电开发企业应当采取措施保护和改善水力发电工程影响区域内的生态环境。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第二十八条 自治州人民政府水利水产行政主管部门应根据河道岸线管理规划划分岸线保护区并向社会公布。在岸线保护区内禁止建设对水体产生污染的开发项目。违法建设的责令限期拆除。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第二十九条 酉水河流域的县级以上人民政府根据水环境功能区划和区域环境承载能力依法划定畜禽养殖的禁养区和限养区。在禁养区和限养区范围内不得新建畜禽养殖建设项目。禁养区已有的畜禽养殖项目限期搬迁或拆除。限养区已有的畜禽养殖项目应当按照环境保护的有关规定控制畜禽养殖规模并严格落实污染防治措施实现污染物达标排放。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第三十条 酉水河通航水域航行的船舶应当配备污水、废油和垃圾等污染物、废弃物收集设施禁止向水体排放、弃置船舶污染物和废弃物。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第三十一条 未经行政主管部门批准不得在酉水河河道管理范围内违法从事采砂、采矿、采石、取土、开采地下资源或者进行考古发掘等活动。
恩施土家族苗族自治州酉水河保护条例,,,第四章 水资源保护与水污染防治,,第三十二条 禁止向河流排放、倾倒工业废渣、生活垃圾和其他废弃物。禁止私设暗管或者采取其他规避监管的方式向河流排放污染物。
恩施土家族苗族自治州酉水河保护条例,,,第五章 法律责任,,第三十三条 违反本条例第二十五条第二款规定未经批准在穿越饮用水水源保护区的道路上运输剧毒化学品的由公安机关责令改正并处 5 万元以上 10 万元以下罚款没有指定专人保障危险化学品运输安全的由公安机关责令改正并处 1 万元以上 5 万元以下罚款。在穿越饮用水水源保护区的道路上运输危险化学品的车辆没有根据危险化学品的危险特性采取相应的安全防护措施或者未配备必要的防护用品和应急救援器材的由交通运输行政主管部门责令改正并处 5 万元以上 10 万元以下罚款。
