文件名,编,分编,章,节,内容
成都市文明行为促进条例,,,第一章 总则,,第一条 为了培育和践行社会主义核心价值观传承和弘扬中华民族传统美德引导和促进文明行为提升新时代公民文明素质和社会文明程度推进社会主义现代化成都建设根据有关法律、法规结合成都市实际制定本条例。
成都市文明行为促进条例,,,第一章 总则,,第二条 本条例适用于本市行政区域内的文明行为促进及其相关活动。
成都市文明行为促进条例,,,第一章 总则,,第三条 文明行为促进工作应当坚持法治与德治相结合、倡导与治理相结合、自律与他律相结合、政府主导与社会共治相结合、奖励与惩戒相结合的原则与践行新发展理念的公园城市示范区战略定位相符合。
成都市文明行为促进条例,,,第一章 总则,,第四条 市和区市县精神文明建设委员会负责统筹、组织、协调、指导和监督本辖区内的文明行为促进工作。市和区市县精神文明建设委员会办事机构负责本辖区内文明行为促进工作的指导协调、督促检查等具体工作。
成都市文明行为促进条例,,,第一章 总则,,第五条 市和区市县人民政府应当将文明行为促进工作纳入国民经济和社会发展规划明确工作总体目标、任务和要求制定相关政策措施提供相应工作保障。镇人民政府、街道办事处应当在职责范围内做好本辖区的文明行为促进工作。
成都市文明行为促进条例,,,第一章 总则,,第六条 发展改革、经信、教育、科技、公安、民政、司法行政、财政、人力资源和社会保障、规划和自然资源、农业农村、公园城市、生态环境、住建、城市管理、交通运输、水务、文广旅、卫生健康、应急管理、体育、市场监管、商务、医保等部门按照本条例规定和各自职责负责做好文明行为促进相关工作。
成都市文明行为促进条例,,,第一章 总则,,第七条 国家机关、人民团体、企业事业单位和社会组织应当按照本条例规定结合自身实际积极支持、参与文明行为促进活动。个人应当遵纪守法自觉遵守市民文明公约、居民公约、村规民约、学生守则、行业规范等遵从公共场所管理单位的引导参与文明行为促进活动。
成都市文明行为促进条例,,,第二章 行为规范,,第八条 在促进公共场所文明方面应当遵守下列规定得随意大声喧哗不得使用粗俗和低俗、侮辱性和歧视性等言语比等活动吐痰、乱扔垃圾咳嗽、打喷嚏时遮掩口鼻患有流行性感冒等传染性呼吸道疾病时主动佩戴口罩禁烟标识引导在非禁烟场所吸烟时合理避开他人不得乱扔烟头设备控制外放音量不得影响他人正常的工作和生活规占用公用道路、沿街铺面的公共地段依照有关提示和引导观看演出、比赛、展会文明喝彩助威和交流互动文化娱乐、道路照明、城乡绿道等设施
成都市文明行为促进条例,,,第二章 行为规范,,第九条 在建设和谐文明城乡社区方面应当遵守下列规定乡特色风貌垃圾和杂物倡导有条件的居民住宅楼安装油烟集中净化处理设施推广节能环保型炉灶不得露天焚烧秸秆、杂物和垃圾施避免伤害、惊扰他人及时清理宠物粪便等废弃物屋顶等空间机动车、非机动车规范有序停放常使用不得私拉乱接水、电、气、通讯等线路业或者开展娱乐、体育锻炼等活动避免影响邻居正常生活和高层住宅悬挂物、搁置物等掉落定开展的帮扶救助、应急救援等工作
成都市文明行为促进条例,,,第二章 行为规范,,第十条 在交通活动中应当遵守下列规定鸣笛、向车外抛物等行为在出入口和拥堵缓行路段等道路互相礼让、有序通行通过积水路段防止积水溅起妨碍他人停车和下车时避免妨碍他人拒载等行为做到用语文明、服务规范乘客、向车外抛物、占座等行为遵从引导、自觉排队、先下后上主动为老弱病残孕等有需要的乘客让座电子设备、违规载人载物等违反交通规则的行为规范佩戴头盔注意避让行人和其他车辆道路等行为通过拥挤路段时自觉排队、不推挤他人、不抢行按照相关管理规范停放不得占用盲道、机动车道规范不得实施妨碍道路交通安全的行为
成都市文明行为促进条例,,,第二章 行为规范,,第十一条 在市场活动中应当遵守下列规定照法律认可的交易方式和习惯及时履约传真实、明码标价拒绝参与和包庇纵容违规售卖等不文明商业活动
成都市文明行为促进条例,,,第二章 行为规范,,第十二条 在旅游活动中应当遵守下列规定国家利益、社会公共利益或者他人合法权益仰、民族风俗和生活习惯坏植物、违规投喂动物、乱扔垃圾爱护景区环境、公共设施祭扫、参观时遵守祭扫制度和礼仪规范区景点参观时按照管理单位规定使用录音、摄影、摄像等器材
成都市文明行为促进条例,,,第二章 行为规范,,第十三条 在医疗活动中应当遵守下列规定合法权益用职务之便谋取不正当利益不得影响医疗卫生人员的诊疗活动题和诉求依法处理医疗纠纷
成都市文明行为促进条例,,,第二章 行为规范,,第十四条 在网络活动中应当遵守下列规定犯他人隐私行为俗等不良信息
成都市文明行为促进条例,,,第二章 行为规范,,第十五条 在促进生产文明方面应当遵守下列规定碳中和目标产细化绿色新能源的运用
成都市文明行为促进条例,,,第二章 行为规范,,第十六条 在促进绿色低碳的文明生活方式方面应当遵守下列规定生等活动通工具等方式出行公勺不酗酒、不劝酒践行光盘行动餐后打包过度包装减少使用一次性消费品俭操办婚丧嫁娶等事宜分类投放、资源化利用
成都市文明行为促进条例,,,第二章 行为规范,,第十七条 在促进生态文明方面应当遵守下列规定市森林公园和自然保护地、川西林盘等生态环境自觉参加植树造林、养绿护绿等活动湖泊、湿地等倾倒排泄物、污染物和废弃物物及其产品避免开展妨碍野生动物生息繁衍的活动火令严防森林火灾
成都市文明行为促进条例,,,第三章 社会共治,,第十八条 任何单位和个人都应当自觉遵守法律法规和社会文明行为规范参与文明行为促进活动。工会、共青团、妇联、残联、科协等人民团体应当发挥自身优势按照各自职责组织开展具有群体特色的文明行为促进活动。国家工作人员、先进模范人物、社会公众人物、文明引导员等应当在文明行为促进工作中发挥表率作用。
