文件名,编,分编,章,节,内容
成都市职业教育促进条例,,,第一章 总则,,第一条 为了适应现代产业发展要求建立现代职业教育体系培养技术技能人才提高劳动者就业能力促进经济社会发展根据《中华人民共和国职业教育法》等有关法律、法规结合本市实际制定本条例。
成都市职业教育促进条例,,,第一章 总则,,第二条 本市行政区域内的职业教育及其相关活动适用本条例。
成都市职业教育促进条例,,,第一章 总则,,第三条 职业教育应当坚持服务经济社会、满足社会需求、规范办学行为、立足学生的发展原则。
成都市职业教育促进条例,,,第一章 总则,,第四条 市和区市县人民政府应当将职业教育纳人国民经济和社会发展规划。市和区市县人民政府编制的土地利用总体规划和城乡统筹规划应当与本地职业教育发展规划相衔接。
成都市职业教育促进条例,,,第一章 总则,,第五条 本市建立和完善政府主导、行业指导、企业参与、院校自主的职业教育办学机制。
成都市职业教育促进条例,,,第一章 总则,,第六条 市和区市县人民政府应当统筹城乡职业教育协调发展促进城乡技术技能人才和实用性人才培养促进城乡就业推动城镇化进程。
成都市职业教育促进条例,,,第一章 总则,,第七条 本市鼓励和支持普通教育和职业教育双向融通中等职业教育和高等职业教育相互衔接。本市鼓励和支持在蓉高等学校向职业教育开放教育教学资源职业院校应当利用高等学校资源开展教育教学。本市高等职业教育应当提高人才培养规格和层次。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第八条 市和区市县人民政府应当建立职业教育联席会议制度定期召开联席会议研究、解决职业教育中的重大问题。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第九条 市和区市县人民政府应当建立由政府行政主管部门、职业教育研究机构、行业协会、企业、职业院校组成的职业教育指导委员会。职业教育指导委员会下设相关专业指导委员会负责制定行业准入、专业规划、课程设置和教学评估等标准参与实训基地建设开展教师培训预测人才需求和规格指导职业院校做好学生就业。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十条 市和区市县人民政府应当建立和健全职业教育目标考核体系将职业教育招生、学生就业等纳人目标考核。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十一条 市和区市县人民政府应当将职业教育经费列入财政预算足额拨付职业教育经费保障生均教育费用和生均公用经费逐步增长。市属高等职业院校生均财政拨款标准达到市属相应普通本科院校地方承担的生均财政拨款标准。本市中等职业学校生均财政拨款标准达到或超过省人民政府规定的中等职业院校生均财政拨款标准。地方教育费附加安排用于职业教育的比例不低于30。财政、教育、人社等行政管理部门应当加强资金管理提高资金使用效益。任何单位和个人不得挪用、截留职业教育经费。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十二条 市和区市县人民政府应当减收或者免收职业院校基础设施建设、城市建设配套费。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十三条 市和区市县人民政府应当支持、指导职业院校建立校内外实习、实训基地。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十四条 市教育行政主管部门负责全市职业教育监督、管理和指导工作。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十五条 市教育、人社行政主管部门应当根据国家相关规定制定符合职业教育特点的专兼职教师资格标准、专业技术职务职称评聘办法制定符合职业教育特点的校长任职资格标准。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十六条 市和区市县教育、人社行政主管部门应当制定职业教育教师培养计划并通过参与课程改革、挂职锻炼等形式对职业教育教师进行培训。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十七条 市教育、人社行政主管部门应当根据本市产业发展和人力资源市场需求制定年度招生计划。
成都市职业教育促进条例,,,第二章 政府及其所属部门职责,,第十八条 市和区市县发改、经信、财政、商务、旅游、国资、农委、审计等行政部门及群团组织应当在各自职责范围内做好职业教育相关工作推动职业教育事业发展。
成都市职业教育促进条例,,,第三章 教育教学,,第十九条 中等职业学校的设立、变更或者终止应当向有关行政主管部门提出申请办理相关手续。未经批准任何单位和个人不得设立职业学校。
成都市职业教育促进条例,,,第三章 教育教学,,第二十条 职业院校在办学模式、育人方式、资源配置、人事管理、合作办学、社区服务等方面依法享有办学自主权。
成都市职业教育促进条例,,,第三章 教育教学,,第二十一条 职业院校应当与行业组织、企业合作根据本市产业结构调整和人才需求变化建立职业教育专业和课程设置动态调整机制。
成都市职业教育促进条例,,,第三章 教育教学,,第二十二条 职业院校应当建立和健全教学质量监控和评价制度加强教学过程管理定期组织教学质量检测、评估。
成都市职业教育促进条例,,,第三章 教育教学,,第二十三条 职业院校不得有偿招生或者通过非法中介机构招生不得与不具备办学条件的学校或者机构联合招生。职业院校发布的招生广告、招生简章应当真实合法并报相应的教育、人社行政主管部门备案。
成都市职业教育促进条例,,,第三章 教育教学,,第二十四条 本市职业院校的教师应当符合国家规定的任职学历和资格专业教师应当具有相应的行业经历和经验。鼓励普通高等院校联合相关企业专门培养职业教育师资。本市鼓励职业院校教师加人行业协会组织。
成都市职业教育促进条例,,,第三章 教育教学,,第二十五条 本市职业院校师生比按不低于相应普通院校标准核定教职工编制数其中按不少于编制数 25用于聘请行业专业技术人员、高技能人才担任专兼职教师。
成都市职业教育促进条例,,,第三章 教育教学,,第二十六条 民办职业院校教师在资格认定、职称评审、进修培训、课题申请、评先选优、国际交流等方面与公办职业院校教师享受同等待遇。
成都市职业教育促进条例,,,第三章 教育教学,,第二十七条 职业院校应当建立和完善教师实习、实践制度专业教师和实习指导教师每年到企业或生产服务一线的时间累计不少于两个月。
成都市职业教育促进条例,,,第三章 教育教学,,第二十八条 职业院校应当对学生加强社会公德、职业道德教育培养学生自尊自信、尊重劳动、爱岗敬业、诚实守信。
成都市职业教育促进条例,,,第三章 教育教学,,第二十九条 本市鼓励职业院校学生取得学历证书并通过职业鉴定机构考核取得相应的职业资格证书。
成都市职业教育促进条例,,,第三章 教育教学,,第三十条 职业院校应当建立和完善应急预案定期组织师生开展学校突发事件应急培训和应急演练。
成都市职业教育促进条例,,,第四章 校企合作,,第三十一条 本市鼓励和支持职业院校、企业共同开展校企合作具体鼓励办法由市人民政府制定。
成都市职业教育促进条例,,,第四章 校企合作,,第三十二条 职业院校应当根据经济社会发展和市场需求与企业开展下列事项合作化优化教学内容开发专业课程
成都市职业教育促进条例,,,第四章 校企合作,,第三十三条 企业应当接纳职业院校学生参加专业对口的实习实训。职业院校学生到企业上岗实习的职业院校应当与企业签订合作协议并为学生购买人生伤害保险。企业对上岗实习的职业院校学生应当给予适当的实习报酬并按照国家规定在企业所得税前扣除。
成都市职业教育促进条例,,,第四章 校企合作,,第三十四条 接受学生实习实训的企业应当开展实习实训前的安全培训负责实习实训期间的劳动保护。下列事项不得安排学生实习实训强度的岗位学生每天顶岗实习不得超过八小时不得安排一年级的学生到企业顶岗实习。
成都市职业教育促进条例,,,第四章 校企合作,,第三十五条 职业院校应当利用现有公共实训基地资源为企业职工技能培训和继续教育提供服务并为合作企业优先推荐毕业生。
成都市职业教育促进条例,,,第四章 校企合作,,第三十六条 职业院校应当配合企业开展技术改造、产品研发和科技项目攻关促进科技成果转化。
成都市职业教育促进条例,,,第四章 校企合作,,第三十七条 本市鼓励企业管理者、高技能人才到职业院校兼职从教职业院校教师到企业实践校长到企业挂职等校企双向互动。
成都市职业教育促进条例,,,第五章 职业教育集团,,第三十八条 市和区市县人民政府应当根据国家有关规定鼓励和支持职业教育集团的发展。
成都市职业教育促进条例,,,第五章 职业教育集团,,第三十九条 行业主管部门应当组织、指导行业协会、重点企业、职业院校建立面向先进制造业、现代服务业、都市现代农业、战略性新兴产业、文化产业等职业教育集团。本市鼓励职业教育集团与跨国企业、职业教育机构等开展合作组建涉外型职业教育集团。
成都市职业教育促进条例,,,第五章 职业教育集团,,第四十条 行业协会、重点企业、职业院校应当按照平等自愿、互惠互利、共同发展的原则制定职业教育集团章程并按照职业教育集团章程享有相应的权利并承担相应的义务。
成都市职业教育促进条例,,,第五章 职业教育集团,,第四十一条 职业教育集团应当建立产业与职业院校专业、企业生产标准与职业院校标准、企业生产过程与职业院校教学课程相衔接的运行模式。职业教育集团应当建立教师、学生流动机制实行教学、实训、就业等资源共享。
成都市职业教育促进条例,,,第六章 社会参与,,第四十二条 本市鼓励企业、事业单位、社会团体、境内外社会组织及公民个人投资举办职业教育对符合条件的民办职业院校给予政策支持。
成都市职业教育促进条例,,,第六章 社会参与,,第四十三条 本市鼓励企业、事业单位、社会团体、境内外组织及公民个人对职业教育事业给予资助和捐赠。
成都市职业教育促进条例,,,第六章 社会参与,,第四十四条 本市鼓励和支持职业院校建立和健全包括工学联动、实践嵌入、课程外包在内的社会化教学合作运行机制。本市培育和扶持第三方职业教育咨询、评估机构。
成都市职业教育促进条例,,,第六章 社会参与,,第四十五条 本市鼓励职业院校与国外职业教育机构合作引进先进的职业教育理念、标准、课程开展联合办学、教师交流、学生交换培养国际化技术技能人才。
成都市职业教育促进条例,,,第七章 法律责任,,第四十六条 违反本条例第十一条第四款规定的由上级行政机关责令限期归还被挪用、截留的经费并追究主管人员和其他直接责任人的行政责任。
成都市职业教育促进条例,,,第七章 法律责任,,第四十七条 违反本条例第十九条第二款规定的由教育或者人社行政主管部门责令限期改正符合设立条件的可以补办审批手续逾期仍达不到设立条件的予以取缔并没收违法所得。
成都市职业教育促进条例,,,第七章 法律责任,,第四十八条 违反本条例第二十三条第一款规定的由教育或者人社行政主管部门责令限期改正拒不改正的责令停止招生并追究其直接责任人的行政责任。
成都市职业教育促进条例,,,第七章 法律责任,,第四十九条 违反本条例第三十四条规定之一的由教育或者人社行政主管部门责令改正造成人员伤害的依法承担民事责任并追究直接责任人的行政责任。
成都市职业教育促进条例,,,第八章 附 则,,第五十条 本条例自 2013 年 1 月 1 日起施行。
