文件名,编,分编,章,节,内容
扬州市公园条例,,,第一章 总 则,,第一条 为了促进公园事业健康发展改善生态和人居环境根据相关法律、法规结合本市实际制定本条例。
扬州市公园条例,,,第一章 总 则,,第二条 公园是指具备良好绿化环境和较完善设施向公众开放的以休憩、健身、游览、娱乐为主要功能的公共场所包括开放式管理公园和封闭式管理公园。
扬州市公园条例,,,第一章 总 则,,第三条 开放式管理公园的规划、建设、管理、使用等活动适用本条例。
扬州市公园条例,,,第一章 总 则,,第四条 公园事业发展坚持政府主导、社会参与、统一规划、规范建设、科学管理、充分利用的原则。
扬州市公园条例,,,第一章 总 则,,第五条 公园实行名录管理。公园名录应当包括公园名称、类别、位置、面积、四至范围和管护单位等内容。公园名录编制、公布、调整的标准和程序由市人民政府确定。
扬州市公园条例,,,第一章 总 则,,第六条 各级人民政府应当将公园事业发展纳入国民经济和社会发展规划、计划保证公园规划、建设和管理所必需的经费。鼓励自然人、法人和非法人组织通过投资、捐赠、参加志愿服务等方式依法参与公园的建设、管理和服务。
扬州市公园条例,,,第二章 规 划,,第七条 市城乡规划主管部门应当会同市公园行政主管部门、县市、区人民政府依照国民经济和社会发展规划、土地利用总体规划、城乡规划编制市公园体系发展和保护专项规划。编制市公园体系发展和保护专项规划应当符合下列要求覆盖均衡、体系完整、功能多样园的选址、面积和服务半径方便公众使用编制市公园体系发展和保护专项规划应当广泛征求意见规划报送审批前公示时间不得少于三十日。
扬州市公园条例,,,第二章 规 划,,第八条 市公园体系发展和保护专项规划经市人民政府批准后任何单位和个人不得擅自变更确需变更的公园数量和面积不得减少并报市人民政府批准。市公园体系发展和保护专项规划应当报市人民代表大会常务委员会备案。
扬州市公园条例,,,第二章 规 划,,第九条 任何单位和个人不得侵占公园用地或者擅自改变公园用地的使用性质。确因国家重点工程和城市重大基础设施建设需要改变已建成的公园用地使用性质属于市规划区范围内的应当经市人民代表大会常务委员会审议后按照法定条件和程序进行调整属于县市规划区范围内的应当经县市人民代表大会常务委员会审议后按照法定条件和程序进行调整。涉及城市永久性绿地的按照市人民代表大会常务委员会有关城市永久性绿地保护规定执行。
扬州市公园条例,,,第二章 规 划,,第十条 科学合理利用公园地下空间严格控制商业性开发。确因公益性项目建设需要开发公园地下空间的应当依法审批。
扬州市公园条例,,,第三章 建 设,,第十一条 市人民政府应当根据国家公园设计规范制定符合本市实际、体现本地特色的市公园设计规范和技术标准。
扬州市公园条例,,,第三章 建 设,,第十二条 公园设计应当充分利用原有地形地貌、水体植被等自然条件注重人文景观和文化艺术教育内涵。
扬州市公园条例,,,第三章 建 设,,第十三条 新建、改建、扩建的公园绿地面积应当符合公园设计规范栽植的树木应当符合本地区自然生长条件。
