文件名,编,分编,章,节,内容
承德市乡村旅游促进条例,,,第一章 总 则,,第一条 为了保护和合理开发利用乡村旅游资源保障旅游者、旅游经营者和从业人员的合法权益促进乡村旅游持续健康发展推动乡村振兴战略落地落实根据《中华人民共和国乡村振兴促进法》、《中华人民共和国旅游法》、《河北省旅游条例》等法律法规的规定结合本市实际制定本条例。
承德市乡村旅游促进条例,,,第一章 总 则,,第二条 本市行政区域内的乡村旅游资源保护与开发、基础和服务设施建设、产业发展、监督管理等活动适用本条例。本条例所称乡村旅游是指利用乡村自然资源和人文资源、乡村产业依托村镇、山水、林草、田园风光、非遗工坊等特色载体开展的游览、度假、休闲、康养、研学、体验等活动。
承德市乡村旅游促进条例,,,第一章 总 则,,第三条 乡村旅游发展应当遵循政府引导、市场主导、创新驱动、产业融合、统筹推进、突出特色社会效益、经济效益和生态效益相统一的原则。
承德市乡村旅游促进条例,,,第一章 总 则,,第四条 市、县级人民政府应当将乡村旅游发展纳入国民经济和社会发展规划建立健全乡村旅游发展综合协调机制和激励机制制定促进乡村旅游发展的政策措施优化乡村旅游发展环境。乡镇人民政府负责推动本行政区域内的乡村旅游发展工作做好资源的保护利用、产业发展等工作。村民委员会、居民委员会协助做好乡村旅游产业发展相关工作。
承德市乡村旅游促进条例,,,第一章 总 则,,第五条 市、县级人民政府旅游和文化主管部门负责乡村旅游促进工作的统筹协调、政策落实和监督管理加强对乡村旅游行业组织的支持和指导。发展改革、自然资源和规划、农业农村、公安、消防救援、交通运输、住房城乡建设、卫生健康、市场监督管理、生态环境、林草、水务、文物等部门按照各自职责共同做好乡村旅游相关工作。
承德市乡村旅游促进条例,,,第一章 总 则,,第六条 乡村旅游行业组织应当加强对会员的管理积极参与乡村旅游的标准制定、服务评价、产品推介等活动开展法治和诚信宣传教育引导会员守法经营、诚信服务、公平竞争维护会员合法权益。
承德市乡村旅游促进条例,,,第一章 总 则,,第七条 鼓励和支持本行政区域内高等学校、中等职业学校结合乡村旅游建设特色专业培养实用型乡村旅游专业人才开展乡村旅游产学研活动。
承德市乡村旅游促进条例,,,第一章 总 则,,第八条 市、县级人民政府及其相关部门、新闻媒体、群团组织等应当加强对乡村旅游的宣传推介扩大乡村旅游的影响力打造承德乡村旅游品牌。
承德市乡村旅游促进条例,,,第二章 规划与建设,,第九条 市、县级人民政府应当组织开展乡村旅游资源普查和发展状况调查编制乡村旅游发展规划。乡村旅游发展规划应当坚持保护优先合理利用并与国民经济发展规划和国土空间规划相衔接。新建、改建、扩建乡村旅游项目应当符合乡村旅游发展规划要求。
承德市乡村旅游促进条例,,,第二章 规划与建设,,第十条 编制乡村旅游发展规划应当遵循保护与开发并重、创意与策划在先、个性与特色兼具的原则突出本市自然资源、产业特色、民族文化、民俗文化、饮食文化和历史人文特征。
承德市乡村旅游促进条例,,,第二章 规划与建设,,第十一条 市、县级人民政府应当支持本行政区域内的全国、省、市乡村旅游重点村镇发展统筹推进生态环境、道路、通信、水电等乡村旅游基础设施建设完善集散中心、服务驿站、加油站、厕所、停车场、公交车、充电桩、公共消防设施、指示标识等乡村旅游配套服务及设施。
承德市乡村旅游促进条例,,,第二章 规划与建设,,第十二条 市、县级人民政府应当积极推动乡村旅游数字化建设和电子商务平台打造加快推动乡村旅游信息平台建设完善网上预订、支付、交流等功能推动乡村旅游智慧化。
承德市乡村旅游促进条例,,,第二章 规划与建设,,第十三条 鼓励和支持农村集体经济组织依法使用集体建设用地自主或者以土地使用权入股、联营等方式建设乡村旅游设施和开发乡村旅游项目。拓展融资渠道鼓励社会资本投入乡村旅游基础设施建设。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第十四条 市、县级人民政府应当加强对乡村民宿管理工作的领导建立协调机制统筹协调有关部门按照各自职责对民宿经营管理需要办理的行政许可事项优化流程、提高效率。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第十五条 乡村民宿发展应当坚持特色化、个性化和差异化突出地域文化将自然景观、生态资源、生产生活和当地的历史文化、风土人情融入民宿设计满足游客多元化、体验式需求。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第十六条 市、县级人民政府应当重点培育有区域特征和地方特色的乡村民宿品牌。以避暑山庄及周围寺庙、金山岭长城、塞罕坝御道口、京北第一草原、雾灵山兴隆山、七家业带、民宿群落。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第十七条 市、县级旅游和文化主管部门应当制定民宿管理制度开展民宿等级评定建立准入、退出机制推动民宿健康发展。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第十八条 鼓励合法利用集体经营性建设用地、闲置宅基地、闲置住宅通过自主经营、合作经营、委托经营、出租入股等方式发展乡村民宿。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第十九条 市、县级人民政府应当支持康养产业发展构建便捷优质、独具特色的跨城养老服务体系。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第二十条 乡村康养产业应当科学、合理利用山水生态、历史文化和民俗风情资源并与医养有机融合促进乡村旅游优势互补。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第二十一条 落实京津冀协同发展战略依托独特的生态资源、自然景观和康养资源重点发展在森林、草原、温泉地热、历史文化、山水风光、中医药富集的地区建设康养度假区做强京津冀康养旅游度假基地。
承德市乡村旅游促进条例,,,第三章 民宿与康养,,第二十二条 鼓励利用自然生态、气候、特色产业等资源优势开发避暑旅游、冰雪旅游、森林旅游、康养旅游、民俗旅游等旅游项目。开发自驾车、房车、户外帐篷等旅游营地项目和徒步、登山、骑行等运动休闲项目。
承德市乡村旅游促进条例,,,第四章 农文旅融合,,第二十三条 各级人民政府及相关部门应当依托农业优势特色产业、历史人文等资源发展乡村旅游支持、促进、推动农文旅深度融合培育乡村旅游新业态、新模式。
承德市乡村旅游促进条例,,,第四章 农文旅融合,,第二十四条 依托特色果品、中药材、食用菌、杂粮等特色优势产业开发具有承德特色的乡村旅游商品支持具备条件的乡村社区通过乡村特色产业专业村镇模式发展乡村旅游。
承德市乡村旅游促进条例,,,第四章 农文旅融合,,第二十五条 鼓励利用名宴、名菜、名点、名小吃等地方传统美食及名优土特产品资源发展农家乐、牧家乐、渔家乐、森林人家等经营项目培育具有地方特色的乡村旅游餐饮美食品牌。
承德市乡村旅游促进条例,,,第四章 农文旅融合,,第二十六条 市、县级人民政府、乡镇人民政府应当依法保护具有历史底蕴和地域特色的民居民宅、乡村院落、名人故居等重点乡村建筑和文化文物遗存保留乡土风味传承乡村文化。村民委员会、居民委员会应当协助做好保护和传承工作。鼓励利用自然生态、民俗人文、传统村落街区、特色物产等资源打造文旅特色小镇街道、村落社区。
承德市乡村旅游促进条例,,,第四章 农文旅融合,,第二十七条 鼓励利用地方历史文化、非物质文化遗产、手工技艺、特色工业等开发乡村旅游文化创意产品、工艺品、纪念品、日用品。
承德市乡村旅游促进条例,,,第四章 农文旅融合,,第二十八条 鼓励开发利用乡村文化、农业科普、农事互动体验等项目培育、拓展乡村研学旅游产品。
承德市乡村旅游促进条例,,,第四章 农文旅融合,,第二十九条 鼓励加强智慧乡村旅游服务设施建设推动智慧乡村旅游健康发展。
承德市乡村旅游促进条例,,,第四章 农文旅融合,,第三十条 市、县级人民政府旅游和文化主管部门应当鼓励和引导旅行社把乡村旅游纳入旅游线路加大对乡村旅游从业人员的培训力度。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十一条 市、县级人民政府应当加强对本行政区域乡村旅游业监督管理的统筹协调建立健全旅游综合协调、案件联合查办、投诉统一受理等综合监督管理机制统筹乡村旅游市场秩序整治工作。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十二条 市、县级人民政府旅游和文化主管部门应当加强乡村旅游市场诚信体系建设建立和完善乡村旅游相关企业、从业人员的诚信记录及违法信息共享机制。乡村旅游行业组织应当建立行业诚信自律规则和行业诚信档案对会员单位实行诚信等级评定、信用监督和行业失信惩戒制度并向社会公布。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十三条 市、县级人民政府相关部门应当加强旅游安全工作依法履行旅游安全监管职责。乡村旅游经营者应当依法落实旅游安全主体责任建立旅游安全管理责任制设立内部安全管理机构制定旅游安全突发事件应急救援预案配备专职安全员配置必要的旅游安全设施和设备并定期检查、维修为旅游者提供安全保障。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十四条 乡村旅游经营者应当诚信经营在经营场所的显著位置明示消费价格遵循公平交易原则不得欺客、宰客。任何单位和个人不得诱导、欺骗、纠缠、强迫或者变相强迫旅游者购买商品、接受服务。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十五条 旅游项目中特种设备的使用、检验、检测和安全监督管理依照《中华人民共和国特种设备安全法》等有关法律、法规、规章执行。经营漂流、冰雪、滑索、滑道、潜水、洞穴、高空秋千、高山滑草、玻璃栈道桥等具有一定风险性的旅游项目法律、法规已明确安全监督管理部门的从其规定法律、法规未明确安全监督管理部门的由市、县级人民政府明确。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十六条 违反本条例规定旅游和文化主管部门和有关部门的工作人员在乡村旅游产业发展和监督管理工作中滥用职权、玩忽职守、徇私舞弊的依法给予处分构成犯罪的依法追究刑事责任。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十七条 违反本条例规定的乡村旅游经营者及其从业人员旅游和文化主管部门和有关部门应当记入信用档案向社会公布。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十八条 违反本条例规定诱导、欺骗、纠缠、强迫或者变相强迫旅游者购买商品、接受服务的由市场监督管理部门处五千元以上一万元以下罚款情节严重的处一万元以上二万元以下罚款。旅行社或者导游有前款行为的依照有关法律、法规的规定予以处罚。
承德市乡村旅游促进条例,,,第五章 监督管理,,第三十九条 违反本条例规定的其他行为法律、法规已有规定的从其规定。
承德市乡村旅游促进条例,,,第六章 附 则,,第四十条 本条例自 2025 年 5 月 1 日起施行。
