文件名,编,分编,章,节,内容
抚州市立法条例,,,第一章 总则,,第一条 为了规范地方立法活动提高立法质量发挥立法的引领和推动作用全面推进依法治市建设法治抚州根据《中华人民共和国立法法》《江西省立法条例》等法律法规结合本市实际制定本条例。
抚州市立法条例,,,第一章 总则,,第二条 市人民代表大会及其常务委员会制定、修改、废止地方性法规以及立法相关活动适用本条例。
抚州市立法条例,,,第一章 总则,,第三条 制定地方性法规应当遵循《中华人民共和国立法法》规定的立法原则从本地的具体情况和实际需要出发体现地方特色不得与宪法、法律、行政法规和省地方性法规相抵触一般不重复上位法的规定。
抚州市立法条例,,,第一章 总则,,第四条 市人民代表大会及其常务委员会应当健全立法工作沟通协调、立法计划督促落实、人大代表和社会公众参与立法等工作机制加强对立法工作的组织协调和统筹安排发挥在立法工作中的主导作用。
抚州市立法条例,,,第二章 立法权限,,第五条 下列事项由市人民代表大会制定地方性法规面特别重大的事项项其制定法规的事项人民代表大会制定法规的事项。
抚州市立法条例,,,第二章 立法权限,,第六条 除本条例第五条规定的外下列事项由市人民代表大会常务委员会制定地方性法规面需要作出具体规定的事项规的事项在市人民代表大会闭会期间常务委员会可以对市人民代表大会制定的地方性法规进行部分补充和修改但不得同该法规的基本原则相抵触。
抚州市立法条例,,,第二章 立法权限,,第七条 相应的法律、行政法规或者省地方性法规制定、修改、废止后本市地方性法规与其相抵触的应当及时进行修改或者废止。
抚州市立法条例,,,第二章 立法权限,,第八条 市人民代表大会及其常务委员会制定、修改、废止地方性法规以及常务委员会作出的本市地方性法规解释应当报省人民代表大会常务委员会批准。
抚州市立法条例,,,第三章 立法准备,,第九条 市人民代表大会常务委员会通过立法规划、年度立法计划等形式加强对立法工作的统筹安排。常务委员会法制工作机构负责编制立法规划和拟订年度立法计划并按照常务委员会的要求督促立法规划和年度立法计划的落实。市人民代表大会常务委员会立法规划和年度立法计划应当征求省人民代表大会常务委员会法制工作机构的意见由市人民代表大会常务委员会主任会议通过后向社会公布并报省人民代表大会常务委员会。
抚州市立法条例,,,第三章 立法准备,,第十条 本市的国家机关、政党、社会团体、企事业单位、其他组织和公民可以向市人民代表大会及其常务委员会提出立法建议项目。有关机关、单位提出立法建议项目时应当说明立法依据、立法的必要性和可行性、法规拟规范的主要内容等。常务委员会法制工作机构应当会同市人民代表大会专门委员会、常务委员会工作机构、市人民政府法制工作机构认真研究人大代表议案和建议广泛征集意见科学论证评估根据本市立法权限以及经济社会发展和民主法治建设的需要编制立法规划和拟订年度立法计划。
抚州市立法条例,,,第三章 立法准备,,第十一条 市人民代表大会常务委员会年度立法计划应当与立法规划相衔接。市人民政府年度立法计划应当与市人民代表大会常务委员会年度立法计划相衔接。立法计划项目分为审议类项目和调研类项目。列入常务委员会年度立法计划的审议类项目应当明确地方性法规案的提请机关、起草单位、负责初审的专门委员会或者常务委员会工作机构以及拟提请常务委员会会议第一次审议的时间。
抚州市立法条例,,,第三章 立法准备,,第十二条 法规草案不能按照年度立法计划预定时间提请常务委员会会议审议的提请机关应当向主任会议书面说明推迟理由及时间。立法规划和年度立法计划在实施中需要根据实际情况进行项目调整的由常务委员会法制工作机构根据市人民代表大会专门委员会、常务委员会工作机构、提请机关和有关方面的意见建议提出调整意见并征求省人民代表大会常务委员会法制工作机构意见后报请主任会议决定。立法规划和年度立法计划作出项目调整的应当向社会公布并报省人民代表大会常务委员会。
