文件名,编,分编,章,节,内容
新宾满族自治县清永陵保护管理条例,,,,,第一条 为加强清永陵的保护管理根据《中华人民共和国文物保护法》和其他有关法律、法规的规定结合自治县的实际制定本条例。
新宾满族自治县清永陵保护管理条例,,,,,第二条 凡在清永陵保护范围和建设控制地带内从事各种活动的单位和个人必须遵守本条例。
新宾满族自治县清永陵保护管理条例,,,,,第三条 自治县人民政府文化行政主管部门在上级文物行政主管部门指导下对清永陵的保护实施监督管理。自治县人民政府其他有关部门根据各自的职责协助文化行政主管部门实施清永陵的保护管理工作。
新宾满族自治县清永陵保护管理条例,,,,,第四条 清永陵的保护范围和建设控制地带按照辽宁省人民政府批准的《关于清永陵文物保护范围与建设控制地带》执行。清永陵保护范围标志说明任何单位和个人不得擅自移动、损毁、拆除。
新宾满族自治县清永陵保护管理条例,,,,,第五条 在清永陵保护范围内禁止下列行为
新宾满族自治县清永陵保护管理条例,,,,,第六条 在清永陵建设控制地带内进行建设工程其工程设计方案必须经国家文物局同意报国家城乡建设规划部门批准。在清永陵建设控制地带内不得建设危及清永陵安全的设施不得修建其风格、高度、体量、色调等与清永陵的历史风貌不协调的建筑物或者构筑物。
新宾满族自治县清永陵保护管理条例,,,,,第七条 清永陵的文物维修工程必须依照有关法律、法规的规定逐级上报国家文物局审查批准。未经批准任何单位和个人不得对清永陵进行修缮、复原等文物维修工程。清永陵的保护和维修不得改变文物的原状、原貌。
新宾满族自治县清永陵保护管理条例,,,,,第八条 自治县人民政府设立清永陵保护、维修专项经费列入自治县本级财政预算。上级国家机关的拨款、社会筹集和国内外捐赠的资金专款专用任何单位和个人不得侵占、挪作它用。
新宾满族自治县清永陵保护管理条例,,,,,第九条 拍摄电影、电视、专业录像和专业摄影需要拍录文物场景和文物都应具有国家文物行政管理部门的批准文件在清永陵文物保护管理人员的监督下进行。
新宾满族自治县清永陵保护管理条例,,,,,第十条 凡申请在清永陵保护范围内从事各种经营活动的单位和个人应当征得自治县人民政府文化行政主管部门同意后方可到有关部门办理手续开展经营活动。
新宾满族自治县清永陵保护管理条例,,,,,第十一条 自治县人民政府对在清永陵保护科学技术上有重要发明创造或者其他重要贡献的在清永陵保护管理、安全保卫及环境治理等工作中取得突出成绩的应当给予表彰或奖励。
新宾满族自治县清永陵保护管理条例,,,,,第十二条 违反本条例有关规定的由自治县文化行政主管部门给以下列处罚者赔偿实际损失外并处 500 元以上 1000 元以下罚款。停止破坏活动没收非法所得限期恢复原状并处 1000 元以上 3 万元以下罚款。项规定的予以制止处 50 元以上 100 元以下罚款情节严重的处 100 元以上 200 元以下罚款。出恢复原地貌并处 500 元以上 1000 元以下罚款。处 5 万元以上 10 万元以下罚款。造成后果的处 10 万元以上20 万元以下罚款。违反本条例第六条第二款规定的责令限期拆迁造成后果的处 5 万元以上 20 万元以下罚款。并处 5 万元以上 10 万元以下罚款。违反本条例第七条第二款规定的责令恢复原状、原貌并处 20 万元以上 30 万元以下罚款。造成后果的处 30 万元以上50 万元以下罚款。构成犯罪的依法追究刑事责任。
新宾满族自治县清永陵保护管理条例,,,,,第十三条 从事清永陵文物保护管理的工作人员玩忽职守、滥用职权、徇私舞弊造成后果的由上级主管部门给予行政处分情节严重构成犯罪的依法追究刑事责任。
新宾满族自治县清永陵保护管理条例,,,,,第十四条 本条例自 2003 年 6 月 1 日起施行。
