文件名,编,分编,章,节,内容
无锡市社区戒毒康复条例,,,第一章 总则,,第一条 为了规范社区戒毒和社区康复工作帮助吸毒成瘾人员戒除毒瘾、恢复健康维护社会秩序根据《中华人民共和国禁毒法》、国务院《戒毒条例》、《江苏省禁毒条例》等法律、法规结合本市实际制定本条例。
无锡市社区戒毒康复条例,,,第一章 总则,,第二条 本市行政区域内对吸毒成瘾人员的社区戒毒和对解除强制隔离戒毒人员的社区康复以下简称社区戒毒康复适用本条例。
无锡市社区戒毒康复条例,,,第一章 总则,,第三条 社区戒毒康复工作应当坚持以人为本、科学戒毒、综合矫治、关怀救助的原则建立戒毒治疗、康复指导、救助服务兼备的工作体系构建生理脱毒、身心康复、就业安置、融入社会于一体的社区戒毒康复模式。
无锡市社区戒毒康复条例,,,第一章 总则,,第四条 市、县级市、区人民政府应当全面推进社区戒毒康复工作加强工作机构和工作队伍建设按照规定将社区戒毒康复工作所需经费列入本级财政预算。
无锡市社区戒毒康复条例,,,第一章 总则,,第五条 市、县级市、区禁毒委员会负责组织、协调、指导本行政区域内社区戒毒康复工作。公安机关应当履行社区戒毒康复的法定职责指导和支持镇人民政府、街道办事处开展社区戒毒康复工作。卫生、司法行政、人力资源和社会保障、民政、财政等部门以及工会、共青团、妇联、残联等组织应当按照各自职责做好社区戒毒康复的有关工作。
无锡市社区戒毒康复条例,,,第一章 总则,,第六条 镇人民政府、街道办事处具体负责本辖区内社区戒毒康复工作。
无锡市社区戒毒康复条例,,,第一章 总则,,第七条 社区戒毒康复人员在入学、就业、享受社会保障等方面不受歧视。对社区戒毒康复人员戒毒康复的个人信息应当依法予以保密。
无锡市社区戒毒康复条例,,,第一章 总则,,第八条 各级人民政府、街道办事处应当培育和引导禁毒志愿者、禁毒志愿者服务组织和其他社会组织参与社区戒毒康复工作。鼓励社会力量为社区戒毒康复工作提供帮助和支持。
无锡市社区戒毒康复条例,,,第二章 社区戒毒康复工作机构和人员,,第九条 镇人民政府、街道办事处应当成立社区戒毒康复工作领导小组确定社区戒毒康复工作机构和专职工作人员并根据登记在册的吸毒人员数量按照规定配备社区戒毒康复社会工作者。
无锡市社区戒毒康复条例,,,第二章 社区戒毒康复工作机构和人员,,第十条 社区戒毒康复工作机构负责社区戒毒康复的日常工作履行以下职责措施毒康复人员签订协议生活和家庭环境等情况进行风险评估康复、在社区戒毒康复期间又吸食或者注射毒品、严重违反协议等情况
无锡市社区戒毒康复条例,,,第二章 社区戒毒康复工作机构和人员,,第十一条 社区戒毒康复工作机构应当根据社区戒毒康复人员情况成立社区戒毒康复工作小组。社区戒毒康复工作小组由社区戒毒康复专职工作人员、社会工作者、社区民警、社区医务人员、社区戒毒康复人员的家庭成员以及禁毒志愿者组成。社区戒毒康复人员为女性的社区戒毒康复工作小组中应当有女性工作人员参加。
无锡市社区戒毒康复条例,,,第二章 社区戒毒康复工作机构和人员,,第十二条 社区戒毒康复工作小组负责具体实施社区戒毒康复工作履行以下职责管理措施诫和心理、戒毒知识辅导掌握现实表现督促履行协议技能培训、职业指导、就学、就业、就医援助等活动区戒毒康复期间又吸食或者注射毒品、严重违反协议的情况
无锡市社区戒毒康复条例,,,第二章 社区戒毒康复工作机构和人员,,第十三条 社区戒毒康复社会工作者可以由各级人民政府、街道办事处通过招聘或者购买服务等方式产生具体负责社区戒毒康复工作小组的日常工作。
无锡市社区戒毒康复条例,,,第三章 社区戒毒康复执行,,第十四条 公安机关可以依法对吸毒成瘾人员作出责令接受社区戒毒的决定并出具责令社区戒毒决定书对解除强制隔离戒毒的人员作出责令接受社区康复的决定并出具责令社区康复决定书。
无锡市社区戒毒康复条例,,,第三章 社区戒毒康复执行,,第十五条 作出责令接受社区戒毒、社区康复决定的公安机关应当在二十四小时内将责令社区戒毒决定书或者社区康复决定书以下简称决定书送达社区戒毒康复人员本人及其家庭成员同时通知执行地镇人民政府、街道办事处。
无锡市社区戒毒康复条例,,,第三章 社区戒毒康复执行,,第十六条 社区戒毒康复人员应当在户籍所在地接受社区戒毒康复实际居住在户籍所在地以外固定住所的可以在现居住地接受社区戒毒康复。公安机关在作出责令社区戒毒康复决定前应当查明社区戒毒康复人员的现居住地并在决定书中明确执行地。执行地镇人民政府、街道办事处应当予以接收。
无锡市社区戒毒康复条例,,,第三章 社区戒毒康复执行,,第十七条 社区戒毒康复人员应当自收到决定书之日起十五日内到执行地镇人民政府、街道办事处报到无正当理由逾期不报到的视为拒绝接受社区戒毒康复。社区戒毒康复期限自社区戒毒康复人员向执行地镇人民政府、街道办事处报到之日起计算。
无锡市社区戒毒康复条例,,,第三章 社区戒毒康复执行,,第十八条 社区戒毒康复人员因现居住地发生变化需要变更执行地的应当向作出责令社区戒毒康复决定的公安机关提出申请。公安机关核实后应当通知原执行地镇人民政府、街道办事处将有关材料移送至变更后的执行地镇人民政府、街道办事处。
