文件名,编,分编,章,节,内容
日喀则市人民代表大会议事规则,,,第一章 总 则,,第一条 为了保障日喀则市人民代表大会依法行使职权规范议事程序提高议事质量和效率根据宪法和《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》等有关法律规定结合本市实际制定本规则。
日喀则市人民代表大会议事规则,,,第一章 总 则,,第二条 市人民代表大会坚持中国共产党的领导坚持以马克思列宁主义、毛泽东思想、邓小平理论、三个代表重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导坚持和完善人民代表大会制度实行民主集中制原则充分发扬民主集体行使宪法和法律赋予的职权。
日喀则市人民代表大会议事规则,,,第一章 总 则,,第三条 市人民代表大会坚持以人民为中心坚持和发展全过程人民民主始终同人民保持密切联系倾听人民的意见和建议为人民服务对人民负责受人民监督。
日喀则市人民代表大会议事规则,,,第二章 会议的举行,,第四条 市人民代表大会会议每年至少举行一次一般于第四季度举行。会议召开的日期由市人民代表大会常务委员会决定并予以公布。遇有特殊情况市人民代表大会常务委员会可以决定适当提前或者推迟召开会议。提前或者推迟召开会议的日期未能在当次会议上决定的常务委员会或者其授权的主任会议可以另行决定并予以公布。市人民代表大会常务委员会认为必要或者经五分之一以上代表提议可以临时召集市人民代表大会会议。市人民代表大会会议有三分之二以上的代表出席始得举行。
日喀则市人民代表大会议事规则,,,第二章 会议的举行,,第五条 市人民代表大会代表应当按时出席市人民代表大会会议。因病或者其他特殊原因不能出席的会议召开前应当由选举单位通过市人民代表大会常务委员会办事机构办理请假手续会议期间应当由所在代表团向大会秘书处办理请假手续。市人民代表大会代表出席会议情况和缺席的原因由大会秘书处向主席团报告并向全体代表通报。市人民代表大会代表应当勤勉尽责认真审议各项议案和报告严格遵守会议纪律。
日喀则市人民代表大会议事规则,,,第二章 会议的举行,,第六条 市人民代表大会会议由市人民代表大会常务委员会召集。每届市人民代表大会第一次会议在本届市人民代表大会代表选举完成后两个月内由上届市人民代表大会常务委员会召集。
日喀则市人民代表大会议事规则,,,第二章 会议的举行,,第七条 市人民代表大会会议举行前市人民代表大会常务委员会应当做好下列准备工作
日喀则市人民代表大会议事规则,,,第二章 会议的举行,,第八条 市人民代表大会常务委员会应当在市人民代表大会会议举行的一个月前将会议召开日期和建议会议讨论的主要事项通知代表并将准备提请会议审议的地方性法规草案发给代表。必要时可以在会议举行前组织代表研读讨论有关法规草案征求市人民代表大会代表的意见并通报会议拟讨论的主要事项的有关情况。临时召集的市人民代表大会会议不适用前款规定。
日喀则市人民代表大会议事规则,,,第二章 会议的举行,,第九条 市人民代表大会举行会议前代表按照选举单位组成代表团。各代表团应当举行代表团全体会议推选代表团团长、副团长。代表团团长的职责副团长协助团长工作。
日喀则市人民代表大会议事规则,,,第二章 会议的举行,,第十条 代表团在市人民代表大会预备会议前审议市人民代表大会常务委员会提出的主席团和秘书长名单草案、会议议程草案以及关于会议的其他准备事项提出意见。市人民代表大会常务委员会主任会议根据各代表团的意见可以对主席团和秘书长名单草案、会议议程草案以及关于会议的其他准备事项提出调整意见提请预备会议审议。
