文件名,编,分编,章,节,内容
昆明市消防条例,,,第一章 总 则,,第一条 为了预防火灾和减少火灾危害加强应急救援工作保护人身、财产安全维护公共安全根据《中华人民共和国消防法》《云南省消防条例》和有关法律、法规结合本市实际制定本条例。
昆明市消防条例,,,第一章 总 则,,第二条 本市行政区域内的单位和个人应当遵守本条例。
昆明市消防条例,,,第一章 总 则,,第三条 市、县市、区人民政府应当将消防工作纳入国民经济和社会发展规划保障消防工作与经济社会发展相适应。消防工作坚持预防为主、消防结合的方针按照政府统一领导、部门依法监管、单位全面负责、公民积极参与的原则实行消防安全责任制建立健全社会化的消防工作网络。
昆明市消防条例,,,第一章 总 则,,第四条 市、县市、区人民政府应急管理部门对本行政区域内的消防工作进行监督管理并由本级人民政府消防救援机构负责实施。
昆明市消防条例,,,第一章 总 则,,第五条 各级人民政府对在消防工作中做出突出贡献的单位和个人应当给予表彰奖励。鼓励单位和个人捐助消防公益事业参与消防公益活动参加消防志愿服务活动。
昆明市消防条例,,,第二章 消防职责,,第六条 市、县市、区人民政府应当履行下列消防工作职责重大问题门签订年度消防工作目标责任书并对完成情况定期进行考核备经费和消防工作经费纳入本级财政预算重大火灾隐患的整改进行督办
昆明市消防条例,,,第二章 消防职责,,第七条 消防救援机构应当履行下列消防工作职责消防违法行为督促整改火灾隐患职消防队、志愿消防队训练和有关单位开展消防演练损失的应急救援工作议报请同级人民政府采取措施解决消防安全突出问题
昆明市消防条例,,,第二章 消防职责,,第八条 市、县市、区人民政府各有关部门应当建立健全消防安全制度在各自的职责范围内做好消防工作。重点加强建筑工地、商场、市场、宾馆、饭店、学校、幼儿园、医院、社会福利机构、公共交通设施、农资仓库、易燃易爆场所、宗教场所、公共娱乐场所、文物保护单位、博物馆、地下建筑等的消防安全管理。
昆明市消防条例,,,第二章 消防职责,,第九条 乡镇人民政府和街道办事处应当履行下列消防工作职责定期召开联席会议研究解决消防工作突出问题施建设改善消防安全条件行物业管理的多产权建筑产权人和使用人落实消防安全责任改火灾隐患。
昆明市消防条例,,,第二章 消防职责,,第十条 公安派出所应当履行下列消防职责防违法行为开展消防安全宣传教育防安全制度
昆明市消防条例,,,第二章 消防职责,,第十一条 村居民委员会应当履行下列消防职责定防火安全公约自救能力
昆明市消防条例,,,第二章 消防职责,,第十二条 机关、团体、企业、事业等单位应当履行下列消防职责度者委托有资质的机构对本单位进行一次消防安全评估的确定或变更报当地消防救援机构备案
昆明市消防条例,,,第三章 火灾预防,,第十三条 市、县市、区人民政府应当将消防规划纳入城乡规划组织编制、审查城乡规划时应当有消防救援机构参与。未经法定程序任何单位和个人不得擅自调整变更城乡消防规划。消防队站、消防供水、消防通信、消防车通道等公共消防设施应当与城乡基础设施同步规划、设计、建设、经验收合格后投入使用。对依法批准的城乡消防规划中确定的消防站等消防设施用地应当予以控制预留。任何单位和个人不得随意改变用途或者占用。村庄主要道路应当满足消防车通行需要。统一规划建设的村庄各类建筑应当符合防火间距要求。村庄具备给水管网条件的应当设置室外消火栓给水管网或者天然水源不能满足消防用水时应当设置消防水池等储水设施。
昆明市消防条例,,,第三章 火灾预防,,第十四条 建设、设计、施工、监理单位及其执业人员应当严格遵守消防法律、法规不得降低建设工程消防安全标准。
