文件名,编,分编,章,节,内容
昆明市燃气管理条例,,,第一章 总则,,第一条 为了加强燃气管理维护燃气用户和经营者的合法权益促进燃气事业发展保障社会公共安全根据国务院《城镇燃气管理条例》及有关法律、法规结合本市实际制定本条例。
昆明市燃气管理条例,,,第一章 总则,,第二条 本市行政区域内燃气的规划建设、应急保障、经营服务燃气使用和器具管理、设施保护、安全事故预防和处置及相关管理活动适用本条例。
昆明市燃气管理条例,,,第一章 总则,,第三条 市、县市、区人民政府应当加强对燃气工作的领导将燃气事业的建设和发展纳入国民经济和社会发展规划建立燃气管理工作协调机制和燃气事故应急处置机制及时协调处理燃气管理工作中的重大事项。
昆明市燃气管理条例,,,第一章 总则,,第四条 市、县市、区住房城乡建设行政部门是燃气管理部门按照规定的权限负责本行政区域内的燃气管理工作。发展改革、规划、国土资源、公安消防、安全监管、质监、工商、城管综合执法、环境保护、卫生等有关部门按照各自职责做好燃气管理的相关工作。
昆明市燃气管理条例,,,第一章 总则,,第五条 市、县市、区人民政府和燃气管理部门以及燃气经营者应当加强安全和节约使用燃气的宣传增强全社会的公共安全和节约使用燃气的意识提高防范和应对燃气安全事故的能力。鼓励和支持燃气科学技术的研究推广安全、节能、环保的新技术应用。
昆明市燃气管理条例,,,第一章 总则,,第六条 燃气管理部门履行下列职责社会公布燃气经营许可证、燃气供应许可证、燃气燃烧器具安装维修许可证的发放情况建立健全许可证档案管理制度督生产主体落实安全责任全事故应急预案报本级人民政府批准后施行果录的管理
昆明市燃气管理条例,,,第一章 总则,,第七条 燃气行业协会应当加强行业自律管理促进燃气行业提高服务质量和安全技术水平。
昆明市燃气管理条例,,,第二章 规划建设与供应保障,,第八条 市燃气管理部门会同规划、国土资源等部门编制燃气专项规划。经批准的燃气专项规划涉及空间布局和用地需求的由规划、国土资源等部门纳入城乡建设规划。
昆明市燃气管理条例,,,第二章 规划建设与供应保障,,第九条 燃气设施的建设应当符合本市燃气专项规划依法办理相关审批手续。
昆明市燃气管理条例,,,第二章 规划建设与供应保障,,第十条 新区建设、旧区改造应当按照城乡规划和燃气专项规划配套建设燃气设施或者预留燃气设施建设用地。新建、改建、扩建城市道路具备条件的应当将天然气工程管线纳入城市综合管廊的规划建设。
昆明市燃气管理条例,,,第二章 规划建设与供应保障,,第十一条 建设单位应当组织燃气工程竣工验收未经验收或者验收不合格的不得交付使用。建设单位应当按照国家有关规定在燃气工程竣工验收合格之日起 15 日内将竣工验收情况报燃气管理部门备案并在项目建设竣工验收后 6 个月内向城建档案管理机构移交项目建设档案。
昆明市燃气管理条例,,,第二章 规划建设与供应保障,,第十二条 市、县市、区人民政府应当建立健全燃气应急储备制度。发展改革行政部门应当会同燃气管理、安全监管、公安消防等相关部门制定燃气应急储备方案确定燃气储备的布局、储备总量、启动要求等。燃气经营者应当按照燃气应急储备方案的要求建设燃气应急储备设施确保燃气应急储备所需的数量、质量和储存安全。
昆明市燃气管理条例,,,第二章 规划建设与供应保障,,第十三条 市、县市、区燃气管理部门应当组织编制燃气供应应急调度预案明确燃气应急气源和种类、应急供应方式、应急调度程序等内容。燃气经营者应当按照燃气供应应急调度预案的要求建立健全本单位的燃气供应应急预案因不可抗力或者发生突发性事故等紧急情况不能正常生产或者供应燃气的应当按照燃气供应应急预案采取相应措施并及时报告燃气管理部门。
