文件名,编,分编,章,节,内容
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第一条 奸淫幼女的依照刑法第二百三十六条第二款的规定从重处罚。具有下列情形之一的应当适用较重的从重处罚幅度人实施奸淫的强奸已满十四周岁的未成年女性具有前款第一项、第三项至第六项规定的情形之一或者致使被害人轻伤、患梅毒、淋病等严重性病的依照刑法第二百三十六条第一款的规定定罪从重处罚。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第二条 强奸已满十四周岁的未成年女性或者奸淫幼女具有下列情形之一的应当认定为刑法第二百三十六条第三款第一项规定的强奸妇女、奸淫幼女情节恶劣照片等影像资料以此胁迫对被害人实施强奸、奸淫或者致使影像资料向多人传播暴露被害人身份的
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第三条 奸淫幼女具有下列情形之一的应当认定为刑法第二百三十六条第三款第五项规定的造成幼女伤害
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第四条 强奸已满十四周岁的未成年女性或者奸淫幼女致使其感染艾滋病病毒的应当认定为刑法第二百三十六第三款第六项规定的致使被害人重伤。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第五条 对已满十四周岁不满十六周岁的未成年女性负有特殊职责的人员与该未成年女性发生性关系具有下列情形之一的应当认定为刑法第二百三十六条之一规定的情节恶劣性病的频、照片等影像资料致使影像资料向多人传播暴露被害人身份的
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第六条 对已满十四周岁的未成年女性负有特殊职责的人员利用优势地位或者被害人孤立无援的境地迫使被害人与其发生性关系的依照刑法第二百三十六条的规定以强奸罪定罪处罚。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第七条 猥亵儿童具有下列情形之一的应当认定为刑法第二百三十七条第三款第三项规定的造成儿童伤害或者其他严重后果
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第八条 猥亵儿童具有下列情形之一的应当认定为刑法第二百三十七条第三款第四项规定的猥亵手段恶劣或者有其他恶劣情节位、物品侵入被害人生殖器、肛门等方式实施猥亵的等影像资料以此胁迫对被害人实施猥亵或者致使影像资料向多人传播暴露被害人身份的形。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第九条 胁迫、诱骗未成年人通过网络视频聊天或者发送视频、照片等方式暴露身体隐私部位或者实施淫秽行为符合刑法第二百三十七条规定的以强制猥亵罪或者猥亵儿童罪定罪处罚。胁迫、诱骗未成年人通过网络直播方式实施前款行为同时符合刑法第二百三十七条、第三百六十五条的规定构成强制猥亵罪、猥亵儿童罪、组织淫秽表演罪的依照处罚较重的规定定罪处罚。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第十条 实施猥亵未成年人犯罪造成被害人轻伤以上后果同时符合刑法第二百三十四条或者第二百三十二条的规定构成故意伤害罪、故意杀人罪的依照处罚较重的规定定罪处罚。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第十一条 强奸、猥亵未成年人的成年被告人认罪认罚的是否从宽处罚及从宽幅度应当从严把握。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第十二条 对强奸未成年人的成年被告人判处刑罚时一般不适用缓刑。对于判处刑罚同时宣告缓刑的可以根据犯罪情况同时宣告禁止令禁止犯罪分子在缓刑考验期限内从事与未成年人有关的工作、活动禁止其进入中小学校、幼儿园及其他未成年人集中的场所。确因本人就学、居住等原因经执行机关批准的除外。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第十三条 对于利用职业便利实施强奸、猥亵未成年人等犯罪的人民法院应当依法适用从业禁止。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第十四条 对未成年人实施强奸、猥亵等犯罪造成人身损害的应当赔偿医疗费、护理费、交通费、营养费、住院伙食补助费等为治疗和康复支付的合理费用以及因误工减少的收入。根据鉴定意见、医疗诊断书等证明需要对未成年人进行精神心理治疗和康复所需的相关费用应当认定为前款规定的合理费用。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第十五条 本解释规定的负有特殊职责的人员是指对未成年人负有监护、收养、看护、教育、医疗等职责的人员包括与未成年人具有共同生活关系且事实上负有照顾、保护等职责的人员。
最高人民法院  最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,,,,,第十六条 本解释自 2023 年 6 月 1 日起施行。
